period,gdp_growth
2003,0.15404695536804924
2004,0.13842037069163582
2005,0.12315941227932758
2006,0.15618707898261985
2007,0.16701834065078391
2008,0.1444771986267066
2009,0.0859191531135941
2010,0.17149584128781892
2011,0.09478533764330366
2012,0.10015252422313514
2013,0.09771187290760697
2014,0.052207460206739054
2015,-0.010611252793859438
2016,0.025039110107684337
2017,0.02091796991404893
2018,0.040299116092994414
2019,0.0739406816482906
2020,-0.0059087803887521995
2021,0.20051471670645227
2022,0.09186499323251418
2023,0.10297823814122298
