period,inflation
201001,0.0053
201002,0.0077
201003,0.008100000000000001
201004,0.0066
201005,0.0038
201006,0.0005
201007,-0.0006
201008,0.0004
201009,0.0042
201010,0.0103
201011,0.0072
201012,0.0034999999999999996
201101,0.0115
201102,0.0070999999999999995
201103,0.0088
201104,0.005
201105,0.006999999999999999
201106,0.0024
201107,0.0011
201108,0.0045000000000000005
201109,0.006
201110,0.0051
201111,0.0031
201112,0.0043
201201,0.0066
201202,0.0059
201203,0.0039000000000000003
201204,0.0055000000000000005
201205,0.006500000000000001
201206,0.0007000000000000001
201207,0.0039000000000000003
201208,0.0037
201209,0.006500000000000001
201210,0.004699999999999999
201211,0.005600000000000001
201212,0.0052
201301,0.0073
201302,0.0084
201303,0.0063
201304,0.0064
201305,0.004699999999999999
201306,0.002
201307,0.0005
201308,0.0
201309,0.003
201310,0.0042
201311,0.0053
201312,0.008
201401,0.006500000000000001
201402,0.0073
201403,0.0078000000000000005
201404,0.0075
201405,0.0067
201406,0.0042
201407,0.0003
201408,-0.0002
201409,0.0046
201410,0.0037
201411,0.0040999999999999995
201412,0.0044
201501,0.010700000000000001
201502,0.0108
201503,0.0148
201504,0.006500000000000001
201505,0.0070999999999999995
201506,0.0072
201507,0.0064
201508,0.0005
201509,0.0040999999999999995
201510,0.0062
201511,0.0084
201512,0.0058
201601,0.011899999999999999
201602,0.009899999999999999
201603,0.0049
201604,0.0070999999999999995
201605,0.0078000000000000005
201606,0.0066
201607,0.0063
201608,0.003
201609,-0.0006
201610,0.0033
201611,0.0016
201612,0.0024
201701,0.0064
201702,0.0034000000000000002
201703,-0.0004
201704,-0.0008
201705,0.0021
201706,-0.0048
201707,0.0031
201708,0.003
201709,0.0024
201710,0.0034000000000000002
201711,-0.0008
201712,0.0033
201801,0.0036
201802,0.0033
201803,0.0023
201804,0.0022
201805,0.0018
201806,0.018600000000000002
201807,0.0018
201808,-0.0001
201809,0.0027
201810,0.0040999999999999995
201811,-0.0009
201812,0.0001
201901,0.006999999999999999
201902,0.0051
201903,0.0029
201904,0.0042
201905,0.0021
201906,0.0014000000000000002
201907,0.0023
201908,0.0013
201909,-0.0018
201910,0.0017000000000000001
201911,0.0046
201912,0.0105
202001,0.002
202002,0.005
202003,0.0005
202004,-0.0021
202005,-0.006
202006,0.0005
202007,0.0039000000000000003
202008,0.0021
202009,0.0076
202010,0.0108
202011,0.0095
202012,0.015300000000000001
202101,0.0033
202102,0.0073
202103,0.0118
202104,0.0037
202105,0.0079
202106,0.0042
202107,0.0070999999999999995
202108,0.0043
202109,0.0134
202110,0.012199999999999999
202111,0.0092
202112,0.0075
202201,0.008
202202,0.010700000000000001
202203,0.0144
202204,0.0106
202205,0.0027
202206,0.0083
202207,-0.010700000000000001
202208,-0.0125
202209,-0.0034999999999999996
202210,0.0054
202211,0.0054
202212,0.0070999999999999995
202301,0.008199999999999999
202302,0.008100000000000001
202303,0.0039000000000000003
202304,0.006
202305,0.0048
202306,0.0031
202307,-0.0016
202308,-0.0008
202309,0.0025
202310,0.0045000000000000005
202311,0.0027
202312,0.008
202401,0.011000000000000001
202402,0.008199999999999999
202403,0.0012
202404,0.0045000000000000005
202405,0.0063
202406,0.0046
202407,0.0026
202408,0.0013
202409,0.0051
202410,0.005
202411,0.005699999999999999
202412,0.0025
202501,0.0043
202502,0.0131
202503,0.0040999999999999995
202504,0.0049
202505,0.0017000000000000001
202506,0.0053
202507,0.0022
202508,-0.0026
202509,0.0031
202510,-0.0015
202511,0.0004
202512,0.0040999999999999995
202601,0.0044
202602,0.0076
202603,0.009300000000000001
202604,0.0060999999999999995
202605,0.0034000000000000002
202606,0.0012
202607,-0.0017000000000000001
