period,unemployment
201201,0.078
201202,0.076
201203,0.07200000000000001
201204,0.066
201301,0.073
201302,0.078
201303,0.07400000000000001
201304,0.065
201401,0.075
201402,0.085
201403,0.083
201404,0.066
201501,0.098
201502,0.09300000000000001
201503,0.09699999999999999
201504,0.10300000000000001
201601,0.133
201602,0.14
201603,0.146
201604,0.138
201701,0.158
201702,0.162
201703,0.163
201704,0.136
201801,0.158
201802,0.14300000000000002
201803,0.136
201804,0.127
201901,0.132
201902,0.11900000000000001
201903,0.12
201904,0.111
202001,0.138
202202,0.09300000000000001
202203,0.083
202204,0.079
202301,0.075
202302,0.076
202303,0.078
202304,0.066
202401,0.071
202402,0.066
202403,0.061
202404,0.051
202501,0.062
202502,0.054000000000000006
202503,0.051
202504,0.04
202601,0.048
202602,0.04
