;com_LUC_2000;sem_LUC_2000;com_LUC_2010;sem_LUC_2010;com_LUC_2019;sem_LUC_2019;GIC_code
Agricultura, silvicultura, exploração florestal, pecuária e pesca;2282,887294;8738,770226;2119,142602;4283,540955;1827,910526;4682,470341;1
Extração de petróleo e gás, inclusive as atividades de apoio;261,3969703;263,9070938;246,8571529;247,6237495;277,2546332;277,4167001;2
Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;100,7729442;109,2244583;48,07786801;49,68720874;39,35482341;39,68658756;3
Outros da indústria extrativa;467,500526;492,9909444;352,1460353;362,5416552;363,5915562;366,1716901;4
Alimentos e Bebidas;61,76457153;61,76474571;71,88662957;71,88670136;54,6091051;54,60954429;5
Fabricação de produtos do fumo;1,289748905;1,289748905;2,2306292;2,2306292;2,458666149;2,458666149;6
Fabricação de produtos têxteis;12,18284423;12,18284624;18,44856255;18,44890734;11,32145953;11,32145953;7
Confecção de artefatos do vestuário e acessórios;2,587196197;2,587202161;2,428911938;2,428911938;2,549426624;2,549426624;8
Fabricação de calçados e de artefatos de couro;6,196650641;6,196651478;3,948575544;3,950721922;3,160375818;3,160375818;9
Fabricação de produtos da madeira;19,67072395;19,67073853;8,228260662;8,232703606;7,930845625;7,930845625;10
Fabricação de celulose, papel e produtos de papel;117,0842256;117,0842357;115,4731237;115,4739927;124,3274755;124,3274755;11
Impressão e reprodução de gravações;0,483325158;0,483334718;1,3716737;1,3716737;1,920054028;1,920054028;12
Refino de petróleo e coquerias;92,07838906;92,12197248;73,03144584;73,04727345;60,1298688;60,12986946;13
Fabricação de biocombustíveis;3,777295557;3,777415174;6,733279732;6,733279732;7,89840253;7,89840253;14
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;246,7242355;246,7367351;171,5623739;171,5696887;152,8431457;152,8458453;15
Produtos farmacêuticos;4,313873282;4,313883611;5,782901748;5,782901748;5,641882926;5,641882926;16
Perfumaria higiene e limpeza;17,01702386;17,27033656;13,43980492;13,43980492;13,60173814;13,60173814;17
Fabricação de defensivos, desinfestantes, tintas e químicos diversos;56,38668506;56,38696948;50,11260591;50,11541198;36,10143435;36,10207094;18
Artigos de borracha e plástico;47,73334781;47,73335188;43,55783924;43,55783924;38,96155473;38,96155473;19
Cimento e outros produtos de minerais não-metálicos;754,1889655;754,5637979;699,8181544;699,8565049;812,4838154;812,4998963;20
Fabricação de aço e derivados;613,5273705;613,6506509;414,3341364;414,3631027;479,5497399;479,5521159;21
Metalurgia de metais não-ferrosos;500,0457633;500,0544176;544,5887725;544,5914068;461,1025852;461,1041485;22
Produtos de metal - exclusive máquinas e equipamentos;19,90823353;19,90887234;20,925063;20,92558417;20,50037861;20,50051268;23
Máquinas e equipamentos e móveis e produtos das indústrias diversas;9,615244124;9,615300162;13,09316641;13,09348959;14,4142323;14,4142323;24
Eletrodomésticos e material eletronico;10,27622936;10,2762335;10,05218234;10,05218234;7,516545603;7,516545603;25
Automóveis camionetas caminhões e ônibus;3,357959946;3,357962355;3,706256164;3,706256164;4,285960451;4,285960451;26
Peças e acessórios para veículos automotores;15,47490409;15,47491346;12,35610269;12,35610269;3,762851962;3,762851962;27
Outros equipamentos de transporte;1,359260028;1,359260028;2,976813297;2,976813297;3,071684;3,071684;28
Produção e distribuição de eletricidade gás água esgoto e limpeza urbana;617,1298265;617,1298265;591,7634404;591,7634404;616,6180272;616,6180272;29
Construção civil;0,0001;0,020383336;0,000754439;0,034263252;0,000467555;0,258691761;30
Comércio;23,5019661;23,50196616;16,54228399;16,55512895;15,30829713;15,52231834;31
Transporte armazenagem e correio;605,8557194;605,8557194;533,5117543;533,5117543;537,1449606;537,1449606;32
Serviços de alojamento e alimentação;0,003727461;0,003727461;0,002889576;0,002889576;0,000368121;0,000368121;33
Serviços de informação;0,020816333;0,020816333;0,098539685;0,098539685;0,06280543;0,06280543;34
Intermediação financeira seguros e previdência complementar e serviços relacionados;0;0;0;0;0;0;35
Atividades imobiliárias e aluguéis;0,000105429;0,000105429;0;0;0;0;36
Serviços prestados às empresas e às famílias e serviços de manutenção;0,031497388;0,031497388;0,078570046;0,078570046;0,353057245;0,450970517;37
Administração pública, defesa e seguridade social;23,85893861;24,47630279;17,8231403;18,89614781;33,49765347;34,48244949;38
Educação pública;2,53832126;2,962620186;1,250451094;1,351135874;0,638112729;0,638112729;39
Educação privada;0;0;0;0;0,000183897;0,000183897;40
Saúde pública;1,654273736;1,654273736;0,862507766;0,862507766;0,666800837;0,666800837;41
Saúde privada;0,203142554;0,203142554;0,236176892;0,236176892;0,182191807;0,182191807;42
