Aggregation_12_Sectors,Emissao_Absoluta,Demanda Total,eco
Agriculture,10733596180.055763,2292293.4687,4682.470341
Business services,3582443.000824974,9718403.0648,0.36862465746050005
Construction,156069.5042334914,603302.9565,0.258691761
Financial services,0.0,821532.1244,0.0
Govt services,31696198.507657487,1991883.1289,15.912679839384671
Manufacturing,705035127.1003431,12023513.20594,58.63802991891198
Mining,137447232.8252476,554123.88408,248.04423121636108
Other services,1726479.308128156,3828364.035,0.45097051699999996
Real estate,0.0,681221.4608,0.0
Trade services,9383612.195826467,1417571.3956,6.619498830854138
Transport services,1313477121.106237,2445293.5752,537.1449606
Utilities,633865137.536795,1027970.4932,616.6180272
