age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0489838643063646,0.0442135200175016,0.0405411459033284,0.0396389384852508,0.0365363963206798,0.0338742425684464,0.0308496153025903,0.0285056657223796,0.0246208575173189,0.0242721384904061,0.0220752715962462,0.0213607594936709,0.0201669240385322,0.0204654933494217,0.0191813290262154,0.0164693481902539,0.0180695333943275,0.0173481551836094,0.0168987893833811,0.0164659693533738,0.015657513566445,0.0169903935282717,0.016304766093123,0.0156572231759162,0.0153794047818224,0.0151066714393672,0.0148382872557548,0.0145742095375957,0.0143143949295068,0.0140587994667921,0.0138073786267641,0.0135600873786857,0.0133168802323131,0.0130777112850311,0.0128425342675673,0.0126113025882824,0.0123839693760341,0.0121604875216154,0.0119408097177721,0.011724888497807,0.0115126762727804,0.0113041253673205,0.0110991880540572,0.0108978165866986,0.0106999632317668,0.0105055802990157,0.0103146201705515,0.0101270353286806,0.0099427783825091,0.0097618020933195,0.0095840593987501,0.009409503435806,0.0092380875627272,0.0090697653797427,0.0089044907487384,0.0087422178118663,0.0085829010091245,0.0084264950949341,0.0082729551537438,0.0081222366146867,0.0079742952653201,0.0078290872644735,0.0076865691542322,0.0075466978710853,0.007409430756261,0.0072747255652788,0.0071425404767427,0.0070128341004006,0.0068855654844964,0.0067606941224392,0.0066381799588126
1,0.001981510690816,0.0017593708172042,0.001558724109483,0.0013811463329174,0.001261425164581,0.0011631546609268,0.0010234324623311,0.0009401549036341,0.0008784113362599,0.0008341305086929,0.0007767107593857,0.0006919576451403,0.0006352755255053,0.000612554627073,0.0005922126369783,0.0005920635071,0.0005725737188663,0.0005533035832421,0.0005662747109941,0.0005656286333783,0.0004357404544845,0.0004571581075137,0.0006253498681217,0.0006032071820823,0.0005918717975099,0.0005807438902577,0.0005697934348556,0.0005590186893529,0.0005484178847884,0.0005379892273401,0.0005277309004193,0.000517641066708,0.0005077178701396,0.0004979594378225,0.0004883638819046,0.000478929301381,0.0004696537838426,0.0004605354071669,0.0004515722411508,0.0004427623490858,0.0004341037892755,0.0004255946164973,0.0004172328834067,0.0004090166418873,0.0004009439443454,0.0003930128449514,0.0003852214008276,0.0003775676731848,0.0003700497284072,0.0003626656390882,0.0003554134850167,0.0003482913541159,0.0003412973433359,0.0003344295595003,0.0003276861201085,0.0003210651540953,0.000314564802548,0.0003081832193827,0.0003019185719814,0.0002957690417893,0.000289732824876,0.0002838081324598,0.0002779931913959,0.0002722862446321,0.0002666855516299,0.0002611893887546,0.000255796049634,0.000250503845487,0.000245311105424,0.0002402161767184,0.0002352174250526
5,0.0004891213903782,0.0004872401264788,0.0004791741841986,0.0004839561213116,0.0004546665116778,0.0004288602226228,0.0003849407594075,0.0003899926082796,0.0004012841091492,0.0004250193689638,0.0004050637775319,0.0003750176045382,0.0003351099747159,0.0003179764389716,0.0002875526308451,0.0002866564111329,0.0002755530095102,0.0002776817436206,0.0002787427765399,0.0002794974369894,0.000216354070137,0.0002446353584774,0.0002873658069639,0.0002974067299449,0.0002921516088139,0.0002869926748428,0.0002819160081263,0.0002769208010902,0.0002720062336384,0.0002671714741493,0.0002624156804463,0.0002577380007428,0.0002531375745605,0.0002486135336206,0.0002441650027087,0.0002397911005129,0.0002354909404339,0.0002312636313697,0.0002271082784718,0.0002230239838758,0.0002190098474049,0.0002150649672477,0.0002111884406088,0.0002073793643353,0.0002036368355163,0.0001999599520588,0.0001963478132386,0.0001927995202266,0.0001893141765922,0.0001858908887835,0.0001825287665843,0.0001792269235498,0.0001759844774196,0.0001728005505112,0.000169674270091,0.0001666047687272,0.0001635911846219,0.0001606326619245,0.0001577283510273,0.0001548774088425,0.0001520789990621,0.0001493322924009,0.0001466364668235,0.0001439907077546,0.0001413942082749,0.0001388461693018,0.0001363457997556,0.0001338923167119,0.0001314849455407,0.0001291229200328,0.0001268054825132
10,0.0006079102603423,0.0005803756946547,0.0005692116849384,0.0005370240113942,0.0004910729427656,0.0004587496474011,0.0004549258023474,0.0004926890338502,0.0005093937313015,0.000556058704127,0.0005434741471316,0.0005633140575099,0.0005378255158024,0.00054962138938,0.0005152272039963,0.0005008221967007,0.0004731503818523,0.0004510377271783,0.0004351919439209,0.000430522643903,0.0003581539414031,0.0003494597096739,0.0003688511676271,0.0003749905781261,0.0003676201753883,0.0003603846768876,0.0003532645597041,0.0003462586912005,0.000339365921177,0.0003325850832692,0.0003259149963092,0.000319354465651,0.0003129022844578,0.0003065572349531,0.0003003180896329,0.0002941836124409,0.000288152559906,0.000282223682241,0.0002763957244049,0.0002706674271265,0.0002650375278916,0.0002595047618932,0.0002540678629446,0.0002487255643572,0.0002434765997822,0.0002383197040179,0.0002332536137821,0.0002282770684508,0.0002233888107637,0.0002185875874982,0.0002138721501098,0.0002092412553436,0.0002046936658135,0.0002002281505536,0.0001958434855395,0.0001915384541823,0.0001873118477946,0.0001831624660305,0.0001790891173,0.0001750906191569,0.0001711657986641,0.0001673134927342,0.0001635325484475,0.0001598218233473,0.0001561801857149,0.0001526065148222,0.0001490997011657,0.0001456586466797,0.0001422822649316,0.000138969481299,0.000135719233129
15,0.0015821444080794,0.0016212525174005,0.0016586648084598,0.0016845075891715,0.0016402558463804,0.0017065090722718,0.001799879226345,0.0020195678334118,0.0023405065384014,0.0026272572965752,0.0027558581273126,0.0028608396967882,0.0028913434081418,0.0029930728621298,0.0028772593362455,0.0030191768704388,0.0031247629163189,0.0031481854741954,0.0029695957580916,0.0026455157599041,0.0027304121510065,0.0026922008484719,0.0025386357942391,0.0024401999285969,0.0023856034707182,0.0023320063196295,0.0022792638587723,0.0022273676981052,0.0021763093174927,0.0021260800770581,0.002076671227269,0.002028073918752,0.0019802792118319,0.001933278085795,0.0018870614478726,0.0018416201419452,0.0017969449569653,0.0017530266351018,0.0017098558796033,0.001667423362385,0.0016257197313393,0.0015847356173728,0.0015444616411739,0.0015048884197122,0.0014660065724756,0.0014278067274477,0.0013902795268308,0.0013534156325185,0.0013172057313228,0.0012816405399609,0.0012467108098077,0.0012124073314169,0.0011787209388193,0.0011456425136008,0.0011131629887677,0.0010812733524041,0.0010499646511259,0.0010192279933394,0.000989054552307,0.0009594355690283,0.0009303623549398,0.0009018262944398,0.0008738188472436,0.0008463315505738,0.0008193560211922,0.0007928839572762,0.0007669071401471,0.0007414174358543,0.0007164067966194,0.0006918672621475,0.0006677909608075
20,0.0026675399592873,0.002707544875878,0.0027015396733937,0.0027162073750278,0.0026679799580317,0.0027094780366771,0.0028845450096653,0.0032172547061061,0.0036195149347482,0.0038471371883372,0.0038379650380995,0.0038523356788139,0.0037708008853184,0.0038457058226415,0.0038302986357288,0.0041896027042747,0.004396588882597,0.0044685447998305,0.004321912913285,0.0040683965262674,0.004264511443416,0.0044534048505086,0.004341290650267,0.0039973026048682,0.0039071221461236,0.0038185923062698,0.0037314742128948,0.0036457540076309,0.0035614176172258,0.0034784507706431,0.0033968390157209,0.0033165677353833,0.0032376221633977,0.0031599873996748,0.0030836484251075,0.0030085901159476,0.0029347972577198,0.0028622545586725,0.0027909466627673,0.0027208581622104,0.002651973609528,0.0025842775291899,0.0025177544287874,0.0024523888097696,0.0023881651777452,0.0023250680523558,0.0022630819767289,0.0022021915265173,0.002142381318533,0.0020836360189849,0.0020259403513274,0.0019692791037299,0.0019136371361748,0.0018589993871952,0.001805350880258,0.0017526767298056,0.0017009621469615,0.0016501924449118,0.0016003530439704,0.0015514294763361,0.0015034073905535,0.0014562725556825,0.001410010865189,0.0013646083405631,0.001320051134674,0.001276325534871,0.0012334179658375,0.0011913149922068,0.0011500033209496,0.0011094698035375,0.001069701437895
25,0.0029826005353681,0.0029997262749774,0.0031553892738601,0.0031350001758272,0.0030768396654784,0.0029875724829538,0.0031290371157062,0.0033253957918627,0.0035372164721427,0.0036012052641415,0.0035481783226101,0.0035697744733428,0.003523508014575,0.0035765037246617,0.0035217709476765,0.0036077435478832,0.0036066461640359,0.0036005219169869,0.0035305370858649,0.0033729187845214,0.0039532196315512,0.0039522336080749,0.0037424379464793,0.0039755368237933,0.003885680400266,0.0037974686646478,0.0037106636028399,0.0036252514062702,0.0035412180522543,0.0034585493210342,0.0033772308123774,0.0032972479617299,0.003218586055917,0.003141230248388,0.0030651655740023,0.0029903769633542,0.0029168492566369,0.0028445672170448,0.0027735155437167,0.002703678884222,0.0026350418465922,0.0025675890109039,0.0025013049404154,0.0024361741922649,0.0023721813277355,0.0023093109220925,0.0022475475740029,0.002186875914542,0.0021272806157965,0.0020687463990724,0.0020112580427157,0.0019548003895546,0.0018993583539727,0.0018449169286213,0.0017914611907813,0.0017389763083812,0.001687447545684,0.0016368602686482,0.0015871999499751,0.0015384521738493,0.0014906026403825,0.0014436371697692,0.0013975417061628,0.0013523023212807,0.0013079052177474,0.0012643367321844,0.0012215833380536,0.0011796316482643,0.0011384684175512,0.0010980805446314,0.001058455074148
30,0.003639104780224,0.0036426672037815,0.0036159635274041,0.0035396092687791,0.0033691729877016,0.0032970378738712,0.0032373138495723,0.0033439366755017,0.0034146680671807,0.0035677520341827,0.0036423671982707,0.0036982554493421,0.0035499160339495,0.0035028932073636,0.003420914036408,0.003467386489303,0.0033814772155904,0.0032970559440673,0.003260491850433,0.0032235891680581,0.0035353588468104,0.0037940632799407,0.0035073995111676,0.0032192199353175,0.0031476348080773,0.0030773599398995,0.0030082057141838,0.0029401611301764,0.0028732150165486,0.0028073560449706,0.002742572743336,0.0026788535086293,0.0026161866194351,0.0025545602480822,0.0024939624724237,0.0024343812872485,0.0023758046153265,0.0023182203180858,0.0022616162059238,0.0022059800481543,0.0021512995825933,0.0020975625247858,0.0020447565768785,0.0019928694361425,0.0019418888031506,0.0018918023896152,0.0018425979258917,0.0017942631681538,0.0017467859052476,0.0017001539652303,0.0016543552216004,0.0016093775992272,0.0015652090799851,0.0015218377081017,0.0014792515952253,0.0014374389252201,0.0013963879586958,0.0013560870372793,0.0013165245876351,0.0012776891252423,0.0012395692579346,0.001202153689211,0.0011654312213236,0.0011293907581498,0.0010940213078561,0.0010593119853585,0.0010252520145888,0.0009918307305712,0.0009590375813166,0.0009268621295411,0.0008952940542143
35,0.0044011029269985,0.0043408910996372,0.0042564561285301,0.0041480557993716,0.0040191396231886,0.0039968348116914,0.0039351323564928,0.0039457815531435,0.0039486354960191,0.0040140724685701,0.0040415692452085,0.0040099046865634,0.0039048563710711,0.003805544084832,0.0037669389058721,0.0037693927422024,0.0036948905284052,0.0035237636738078,0.0034339027352413,0.0033827346013393,0.0038608263252191,0.0042516781633544,0.0035130220042008,0.0035164451562893,0.0034393752238668,0.003363715941691,0.0032892631648627,0.0032160050497578,0.0031439295691076,0.0030730245266134,0.0030032775711832,0.0029346762107865,0.0028672078259204,0.0028008596826857,0.0027356189454683,0.0026714726892258,0.0026084079113788,0.0025464115433057,0.0024854704614449,0.0024255714980031,0.0023667014512758,0.0023088470955811,0.0022519951908123,0.0021961324916136,0.0021412457561839,0.0020873217547149,0.0020343472774701,0.0019823091425093,0.0019311942030679,0.001880989354597,0.0018316815414706,0.0017832577633694,0.001735705081347,0.0016890106235876,0.0016431615908617,0.0015981452616892,0.0015539489972153,0.0015105602458102,0.0014679665473969,0.0014261555375182,0.0013851149511475,0.0013448326262534,0.0013052965071239,0.0012664946474589,0.0012284152132377,0.0011910464853686,0.0011543768621279,0.0011183948613967,0.0010830891226992,0.0010484484090537,0.0010144616086394
40,0.0059707176228529,0.0059349474550117,0.0057766349892124,0.0055950903540328,0.0053224500637212,0.0051645546881432,0.0050601055512118,0.0051603798039535,0.0052433322606901,0.0051391762821636,0.0050454110124596,0.0049984901585791,0.0050090817811572,0.0048730130539028,0.0046536466280134,0.0045419635618893,0.0044391124270197,0.0043414405835929,0.0042240376578412,0.0040234843937575,0.0046518439236757,0.0053930432372991,0.0044999742564401,0.0041877351685085,0.0040984500851484,0.0040107992321673,0.0039245461088473,0.0038396769944164,0.0037561779553516,0.0036740348623092,0.0035932334066189,0.0035137591163333,0.0034355973718295,0.0033587334209566,0.003283152393728,0.0032088393165548,0.0031357791260217,0.0030639566822044,0.0029933567815302,0.0029239641691848,0.0028557635510676,0.0027887396053007,0.0027228769932948,0.0026581603703798,0.0025945743960034,0.0025321037435073,0.0024707331094858,0.0024104472227354,0.0023512308528034,0.0022930688181434,0.0022359459938861,0.0021798473192347,0.0021247578044925,0.0020706625377334,0.002017546691122,0.0019653955268949,0.0019141944030101,0.001863928778475,0.0018145842183605,0.0017661463985124,0.0017186011099663,0.0016719342630773,0.0016261318913707,0.0015811801551253,0.0015370653446943,0.001493773883576,0.0014512923312389,0.0014096073857125,0.0013687058859498,0.0013285748139704,0.0012892012967926
