age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0408678888316789,0.0373901109091583,0.0395168182455961,0.0385215691932374,0.0327521459227468,0.0271047787851933,0.0249589891677174,0.0226386827393916,0.0210947291341022,0.0199922499533562,0.0175713929509086,0.0165414202498999,0.015707590255005,0.0162186788154897,0.0147009739964196,0.0135779222689694,0.0137182940184094,0.0145779700519445,0.0142009357669253,0.0128546957622701,0.0125481426264132,0.0127495440827591,0.0119627301983117,0.0125591171833946,0.0123636872887035,0.012171588584647,0.0119823491661528,0.0117959385822135,0.0116123262955797,0.0114314817005055,0.0112533741398716,0.0110779729216987,0.0109052473350608,0.0107351666654116,0.0105677002093335,0.0104028172887232,0.010240487264425,0.0100806795493229,0.0099233636209057,0.0097685090333166,0.0096160854288977,0.0094660625492458,0.0093184102457873,0.0091730984898878,0.0090300973825063,0.0088893771634075,0.0087509082199432,0.0086146610954151,0.0084806064970296,0.0083487153034582,0.0082189585720116,0.0080913075454416,0.0079657336583799,0.0078422085434248,0.0077207040368863,0.0076011921841998,0.0074836452450193,0.007368035697998,0.0072543362452676,0.0071425198166252,0.0070325595734367,0.0069244289122657,0.0068181014682377,0.0067135511181462,0.0066107519833114,0.0065096784321977,0.0064103050827999,0.0063126068048044,0.0062165587215338,0.0061221362116827,0.0060293149108515
1,0.0016870716419659,0.0014315564842395,0.0013154679113326,0.0012198812854769,0.0010791047239396,0.0009860548337909,0.000909966812975,0.0008591707134852,0.0007780306186031,0.000721038295145,0.0006915165734648,0.0006518834389192,0.0006374420257467,0.000561555396882,0.0005313616424727,0.0005353786569969,0.0005416543563403,0.0005778207471637,0.0005557025668166,0.0005947563569291,0.0004336595207119,0.0004535769689623,0.0005062273695112,0.0004459930313588,0.0004387125978588,0.0004315562626291,0.0004245064455881,0.0004175620123313,0.0004107218252416,0.0004039847441499,0.0003973496269735,0.000390815330331,0.0003843807101351,0.0003780446221637,0.0003718059226091,0.000365663468607,0.0003596161187436,0.0003536627335442,0.0003478021759404,0.0003420333117199,0.0003363550099557,0.0003307661434186,0.000325265588971,0.0003198522279431,0.0003145249464934,0.0003092826359509,0.0003041241931431,0.0002990485207069,0.0002940545273854,0.0002891411283092,0.000284307245264,0.0002795518069437,0.0002748737491904,0.0002702720152211,0.0002657455558419,0.0002612933296494,0.0002569143032206,0.000252607451291,0.0002483717569215,0.0002442062116541,0.0002401098156577,0.0002360815778633,0.0002321205160887,0.000228225657155,0.0002243960369928,0.0002206307007393,0.000216928702828,0.0002132891070684,0.0002097109867191,0.0002061934245521,0.0002027355129099
5,0.0005719741873584,0.0005608783863321,0.0005672530596935,0.000540175557056,0.0004999225472109,0.0004438758192119,0.0004247996080258,0.0004143094595727,0.0003894543845229,0.0003741367573775,0.0003415282321111,0.0003398724798455,0.0003234680195186,0.0003251567619992,0.0003237845299159,0.0002995892170927,0.0002901804688026,0.0002736067616557,0.0003016427463968,0.0003229000076155,0.0002191027135262,0.0002096194040733,0.0002771736812929,0.0002730499681441,0.0002685824955762,0.0002641911730917,0.000259865213073,0.0002556039194186,0.0002514065940556,0.0002472725373453,0.0002432010484744,0.000239191425833,0.0002352429673778,0.000231354970983,0.0002275267347771,0.0002237575574672,0.0002200467386508,0.0002163935791151,0.0002127973811239,0.0002092574486936,0.0002057730878566,0.0002023436069142,0.0001989683166786,0.0001956465307037,0.0001923775655056,0.0001891607407738,0.0001859953795714,0.0001828808085266,0.0001798163580144,0.0001768013623293,0.0001738351598496,0.0001709170931927,0.0001680465093622,0.0001652227598873,0.0001624452009539,0.0001597131935287,0.0001570261034749,0.0001543833016624,0.0001517841640695,0.0001492280718791,0.0001467144115674,0.0001442425749873,0.0001418119594453,0.0001394219677721,0.0001370720083884,0.0001347614953645,0.0001324898484749,0.0001302564932476,0.0001280608610088,0.0001259023889223,0.0001237805200248
10,0.0005975271212212,0.0005879372928857,0.0005854175281441,0.0005687793530773,0.0005289912739641,0.0004918325634916,0.0004739699865476,0.0004967848921417,0.0004834750118521,0.0004852645283465,0.0004574039571429,0.0004895465970422,0.0005125742423978,0.0005534909464695,0.0005159945205048,0.000470447812552,0.0004297331548709,0.0004449549066011,0.0004395183329858,0.0003822161118352,0.0004712303738331,0.0003762824470117,0.0003785733448594,0.0003233673725343,0.0003174946929761,0.0003117221158877,0.0003060354604947,0.0003004338117425,0.0002949162519851,0.0002894818615179,0.0002841297190929,0.0002788589024142,0.0002736684886168,0.0002685575547268,0.0002635251781048,0.0002585704368719,0.0002536924103198,0.0002488901793038,0.0002441628266209,0.0002395094373712,0.0002349290993053,0.0002304209031566,0.0002259839429586,0.0002216173163491,0.0002173201248603,0.0002130914741954,0.0002089304744926,0.0002048362405764,0.0002008078921968,0.000196844554256,0.0001929453570246,0.0001891094363457,0.0001853359338283,0.0001816239970303,0.0001779727796313,0.000174381441595,0.0001708491493224,0.0001673750757954,0.0001639584007116,0.0001605983106097,0.0001572939989873,0.0001540446664097,0.0001508495206107,0.0001477077765865,0.0001446186566814,0.0001415813906662,0.0001385952158102,0.000135659376946,0.0001327731265281,0.0001299357246847,0.0001271464392644
15,0.0016643324917153,0.0016842586224076,0.00166079420092,0.001684236642405,0.0017347249154024,0.0017585536667386,0.0018104636732718,0.0018055937817343,0.0018046988571821,0.0019029788847548,0.0020629165846637,0.0024962378130103,0.0029056788472787,0.0033633229630875,0.003403642988132,0.0031802578998047,0.003175844650134,0.0031239029453215,0.0028300042997302,0.001794335027983,0.0026194831579264,0.0022127768403437,0.0020075161857757,0.0016931459051323,0.0016578512470325,0.0016231582022871,0.0015889815447941,0.0015553157750984,0.0015221553781698,0.0014894948266076,0.0014573285837331,0.0014256511065718,0.0013944568487276,0.0013637402631502,0.0013334958047995,0.001303717933207,0.0012744011149382,0.001245539825957,0.0012171285538949,0.0011891618002271,0.0011616340823577,0.001134539935616,0.0011078739151668,0.0010816305978357,0.0010558045838531,0.0010303904985174,0.0010053829937815,0.0009807767497629,0.0009565664761801,0.0009327469137184,0.0009093128353252,0.0008862590474387,0.0008635803911507,0.0008412717433055,0.0008193280175381,0.0007977441652512,0.0007765151765358,0.0007556360810338,0.0007351019487476,0.000714907890796,0.0006950490601189,0.0006755206521332,0.0006563179053398,0.0006374361018853,0.0006188705680774,0.0006006166748584,0.0005826698382357,0.000565025519672,0.0005476792264371,0.0005306265119207,0.0005138629759101
20,0.0029979760745177,0.0030067234069033,0.0029589300508936,0.0029377140123314,0.0028617011194069,0.0028017943902022,0.0027830567707868,0.0028016648451638,0.0028451677270243,0.0030249136987875,0.0031887962294233,0.0035937123826338,0.0038741565350308,0.0041724617524339,0.0041075504519813,0.0038299925611693,0.0039961447772048,0.0040681426528333,0.0037941399356115,0.0025759284981595,0.0039883852450357,0.0032411442648448,0.0030770376398562,0.0029976394610238,0.0029340676967767,0.0028715795419029,0.0028100214894986,0.0027493836340974,0.0026896560421791,0.002630828757942,0.0025728918088732,0.00251583521112,0.0024596489746666,0.0024043231083194,0.002349847624505,0.0022962125438846,0.0022434078997885,0.0021914237424752,0.0021402501432188,0.0020898771982282,0.0020402950324029,0.0019914938029289,0.0019434637027191,0.0018961949637016,0.0018496778599602,0.0018039027107309,0.0017588598832589,0.0017145397955183,0.0016709329188003,0.0016280297801723,0.0015858209648116,0.0015442971182177,0.0015034489483075,0.0014632672273946,0.0014237427940584,0.0013848665549051,0.0013466294862245,0.0013090226355451,0.001272037123091,0.0012356641431442,0.001199894965314,0.0011647209357179,0.0011301334780752,0.0010961240947182,0.0010626843675217,0.0010298059587543,0.0009974806118552,0.0009657001521364,0.000934456487416,0.0009037416085826,0.0008735475900939
25,0.0033250981162371,0.003355058434779,0.0034622404557351,0.0034846338886266,0.0033966226975416,0.0032202227572477,0.003150289949871,0.0030717445222937,0.0030078421734662,0.0030846626304207,0.003173936003966,0.0034074184672482,0.0035589825279095,0.0038076078427242,0.0038353355590021,0.0036195000565546,0.0036328478998503,0.003553405280777,0.0032863391238012,0.0023871190424122,0.0035720664404357,0.0035665956844192,0.0031835589667617,0.0031495066036765,0.0030823361002204,0.0030163105482693,0.0029512677510347,0.0028871972423107,0.0028240885262496,0.002761931083461,0.0027007143768972,0.0026404278575287,0.0025810609698141,0.0025226031569675,0.0024650438660282,0.002408372552736,0.0023525786862174,0.0022976517534852,0.0022435812637572,0.0021903567525979,0.0021379677858865,0.0020864039636162,0.0020356549235299,0.0019857103445939,0.0019365599503169,0.0018881935119158,0.0018406008513342,0.0017937718441168,0.0017476964221432,0.0017023645762267,0.0016577663585801,0.0016138918851536,0.0015707313378473,0.0015282749666043,0.0014865130913841,0.0014454361040246,0.0014050344699913,0.0013652987300216,0.0013262195016638,0.0012877874807161,0.0012499934425686,0.0012128282434502,0.001176282821585,0.0011403481982601,0.0011050154788079,0.0010702758535058,0.0010361205983965,0.0010025410760306,0.0009695287361351,0.0009370751162101,0.0009051718420558
30,0.0040286764459938,0.0040765627130888,0.0040463652100238,0.0040581658391332,0.0038495875441916,0.0036289016852746,0.0034875722833056,0.0034279339429691,0.0033816600098124,0.0034110598901555,0.0035161438484551,0.0037343871798125,0.0038970770447116,0.0039623289946023,0.0038239779575592,0.0035248118286321,0.0034958094397882,0.0034139861363189,0.0032759319672733,0.0027775062717883,0.003572901293515,0.0037328211555468,0.0030646893544082,0.0030175636288776,0.0029537789341592,0.00289108147831,0.0028293172402623,0.0027684762813721,0.0027085486348471,0.0026495243115392,0.0025913933055332,0.0025341455995358,0.0024777711700702,0.0024222599924778,0.0023676020457323,0.0023137873170696,0.0022608058064371,0.0022086475307673,0.0021573025280784,0.002106760861407,0.0020570126225764,0.0020080479358048,0.0019598569611567,0.0019124298978423,0.0018657569873691,0.0018198285165479,0.0017746348203593,0.0017301662846831,0.0016864133488945,0.0016433665083316,0.0016010163166373,0.0015593533879788,0.0015183683991496,0.0014780520915554,0.0014383952730901,0.001399388819902,0.0013610236780564,0.0013232908650959,0.0012861814715023,0.0012496866620632,0.001213797677146,0.0011785058338824,0.0011438025272658,0.0011096792311661,0.0010761274992619,0.0010431389658951,0.0010107053468498,0.0009788184400575,0.0009474701262319,0.0009166523694352,0.0008863572175792
35,0.0048542480894177,0.0047643787177659,0.004822049055682,0.0047647063377174,0.0046695374825035,0.0044440062792443,0.004251620695234,0.004072089406974,0.0040078237443259,0.0040190961774821,0.0040939964312438,0.0042436469172506,0.004317654525214,0.0043163666746724,0.0042621484385277,0.0039952223400314,0.0038977092029417,0.00379036925044,0.0036300331863328,0.0031392743882924,0.0039785558700872,0.0043356726369312,0.0034166395949321,0.0033803444387208,0.0033098493674606,0.0032405559164619,0.0031722938610939,0.0031050522171313,0.0030388199692403,0.0029735860773789,0.0029093394829737,0.0028460691148769,0.0027837638951062,0.0027224127443734,0.0026620045874045,0.002602528358057,0.0025439730042374,0.0024863274926238,0.0024295808131987,0.0023737219835948,0.00231874005326,0.0022646241074451,0.0022113632710183,0.0021589467121123,0.0021073636456061,0.0020566033364487,0.0020066551028263,0.001957508319179,0.0019091524190703,0.0018615768979142,0.0018147713155632,0.0017687252987616,0.0017234285434682,0.0016788708170521,0.0016350419603646,0.0015919318896925,0.0015495305985951,0.0015078281596284,0.0014668147259613,0.0014264805328858,0.0013868158992246,0.0013478112286408,0.0013094570108507,0.001271743822745,0.0012346623294191,0.0011982032851181,0.0011623575340971,0.0011271160114008,0.0010924697435652,0.0010584098492433,0.0010249275397588
40,0.0056743321767704,0.0057079347837019,0.0056616277059603,0.005811761460297,0.0057051836424928,0.0054939443200871,0.0050883117634658,0.0048454746583293,0.0048681428730388,0.0050023755394045,0.0049882594829499,0.0048712407359439,0.004898428516673,0.0049165029096896,0.0048898838652582,0.004659453142912,0.0046259452663098,0.0045421401767771,0.0043750628351932,0.0039856194541317,0.005411672490937,0.005659496489016,0.0043141226350524,0.0040273374454568,0.0039457306523691,0.0038655148838496,0.0037864930837638,0.0037086525365081,0.0036319804904665,0.0035564641654203,0.0034820907596987,0.0034088474570741,0.0033367214334073,0.0032656998630472,0.00319576992499,0.0031269188088023,0.0030591337203144,0.0029924018870872,0.0029267105636588,0.0028620470365765,0.0027983986292172,0.0027357527064043,0.0026740966788232,0.0026134180072431,0.0025537042065483,0.002494942849585,0.0024371215708282,0.0023802280698737,0.0023242501147601,0.0022691755451254,0.0022149922752033,0.0021616882966632,0.0021092516812986,0.0020576705835695,0.0020069332430005,0.0019570279864423,0.0019079432301978,0.001859667482019,0.0018121893429768,0.0017654975092098,0.0017195807735542,0.0016744280270588,0.0016300282603903,0.0015863705651301,0.001543444134968,0.0015012382667951,0.0014597423617007,0.0014189459258739,0.0013788385714166,0.0013394100170677,0.0013006500888437
