age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0216094880729027,0.0186979432262451,0.0186181216383947,0.016428322288106,0.0158065197493487,0.0166081124241456,0.0159742067853741,0.015197454613513,0.015867707172055,0.0130288336973017,0.0132974749738533,0.0150201983106867,0.011619040702952,0.0116036786894669,0.0131615990990991,0.0120119092433524,0.012330974567365,0.0115984440241248,0.011334881625013,0.0111749457016745,0.0108680005757881,0.0131812140008861,0.0113169112376929,0.0124193122192443,0.0122248441303587,0.0120339891208959,0.0118460623148286,0.0116610297203818,0.0114788573448592,0.0112995112127856,0.0111229573832669,0.0109491619665871,0.0107780911400619,0.0106097111631699,0.0104439883919796,0.0102808892928935,0.0101203804557282,0.0099624286061501,0.0098070006174884,0.0096540635219409,0.0095035845211961,0.0093555309964884,0.0092098705181046,0.0090665708543621,0.0089255999800752,0.008786926084528,0.0086505175789715,0.0085163431036609,0.0083843715344512,0.0082545719889653,0.0081269138323527,0.0080013666826513,0.00787790041577,0.007756485170104,0.0076370913507987,0.0075196896336744,0.0074042509688261,0.0072907465839092,0.0071791479871257,0.0070694269699213,0.0069615556094047,0.0068555062705018,0.0067512516078528,0.006648764567466,0.0065480183881349,0.0064489866026309,0.0063516430386798,0.0062559618197313,0.0061619173655301,0.0060694843924982,0.0059786379139348
1,0.0007881528186833,0.0007135330672795,0.0006664334149714,0.0006383657835939,0.0006200786565528,0.0006270615722924,0.0006852107239815,0.000686088241503,0.000617057618873,0.0005889388228472,0.0005961935335932,0.0006380912747953,0.0006177392587128,0.0005961169856656,0.0005824588865934,0.0005918114811427,0.0005732225690953,0.0005778575493586,0.0005256195740729,0.000489292360923,0.0004304475776342,0.0004682682028219,0.0007127647252737,0.000610161465116,0.0005990613329005,0.0005881674332836,0.0005774406739158,0.0005668791145654,0.0005564808149477,0.0005462438357612,0.0005361662396783,0.0005262460922924,0.0005164814630233,0.0005068704259804,0.0004974110607865,0.0004881014533622,0.0004789396966724,0.0004699238914365,0.0004610521468021,0.0004523225809851,0.0004437333218759,0.000435282507613,0.0004269682871262,0.0004187888206488,0.0004107422802005,0.0004028268500431,0.0003950407271082,0.0003873821213985,0.0003798492563649,0.0003724403692582,0.0003651537114579,0.0003579875487782,0.0003509401617525,0.0003440098458966,0.0003371949119524,0.0003304936861119,0.0003239045102222,0.0003174257419737,0.0003110557550702,0.0003047929393827,0.0002986357010879,0.0002925824627909,0.0002866316636335,0.0002807817593886,0.0002750312225412,0.0002693785423564,0.0002638222249349,0.0002583607932576,0.0002529927872174,0.0002477167636415,0.0002425312963026
5,0.0004085317238061,0.0004087849197924,0.0003888357992552,0.0003552117456683,0.0003278731524347,0.0003206995176417,0.00036031786587,0.0003354579000335,0.0003444507004934,0.0003343408136518,0.000337776216501,0.0003016177680285,0.0002788097611297,0.0002827594494673,0.0002576913716339,0.0002756519531391,0.0002693141950417,0.0002974722117421,0.0002529742544487,0.0001578282828282,0.0002260557509995,0.0002946148612153,0.0002662182990051,0.0002716861258951,0.0002671989366626,0.0002627951162294,0.0002584588616514,0.0002541893885969,0.0002499859127125,0.0002458476500425,0.000241773817429,0.0002377636328951,0.0002338163160104,0.0002299310882406,0.0002261071732798,0.0002223437973684,0.0002186401895941,0.0002149955821793,0.0002114092107538,0.0002078803146128,0.0002044081369628,0.0002009919251529,0.0001976309308944,0.000194324410468,0.0001910716249194,0.0001878718402426,0.0001847243275537,0.0001816283632525,0.0001785832291755,0.0001755882127374,0.0001726426070646,0.0001697457111186,0.0001668968298111,0.0001640952741104,0.0001613403611399,0.0001586314142686,0.000155967763194,0.0001533487440184,0.0001507736993171,0.0001482419782013,0.0001457529363735,0.0001433059361773,0.0001409003466415,0.0001385355435176,0.000136210909313,0.0001339258333186,0.0001316797116309,0.0001294719471699,0.0001273019496928,0.0001251691358018,0.0001230729289498
10,0.0005581372014122,0.0005018071409061,0.0004747820173102,0.0004650531904586,0.0004603782883005,0.0004870319622842,0.0005193557392055,0.0005381363624575,0.0005302569806391,0.0004767979794074,0.0004758444631638,0.0004828274374738,0.0005044299295091,0.0005019327670836,0.0005072564016416,0.0004729392173189,0.0004666418692726,0.0004473780206619,0.0004403408098077,0.0003969041476483,0.0003811249658425,0.0003683454068772,0.0003746316722261,0.000416382497577,0.0004083257813731,0.0004004187532526,0.0003926330391425,0.0003849672307804,0.0003774199198658,0.0003699896988116,0.0003626751614636,0.0003554749037876,0.0003483875245266,0.0003414116258276,0.0003345458138393,0.0003277886992813,0.0003211388979865,0.0003145950314157,0.0003081557271475,0.0003018196193421,0.0002955853491818,0.0002894515652875,0.0002834169241122,0.0002774800903133,0.0002716397371034,0.0002658945465802,0.0002602432100377,0.0002546844282571,0.0002492169117807,0.0002438393811669,0.0002385505672292,0.0002333492112578,0.0002282340652268,0.0002232038919846,0.0002182574654312,0.0002133935706804,0.0002086110042091,0.0002039085739933,0.000199285099632,0.0001947394124589,0.0001902703556425,0.0001858767842753,0.0001815575654527,0.0001773115783413,0.0001731377142377,0.0001690348766176,0.0001650019811769,0.0001610379558628,0.0001571417408982,0.000153312288797,0.0001495485643725
15,0.0023490721165139,0.0024245851733307,0.0025154425248528,0.0025931436553001,0.0024607869608974,0.0024662061425305,0.0025071318160682,0.0027195273474148,0.0028949650563689,0.0029823809127621,0.0030003019575846,0.0030523733168479,0.0031667975438009,0.0033013263110568,0.0032017212453415,0.0029487015479084,0.0027115906075116,0.0024696452867174,0.0023630351005103,0.0021785345241777,0.0021949662108231,0.00198447519406,0.0018905930962415,0.0020745873527008,0.0020302088861901,0.0019866549401707,0.0019437692229443,0.0019015439774396,0.0018599714463749,0.0018190438763985,0.0017787535220503,0.0017390926495492,0.0017000535404111,0.0016616284949017,0.001623809835329,0.0015865899091797,0.0015499610921043,0.0015139157907546,0.0014784464454797,0.0014435455328833,0.0014092055682476,0.0013754191078279,0.0013421787510222,0.0013094771424199,0.0012773069737338,0.0012456609856197,0.0012145319693873,0.001183912768606,0.00115379628061,0.0011241754579062,0.0010950433094879,0.0010663929020588,0.0010382173611699,0.0010105098722726,0.0009832636816921,0.0009564720975224,0.0009301284904486,0.000904226294496,0.000878759007712,0.0008537201927813,0.0008291034775785,0.0008049025556589,0.0007811111866921,0.0007577231968392,0.0007347324790759,0.0007121329934654,0.0006899187673804,0.0006680838956792,0.0006466225408359,0.0006255289330276,0.0006047973701803
20,0.0033538289547233,0.003487119333431,0.0035698293447435,0.00356643399349,0.0035035246302002,0.0035008138644197,0.0036087301445281,0.0037117486990977,0.003867045577179,0.0038720060016093,0.0038191881918819,0.0036986653460132,0.003590379055063,0.003500448775484,0.0031976275666441,0.0030082484230955,0.002937952772247,0.0028934244491114,0.0028684864170648,0.0027306022965733,0.0031292490452862,0.0024147986149079,0.0029458358973016,0.002631144018775,0.0025751924717026,0.0025202804647653,0.0024662109482905,0.0024129741423063,0.0023605602665761,0.002308959545818,0.0022581622146994,0.0022081585226127,0.0021589387382363,0.0021104931538882,0.0020628120896768,0.0020158858974554,0.0019697049645854,0.0019242597175144,0.0018795406251749,0.0018355382022083,0.0017922430120215,0.0017496456696792,0.0017077368446396,0.0016665072633377,0.0016259477116205,0.0015860490370417,0.0015468021510181,0.0015081980308549,0.0014702277216429,0.0014328823380334,0.0013961530658952,0.0013600311638568,0.0013245079647405,0.0012895748768898,0.0012552233853968,0.0012214450532309,0.0011882315222745,0.0011555745142688,0.0011234658316724,0.001091897358438,0.0010608610607076,0.0010303489874332,0.0010003532709218,0.0009708661273119,0.0009418798569808,0.000913386844888,0.0008853795608559,0.0008578505597914,0.0008307924818503,0.0008041980525469,0.0007780600828119
25,0.0035190750736015,0.0034574308513829,0.0033199077722324,0.003424802632508,0.0033975393372415,0.0034987298232255,0.0035513484323877,0.0036506512390557,0.0036703370036703,0.0035905998096982,0.0034431405254065,0.0032684815602667,0.0030876063241866,0.0029757575757575,0.0028555111364934,0.0027710166635461,0.0027288939094895,0.0025450702954858,0.0024680878848225,0.0023660917305423,0.0025092856811816,0.0026475037821482,0.0027075572112826,0.0027124834218611,0.002654497671264,0.0025975892548635,0.0025415539589465,0.0024863816479756,0.0024320621861386,0.0023785854427584,0.0023259412974691,0.0022741196451648,0.002223110400727,0.002172903503536,0.0021234889217732,0.0020748566565187,0.0020269967456519,0.0019798992675595,0.0019335543446573,0.0018879521467322,0.0018430828941094,0.0017989368606501,0.0017555043765864,0.0017127758311987,0.0016707416753395,0.0016293924238114,0.001588718657602,0.0015487110259827,0.0015093602484749,0.0014706571166897,0.0014325924960445,0.0013951573273622,0.0013583426283565,0.0013221394950085,0.0012865391028375,0.0012515327080719,0.0012171116487222,0.0011832673455608,0.0011499913030123,0.0011172751099581,0.0010851104404572,0.0010534890543889,0.0010224027980186,0.0009918436044904,0.0009618034942503,0.0009322745754014,0.0009032490439949,0.0008747191842603,0.0008466773687748,0.0008191160585779,0.0007920278032308
30,0.0038018489333701,0.0037649263981126,0.0036925492206398,0.0035771662828335,0.0035549457403018,0.0035182182519044,0.003584470282501,0.003569278091742,0.0035207563313999,0.0034065332441146,0.0033439355247431,0.0031870992317948,0.003065314784249,0.0028196004955661,0.0027175718193841,0.0026091295486927,0.0026120346184864,0.0024403831946614,0.0023344014802923,0.0021973096961736,0.0027112287947701,0.002919717438383,0.0027823058441515,0.0025655984407525,0.0025113770959624,0.0024581631453739,0.0024057656327256,0.0023541750804741,0.0023033820108191,0.0022533769507619,0.0022041504369456,0.0021556930202829,0.0021079952703759,0.0020610477797355,0.0020148411678036,0.0019693660847852,0.0019246132152955,0.0018805732818274,0.0018372370480445,0.0017945953219063,0.0017526389586294,0.001711358863491,0.00167074599448,0.0016307913647995,0.0015914860452282,0.0015528211663427,0.0015147879206083,0.001477377564341,0.0014405814195461,0.0014043908756388,0.001368797391049,0.0013337924947167,0.0012993677874813,0.0012655149433681,0.0012322257107775,0.0011994919135791,0.0011673054521154,0.0011356583041178,0.0011045425255396,0.0010739502513076,0.0010438736959968,0.0010143051544311,0.0009852370022121,0.0009566616961803,0.0009285717748101,0.0009009598585427,0.0008738186500579,0.0008471409344889,0.0008209195795814,0.0007951475358006,0.0007698178363862
35,0.0044532451749428,0.0043755773914504,0.0043091256966974,0.0041547585614458,0.0040906850665352,0.004060888819891,0.0041053101294065,0.0041847389558232,0.0040743529784788,0.0039239548472154,0.0037070794494527,0.0037098937996057,0.0035816671165026,0.0035257293455144,0.0033430896971433,0.0031837896984957,0.0029618730808597,0.0028387241998111,0.0027338218090019,0.0025433652931274,0.002939908036761,0.0034430527590045,0.0028225065817669,0.0027432209004947,0.0026864277011523,0.0026306896792484,0.0025758068209865,0.0025217691992796,0.0024685668867716,0.0024161899611355,0.0023646285101438,0.0023138726365151,0.0022639124625442,0.002214738134521,0.0021663398269441,0.0021187077465341,0.0020718321360543,0.002025703277942,0.0019803114977582,0.0019356471674608,0.0018917007085065,0.0018484625947868,0.0018059233554054,0.001764073577299,0.0017229039077109,0.0016824050565187,0.0016425677984243,0.0016033829750085,0.001564841496658,0.0015269343443659,0.0014896525714142,0.0014529873049393,0.0014169297473871,0.0013814711778612,0.0013466029533678,0.0013123165099622,0.0012786033637996,0.0012454551120954,0.0012128634339965,0.0011808200913697,0.0011493169295077,0.0011183458777585,0.0010878989500793,0.0010579682455198,0.0010285459486353,0.0009996243298361,0.0009711957456717,0.0009432526390561,0.0009157875394343,0.0008887930628942,0.0008622619122249
40,0.0059946692972388,0.0056190696598009,0.0054024165843311,0.0053738567208797,0.0052402281555096,0.0051347439520297,0.005110153134539,0.0052917174946367,0.0051329989233221,0.0051017022264989,0.0048366196485609,0.0048483158050173,0.0044938889611233,0.0044292523229502,0.0040615715279094,0.0040407957497964,0.0038059712808382,0.0036525974025974,0.0035184324382307,0.0035373284879302,0.0040527728444189,0.0043106801151243,0.0037007464861919,0.003393340569133,0.0033252382181166,0.0032584011605707,0.0031925895542268,0.0031277914952305,0.003063995079405,0.0030011884086041,0.002939359596792,0.0028784967758551,0.0028185881011545,0.0027596217568244,0.0027015859608247,0.002644468969754,0.0025882590834301,0.0025329446492456,0.0024785140663038,0.0024249557893438,0.00237225833246,0.0023204102726233,0.0022694002530105,0.0022192169861483,0.0021698492568782,0.0021212859251486,0.0020735159286403,0.002026528285231,0.0019803120953048,0.0019348565439128,0.001890150902789,0.0018461845322288,0.0018029468828334,0.001760427497126,0.0017186160110456,0.0016775021553208,0.0016370757567306,0.0015973267392552,0.0015582451251217,0.0015198210357487,0.0014820446925933,0.0014449064179056,0.0014083966353932,0.0013725058708001,0.0013372247524033,0.0013025440114302,0.0012684544824006,0.0012349471033964,0.0012020129162614,0.0011696430667349,0.0011378288045226
