age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0271880819366853,0.0256120974605625,0.0260753064448399,0.0250322997416021,0.0235342019543974,0.0213006094683056,0.0215131538159499,0.0190258589395913,0.0176619912227863,0.0169128619936415,0.0153641343488793,0.0171956267912111,0.0171448932112092,0.0155238253362112,0.015021973631642,0.0138092655717385,0.0137059557527382,0.0129746579224354,0.0143679878838604,0.0137773594729359,0.012373220962178,0.0139995738333688,0.0139076013733756,0.0131874298540965,0.0129730098655654,0.0127622579239869,0.0125548647314912,0.0123507873594932,0.0121499830113122,0.011952409041981,0.0117580229770013,0.0115667825300779,0.0113786456198655,0.0111935703857604,0.0110115152027685,0.0108324386954839,0.0106562997512074,0.0104830575322394,0.0103126714873756,0.0101451013626386,0.0099803072112738,0.0098182494030399,0.0096588886328224,0.0095021859286001,0.0093481026587895,0.0091966005389958,0.0090476416381963,0.0089011883843802,0.0087572035696722,0.0086156503549593,0.0084764922740474,0.0083396932373682,0.0082052175352565,0.0080730298408211,0.0079430952124259,0.0078153790958013,0.0076898473258045,0.0075664661278451,0.007445202118992,0.0073260223087792,0.0072088940997237,0.007093785287571,0.0069806640612824,0.0068694990027756,0.0067602590864337,0.0066529136783926,0.0065474325356193,0.0064437858047924,0.0063419440209953,0.0062418781062313,0.0061435593677725
1,0.0009896497122774,0.0009715742388533,0.0009482049085246,0.0009045527542905,0.0008195401794207,0.0007731628763628,0.0007156097342801,0.0006664228127051,0.0006604348709611,0.000674673478637,0.0006587890829237,0.0006277363720029,0.0005745292052345,0.0005919223736087,0.0005801525121649,0.0005723601167205,0.0005097782464627,0.0005379581281031,0.000535671284579,0.0005554162918835,0.0004159363023262,0.0005146808978433,0.0006880293019538,0.0005741686193572,0.0005637681220097,0.0005535455442342,0.0005434858834571,0.0005335870574163,0.0005238469902475,0.0005142636134455,0.0005048348667738,0.0004955586991245,0.0004864330693311,0.0004774559469341,0.0004686253129024,0.000459939160311,0.0004513954949779,0.0004429923360598,0.0004347277166099,0.0004265996840986,0.0004186063008982,0.0004107456447335,0.0004030158090997,0.0003954149036487,0.0003879410545457,0.0003805924047959,0.0003733671145454,0.0003662633613539,0.0003592793404437,0.0003524132649242,0.000345663365993,0.0003390278931163,0.0003325051141874,0.0003260933156663,0.0003197908026999,0.0003135958992243,0.0003075069480504,0.0003015223109328,0.0002956403686239,0.0002898595209124,0.000284178186649,0.0002785948037579,0.0002731078292364,0.0002677157391423,0.0002624170285699,0.0002572102116158,0.0002520938213336,0.0002470664096803,0.0002421265474524,0.0002372728242141,0.0002325038482172
5,0.0004491301974236,0.000459993943413,0.0004521688907803,0.0004374288235427,0.0004121270250423,0.0003732680363115,0.0003508235021889,0.0003332746670061,0.0003241246749331,0.000342224841721,0.000361033015317,0.0003685470324205,0.0003304757670775,0.0003151302405361,0.000307362546256,0.0003157963810554,0.0002890483701801,0.0002636435539151,0.0002539183283983,0.0002622829104525,0.0002406140786847,0.0002064731273276,0.0002324626316319,0.0002616219793241,0.0002573143151351,0.0002530803414383,0.0002489138444876,0.0002448139618546,0.0002407798337605,0.0002368106034746,0.0002329054176909,0.0002290634268842,0.0002252837856468,0.0002215656530059,0.0002179081927216,0.0002143105735686,0.0002107719695991,0.00020729156039,0.0002038685312741,0.0002005020735552,0.0001971913847091,0.0001939356685706,0.000190734135506,0.0001875860025733,0.0001844904936703,0.0001814468396692,0.0001784542785418,0.0001755120554722,0.00017261942296,0.0001697756409132,0.0001669799767316,0.0001642317053813,0.0001615301094609,0.0001588744792584,0.000156264112802,0.0001536983159016,0.0001511764021849,0.0001486976931257,0.000146261518066,0.0001438672142325,0.0001415141267469,0.0001392016086307,0.0001369290208051,0.0001346957320857,0.0001325011191727,0.0001303445666365,0.0001282254668993,0.0001261432202125,0.0001240972346306,0.0001220869259811,0.0001201117178315
10,0.0005790005440273,0.0005726512592523,0.0005308284385566,0.00052297861132,0.0004994967192147,0.0004761511986262,0.0004608192176478,0.0004388585252878,0.0004726192264432,0.0004991238009188,0.0004939670640195,0.0005122411093471,0.0004920793450606,0.0004731670279608,0.0004439708755105,0.000425787800806,0.0004183690391834,0.0003743172529697,0.0003638629862312,0.0003530311648067,0.0003458914457467,0.0003361156237745,0.0002674319744861,0.0003015789243949,0.0002960721244299,0.0002906595283726,0.0002853331927403,0.0002800920150279,0.0002749348961179,0.0002698607407891,0.0002648684581984,0.0002599569623363,0.0002551251724566,0.0002503720134826,0.0002456964163883,0.0002410973185578,0.0002365736641223,0.0002321244042754,0.0002277484975685,0.0002234449101867,0.0002192126162052,0.0002150505978279,0.0002109578456089,0.0002069333586567,0.0002029761448232,0.0001990852208767,0.0001952596126611,0.0001914983552404,0.0001878004930307,0.0001841650799184,0.0001805911793677,0.0001770778645151,0.000173624218254,0.0001702293333084,0.0001668923122965,0.0001636122677849,0.0001603883223339,0.0001572196085341,0.0001541052690348,0.0001510444565648,0.0001480363339455,0.0001450800740974,0.0001421748600395,0.000139319884883,0.0001365143518186,0.000133757474098,0.0001310484750102,0.0001283865878531,0.0001257710558997,0.0001232011323599,0.0001206760803383
15,0.0019270273291015,0.0019056930192058,0.0018567709616178,0.0019243515198987,0.0019343809980806,0.0019490629935666,0.0018728609809481,0.0018720990772434,0.0018611058192529,0.0019434121959104,0.0020549379907112,0.0023062332959737,0.0024550472989127,0.0025632844075728,0.0026019998025582,0.0026090747981659,0.0025656095698292,0.0024423433772201,0.0021967067200712,0.0018158198821511,0.0019816373097465,0.0017052472790739,0.0013177662201518,0.0011553043049106,0.0011315785274151,0.001108258622835,0.001085310367064,0.0010627290100131,0.0010405098161884,0.0010186480668834,0.0009971390622542,0.0009759781232815,0.0009551605936241,0.0009346818413661,0.0009145372606619,0.0008947222732832,0.0008752323300702,0.0008560629122925,0.0008372095329203,0.0008186677378123,0.0008004331068219,0.0007825012548249,0.0007648678326725,0.0007475285280732,0.0007304790664053,0.0007137152114637,0.0006972327661444,0.0006810275730683,0.0006650955151483,0.0006494325161012,0.0006340345409076,0.0006188975962222,0.0006040177307362,0.0005893910354953,0.0005750136441738,0.0005608817333087,0.0005469915224942,0.0005333392745393,0.0005199212955908,0.0005067339352219,0.0004937735864898,0.0004810366859629,0.0004685197137193,0.0004562191933178,0.0004441316917444,0.0004322538193325,0.0004205822296614,0.0004091136194326,0.0003978447283247,0.0003867723388296,0.0003758932760692
20,0.0028510163270878,0.0028874030196445,0.0028464195943852,0.0029366480153216,0.0029097066631173,0.0028792152769921,0.0028398737032025,0.0029691508442964,0.0030587651520521,0.0031821433479812,0.0032330362657725,0.0034402408877949,0.0035448422545196,0.0035901762610626,0.0035584066479739,0.0035124435375573,0.0033972412596512,0.0032303472796256,0.0030429151195924,0.0028755126849712,0.0029393405176257,0.002711595150627,0.002373322617318,0.0022676991150442,0.0022194656905548,0.002172057387207,0.0021254046289525,0.0020794977590768,0.0020343271505366,0.0019898832104166,0.0019461563841481,0.0019031371594984,0.001860816070338,0.0018191837001928,0.0017782306855886,0.0017379477191958,0.0016983255527803,0.0016593549999684,0.0016210269388334,0.0015833323143091,0.0015462621404387,0.0015098075024643,0.0014739595587651,0.0014387095426487,0.001404048764004,0.001369968610819,0.0013364605505726,0.0013035161315025,0.0012711269837584,0.0012392848204421,0.0012079814385431,0.0011772087197724,0.0011469586312993,0.0011172232263977,0.0010879946450038,0.0010592651141914,0.0010310269485678,0.0010032725505942,0.0009759944108351,0.0009491851081393,0.0009228373097565,0.0008969437713925,0.0008714973372064,0.0008464909397522,0.0008219175998681,0.0007977704265169,0.0007740426165778,0.0007507274545952,0.0007278183124844,0.0007053086491979,0.0006831920103536
25,0.0030305703824606,0.0030399193947718,0.0029991610738255,0.0030378776448904,0.0030164240728058,0.0029715454342761,0.0029484617859895,0.0029677060947619,0.002999440964408,0.0030461362722907,0.0030269665670494,0.0031514619087958,0.0032593550090865,0.0033492706841734,0.003338163212956,0.0032592962835691,0.0031709165756882,0.0029516698863537,0.0027788127713956,0.0025947230211329,0.0027073973416397,0.0027655493527036,0.0025043561447265,0.002479445802993,0.0024261514745958,0.0023737688433785,0.0023222210330091,0.0022714973735396,0.0022215872278071,0.0021724799963572,0.0021241651221058,0.0020766320947468,0.0020298704549147,0.0019838697981095,0.0019386197783924,0.0018941101118597,0.0018503305799042,0.0018072710322697,0.001764921389909,0.0017232716476509,0.0016823118766849,0.00164203222687,0.0016024229288759,0.0015634742961633,0.0015251767268086,0.0014875207051826,0.0014504968034873,0.0014140956831571,0.001378308096133,0.0013431248860122,0.0013085369890813,0.0012745354352376,0.0012411113488038,0.0012082559492416,0.0011759605517682,0.001144216567881,0.0011130155057957,0.0010823489707999,0.0010522086655287,0.0010225863901648,0.0009934740425672,0.0009648636183325,0.0009367472107913,0.000909117010944,0.0008819653073389,0.0008552844858947,0.0008290670296716,0.0008033055185931,0.0007779926291213,0.0007531211338874,0.0007286839012818
30,0.0036762059251225,0.0035953495139707,0.003493020843374,0.0034335573000121,0.0032952182039963,0.003291517912629,0.003201845868323,0.0032759532820575,0.0032864165404434,0.0032825781483955,0.003268719402505,0.0034301989295729,0.0034156660908042,0.003479293957909,0.0033216905344044,0.0032443811957466,0.0030058153747628,0.0028491984483883,0.0027394156599829,0.0025990009660307,0.0028433539183895,0.0035426042966138,0.0027547639487938,0.0025583461308027,0.0025036606384382,0.0024499106416635,0.0023970172574116,0.0023449695372125,0.002293756566237,0.0022433674683488,0.0021937914108878,0.002145017609193,0.0020970353308738,0.0020498338998373,0.0020034027000801,0.0019577311792538,0.0019128088520104,0.0018686253031376,0.0018251701904905,0.0017824332477288,0.001740404286866,0.001699073200639,0.0016584299647045,0.0016184646396714,0.0015791673729733,0.0015405284005905,0.001502538048627,0.0014651867347492,0.0014284649694919,0.0013923633574389,0.001356872598283,0.0013219834877713,0.0012876869185409,0.0012539738808514,0.0012208354632176,0.0011882628529477,0.0011562473365927,0.0011247803003096,0.0010938532301439,0.0010634577122352,0.0010335854329489,0.0010042281789392,0.0009753778371457,0.0009470263947275,0.0009191659389372,0.0008917886569403,0.0008648868355791,0.0008384528610879,0.0008124792187593,0.0007869584925655,0.0007618833647376
35,0.0042935396827971,0.0041823658441871,0.0041864686805229,0.0042973892739151,0.0041453138560145,0.0039215872008487,0.0036883292377607,0.0036351634241069,0.0036889283552681,0.0037388826526206,0.0036070282142253,0.0037395148960786,0.0037789267364107,0.0038893690579083,0.0036549931182137,0.003496438399011,0.0033426204107167,0.003286116958647,0.003167527395069,0.0030158470951624,0.0031882111931691,0.0047177885965092,0.0031199543954149,0.003062170935974,0.0029973718576198,0.0029336812862826,0.0028710057501876,0.0028093322760446,0.0027486479304256,0.0026889398257514,0.0026301951259598,0.0025724010518644,0.0025155448862164,0.0024596139784761,0.0024045957493068,0.0023504776947988,0.002297247390434,0.002244892494801,0.0021934007530691,0.0021427600002315,0.0020929581641258,0.0020439832682423,0.0019958234343263,0.0019484668847864,0.0019019019449134,0.0018561170449206,0.0018111007218129,0.0017668416210907,0.0017233284982984,0.0016805502204227,0.001638495767149,0.0015971542319811,0.0015565148232321,0.0015165668648917,0.0014772997973763,0.0014387031781667,0.0014007666823405,0.0013634801030025,0.0013268333516196,0.0012908164582641,0.0012554195717701,0.001220632959808,0.0011864470088805,0.0011528522242442,0.001119839229761,0.0010873987676835,0.0010555216983753,0.0010241989999738,0.0009934217679946,0.0009631812148829,0.0009334686695147
40,0.005916783305764,0.0059334956590176,0.0056555361745953,0.0054575526881472,0.0050952925747132,0.0049204083398217,0.0047507931097768,0.0048023792912034,0.0047406055677321,0.0046375998607269,0.0045694466102455,0.0046135355029585,0.0047057440816566,0.0045215469613259,0.0044258305996049,0.0041742363428957,0.0040680259759549,0.003871305257651,0.00384942552616,0.0038257327250812,0.0043678989143394,0.0061067039410387,0.0038802779262426,0.0037609548334584,0.0036835943204144,0.003607557200754,0.0035327318830063,0.0034591028789821,0.0033866547480818,0.0033153721044425,0.0032452396237049,0.003176242049411,0.0031083641990471,0.0030415909697405,0.0029759073436241,0.0029112983928795,0.0028477492844703,0.0027852452845772,0.0027237717627451,0.0026633141957557,0.0026038581712331,0.0025453893909965,0.0024878936741673,0.0024313569600435,0.0023757653107495,0.0023211049136719,0.0022673620836901,0.0022145232652115,0.0021625750340198,0.002111504098944,0.0020612973033588,0.0020119416265214,0.0019634241847541,0.00191573223248,0.0018688531631186,0.0018227745098468,0.0017774839462347,0.0017329692867596,0.0016892184872054,0.0016462196449533,0.0016039609991687,0.00156243093089,0.0015216179630235,0.0014815107602503,0.0014420981288488,0.0014033690164379,0.0013653125116441,0.0013279178436982,0.0012911743819629,0.0012550716353982,0.0012195992519646
