age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.035007117149437,0.0342221240275824,0.0316258195715438,0.0334805176503746,0.0331897314842136,0.0299246246068016,0.0293421506476206,0.0263503026073564,0.0247906727679875,0.0240232378387813,0.0233120853388838,0.0217655449310582,0.0204549414902886,0.0199085540102877,0.0187267933057095,0.0172539942264969,0.0171771099307727,0.0165811845710672,0.0177221896873867,0.0169110939583187,0.0165040933635255,0.0174869614760924,0.0155038759689923,0.0166622462829774,0.0163681598086665,0.0160788560025824,0.0157940697514362,0.0155137507922394,0.0152378486091548,0.0149663124741159,0.014699091485977,0.0144361346082066,0.0141773907051426,0.0139228085768254,0.0136723369924303,0.01342592472232,0.0131835205687423,0.0129450733951971,0.0127105321544996,0.0124798459155672,0.0122529638889587,0.0120298354511956,0.0118104101678952,0.0115946378157466,0.0113824684033606,0.0111738521910248,0.0109687397093961,0.010767081777161,0.0105688295176975,0.0103739343747669,0.01018234812727,0.0099940229030968,0.0098089111920997,0.0096269658582221,0.0094481401508109,0.0092723877151416,0.0090996626021856,0.0089299192776461,0.0087631126302918,0.008599197979613,0.0084381310828275,0.0082798681412606,0.0081243658061247,0.0079715811837218,0.0078214718400925,0.0076739958051345,0.0075291115762116,0.0073867781212757,0.0072469548815223,0.0071096017735996,0.0069746791913908
1,0.0015867846887119,0.0015166954298874,0.0015192298650618,0.0014848748588633,0.0015099414307874,0.001392217209582,0.0012556758332986,0.001137676810205,0.0010564415925857,0.0010305664186457,0.0009517484935749,0.0009336921886308,0.0008828278742467,0.0008719916288803,0.0007972577026195,0.000820884384201,0.0008295256744995,0.0007862495214133,0.0007866219074201,0.000783854683793,0.0007342973339358,0.0006125936354745,0.000792143670989,0.0008138434400904,0.0007979427195874,0.0007823005892523,0.0007669027148918,0.0007517463788777,0.0007368288499105,0.0007221473852161,0.0007076992326621,0.0006934816327961,0.0006794918208059,0.0006657270284029,0.0006521844856296,0.0006388614225928,0.0006257550711231,0.0006128626663631,0.0006001814482844,0.0005877086631359,0.0005754415648252,0.0005633774162327,0.0005515134904632,0.0005398470720336,0.0005283754580006,0.0005170959590284,0.0005060059003996,0.0004951026229701,0.0004843834840699,0.0004738458583515,0.0004634871385879,0.0004533047364212,0.0004432960830641,0.0004334586299558,0.0004237898493737,0.0004142872350021,0.0004049483024606,0.0003957705897927,0.0003867516579161,0.0003778890910372,0.000369180497029,0.000360623507777,0.0003522157794912,0.0003439549929873,0.0003358388539383,0.0003278650930972,0.000320031466492,0.0003123357555945,0.000304775767464,0.0002973493348666,0.0002900543163715
5,0.000638389476966,0.0006184701698584,0.0006597462289781,0.0006231793742119,0.0005560962046434,0.0005214360205145,0.0005096936622556,0.0005064069950424,0.0004711754287933,0.0004486796000341,0.0004124861709838,0.0003927409968915,0.000366167121565,0.0003908203343091,0.0003930605165797,0.0003958352122979,0.000368948854465,0.0003776375623495,0.0003601192155851,0.0003308198316919,0.0003106546290288,0.0003019884136188,0.0003135682668913,0.0003885124197285,0.0003812913545798,0.0003741877241379,0.0003671950187515,0.0003603120042521,0.0003535374402624,0.0003468700811942,0.0003403086772093,0.0003338519751454,0.0003274987194058,0.0003212476528154,0.0003150975174409,0.0003090470553785,0.000303095009507,0.0002972401242093,0.0002914811460615,0.0002858168244903,0.0002802459124005,0.0002747671667717,0.0002693793492269,0.0002640812265717,0.0002588715713062,0.0002537491621105,0.0002487127843032,0.0002437612302754,0.0002388932998994,0.0002341078009146,0.0002294035492893,0.0002247793695609,0.0002202340951547,0.0002157665686814,0.000211375642215,0.0002070601775512,0.0002028190464472,0.0001986511308437,0.0001945553230695,0.0001905305260293,0.0001865756533759,0.0001826896296669,0.0001788713905064,0.0001751198826729,0.0001714340642336,0.0001678129046451,0.0001642553848424,0.0001607604973154,0.0001573272461742,0.000153954647203,0.0001506417279046
10,0.0005692856358767,0.0005866179688735,0.0006000950998166,0.0006195614516451,0.0005673018271637,0.0005673278856585,0.0005398915779379,0.0005593824808246,0.0005616712625256,0.0005425506120499,0.000512566216403,0.0004843304843304,0.0004956141702968,0.000520135662781,0.000514987077639,0.0005154441450339,0.0004700210906899,0.0004490716354218,0.0004164135525464,0.0004071974634577,0.0003829076127612,0.0003816952462064,0.0004336225036778,0.000373666596661,0.0003665083199118,0.0003594664567544,0.0003525345541403,0.000345711388632,0.0003389957306377,0.0003323863453997,0.0003258819939474,0.0003194814340149,0.0003131834209232,0.0003069867084286,0.0003008900495356,0.0002948921972781,0.0002889919054659,0.0002831879293998,0.0002774790265543,0.0002718639572303,0.0002663414851762,0.00026091037818,0.0002555694086325,0.0002503173540621,0.0002451529976424,0.0002400751286729,0.0002350825430341,0.0002301740436174,0.0002253484407307,0.00022060455248,0.0002159412051291,0.0002113572334363,0.0002068514809704,0.0002024228004057,0.0001980700537977,0.000193792112839,0.0001895878590971,0.0001854561842343,0.0001813959902109,0.000177406189471,0.0001734857051134,0.0001696334710468,0.0001658484321305,0.0001621295443008,0.0001584757746848,0.0001548861016997,0.0001513595151416,0.0001478950162609,0.0001444916178269,0.0001411483441821,0.0001378642312849
15,0.0016702629265563,0.0017351100438911,0.0018565132018716,0.0018267759094251,0.0019870349858235,0.002067069533418,0.0021871121050435,0.0022218433032092,0.0022969428050964,0.0024485923144808,0.0024631227738863,0.002439171435318,0.0024210783263673,0.0024273283091176,0.002449281503271,0.0025263342354796,0.0025400475985997,0.0025765129735434,0.0023722339144292,0.002098576925426,0.0018315378043151,0.001620813515167,0.0016679053743341,0.0014277147280441,0.0013977517064403,0.001368275967333,0.0013392604996357,0.0013107001823002,0.0012825898685169,0.001254924389853,0.0012276985602416,0.001200907179822,0.0011745450386336,0.0011486069201649,0.0011230876047596,0.0010979818728823,0.0010732845082465,0.0010489903008062,0.0010250940496152,0.0010015905655565,0.0009784746739442,0.0009557412170017,0.0009333850562181,0.0009114010745879,0.0008897841787348,0.0008685293009245,0.0008476314009695,0.0008270854680282,0.0008068865223023,0.000787029616636,0.0007675098380192,0.0007483223089984,0.0007294621889989,0.0007109246755602,0.0006927050054885,0.0006747984559295,0.000657200345363,0.000639906034524,0.0006229109272513,0.0006062104712682,0.0005898001588954,0.0005736755277019,0.0005578321610933,0.0005422656888422,0.0005269717875615,0.0005119461811243,0.0004971846410315,0.0004826829867301,0.0004684370858831,0.0004544428545956,0.0004406962575954
20,0.002619795986448,0.0027405458574797,0.0029941586529456,0.0030697739914102,0.0030450232383352,0.0030206547473263,0.0030635903449834,0.0032439036752681,0.0034741220404889,0.0037582709830161,0.0037612411030132,0.0037464115857577,0.0036051502145922,0.0036334448160535,0.0036171707815644,0.0037522211880182,0.0039059729602652,0.004032321248557,0.0038497330401193,0.0033125416651594,0.0030170401194501,0.0030301560517602,0.0031586547906689,0.00261376394796,0.0025576284601563,0.0025024058923179,0.0024480456393844,0.0023945381071118,0.0023418736529921,0.0022900425940071,0.0022390352141005,0.002188841771374,0.0021394525050068,0.0020908576419052,0.0020430474030837,0.0019960120097836,0.0019497416893324,0.0019042266807495,0.0018594572401029,0.0018154236456223,0.0017721162025738,0.0017295252479029,0.0016876411546497,0.0016464543361441,0.0016059552499851,0.0015661344018123,0.0015269823488733,0.0014884897033954,0.0014506471357655,0.0014134453775254,0.001376875224189,0.0013409275378853,0.001305593249835,0.0012708633626658,0.0012367289525713,0.0012031811713206,0.0011702112481222,0.0011378104913489,0.001105970290129,0.0010746821158069,0.0010439375232809,0.0010137281522212,0.0009840457281726,0.0009548820635478,0.000926229058515,0.0008980787017836,0.0008704230712936,0.0008432543348112,0.0008165647504356,0.000790346667021,0.0007645925245166
25,0.0029503366218459,0.0030443983792099,0.003161531214014,0.0031597649861697,0.0032033096543473,0.0034059988114972,0.0034301318769148,0.0035801982063678,0.003544212031334,0.0037034737002557,0.0035699555218656,0.0035658124958472,0.0034293060828109,0.0034585661567993,0.0035026463516867,0.0036271995460437,0.0037332736755267,0.0037831800041536,0.0036284939361149,0.0032024677509814,0.002967739418546,0.0030771527628021,0.0030476922654512,0.002995318791397,0.0029302227687046,0.002866185389325,0.0028031479704483,0.0027410993863651,0.0026800284553981,0.0026199239488929,0.0025607745998841,0.0025025691114386,0.0024452961646809,0.002388944426503,0.0023335025569651,0.0022789592163902,0.0022253030721592,0.0021725228052108,0.0021206071162538,0.0020695447316965,0.0020193244092991,0.0019699349435578,0.0019213651708252,0.0018736039741745,0.0018266402880149,0.0017804631024641,0.0017350614674862,0.0016904244968005,0.0016465413715697,0.0016034013438735,0.0015609937399745,0.0015193079633843,0.0014783334977345,0.0014380599094621,0.0013984768503129,0.0013595740596715,0.0013213413667234,0.0012837686924547,0.0012468460514972,0.001210563553823,0.0011749114062949,0.001139879914079,0.001105459481924,0.0010716406153124,0.00103841392149,0.0010057701103772,0.0009736999953682,0.0009421944940217,0.0009112446286487,0.0008808415268021,0.0008509764216701
30,0.0033809166040571,0.0033955930267998,0.0034767093821128,0.0034693266186817,0.0035334716850611,0.0034309371414194,0.0034541422029013,0.0034367814043031,0.0035029580916956,0.0036540117935466,0.0036202310418007,0.0035929632622614,0.0034950302670227,0.0035599445373111,0.0035515055930371,0.0035730984362643,0.003512914114121,0.0034915881868885,0.0033641884289096,0.0031573706039298,0.0032025666863569,0.0031545098723936,0.0030117405350508,0.0030757109298627,0.0030091910923004,0.0029437530532612,0.0028793368463934,0.0028159311026403,0.002753524395753,0.0026921052514778,0.0026316621564124,0.0025721835665311,0.0025136579153858,0.0024560736219851,0.0023994190983557,0.0023436827567932,0.0022888530168054,0.0022349183117545,0.0021818670952053,0.0021296878469839,0.0020783690789543,0.00202789934052,0.0019782672238564,0.0019294613688813,0.0018814704679713,0.0018342832704304,0.0017878885867173,0.001742275292441,0.0016974323321289,0.0016533487227762,0.0016100135571841,0.001567416007092,0.001525545326112,0.0014843908524725,0.0014439420115769,0.0014041883183841,0.0013651193796181,0.0013267248958116,0.001288994663191,0.0012519185754084,0.001215486625126,0.0011796889054592,0.0011445156112843,0.0011099570404148,0.0010760035946529,0.0010426457807218,0.001009874211081,0.0009776796046333,0.0009460527873252,0.0009149846926463,0.0008844663620326
35,0.004173592259315,0.0042620691053202,0.00426837073286,0.0042892772855002,0.0041632747993952,0.0040660139961237,0.0039476627643289,0.0039722580562757,0.0039054912446738,0.0039557406382142,0.0037505111677993,0.0036681235904545,0.0035650297999926,0.0035350164390624,0.0035894219428555,0.0036316779868244,0.0036910283064129,0.0036478584044286,0.0035043260828979,0.0032816822463702,0.0034308484500129,0.0036979996511878,0.0030819092516205,0.0030701625033179,0.003005257006503,0.0029414070545177,0.0028785541363072,0.0028166871587255,0.0027557949728221,0.0026958663828074,0.0026368901546923,0.0025788550246084,0.0025217497068085,0.0024655629013551,0.0024102833014984,0.002355899600751,0.0023024004996625,0.0022497747123008,0.002198010972446,0.0021470980395023,0.0020970247041343,0.0020477797936349,0.0019993521770309,0.0019517307699331,0.001904904539138,0.0018588625069874,0.0018135937554944,0.0017690874302408,0.0017253327440544,0.0016823189804723,0.0016400354969975,0.0015984717281559,0.0015576171883588,0.0015174614745806,0.0014779942688549,0.0014392053405975,0.0014010845487621,0.0013636218438348,0.0013268072696728,0.0012906309651948,0.0012550831659267,0.0012201542054097,0.0011858345164764,0.0011521146323982,0.0011189851879121,0.0010864369201291,0.001054460669331,0.0010230473796596,0.0009921880997022,0.0009618739829796,0.0009320962883396
40,0.0053132366772117,0.0052779690802441,0.0053833775194785,0.0053529325496655,0.0052876899061187,0.0050827960728712,0.0048040179058849,0.0047172191110438,0.0045871784441819,0.0047161281111692,0.0047297609690693,0.0046065759433368,0.0043494969256567,0.0041661540289085,0.0041546108761777,0.0042263667653886,0.0041021939169548,0.0039865636647829,0.0038173206839941,0.0037150855627354,0.0041999274002856,0.0045973680397296,0.0036363753176206,0.0035313335032905,0.0034593467938495,0.0033885307895517,0.0033188205957657,0.0032502039090793,0.0031826683641877,0.0031162015438364,0.0030507909884045,0.0029864242051313,0.0029230886769907,0.0028607718712179,0.0027994612474929,0.0027391442657865,0.0026798083938741,0.0026214411145246,0.0025640299323695,0.0025075623804599,0.002452026026518,0.0023974084788906,0.0023436973922112,0.0022908804727799,0.0022389454836666,0.002187880249547,0.0021376726612779,0.0020883106802201,0.0020397823423173,0.0019920757619365,0.0019451791354808,0.0018990807447788,0.0018537689602607,0.0018092322439269,0.0017654591521172,0.0017224383380872,0.0016801585543989,0.0016386086551327,0.0015977775979273,0.0015576544458538,0.0015182283691306,0.0014794886466848,0.0014414246675676,0.0014040259322272,0.0013672820536468,0.0013311827583531,0.0012957178872994,0.0012608773966301,0.0012266513583303,0.0011930299607669,0.0011600035091245
