age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0226976258805113,0.0191598431954722,0.0193385550591888,0.0172526277636825,0.0174311475812594,0.0162633035068917,0.0146800501882058,0.0142063883338955,0.0145377798752032,0.0136879053198847,0.0136916237164103,0.0133944858497941,0.0128698455618533,0.0121139476167402,0.0121545183369846,0.0117770280967982,0.0112096224192448,0.0120438002086922,0.0110843916735553,0.0111077297626293,0.0098204815964174,0.0104923654772597,0.0114675387934034,0.0118736842105263,0.0116854797032816,0.0115007022034216,0.0113190182999037,0.0111403849286557,0.0109647592365949,0.0107920986009814,0.0106223606475957,0.0104555032677747,0.0102914846343479,0.0101302632165108,0.0099717977936751,0.0098160474683333,0.0096629716779767,0.0095125302061047,0.009364683192362,0.0092193911418425,0.0090766149335943,0.0089363158283629,0.0087984554756077,0.0086629959198247,0.0085298996062107,0.0083991293856996,0.0082706485194042,0.0081444206824912,0.0080204099675228,0.0078985808872893,0.0077788983771626,0.0076613277969956,0.0075458349325936,0.0074323859967801,0.007320947630082,0.0072114869010546,0.0071039713062668,0.0069983687699691,0.006894647643459,0.0067927767041657,0.0066927251544682,0.0065944626202644,0.0064979591493057,0.006403185209312,0.0063101116858803,0.0062187098802003,0.006128951506589,0.0060408086898559,0.0059542539625108,0.0058692602618228,0.005785800926743
1,0.0008815493366478,0.0007975368061846,0.0007826826518531,0.000771183075409,0.0007392630837831,0.0006695040887571,0.0005987150420316,0.0006004156723885,0.0005603433433402,0.0005563114326767,0.0005343634315145,0.0005285532974221,0.0005194957950246,0.0005082145056147,0.0004883775837923,0.0004935064108074,0.000447669613564,0.0004706625504336,0.0004725927115701,0.0004801571198007,0.0003593547862932,0.0003826256340201,0.0005220939188949,0.0004303652476752,0.0004231208458771,0.0004160083570646,0.0004090149475199,0.0004021389596128,0.0003953787438349,0.0003887326595439,0.0003821990756637,0.0003757763713401,0.0003694629365542,0.0003632571726946,0.0003571574930911,0.0003511623235095,0.0003452701026103,0.0003394792823729,0.0003337883284851,0.000328195720702,0.0003226999531728,0.0003172995347393,0.0003119929892053,0.000306778855581,0.0003016556882999,0.0002966220574136,0.0002916765487622,0.0002868177641237,0.0002820443213425,0.0002773548544385,0.0002727480136978,0.0002682224657456,0.0002637768936029,0.0002594099967276,0.0002551204910409,0.0002509071089398,0.0002467685992962,0.0002427037274446,0.0002387112751575,0.0002347900406101,0.0002309388383347,0.0002271564991661,0.0002234418701767,0.0002197938146049,0.0002162112117737,0.0002126929570033,0.0002092379615162,0.0002058451523355,0.0002025134721776,0.0001992418793391,0.0001960293475779
5,0.0003863873416973,0.000389780134347,0.000374950734456,0.0003800876993313,0.0003621169312433,0.0003400323359782,0.0003157499171712,0.0003068834407049,0.0002933801519159,0.0002959055525395,0.0002865811344349,0.0002642883914927,0.0002688264016852,0.0002557620965539,0.0002514635176728,0.0002186631544956,0.0002101885032015,0.000194968279174,0.0002016880524082,0.0002021554828357,0.0001941994129202,0.0001824921022843,0.000215672530672,0.0002710602852726,0.0002664360741324,0.0002618960650444,0.0002574320660524,0.0002530430190661,0.0002487278711793,0.0002444855751452,0.0002403150898235,0.0002362153805982,0.00023218541977,0.0002282241869212,0.0002243306692561,0.0002205038619173,0.0002167427682782,0.0002130464002137,0.0002094137783493,0.0002058439322897,0.0002023359008276,0.000198888732134,0.0001955014839308,0.000192173223646,0.0001889030285527,0.0001856899858932,0.0001825331929878,0.0001794317573304,0.0001763847966702,0.0001733914390814,0.0001704508230212,0.0001675620973763,0.0001647244214991,0.0001619369652341,0.0001591989089342,0.0001565094434693,0.0001538677702255,0.000151273101097,0.000148724658471,0.0001462216752044,0.0001437633945953,0.0001413490703478,0.000138977966531,0.0001366493575326,0.0001343625280076,0.0001321167728222,0.0001299113969932,0.0001277457156234,0.0001256190538325,0.0001235307466856,0.0001214801391169
10,0.0004495987226354,0.0004480192501041,0.0004524058522379,0.0004374858027443,0.0004391845037215,0.0004536985887033,0.0004731423380381,0.0004684493061885,0.0004541692310957,0.0004213281889945,0.0004234102672669,0.00043300172982,0.0004391129917566,0.0004144358829398,0.0003732496765551,0.000349159572908,0.0003211265876285,0.0002979000449252,0.0002662003682845,0.0002549378743626,0.0002705038133523,0.0002526790294093,0.000275808320808,0.0002996884750893,0.0002941054376411,0.00028862406147,0.0002832344560247,0.0002779353438207,0.0002727254536326,0.000267603521068,0.0002625682891067,0.0002576185086063,0.0002527529387747,0.0002479703476114,0.0002432695123185,0.0002386492196821,0.0002341082664261,0.0002296454595384,0.000225259616572,0.000220949565921,0.0002167141470725,0.0002125522108366,0.0002084626195546,0.0002044442472864,0.0002004959799787,0.000196616715614,0.000192805364343,0.0001890608485988,0.0001853821031969,0.0001817680754184,0.0001782177250803,0.0001747300245916,0.0001713039589973,0.0001679385260097,0.0001646327360286,0.0001613856121514,0.0001581961901723,0.0001550635185727,0.0001519866585019,0.0001489646837507,0.0001459966807156,0.000143081748357,0.000140218998149,0.0001374075540245,0.0001346465523123,0.0001319351416696,0.0001292724830091,0.0001266577494205,0.000124090126088,0.0001215688102027,0.0001190930108715
15,0.0015422656747781,0.0016293597524894,0.0017357583147056,0.0018653987607816,0.0020361107100697,0.0021153380076279,0.0022231393706281,0.0022313546811651,0.0022480361555607,0.0022313001353202,0.0022304706484069,0.0022958012346308,0.0022146271866781,0.0020917328478974,0.0019138982089693,0.0018971838947279,0.0017757905661947,0.001652819221511,0.0014606754217165,0.0013284213697804,0.0012655650620751,0.0014030534565709,0.0013917353796291,0.0011921261521463,0.0011670137127541,0.0011423585446383,0.0011181161602107,0.0010942808133608,0.0010708467861308,0.0010478083912977,0.0010251599747993,0.0010028959180069,0.0009810106398516,0.0009594985988095,0.0009383542947491,0.0009175722706482,0.000897147114184,0.0008770734592022,0.0008573459870694,0.0008379594279149,0.0008189085617653,0.0008001882195775,0.0007817932841754,0.0007637186910932,0.0007459594293311,0.0007285105420278,0.0007113671270526,0.0006945243375228,0.0006779773822494,0.0006617215261153,0.0006457520903889,0.000630064452978,0.0006146540486259,0.0005995163690536,0.0005846469630514,0.000570041436522,0.0005556954524786,0.0005416047310009,0.0005277650491499,0.0005141722408465,0.0005008221967128,0.0004877108638821,0.0004748342457763,0.0004621884018542,0.0004497694473328,0.0004375735528822,0.000425596944297,0.0004138359021441,0.0004022867613909,0.0003909459110122,0.0003798097935803
20,0.0023274995198119,0.0023599029423376,0.0024408541239717,0.002635128980346,0.0027548566502239,0.0028467321976643,0.0028603426357527,0.0029949773537297,0.0031463155843312,0.0032176077898609,0.0031312876168244,0.0030767882187938,0.0028910926707071,0.0028069177505278,0.0026352641906798,0.0026456804928772,0.0025787860234989,0.002478805670295,0.0023573734731389,0.0022651019513886,0.0024857768052516,0.0025477959473088,0.0023907894502519,0.0020690806693261,0.0020244638875063,0.0019806595306545,0.0019375885585395,0.0018952407621589,0.0018536059825282,0.0018126741152695,0.0017724351149202,0.0017328789989722,0.0016939958516495,0.0016557758274342,0.0016182091543499,0.0015812861370116,0.0015449971594508,0.0015093326877257,0.0014742832723241,0.0014398395503692,0.001405992247636,0.0013727321803864,0.0013400502570333,0.0013079374796388,0.0012763849452576,0.0012453838471304,0.0012149254757372,0.001185001219716,0.0011556025666547,0.0011267211037627,0.0010983485184291,0.0010704765986725,0.0010430972334904,0.0010162024131113,0.0009897842291575,0.000963834874722,0.000938346644365,0.0009133119340353,0.0008887232409197,0.0008645731632262,0.0008408543999035,0.0008175597503023,0.0007946821137799,0.0007722144892537,0.0007501499747054,0.0007284817666393,0.0007072031594978,0.000686307545037,0.0006657884116647,0.0006456393437429,0.0006258540208587
25,0.0024532982131275,0.0024970698908148,0.00261320205337,0.0026672390217551,0.0026563095038165,0.0026700816540148,0.0026653578464453,0.002728702454936,0.0028143422613362,0.0029202570711149,0.0029819353292775,0.0029750338376596,0.0028488112768995,0.0026554492827144,0.0024686144536365,0.0024602429237122,0.0024212422455112,0.0023671214681089,0.0022770831840653,0.0022923772330628,0.0022825899433333,0.0029903845942421,0.0025615136416514,0.0024859820068534,0.0024313654952816,0.0023777434933058,0.0023250192458147,0.0022731802557145,0.0022222140871398,0.0021721083710704,0.002122850810606,0.0020744291859103,0.0020268313588353,0.001980045277238,0.0019340589789992,0.001888860595757,0.0018444383563656,0.0018007805900895,0.0017578757295463,0.0017157123134057,0.0016742789888582,0.001633564513862,0.0015935577591791,0.0015542477102102,0.0015156234686387,0.0014776742538916,0.0014403894044291,0.0014037583788688,0.0013677707569555,0.0013324162403832,0.0012976846534782,0.0012635659437501,0.0012300501823189,0.0011971275642245,0.001164788408625,0.0011330231588915,0.0011018223826038,0.0010711767714537,0.0010410771410611,0.0010115144307084,0.0009824797029974,0.0009539641434341,0.0009259590599454,0.000898455882332,0.0008714461616619,0.0008449215696067,0.0008188738977269,0.0007932950567068,0.0007681770755445,0.0007435121006981,0.0007192923951932
30,0.0028311920849051,0.002813706735136,0.0028242730720606,0.0028739550976084,0.0029337295510711,0.0029667666539471,0.0029113327910262,0.0029586389761361,0.0029813664596273,0.002975723976281,0.0029981249896555,0.003003981264092,0.0029518786352902,0.0028280903895062,0.0026633244555851,0.0025969662712195,0.0025050977147234,0.0024702207489436,0.0023392666193949,0.0021711118966441,0.0025186851825705,0.0035655444329557,0.0026704630465041,0.0024882755257103,0.0024340401292383,0.0023807923026548,0.0023284359660074,0.0022769587094072,0.0022263481837667,0.0021765921063768,0.0021276782661454,0.0020795945285062,0.0020323288400117,0.0019858692326188,0.0019402038276803,0.001895320839652,0.0018512085795271,0.0018078554580092,0.001765249988433,0.0017233807894457,0.0016822365874578,0.0016418062188748,0.0016020786321188,0.0015630428894506,0.0015246881686021,0.0014870037642274,0.0014499790891832,0.0014136036756451,0.0013778671760705,0.0013427593640154,0.001308270134812,0.0012743895061164,0.0012411076183326,0.0012084147349196,0.0011763012425886,0.0011447576513972,0.0011137745947447,0.0010833428292764,0.0010534532347011,0.001024096813527,0.0009952646907212,0.0009669481132975,0.0009391384498363,0.0009118271899413,0.0008850059436372,0.000858666440711,0.0008328005300016,0.000807400178641,0.0007824574712489,0.0007579646090857,0.0007339139091657
35,0.0036157744782635,0.0035757113862779,0.0035107779271916,0.0035322964163343,0.003542067288799,0.0035138970469749,0.0034137277855734,0.0033825179937601,0.0034336175834117,0.0035216155218417,0.0035164620327568,0.0035504690315922,0.0034601018935083,0.003332998946682,0.0030890592745502,0.0029639565574834,0.0029161116939143,0.0028562663555528,0.0027889759387439,0.0027065307968311,0.0031599416626154,0.004683023580401,0.0031854892461008,0.002871026765601,0.0028093052712313,0.0027487076607691,0.0026891245923708,0.0026305419432136,0.0025729456596687,0.0025163217636479,0.0024606563585649,0.0024059356349227,0.0023521458755393,0.0022992734604257,0.002247304871328,0.0021962266959464,0.0021460256318436,0.0020966884900554,0.0020482021984151,0.0020005538046046,0.001953730478944,0.0019077195169305,0.0018625083415398,0.0018180845052992,0.0017744356921458,0.0017315497190777,0.0016894145376107,0.0016480182350494,0.0016073490355825,0.0015673953012125,0.001528145532527,0.0014895883693216,0.0014517125910829,0.0014145071173376,0.0013779610078771,0.0013420634628646,0.00130680382283,0.0012721715685607,0.0012381563208941,0.0012047478404168,0.0011719360270775,0.0011397109197175,0.0011080626955244,0.0010769816694143,0.0010464582933456,0.00101648315557,0.0009870469798238,0.0009581406244641,0.0009297550815528,0.0009018814758923,0.0008745110640162
40,0.0048276977835301,0.0048099942040672,0.0047005004451813,0.0046645224025731,0.0046322106473711,0.0046126987568249,0.0044883905514627,0.0044646289360673,0.0044608034321372,0.0044873683928523,0.0044971414446668,0.0044381591816235,0.0043560426602655,0.0041248861127083,0.0039718351242444,0.0039167500668074,0.0038175303916097,0.0037155619819773,0.0035214488246592,0.0033472428765399,0.0038100236668562,0.006238379022646,0.0041248459649881,0.0039099567503293,0.0038273938269956,0.0037463342882094,0.0036666318707874,0.0035882676830689,0.0035112229259516,0.0034354789013817,0.0033610170203281,0.0032878188102559,0.0032158659221175,0.0031451401368773,0.0030756233715874,0.0030072976850316,0.0029401452829532,0.002874148522885,0.0028092899185962,0.0027455521441738,0.0026829180377539,0.0026213706049182,0.0025608930217725,0.00250146863772,0.0024430809779461,0.0023857137456282,0.0023293508238836,0.0022739762774703,0.0022195743542518,0.0021661294864408,0.0021136262916308,0.0020620495736301,0.0020113843231065,0.0019616157180556,0.0019127291241009,0.0018647100946363,0.0018175443708203,0.0017712178814293,0.0017257167425804,0.0016810272573287,0.0016371359151498,0.0015940293913114,0.001551694546143,0.001510118424209,0.0014692882533911,0.0014291914438864,0.0013898155871254,0.0013511484546168,0.0013131779967219,0.001275892341365,0.0012392797926829
