age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0216278523057323,0.0195331598454381,0.019246046370687,0.0196113208503307,0.0191593707368457,0.017497920042037,0.01664423068351,0.0166687758754723,0.0155431937172775,0.016260162601626,0.014752034448783,0.0154559086556702,0.0156664684318442,0.0144579161933944,0.0146536831882289,0.0143333611273243,0.0137067630356221,0.0139941171227382,0.0138453872437358,0.0136461024928965,0.0132530353414276,0.013289811144789,0.0137623984369161,0.0145910193771396,0.0143328871682606,0.0140796353584318,0.0138307617039211,0.0135862063819088,0.0133459096723161,0.0131098119972619,0.012877853958345,0.0126499763718168,0.0124261203017116,0.0122062270910036,0.0119902383908551,0.0117780961880275,0.0115697428305201,0.0113651210515074,0.0111641739916403,0.0109668452197795,0.0107730787522267,0.0105828190705208,0.0103960111378596,0.0102126004142146,0.0100325328701963,0.0098557549997332,0.0096822138316205,0.0095118569399952,0.009344632453793,0.0091804890652385,0.0090193760374188,0.0088612432109892,0.0087060410100562,0.0085537204472828,0.0084042331282566,0.0082575312551607,0.0081135676297848,0.0079722956559127,0.0078336693411185,0.0076976432980041,0.007564172744908,0.0074332135061133,0.007304722011582,0.0071786552962396,0.0070549709988372,0.0069336273604094,0.0068145832223529,0.0066977980241448,0.0065832318007205,0.0064708451795297,0.0063605993772885
1,0.0007796085369899,0.0007303054460716,0.000735260762403,0.0007173364715188,0.0007165531790542,0.0007053863800439,0.0006671525123391,0.0006556892988032,0.000614113566829,0.0006693275608494,0.0006586258484617,0.0006892758267315,0.0006307850531367,0.0005886497420395,0.0005364661755822,0.0005284426484302,0.0005334448124124,0.0005256452132756,0.0005346024709065,0.0005638796676401,0.0004158901510468,0.0004647925429701,0.0006014736103453,0.00057753753994,0.0005665757641033,0.0005558212380345,0.0005452526335808,0.0005348674103217,0.0005246630321998,0.0005146369691961,0.0005047866989134,0.0004951097080699,0.0004856034939061,0.0004762655655078,0.0004670934450484,0.0004580846689526,0.0004492367889855,0.0004405473732687,0.0004320140072278,0.0004236342944726,0.0004154058576138,0.0004073263390187,0.0003993934015087,0.000391604729001,0.0003839580270975,0.0003764510236231,0.0003690814691163,0.000361847137274,0.0003547458253528,0.00034777535453,0.0003409335702249,0.0003342183423838,0.0003276275657296,0.0003211591599785,0.0003148110700261,0.0003085812661024,0.0003024677439005,0.0002964685246774,0.0002905816553307,0.0002848052084509,0.0002791372823513,0.0002735760010775,0.0002681195143953,0.0002627659977612,0.000257513652273,0.0002523607046055,0.000247305406928,0.0002423460368076,0.0002374808970985,0.0002327083158158,0.0002280266459988
5,0.0003419145422675,0.0003295837637874,0.0003363126620982,0.0003311500871833,0.0003242656337118,0.0003220645222291,0.0003179192485108,0.00032337263869,0.0003212785626879,0.0003232251043578,0.0003315388930284,0.0003249723171729,0.0003163011045937,0.0002894873215274,0.0002624401138809,0.000246956489925,0.0002352608178621,0.0002366486153304,0.0002337395775887,0.0002296178038774,0.0001581598018204,0.0001585782927461,0.000234846237516,0.0002479679908747,0.000243790411285,0.000239691815467,0.0002356640751705,0.0002317062222306,0.0002278172901449,0.0002239963147122,0.0002202423346364,0.000216554392095,0.0002129315332756,0.0002093728088802,0.0002058772745984,0.0002024439915513,0.0001990720267061,0.0001957604532634,0.0001925083510187,0.0001893148066975,0.0001861789142664,0.0001830997752218,0.0001800764988547,0.0001771082024961,0.0001741940117412,0.0001713330606543,0.0001685244919559,0.0001657674571926,0.0001630611168893,0.0001604046406875,0.0001577972074671,0.0001552380054558,0.0001527262323233,0.0001502610952646,0.0001478418110707,0.0001454676061875,0.0001431377167651,0.0001408513886962,0.000138607877645,0.0001364064490676,0.000134246378223,0.000132126950177,0.0001300474597975,0.000128007211743,0.0001260055204444,0.0001240417100798,0.0001221151145434,0.0001202250774088,0.0001183709518863,0.0001165521007756,0.0001147678964126
10,0.0004962628061682,0.0004903098880688,0.0004991253857918,0.0004796869283794,0.0004616944034216,0.0004447816256099,0.0004435831497351,0.0004191446518021,0.0004126541416867,0.0004076353921364,0.0004313968245057,0.0004381765851638,0.00044807404884,0.0004528599605522,0.0004266746573167,0.0004216673162471,0.0004038444612041,0.000397088021178,0.0003700184470361,0.0003295978905735,0.0002873526166587,0.0002833475007083,0.0003236228000584,0.0003147664101903,0.0003086876995738,0.0003027239166281,0.0002968632341026,0.0002911042432401,0.0002854455377029,0.0002798857145018,0.0002744233748741,0.000269057125112,0.0002637855773426,0.0002586073502619,0.0002535210698231,0.0002485253698827,0.0002436188928035,0.0002388002900191,0.0002340682225585,0.0002294213615346,0.000224858388597,0.0002203779963511,0.0002159788887448,0.0002116597814244,0.0002074194020612,0.0002032564906499,0.000199169799781,0.0001951580948868,0.0001912201544646,0.0001873547702765,0.0001835607475278,0.0001798369050247,0.0001761820753132,0.0001725951047989,0.0001690748538502,0.0001656201968846,0.0001622300224396,0.0001589032332291,0.0001556387461853,0.0001524354924883,0.0001492924175826,0.0001462084811817,0.0001431826572626,0.0001402139340479,0.0001373013139802,0.0001344438136847,0.0001316404639246,0.0001288903095472,0.0001261924094221,0.000123545836372,0.000120949677096
15,0.0027970391175868,0.0028728960261455,0.0029662538740871,0.0030347635965297,0.0030375567478332,0.002988718193822,0.0030039617025287,0.002853103948848,0.0026474309917637,0.0023699531419537,0.0021536669680211,0.0020413744170405,0.0021398695194338,0.0023525403617801,0.0024608754652776,0.0026354175786507,0.0027518741862433,0.0029428393997534,0.0028571292214641,0.002655490723847,0.0022051854860547,0.0019501064483751,0.0016458844898024,0.0015610630405677,0.0015264668525629,0.0014925247603946,0.0014591694508101,0.0014263929060517,0.0013941871221315,0.0013625441141197,0.0013314559211413,0.00130091461109,0.0012709122850687,0.0012414410815654,0.0012124931803729,0.0011840608062626,0.0011561362324209,0.0011287117836575,0.0011017798393939,0.0010753328364426,0.0010493632715844,0.0010238637039535,0.0009988267572385,0.0009742451217081,0.0009501115560695,0.0009264188891676,0.0009031600215328,0.000880327926785,0.0008579156529011,0.0008359163233528,0.0008143231381216,0.0007931293745977,0.0007723283883683,0.0007519136139022,0.0007318785651347,0.0007122168359599,0.0006929221006342,0.0006739881140964,0.0006554087122083,0.0006371778119206,0.0006192894113677,0.0006017375898962,0.0005845165080284,0.0005676204073671,0.000551043610443,0.0005347805205075,0.0005188256212761,0.0005031734766215,0.0004878187302231,0.0004727561051721,0.0004579804035359
20,0.0041120139465184,0.0042226392007283,0.0043096349162777,0.004338316916851,0.004125141249833,0.0039353784611213,0.0039033797343726,0.003762282314638,0.0036492360243124,0.0033653853328895,0.0031738934049184,0.0029989473893269,0.0029728970628636,0.0030994456525068,0.0031446588698996,0.0033062461366823,0.0034477800609876,0.0036667159946845,0.0036778596745851,0.0035351343531879,0.0033598945248301,0.0032958813050888,0.0029184291937622,0.0026524423422706,0.0025927134479507,0.0025341138231644,0.0024765272543522,0.0024199398991854,0.0023643379391084,0.0023097075884686,0.0022560351031431,0.0022033067886769,0.0021515090079496,0.0021006281883841,0.0020506508287145,0.0020015635053289,0.0019533528782019,0.001906005696433,0.0018595088034075,0.0018138491415934,0.0017690137569916,0.0017249898032538,0.0016817645454819,0.0016393253637257,0.0015976597561915,0.001556755342175,0.0015165998647343,0.0014771811931136,0.0014384873249309,0.0014005063881433,0.0013632266427989,0.0013266364825886,0.0012907244362075,0.0012554791685357,0.0012208894816499,0.0011869443156719,0.0011536327494659,0.0011209440011907,0.0010888674287155,0.001057392529906,0.0010265089427887,0.0009962064455989,0.0009664749567188,0.0009373045345129,0.0009086853770639,0.0008806078218161,0.0008530623451309,0.0008260395617588,0.0007995302242327,0.0007735252221866,0.0007480155816041
25,0.0039989923798727,0.0040178454955777,0.004028792178669,0.0039693421986676,0.0037534341395585,0.0035722309593349,0.0035585879805344,0.0034824054915862,0.0035073300883777,0.0033174339771269,0.0031228030256621,0.0028248128967319,0.0027024767228662,0.0027436831831559,0.0027638683137648,0.0028640239536548,0.0029433683406291,0.0030830938697318,0.0031276086417941,0.0031183005262132,0.0029154928040336,0.0032936485825548,0.0029180446321874,0.0026597472003068,0.0025996489965473,0.0025406870447024,0.0024827444126531,0.0024258071724823,0.002369861420193,0.0023148932848946,0.0022608889374829,0.0022078345988288,0.0021557165474923,0.0021045211269756,0.0020542347525335,0.0020048439175544,0.0019563351995304,0.0019086952656293,0.0018619108778878,0.0018159688980381,0.0017708562919851,0.0017265601339503,0.0016830676102947,0.0016403660230377,0.0015984427930856,0.0015572854631833,0.0015168817006029,0.0014772192995829,0.0014382861835298,0.0014000704069943,0.0013625601574356,0.0013257437567814,0.0012896096627987,0.0012541464702818,0.0012193429120691,0.0011851878598983,0.0011516703251073,0.0011187794591896,0.0010865045542132,0.0010548350431081,0.0010237604998316,0.0009932706394169,0.0009633553179108,0.0009340045322075,0.0009052084197835,0.0008769572583387,0.0008492414653489,0.0008220515975347,0.000795378350251,0.0007692125568017,0.000743545187683
30,0.0040784365472362,0.0040586781792689,0.0040648789959351,0.0039608518064301,0.0037780803267528,0.0035831084432562,0.0034637154684464,0.0033549781788052,0.003302056846424,0.003177852071532,0.0030756813276181,0.0029573057799969,0.0029154997211261,0.0028473685618411,0.0027403911312602,0.0027191804962916,0.0027197052112279,0.0028043974915285,0.0027923797263281,0.0027961081708845,0.0030608671177474,0.0032748745870055,0.002686529322663,0.0026940023086803,0.002633524271454,0.0025741896674968,0.0025158808256537,0.0024585837299803,0.0024022843886032,0.002346968842965,0.0022926231765583,0.0022392335231674,0.0021867860746296,0.0021352670881352,0.0020846628930805,0.0020349598974892,0.0019861445940203,0.0019382035655753,0.0018911234905242,0.0018448911475623,0.0017994934202165,0.0017549173010145,0.0017111498953323,0.0016681784249355,0.0016259902312279,0.0015845727782217,0.0015439136552436,0.0015040005793892,0.001464821397738,0.0014263640893434,0.0013886167670065,0.0013515676788472,0.0013152052096831,0.0012795178822251,0.0012444943581008,0.0012101234387151,0.0011763940659548,0.0011432953227489,0.0011108164334887,0.0010789467643183,0.0010476758233001,0.001016993260464,0.000986888867745,0.0009573525788155,0.0009283744688187,0.0008999447540075,0.0008720537912942,0.0008446920777159,0.0008178502498199,0.0007915190829747,0.0007656894906084
35,0.0050978618538197,0.0048304472282054,0.0045800312756765,0.0043696582517481,0.0041155538576906,0.0040177219091619,0.0039079038506847,0.0038731760043235,0.0037776919566056,0.0036399954065067,0.0035328513879304,0.0034012334777824,0.0033578517767379,0.0032731454633024,0.0031597678668761,0.0030632992879517,0.0030395230667057,0.00304632804304,0.0030428747921846,0.003003361377966,0.003552102122936,0.003994370789196,0.0028249255913652,0.0027965680516869,0.0027351763122994,0.0026749452811703,0.0026157555093689,0.0025575927691979,0.0025004428573947,0.0024442916045159,0.0023891248838039,0.0023349286195517,0.0022816887949832,0.0022293914596623,0.0021780227364497,0.0021275688280218,0.0020780160229683,0.0020293507014855,0.0019815593406801,0.0019346285194999,0.0018885449233083,0.0018432953481159,0.0017988667044869,0.0017552460211333,0.0017124204482126,0.0016703772603436,0.0016291038593525,0.0015885877767647,0.0015488166760535,0.0015097783546596,0.0014714607457925,0.0014338519200247,0.0013969400866916,0.0013607135951052,0.0013251609355931,0.0012902707403715,0.0012560317842616,0.0012224329852571,0.0011894634049515,0.0011571122488325,0.0011253688664504,0.0010942227514678,0.0010636635415961,0.0010336810184257,0.0010042651071552,0.0009754058762245,0.0009470935368581,0.0009193184425223,0.0008920710883017,0.0008653421101988,0.0008391222843617
40,0.0066115542100871,0.006215687210579,0.0059799288283029,0.0058399322582746,0.0056771487851528,0.005485486583315,0.0052555800771521,0.0050858613055705,0.0049293668844407,0.0047600554583663,0.004631599620307,0.0044291669926975,0.0043609478301426,0.0042065692469483,0.0041358149415031,0.0039433263928903,0.0038539741058936,0.0038052454477545,0.0037436821163566,0.0036899944255431,0.0046344174358478,0.0054509438839838,0.0036697478305129,0.0037487022819481,0.0036680657565524,0.0035889537926351,0.0035112094969914,0.0034348141818941,0.0033597491917105,0.0032859959152285,0.0032135357973027,0.0031423503498415,0.0030724211621575,0.0030037299106992,0.0029362583681888,0.0028699884121841,0.0028049020330885,0.0027409813416276,0.002678208575817,0.0026165661074379,0.0025560364480456,0.0024966022545279,0.002438246334236,0.0023809516497049,0.0023247013229858,0.0022694786396063,0.002215267052178,0.0021620501836689,0.0021098118303578,0.0020585359644859,0.0020082067366233,0.0019588084777634,0.0019103257011609,0.0018627431039263,0.0018160455683909,0.0017702181632528,0.0017252461445184,0.0016811149562474,0.0016378102311147,0.0015953177907963,0.0015536236461909,0.0015127139974853,0.0014725752340706,0.0014331939343196,0.0013945568652307,0.0013566509819464,0.0013194634271532,0.0012829815303684,0.0012471928071217,0.0012120849580348,0.0011776458678074
