age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.046619489337286,0.053053003880729,0.0458794401495629,0.0392308885098465,0.0325373917606927,0.0344955489614243,0.028746465598492,0.0238031559240439,0.0229028250418625,0.0202279046944005,0.0188934634256387,0.0181222830689324,0.0185279909065075,0.0177798302834382,0.0179719797887,0.0159673857652455,0.0158897067414418,0.0173694298035458,0.0206095282578235,0.0181969552806851,0.0181705809641533,0.0162981680353759,0.0187383302213924,0.0200555170020819,0.0196790922902347,0.0193091597963967,0.0189450613640117,0.0185867348510263,0.0182341175985614,0.0178871464908901,0.0175457580132703,0.0172098883076615,0.0168794732263479,0.0165544483835014,0.0162347492047144,0.0159203109745409,0.0156110688820814,0.0153069580646518,0.0150079136495781,0.0147138707941591,0.0144247647238411,0.0141405307686508,0.0138611043979295,0.0135864212534178,0.0133164171807341,0.0130510282592969,0.012790190830734,0.0125338415258275,0.0122819172900384,0.0120343554076583,0.0117910935246305,0.0115520696700864,0.0113172222766405,0.0110864901994833,0.0108598127343187,0.0106371296341812,0.0104183811251758,0.0102035079211772,0.0099924512375268,0.0097851528037634,0.0095815548754228,0.0093816002449415,0.0091852322516974,0.0089923947912191,0.0088030323235984,0.0086170898811318,0.0084345130752272,0.0082552481025976,0.0080792417507765,0.0079064414029781,0.0077367950423315
1,0.0022738696474305,0.0020545970106214,0.0017001020061203,0.0015067308879832,0.0012991927346115,0.0011347517730496,0.0010236892184526,0.0009788748230749,0.0008664125189944,0.0007779909055545,0.0006887424373379,0.0006472313645565,0.0005727456869455,0.0005518685703773,0.0005884210224174,0.0006773505505274,0.0006635125778906,0.0005958522867648,0.0005431033217373,0.0005897356509944,0.0004176735582803,0.0006348054774644,0.000658479066491,0.0007762130308742,0.0007610044508438,0.0007460581740419,0.0007313476091571,0.0007168702454819,0.0007026235514275,0.0006886049769472,0.0006748119558731,0.0006612419081669,0.000647892242087,0.000634760356271,0.0006218436417376,0.0006091394838073,0.0005966452639436,0.0005843583615182,0.0005722761554989,0.0005603960260646,0.0005487153561476,0.0005372315329054,0.0005259419491242,0.0005148440045556,0.0005039351071886,0.0004932126744582,0.0004826741343933,0.0004723169267056,0.0004621385038204,0.0004521363318531,0.0004423078915304,0.0004326506790611,0.0004231622069557,0.000413840004798,0.0004046816199695,0.0003956846183294,0.0003868465848501,0.0003781651242113,0.0003696378613531,0.0003612624419907,0.0003530365330912,0.0003449578233136,0.0003370240234151,0.0003292328666227,0.0003215821089734,0.0003140695296227,0.000306692931124,0.0002994501396784,0.0002923390053578,0.0002853574023013,0.0002785032288862
5,0.0005876936940466,0.0005159104846638,0.0004650712140296,0.0004541194430756,0.0004441354806318,0.0004549942883695,0.000429649737816,0.0005050304998811,0.0004437004618518,0.0004424733229746,0.0003569104154857,0.0003718103979433,0.0003435946442184,0.0003139445508969,0.0003053102169883,0.000309054183821,0.000291404682649,0.0003176872369152,0.0003105125757593,0.0002788849251077,0.0001627187986703,0.0002457002457002,0.000283825494625,0.0002370904262885,0.0002333090373134,0.000229592866165,0.0002259353013061,0.0002223357184863,0.0002187934882635,0.0002153079766063,0.0002118785454747,0.0002085045533804,0.0002051853559251,0.0002019203063183,0.0001987087558755,0.0001955500544951,0.0001924435511167,0.0001893885941597,0.0001863845319432,0.0001834307130873,0.0001805264868967,0.0001776712037267,0.000174864215332,0.0001721048751994,0.0001693925388635,0.0001667265642076,0.0001641063117491,0.00016153114491,0.0001590004302736,0.0001565135378268,0.0001540698411895,0.0001516687178309,0.0001493095492735,0.0001469917212848,0.0001447146240574,0.000142477652378,0.0001402802057858,0.0001381216887197,0.000136001510656,0.0001339190862367,0.0001318738353874,0.0001298651834275,0.0001278925611704,0.0001259554050164,0.0001240531570374,0.0001221852650531,0.0001203511827009,0.0001185503694976,0.0001167822908955,0.0001150464183305,0.0001133422292653
10,0.000585236177515,0.0005476015054063,0.0005082972043653,0.0005470133073419,0.0004752616414348,0.0004626029783757,0.0004501507026265,0.0004775316486536,0.0004667671512617,0.0004375388923459,0.0004486623035883,0.0004625802133774,0.0004791806011719,0.0004066363044892,0.0003630856052118,0.0003704056470986,0.0004389815627743,0.0004544126716219,0.0004035864656733,0.0003844928539256,0.0003891396677859,0.0002933974293871,0.0003425713404816,0.0003355238800444,0.000329170476456,0.0003229266503739,0.000316781293244,0.000310733356215,0.0003047817817126,0.0002989255044514,0.0002931634524116,0.000287494547779,0.0002819177078501,0.0002764318459025,0.0002710358720311,0.00026572869395,0.0002605092177625,0.0002553763486975,0.0002503289918158,0.0002453660526836,0.0002404864380176,0.0002356890562996,0.0002309728183627,0.0002263366379498,0.000221779432245,0.0002173001223785,0.0002128976339062,0.0002085708972643,0.0002043188482003,0.0002001404281808,0.000196034584776,0.000192000272024,0.000188036450773,0.0001841420890034,0.0001803161621308,0.0001765576532897,0.0001728655535993,0.0001692388624115,0.0001656765875421,0.0001621777454856,0.0001587413616144,0.0001553664703631,0.0001520521153974,0.0001487973497701,0.0001456012360629,0.0001424628465151,0.0001393812631406,0.0001363555778322,0.0001333848924546,0.0001304683189269,0.0001276049792933
15,0.0018135289257863,0.0018714035526645,0.0017250835119908,0.0016147520558185,0.0015290367068746,0.0015450988261262,0.0016102411336097,0.0016612131890259,0.0016869841142329,0.0016389346924499,0.0017499552568258,0.001950881362646,0.0022219369364921,0.0025149665164261,0.0027933788038811,0.0030929981263569,0.0031155144605952,0.0029510231909719,0.0025421266705403,0.0021922392612047,0.0023325126344434,0.0014957311614297,0.0015885798757818,0.0014235508697006,0.0013933392048468,0.0013636486022626,0.0013344262386217,0.0013056671264333,0.0012773662367259,0.001249518503862,0.0012221188301791,0.0011951620904619,0.0011686431362458,0.0011425567999555,0.0011168978988804,0.00109166123899,0.0010668416185931,0.0010424338318421,0.0010184326720876,0.0009948329350858,0.0009716294220625,0.000948816942637,0.0009263903176099,0.0009043443816185,0.0008826739856633,0.0008613739995093,0.0008404393139665,0.0008198648430522,0.0007996455260397,0.0007797763293965,0.0007602522486164,0.0007410683099475,0.0007222195720213,0.000703701127385,0.0006855081039412,0.0006676356662977,0.0006500790170308,0.0006328333978646,0.000615894090771,0.0005992564189911,0.0005829157479821,0.0005668674862928,0.000551107086369,0.0005356300452932,0.0005204319054591,0.0005055082551857,0.0004908547292708,0.0004764670094887,0.0004623408250327,0.0004484719529051,0.000434856218257
20,0.0030998851894374,0.0031681577831819,0.0031037637219027,0.0028840299511851,0.0026402154247486,0.0027977992033032,0.0028701218253148,0.0028377836498421,0.0027435265104808,0.0028230542562179,0.0028407618218199,0.0030725819093901,0.0033292723911947,0.0036888734747927,0.0037756033099455,0.0041092882461808,0.0043723259939476,0.0044684338556946,0.0041048839741978,0.0036752738078986,0.0034340731689332,0.003527261909821,0.0033547635484984,0.0030799014431538,0.0030122735917927,0.0029458121217575,0.0028803987897121,0.0028160224313163,0.0027526717893778,0.0026903355246276,0.0026290022261107,0.0025686604211953,0.0025092985852072,0.0024509051506932,0.0023934685163204,0.0023369770554169,0.002281419124162,0.0022267830694314,0.002173057236306,0.0021202299752516,0.0020682896489773,0.0020172246389809,0.0019670233517891,0.0019176742249019,0.0018691657324473,0.0018214863905578,0.0017746247624736,0.0017285694633843,0.0016833091650139,0.0016388325999602,0.0015951285657949,0.0015521859289326,0.0015099936282768,0.0014685406786507,0.0014278161740191,0.0013878092905103,0.0013485092892434,0.0013099055189696,0.0012719874185329,0.001234744519157,0.0011981664465653,0.0011622429229401,0.0011269637687262,0.0010923189042855,0.0010582983514084,0.0010248922346869,0.0009920907827548,0.0009598843294012,0.0009282633145609,0.0008972182851878,0.0008667398960155
25,0.0036074053906888,0.0037193553117459,0.0036405715697364,0.0034350373812891,0.0032157486091581,0.0031122787087001,0.0029745497978684,0.0029902899573295,0.0031069538677733,0.0033412268465955,0.0033751567037041,0.0034402812055942,0.0034847675040085,0.0036904723590057,0.0040203611840612,0.0042671614100185,0.0043527130074492,0.0040969045609983,0.003681597590227,0.0032040189785096,0.0034174143420085,0.003328266971388,0.0034368070953436,0.0031527881082161,0.0030832777894894,0.0030149663191083,0.0029477321623528,0.0028815638441156,0.0028164497938529,0.0027523783566594,0.0026893378039482,0.0026273163437392,0.0025663021305609,0.0025062832749723,0.0024472478527092,0.0023891839134637,0.0023320794893011,0.0022759226027247,0.0022207012743926,0.002166403530498,0.002113017409818,0.0020605309704413,0.0020089322961827,0.0019582095026919,0.0019083507432666,0.0018593442143777,0.0018111781609156,0.0017638408811659,0.0017173207315223,0.0016716061309468,0.0016266855651839,0.0015825475907371,0.001539180838617,0.0014965740178667,0.0014547159188741,0.0014135954164776,0.0013732014728724,0.0013335231403249,0.001294549563702,0.0012562699828218,0.0012186737346329,0.0011817502552273,0.001145489081695,0.0011098798538245,0.0010749123156556,0.0010405763168918,0.0010068618141742,0.0009737588722263,0.0009412576648721,0.0009093484759333,0.0008780217000118
30,0.0041704442429737,0.0040875174648473,0.0038741557264407,0.003896533379344,0.003562894993567,0.0035389141778616,0.0034210776394564,0.0034120214243205,0.0035801819605025,0.0035643761099864,0.0038035170496262,0.0036686279565859,0.0037857060915452,0.0036898287107038,0.0039254170755642,0.0039878150096926,0.0039577253029097,0.0036779775554743,0.0032787616541018,0.0029277630764033,0.0037329570027086,0.0034818381347459,0.0032169224004258,0.0030302678478132,0.0029640382041447,0.002898950826836,0.0028348899172353,0.0027718445418253,0.0027098036761565,0.0026487562153998,0.0025886909845218,0.0025295967480878,0.0024714622196964,0.0024142760710519,0.0023580269406793,0.0023027034422885,0.002248294172795,0.0021947877200032,0.0021421726699599,0.0020904376139852,0.0020395711553895,0.0019895619158835,0.0019403985416894,0.001892069709362,0.0018445641313272,0.0017978705611466,0.0017519777985159,0.0017068746940058,0.0016625501535528,0.0016189931427086,0.0015761926906554,0.0015341378939949,0.0014928179203192,0.0014522220115702,0.0014123394871954,0.0013731597471068,0.0013346722744503,0.0012968666381919,0.0012597324955279,0.001223259594124,0.0011874377741922,0.001152256970409,0.0011177072136818,0.0010837786327691,0.0010504614557614,0.0010177460114246,0.0009856227304162,0.0009540821463741,0.000923114896888,0.0008927117243537,0.0008628634767183
35,0.0049640325361851,0.0049762993201869,0.0046416270296867,0.0044977991196478,0.004152043118576,0.0040734136743728,0.0037893084134724,0.0038998205785969,0.0038023367617493,0.0040951330918254,0.0041922822615815,0.0044841811885149,0.0045035327112885,0.0045267273729236,0.0044692879698482,0.0043999505623532,0.0041655630733668,0.0039502853638979,0.0037642028951832,0.0038177594811526,0.0037252034006764,0.0042650731562681,0.0032787259807617,0.0032630925845072,0.0031929499675152,0.0031240171041523,0.003056171354162,0.002989401138054,0.0029236947800335,0.0028590405191768,0.0027954265202083,0.0027328408838824,0.0026712716569759,0.0026107068418956,0.0025511344059089,0.0024925422900023,0.0024349184173751,0.0023782507015777,0.0023225270542986,0.0022677353928116,0.0022138636470888,0.0021608997665901,0.0021088317267349,0.0020576475350672,0.0020073352371216,0.0019578829219988,0.0019092787276592,0.0018615108459439,0.0018145675273312,0.0017684370854364,0.0017231079012651,0.0016785684272253,0.0016348071909101,0.0015918127986546,0.0015495739388791,0.0015080793852222,0.0014673179994741,0.0014272787343154,0.0013879506358698,0.0013493228460758,0.0013113846048857,0.0012741252522975,0.0012375342302256,0.0012016010842171,0.001166315465019,0.0011316671300027,0.0010976459444505,0.0010642418827099,0.0010314450292213,0.0009992455794237,0.0009676338405436
40,0.0061216985009409,0.0058827197705115,0.0057100644877912,0.0057535192359326,0.0055153840478122,0.0050123531398304,0.004759368395732,0.0047191048708499,0.0050712741576321,0.0051528356499888,0.0051198801198801,0.0050816752640628,0.0053183452693923,0.0053117885997411,0.0053358351168313,0.0051216204518567,0.0050254813137032,0.0047458283753493,0.0044858755539989,0.004341571858245,0.0047854785478547,0.0058641593467771,0.0038658700631385,0.0040074423930156,0.0039235485397369,0.003841101608427,0.0037599549155981,0.0036800946116379,0.0036015067317492,0.0035241772093168,0.003448091888797,0.0033732365381353,0.0032995968607168,0.0032271585068589,0.0031559070848498,0.003085828171545,0.0030169073225256,0.002949130081832,0.002882481991278,0.0028169485993572,0.0027525154697516,0.0026891681894508,0.0026268923764935,0.0025656736873414,0.0025054978238939,0.0024463505401581,0.0023882176485792,0.0023310850260466,0.0022749386195822,0.0022197644517231,0.0021655486256078,0.002112277329776,0.0020599368426918,0.0020085135369988,0.0019579938835182,0.0019083644549961,0.0018596119296123,0.0018117230942558,0.0017646848475776,0.001718484202828,0.0016731082904863,0.001628544360691,0.0015847797854775,0.0015418020608308,0.00149959880856,0.0014581577780017,0.0014174668475592,0.0013775140260826,0.0013382874540988,0.0012997754048936,0.0012619662854565
