age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0194563991080397,0.0171185951754228,0.0163626231636446,0.0160968984176615,0.0156673460351157,0.0147710814417537,0.0144264105395619,0.0143432425353588,0.0137164138003383,0.0138729607956532,0.0131360361216419,0.0131018245263561,0.0124868761363345,0.0126568910451296,0.0125098527803911,0.0122471545121753,0.0118344515450445,0.0117449064793546,0.0115830615520008,0.0117548195421807,0.0105022878499752,0.0111452054794521,0.0124979075040709,0.0122036424612232,0.0120039305874545,0.0118078992481599,0.0116153141787303,0.0114261223425083,0.0112402711470692,0.0110577084595382,0.0108783826207442,0.0107022424582517,0.010529237298318,0.0103593169768148,0.0101924318491604,0.010028532799301,0.0098675712477834,0.0097094991589597,0.0095542690473611,0.0094018339832825,0.0092521475976132,0.0091051640859522,0.0089608382120424,0.0088191253105623,0.0086799812893045,0.0085433626307797,0.0084092263932734,0.0082775302113901,0.0081482322961133,0.0080212914344098,0.0078966669884074,0.0077743188941715,0.0076542076601059,0.0075362943650021,0.0074205406557602,0.0073069087448023,0.0071953614071999,0.0070858619775337,0.0069783743465039,0.0068728629573097,0.0067692928018112,0.0066676294164912,0.0065678388782292,0.0064698877999025,0.0063737433258236,0.0062793731270291,0.006186745396427,0.0060958288438156,0.0060065926907807,0.0059190066654818,0.0058330409973341
1,0.000709762594635,0.0006735851606705,0.0006423216473418,0.0006214162641584,0.0005872735260415,0.0005819971935313,0.0005675866850841,0.0005616018298008,0.0005353906760878,0.0005243151133831,0.000515573988115,0.0004933273992237,0.0004813113896742,0.0004671936611164,0.0004404261061968,0.0004258472435413,0.0004070635058821,0.000428588354006,0.0004421046740777,0.0004702277509931,0.0003105724232882,0.0003940768749204,0.0004765021151732,0.0004902222935272,0.0004814040341942,0.0004727482885208,0.0004642447125748,0.0004558909645276,0.0004476847221655,0.0004396236835662,0.0004317055677238,0.0004239281151241,0.0004162890882728,0.0004087862721773,0.0004014174747858,0.0003941805273834,0.0003870732849488,0.0003800936264726,0.0003732394552381,0.0003665086990685,0.0003598993105402,0.000353409267164,0.0003470365715371,0.0003407792514664,0.0003346353600645,0.0003286029758208,0.0003226802026478,0.0003168651699054,0.0003111560324033,0.000305550970384,0.000300048189486,0.0002946459206899,0.0002893424202479,0.0002841359695977,0.0002790248752616,0.0002740074687328,0.0002690821063478,0.0002642471691486,0.0002595010627322,0.0002548422170915,0.0002502690864453,0.0002457801490601,0.0002413739070637,0.0002370488862508,0.0002328036358815,0.0002286367284734,0.0002245467595874,0.0002205323476075,0.0002165921335156,0.0002127247806614,0.0002089289745275
5,0.0003302064761671,0.0003049816012062,0.0002926880197925,0.000282667397037,0.0002720252925147,0.0002753869419913,0.0002752639605681,0.0002768701278384,0.0002615818655684,0.000244085174218,0.0002272714708579,0.0002185653519742,0.0002235609212983,0.0002204781371961,0.0002071487618505,0.0001908175718887,0.0001836961495718,0.0001779397703208,0.0001754293633668,0.0001773008342198,0.0001405139602865,0.0001536609726739,0.0002012662411568,0.0002006102162849,0.0001975872479095,0.0001946199904896,0.0001917048980443,0.0001888411677763,0.0001860280036127,0.0001832646164363,0.0001805502243006,0.0001778840526264,0.000175265334383,0.0001726933102537,0.0001701672287859,0.0001676863465272,0.0001652499281475,0.0001628572465481,0.0001605075829582,0.0001582002270193,0.0001559344768585,0.0001537096391507,0.0001515250291706,0.0001493799708349,0.0001472737967354,0.0001452058481632,0.0001431754751247,0.0001411820363497,0.0001392248992927,0.0001373034401263,0.0001354170437296,0.0001335651036687,0.0001317470221733,0.0001299622101067,0.0001282100869316,0.0001264900806707,0.0001248016278633,0.0001231441735179,0.0001215171710608,0.000119920082281,0.0001183523772728,0.000116813534374,0.0001153030401022,0.0001138203890884,0.0001123650840075,0.0001109366355074,0.0001095345621354,0.0001081583902626,0.000106807654007,0.0001054818951544,0.0001041806630781
10,0.0004727092269624,0.0004541428792658,0.0004287365647453,0.0004010993876197,0.0003840277345534,0.000367364639921,0.0003515418331851,0.0003275183234804,0.0003163011210015,0.0003103022681756,0.0003096238303261,0.0003073546580591,0.0003033939473202,0.000304643578936,0.0003018271733975,0.0002828920279062,0.0002588431329725,0.0002417975087912,0.0002346346284909,0.0002364692428461,0.000201596461297,0.0002227477905384,0.0002404554539936,0.0002429429312074,0.0002386141597045,0.0002343651640931,0.000230190866668,0.0002260901178555,0.0002220617777102,0.0002181047162479,0.0002142178137516,0.0002103999610545,0.0002066500597991,0.0002029670226737,0.0001993497736278,0.0001957972480669,0.0001923083930273,0.0001888821673324,0.0001855175417306,0.0001822134990166,0.0001789690341362,0.000175783154275,0.0001726548789336,0.0001695832399873,0.0001665672817338,0.0001636060609279,0.0001606986468045,0.00015784412109,0.0001550415780039,0.0001522901242505,0.0001495888790004,0.0001469369738644,0.000144333552859,0.0001417777723638,0.000139268801072,0.0001368058199348,0.0001343880220987,0.0001320146128378,0.00012968480948,0.0001273978413286,0.0001251529495792,0.0001229493872324,0.0001207864190015,0.0001186633212181,0.0001165793817322,0.0001145338998109,0.0001125261860328,0.0001105555621803,0.0001086213611286,0.0001067229267331,0.0001048596137138
15,0.0024419245094279,0.0024285822827462,0.0023270229685785,0.0020962670321696,0.0018203284222623,0.0015867113069762,0.0014239268917375,0.0013233302313582,0.0012288406472279,0.0011838697314902,0.0011776520945507,0.0012477265262016,0.0013013569139515,0.0013809827385843,0.0013780434442068,0.0013287572099685,0.0012154215477375,0.0011233461033454,0.0010556700736289,0.000951113492086,0.0009942125909879,0.0008443546065512,0.0008093214641269,0.0008167389920916,0.0008001496098179,0.0007838659569544,0.0007678685739411,0.0007521530552045,0.0007367150320716,0.0007215501740428,0.0007066541899676,0.0006920228291266,0.0006776518822255,0.0006635371823016,0.0006496746055494,0.0006360600720662,0.0006226895465231,0.000609559038763,0.0005966646043306,0.0005840023449356,0.0005715684088548,0.000559358991273,0.0005473703345693,0.0005355987285481,0.0005240405106205,0.0005126920659376,0.000501549827478,0.0004906102760932,0.0004798699405126,0.0004693253973104,0.0004589732708376,0.0004488102331201,0.0004388330037262,0.0004290383496042,0.0004194230848932,0.0004099840707085,0.0004007182149024,0.0003916224718041,0.0003826938419375,0.0003739293717208,0.0003653261531476,0.0003568813234512,0.0003485920647543,0.0003404556037026,0.0003324692110866,0.0003246302014498,0.000316935932686,0.0003093838056251,0.0003019712636095,0.0002946957920609,0.0002875549180388
20,0.003528910817325,0.0034271179038573,0.0032566467312126,0.0030377518257331,0.0026564601353882,0.0023180489264926,0.0020598817997322,0.0019631708926625,0.0019086861339755,0.0018886938430531,0.0018833457095528,0.0018952390835456,0.0018807089928699,0.001853994784716,0.001779498600436,0.001694307721554,0.0016246338115574,0.0015716895461048,0.001579860137272,0.0015888399787149,0.0016984760750047,0.0017282750111045,0.0015707309649879,0.0014634070461314,0.0014324636333127,0.0014020904835209,0.0013722512997327,0.0013429378644338,0.0013141420289395,0.0012858557157677,0.0012580709208321,0.0012307797154616,0.0012039742482525,0.0011776467467608,0.0011517895190414,0.0011263949550394,0.0011014555278408,0.0010769637947892,0.0010529123984729,0.0010292940675905,0.0010061016176991,0.0009833279518522,0.0009609660611317,0.0009390090250803,0.0009174500120393,0.0008962822793968,0.0008754991737518,0.0008550941309982,0.0008350606763343,0.0008153924242012,0.0007960830781559,0.0007771264306814,0.0007585163629387,0.0007402468444652,0.0007223119328209,0.000704705773188,0.000687422597926,0.0006704567260846,0.0006538025628789,0.0006374545991285,0.0006214074106624,0.0006056556576938,0.0005901940841651,0.0005750175170662,0.0005601208657279,0.0005454991210916,0.0005311473549578,0.0005170607192139,0.000503234445044,0.0004896638421208,0.0004763442977816
25,0.0037223297492822,0.0035425954786521,0.0033129945082761,0.0030116821409903,0.0026775426722566,0.0024119882669746,0.0021771654667724,0.0020559230485045,0.0019985750309018,0.001976262701627,0.0019791625017624,0.0019427534609421,0.0018993493559952,0.001869913994672,0.0018059763173051,0.0017430843349098,0.0016403547364824,0.0015931737934226,0.0015705173148961,0.0015507043383363,0.0017281750506249,0.0020679155574009,0.0017647711285078,0.0017024507440459,0.0016655820640751,0.0016293928451954,0.0015938398399686,0.0015589132573317,0.0015246033882312,0.0014909006084507,0.0014577953812239,0.0014252782596408,0.0013933398888543,0.0013619710080971,0.0013311624525152,0.0013009051548256,0.0012711901468067,0.0012420085606287,0.0012133516300298,0.0011852106913476,0.0011575771844104,0.0011304426532974,0.0011037987469724,0.0010776372197993,0.0010519499319441,0.0010267288496712,0.0010019660455385,0.0009776536984978,0.0009537840939055,0.0009303496234504,0.0009073427850012,0.0008847561823806,0.0008625825250708,0.0008408146278524,0.0008194454103846,0.000798467896727,0.0007778752148095,0.0007576605958529,0.0007378173737426,0.0007183389843606,0.0006992189648769,0.0006804509530036,0.0006620286862157,0.0006439460009378,0.0006261968317027,0.0006087752102814,0.0005916752647872,0.0005748912187562,0.0005584173902052,0.0005422481906693,0.00052637812422
30,0.0041002443854269,0.0038943702195373,0.0036710695613935,0.0033907269390901,0.003098447459694,0.0028555639754586,0.0026327570204274,0.002479032327577,0.0023966780926901,0.0023373882734183,0.0022841879486243,0.0022371475953565,0.0021967153719483,0.0021640038428146,0.0020725593463129,0.0019904895868547,0.0019037601668382,0.0018443366922959,0.0018090498165665,0.0018139411497706,0.0021692508551261,0.0026803156323309,0.0020957616032259,0.0020016087478579,0.0019580089746218,0.0019152127112895,0.0018731688147634,0.0018318657064317,0.0017912919046648,0.0017514360281588,0.0017122867990256,0.0016738330456382,0.0016360637052408,0.0015989678263332,0.0015625345708393,0.0015267532160674,0.0014916131564733,0.0014571039052324,0.001423215095632,0.0013899364822895,0.001357257942208,0.0013251694756741,0.0012936612070078,0.0012627233851719,0.001232346384248,0.001202520703786,0.0011732369690353,0.0011444859310634,0.0011162584667691,0.0010885455787959,0.0010613383953529,0.0010346281699473,0.0010084062810353,0.0009826642315967,0.0009573936486366,0.0009325862826215,0.0009082340068516,0.0008843288167754,0.0008608628292497,0.0008378282817495,0.0008152175315295,0.0007930230547429,0.0007712374455189,0.0007498534150019,0.000728863790356,0.000708261513736,0.0006880396412283,0.0006681913417634,0.0006487098960018,0.0006295886951958,0.0006108212400285
35,0.0047786100582976,0.0045751762740912,0.004368993851123,0.0041781808408735,0.0039377473899189,0.0037002455771401,0.0034560975675189,0.0032996577592052,0.0031857053766811,0.0031251740345051,0.0030504032167888,0.0029780631326732,0.0028923734563461,0.0027907891885889,0.0026537347136521,0.0025373436917604,0.0024347395907996,0.0023831401134812,0.0023229038981316,0.0022858250005034,0.0027347196925899,0.00385583725467,0.0025182626183454,0.0025197998137466,0.00246532282205,0.0024118497989316,0.0023593168421763,0.0023077094845542,0.0022570133800127,0.0022072143078541,0.0021582981765964,0.0021102510275287,0.0020630590379722,0.0020167085242599,0.0019711859444454,0.0019264779007533,0.0018825711417808,0.0018394525644633,0.0017971092158128,0.0017555282944415,0.0017146971518793,0.0016746032936964,0.0016352343804404,0.0015965782283972,0.0015586228101856,0.001521356255195,0.0014847668498734,0.0014488430378759,0.001413573420081,0.0013789467544827,0.0013449519559664,0.0013115780959749,0.0012788144020723,0.0012466502574119,0.0012150752001144,0.0011840789225626,0.0011536512706174,0.0011237822427617,0.0010944619891753,0.0010656808107478,0.0010374291580311,0.0010096976301383,0.0009824769735908,0.0009557580811184,0.0009295319904147,0.0009037898828517,0.000878523082157,0.0008537230530538,0.0008293813998702,0.0008054898651161,0.000782040328033
40,0.0060442913432873,0.0058462855812456,0.0056071121184411,0.0053795928973058,0.0051592203679505,0.0049573368585506,0.004746638761133,0.004639649378942,0.004516307043957,0.0044185841808399,0.0043066483104607,0.0041879826089341,0.0040957576744564,0.0039495466875592,0.0038144571703446,0.0036168976754489,0.003451179533329,0.0033041147292529,0.0032319688133194,0.0031642753196146,0.0037598043587444,0.0053510736640712,0.003538586445119,0.0033446089955474,0.0032740276625378,0.0032047470885891,0.0031366844808854,0.0030698210954336,0.0030041383452397,0.0029396178057214,0.0028762412197113,0.0028139905020617,0.0027528477438709,0.0026927952163432,0.0026338153742985,0.0025758908593471,0.0025190045027424,0.002463139327927,0.0024082785527858,0.0023544055916191,0.0023015040568502,0.0022495577604799,0.0021985507152997,0.0021484671358792,0.0020992914393351,0.002051008245899,0.0020036023792901,0.0019570588669081,0.0019113629398538,0.00186650003279,0.0018224557836503,0.0017792160332068,0.0017367668245053,0.0016950944021754,0.0016541852116254,0.001614025898128,0.001574603305805,0.0015359044765176,0.0014979166486686,0.0014606272559225,0.0014240239258493,0.0013880944784972,0.0013528269248993,0.0013182094655186,0.0012842304886359,0.0012508785686844,0.001218142464535,0.001186011117736,0.0011544736507091,0.0011235193649075,0.0010931377389359
