age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0360704706169227,0.0328184963230429,0.0341641780362917,0.0340623807515414,0.0294845177160633,0.0246232592520275,0.0227261700962691,0.0201032463019954,0.0187007378081699,0.0182729494301628,0.0156217173384555,0.0148448043184885,0.0145738192294725,0.0148679526836927,0.0137127771091354,0.0125222131863498,0.0127558363253496,0.0134025682408252,0.0129899935738548,0.0120674803131599,0.0117569436716005,0.0116618075801749,0.0113052326584112,0.0117013073184728,0.0115146590640002,0.0113316272526509,0.0111518096709391,0.0109751668058034,0.0108016382132247,0.0106311861438018,0.0104637446563996,0.0102992890848277,0.0101377734674564,0.00997911354693,0.0098233078770992,0.0096702734428801,0.0095199877830958,0.0093723906944047,0.0092274557897913,0.0090851304527387,0.0089453628369329,0.0088081292580902,0.0086733741617702,0.0085410581836806,0.0084111424376349,0.0082835994851326,0.0081583636523789,0.0080354164070663,0.0079147146766965,0.0077962129465654,0.0076798829320935,0.0075656913228002,0.0074535897603935,0.0073435433544744,0.0072355288587434,0.0071295045840807,0.0070254373381924,0.0069232848878612,0.0068230248415591,0.0067246205775683,0.0066280396968297,0.0065332543153811,0.0064402240500857,0.006348932061968,0.0062593316479672,0.0061714026347627,0.0060851122890916,0.0060004374295724,0.0059173498963641,0.0058358091153891,0.0057557979689163
1,0.0015473761914131,0.0012867056431876,0.0011980212733035,0.0011435824290444,0.0010344805291367,0.0009371946418434,0.0008537653613732,0.0007892646135378,0.0007090164727574,0.0006658868312867,0.0006312470917544,0.0006023330736117,0.0005829504792002,0.0005330399075556,0.0004959293271763,0.0004919489539765,0.0005043989407622,0.0005357978746039,0.0005130597917945,0.0005069332274491,0.0004111786542296,0.0004272420452993,0.0004825386278104,0.0004239075718452,0.0004176330418996,0.0004114742438041,0.0004054225719999,0.0003994739284706,0.0003936271749736,0.0003878823241701,0.0003822376636354,0.0003766916442439,0.0003712428228965,0.0003658897769487,0.0003606308290392,0.0003554644146934,0.0003503888724389,0.0003454028511942,0.0003405048576474,0.0003356934633658,0.0003309675035734,0.0003263254425319,0.0003217660082745,0.0003172877391464,0.000312889442629,0.0003085697876567,0.0003043274884832,0.0003001612811692,0.0002960699389569,0.0002920521861034,0.0002881068312794,0.0002842326772512,0.0002804285605431,0.0002766932628042,0.0002730256397822,0.000269424583951,0.0002658889791774,0.0002624177245349,0.0002590097113312,0.0002556639652565,0.0002523792836156,0.0002491548128906,0.0002459892082618,0.0002428817177344,0.0002398310459651,0.0002368366169533,0.0002338975205296,0.0002310123902705,0.000228180515768,0.0002254008079773,0.0002226725744153
5,0.0004479739829608,0.0004525576433753,0.0004654234482886,0.0004564184725429,0.0004247826982102,0.0003768462767227,0.0003609220518479,0.000350733471372,0.0003396424491308,0.0003202570526028,0.0002966143781778,0.0002872805495801,0.0002810317678875,0.0002765066748424,0.0002744922619324,0.0002608107530652,0.000250479961603,0.0002405482063172,0.0002579784070528,0.0002870980627122,0.0001963953656928,0.0001836127203158,0.0002136892116583,0.0002252112326043,0.000221627833157,0.000218114503664,0.000214658424829,0.0002112693822139,0.0002079431681173,0.0002046699510354,0.000201451001219,0.0001982889457848,0.0001951794149849,0.0001921212742958,0.0001891171603357,0.0001861662767029,0.0001832678379162,0.0001804199385461,0.0001776226297341,0.0001748746834907,0.0001721750592061,0.0001695224781813,0.0001669165000511,0.0001643565783887,0.0001618413815828,0.0001593708014796,0.0001569439464141,0.0001545600619023,0.0001522183690254,0.0001499183072767,0.0001476590640742,0.0001454402009669,0.0001432610937103,0.0001411206331069,0.0001390189187366,0.0001369547070592,0.0001349274823166,0.0001329367323493,0.0001309821746533,0.0001290628082279,0.0001271779320654,0.0001253270434745,0.000123509552408,0.0001217251280353,0.0001199731541071,0.0001182530170069,0.000116564288703,0.0001149064066439,0.0001132788728268,0.0001116811007855,0.0001101122550238
10,0.0004787673074961,0.0004656663720535,0.0004770705091685,0.0004606934710011,0.0004248289976466,0.0003893544017326,0.000377782220755,0.0003975887412223,0.0003869722488986,0.0003950224780917,0.0003717359584915,0.0003864321570815,0.0003981344556933,0.0004152807752253,0.0003936661124203,0.0003606662589172,0.0003438294494116,0.0003680927536891,0.0003688282499387,0.0003298027896062,0.000363959165557,0.0003085212051891,0.0003068678865046,0.000267861566665,0.0002629215256737,0.000258061061228,0.0002532856302581,0.0002485821065881,0.0002439547149651,0.0002394112645347,0.0002349506833064,0.0002305651057813,0.0002262646291786,0.0002220445999316,0.0002178941616012,0.0002138143515821,0.000209808092888,0.0002058702841372,0.000201999634012,0.0001981981474896,0.0001944647484709,0.0001907988838457,0.000187198372446,0.0001836626732194,0.0001801908917674,0.0001767810876679,0.0001734318293103,0.0001701424638236,0.0001669123011609,0.0001637395592244,0.0001606242456191,0.0001575647907313,0.0001545604200731,0.0001516100551299,0.0001487129376636,0.0001458683005465,0.0001430753716252,0.0001403331851546,0.0001376403790247,0.000134996673284,0.0001324011640668,0.0001298532035239,0.0001273512740203,0.0001248953820312,0.0001224843097128,0.0001201174034739,0.0001177940877199,0.0001155132967638,0.0001132745543669,0.0001110771818669,0.0001089202349977
15,0.001144108637591,0.0011434061160732,0.0011314451967457,0.0011363285178044,0.0011612958214658,0.0011545283627558,0.0011585378095486,0.0011404945212579,0.001140081292753,0.0011953846117537,0.0012790595956658,0.0015089098096945,0.0017262491413553,0.0019699222392774,0.0019843662635808,0.0018617303838846,0.0018621223662425,0.0018491171915066,0.001698039848393,0.0011307487647282,0.0015967880476168,0.0014182307111414,0.0012660725679955,0.0010820092956426,0.0010598764689504,0.0010379773745649,0.0010164106023726,0.0009951893735152,0.000974262480254,0.0009535840047524,0.0009331200516719,0.0009130120806374,0.0008931353174055,0.0008735388382081,0.0008543087202726,0.0008354324573462,0.0008168474238676,0.0007986474032874,0.0007808080737597,0.0007632352968398,0.0007459381945935,0.0007289432136019,0.0007122121925003,0.0006957408983846,0.0006795583152838,0.000663660995714,0.0006480439663523,0.0006326950682256,0.0006176132180051,0.0006027977331534,0.0005882327300318,0.000573915476382,0.000559843812336,0.0005460177506205,0.0005324223507018,0.0005190611943182,0.0005059341883614,0.0004930319361495,0.0004803496303222,0.0004678868354097,0.0004556423729208,0.0004436090358391,0.0004317904511276,0.0004201724596711,0.000408758670458,0.000397543077354,0.0003865255133717,0.0003756985845633,0.0003650646217719,0.0003546188474902,0.0003443581539366
20,0.0018433839262073,0.0018454312375367,0.0018221322738071,0.0018117092795511,0.0017753045789361,0.0017234159892152,0.0016841930233847,0.0016805654080295,0.0016984065678322,0.0017974591472548,0.0018741345998537,0.0020833951918604,0.0022176689174104,0.0023609175056695,0.0023116794438064,0.0021807554236195,0.0022631398573075,0.002324619146135,0.0021914729937646,0.0015887084209208,0.0023823012823904,0.0019988308477926,0.0018947560116658,0.0017900835143337,0.001754767996392,0.0017198398031147,0.0016850379016605,0.0016503827454215,0.0016159374712542,0.0015816913777255,0.0015477091015588,0.0015142571437876,0.0014813747362496,0.0014489752626146,0.0014169809191994,0.0013853254044029,0.0013542244846114,0.0013234526879135,0.0012931110448083,0.0012633413718373,0.0012341136717436,0.0012053312919148,0.0011771525603553,0.0011495326705901,0.001122317731303,0.0010955208752726,0.0010691888912263,0.001043260154203,0.001017730649264,0.0009926468720417,0.0009679940408371,0.0009437783900121,0.0009199724295226,0.0008965746104967,0.000873587791636,0.0008509935243223,0.0008287767129352,0.0008069372805272,0.0007854723763515,0.0007643609224125,0.0007436125229984,0.0007232229634302,0.0007031772169931,0.0006834748210445,0.0006641062674438,0.0006450757463263,0.0006263699316646,0.0006079924431442,0.0005899233785477,0.0005721679459587,0.0005547200333051
25,0.002090712482675,0.0020974449605476,0.0021403099194453,0.0021404705282693,0.0020782446195628,0.0019762613023886,0.0019216405630707,0.001860698668638,0.0018213594299349,0.0018614747001366,0.0019056737644771,0.0020210307387409,0.0021043536248204,0.0022341491636791,0.0022417911640684,0.0021150810437151,0.0021050864312327,0.0020747612537042,0.0019428063708506,0.0014925044690994,0.0021297052529283,0.0022190171188705,0.0019457574704115,0.0019607382094449,0.0019229433901574,0.001885863750444,0.001848945159585,0.0018120487986097,0.001775159957353,0.0017384487684887,0.0017021184813539,0.0016660148025465,0.0016301868198482,0.0015946802501534,0.0015594794349502,0.0015246479123055,0.0014903872505398,0.0014567189941386,0.0014235670408468,0.0013908560034054,0.0013585341197457,0.0013267870402919,0.0012954157180974,0.0012645081067519,0.001234182438038,0.0012044110616237,0.0011751074295342,0.0011464092348528,0.0011182701025036,0.0010905554076423,0.0010632851657409,0.0010364962570335,0.0010101290917795,0.0009841831295728,0.0009586926684948,0.000933644486282,0.0009090401413807,0.0008848610068491,0.0008611037554705,0.0008377690610349,0.0008148359328026,0.0007922971047971,0.0007701440684214,0.0007483777155469,0.0007269785163249,0.0007059527229896,0.0006852929061598,0.0006649880565207,0.0006450356540406,0.0006254275744941,0.0006061664449207
30,0.0025774212873116,0.0025677847118048,0.0025463644651664,0.0025460034377154,0.0024524091211683,0.0022953640447375,0.00221322455961,0.0021462244104012,0.0021155895692513,0.0021140045839543,0.0021499653449642,0.0022780678468669,0.002366631780443,0.0024190142376667,0.0023470714698431,0.002197034275638,0.0021568068501476,0.0021066928524541,0.0020301358251213,0.0017954345044322,0.0023027645098675,0.0023911401963252,0.0019525609811022,0.0019647796044226,0.0019245089409608,0.0018852848123542,0.0018470784703018,0.0018099041170333,0.0017737893542976,0.0017386088003763,0.0017040290375818,0.0016696814961526,0.0016354602582124,0.0016013493327026,0.0015674840089555,0.0015340256673339,0.0015008454579474,0.0014679759598242,0.0014354538366429,0.0014032622155023,0.0013714429608488,0.0013401578782306,0.0013094240911189,0.0012791779887341,0.0012493601311335,0.0012199285790934,0.001191026007197,0.001162493966052,0.0011344010518705,0.0011068330901106,0.001079768338122,0.0010531410783934,0.0010270574335099,0.0010014793823737,0.0009763025012946,0.0009515395439973,0.0009272182896745,0.0009032883871895,0.0008797520894745,0.0008566354301565,0.0008339231090938,0.0008116171392538,0.0007897012942472,0.0007681700231706,0.0007470246461572,0.0007262489483855,0.0007058374354963,0.0006857804101809,0.0006660777704808,0.0006467140724615,0.0006276931217348
35,0.0032213309518873,0.0031856614306867,0.0031985641413187,0.0031932105774868,0.00311086180221,0.0029578268789563,0.0027787952659433,0.0026400090146649,0.0025828265930233,0.0025790963714178,0.0025967523330196,0.002695509410489,0.0027545776314298,0.0027442094253101,0.0026874445061702,0.0025320194316339,0.0025172282636366,0.0024893631647382,0.0024043838067546,0.0021006420272111,0.0026721859452736,0.0030368983839803,0.0022561353136885,0.0022535325645606,0.0022069564491979,0.0021611055514412,0.0021161616110162,0.0020723064953868,0.0020295039113083,0.0019876717397998,0.0019468304067964,0.0019070367590932,0.0018682875179993,0.001830611098027,0.0017938878469183,0.0017578071191528,0.0017220026650402,0.0016863762104486,0.0016509073051328,0.001615732021261,0.001581003854852,0.0015465993139164,0.001512543828618,0.0014788714105863,0.0014455723066866,0.0014126791826656,0.0013803435775645,0.0013485850975419,0.001317339238234,0.0012865465903446,0.0012561739478222,0.0012263457942284,0.0011969188583362,0.0011679522755782,0.0011395286399529,0.0011116254090938,0.0010841781807713,0.0010572921992754,0.0010309227023764,0.0010049728222896,0.000979456718198,0.0009543992489761,0.0009297537529358,0.0009055203621698,0.0008817195924259,0.0008583394994375,0.0008353758393344,0.0008128191163809,0.0007906618519773,0.0007689025371805,0.0007475288840575
40,0.0040939447292345,0.0040471014231062,0.0039948788319691,0.0040478352546442,0.0039232046387364,0.0037414351772007,0.0035229770927763,0.0033686875585576,0.0033743699034922,0.0033670850636927,0.0033583699131526,0.0032952140326101,0.0033086250419505,0.0032981065689396,0.0032745123959855,0.0031539012118455,0.0031402046768415,0.0031126765110158,0.0030210779046785,0.002786126123802,0.0036319328178567,0.0040185315895304,0.0030202126503594,0.0028237386474627,0.0027684563414228,0.0027140242080347,0.0026601349868037,0.0026066746535293,0.0025536320333589,0.0025011450497285,0.0024494260365882,0.0023987217415607,0.0023492157074964,0.0023008647950079,0.0022535915685318,0.0022074060862036,0.002162363603932,0.0021184458189126,0.0020756865625496,0.002033967473505,0.0019929855089146,0.0019523918665146,0.001912093712347,0.0018720732327203,0.0018324492888414,0.0017933707665261,0.0017547116028738,0.0017164974489656,0.0016787604128202,0.0016414877964576,0.0016047147785903,0.0015685751781133,0.0015330900954785,0.0014981866620687,0.0014638173910822,0.001429943131142,0.0013966904728834,0.0013639093118459,0.001331661591384,0.0013000207598253,0.0012689638682756,0.001238427492582,0.0012085073745852,0.0011791641412281,0.0011503017938831,0.0011219346265629,0.0010940820596491,0.0010667011543279,0.0010397876877818,0.0010133621509224,0.0009874108904015
