age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0279133248477971,0.0244935907704582,0.0234759158664367,0.0224737235629893,0.0211874107792173,0.0208190738899991,0.0194784493751594,0.017719460875195,0.0170587750638534,0.015872592739279,0.0148104748121045,0.0146497134422009,0.0139469373382936,0.0131874978366965,0.0121041166922004,0.0119237829120932,0.0110118706820871,0.0118029768777109,0.0114275189083611,0.0113585384341692,0.0106310861572571,0.0110438716776011,0.0114053193869324,0.0112617453126209,0.0110837145400243,0.0109091817375368,0.0107378440178795,0.0105696416974476,0.0104045238514784,0.0102424349044106,0.0100833258577322,0.0099271263060926,0.0097738071057701,0.0096233140257771,0.0094755856639623,0.0093305870250621,0.0091882700344687,0.0090485719707788,0.0089114661046746,0.0087768897807868,0.0086448083520814,0.0085151704224363,0.0083879431436968,0.0082630683825871,0.0081405147908052,0.0080202382123056,0.0079021943876983,0.0077863525960889,0.0076726595702625,0.0075610867865312,0.0074515886524961,0.0073441346531536,0.0072386779251648,0.0071351932600727,0.0070336381281887,0.0069339794726787,0.0068361877444437,0.0067402196696357,0.0066460448475925,0.0065536348850757,0.0064629501913859,0.0063739642915554,0.0062866443060183,0.0062009651905325,0.0061168884581708,0.0060343895490758,0.0059534349869777,0.005874002410202,0.0057960599015807,0.0057195810845844,0.0056445365514389
1,0.0010081780239561,0.0008804674920546,0.0008398296476692,0.0007682131175895,0.0007277817546547,0.0006875074839751,0.0006629847138712,0.0006463308361201,0.0006053136199068,0.0005737167583744,0.0005458878297495,0.0005382748480652,0.0005193184545236,0.0005182347207612,0.0004967743494333,0.0004995475252223,0.0004740378602045,0.0004787690210744,0.0004751838349534,0.0004887285773973,0.0003721457148629,0.0003599873565416,0.0005204213536682,0.0005353660375525,0.000526344119868,0.000517487309745,0.0005087953857714,0.00050025995103,0.0004918732734076,0.0004836396191602,0.0004755543512773,0.0004676146212287,0.0004598180320196,0.0004521620671359,0.0004446443541188,0.0004372626839981,0.0004300147494673,0.0004228983116964,0.0004159108954467,0.0004090505581021,0.0004023149764561,0.000395702065899,0.0003892095241045,0.0003828353054013,0.000376577369763,0.0003704336389003,0.0003644021670636,0.0003584808769182,0.0003526679777362,0.0003469614320349,0.0003413593165416,0.0003358599238576,0.0003304612574662,0.0003251616289943,0.0003199592856853,0.0003148524584824,0.0003098395185424,0.0003049187287215,0.0003000884483567,0.0002953470509711,0.0002906929659818,0.0002861246177281,0.0002816404590321,0.000277238987919,0.000272918722823,0.0002686781834188,0.000264515916102,0.0002604305145164,0.0002564206463037,0.0002524849259315,0.0002486219915583
5,0.0003463149311539,0.0003154744578981,0.0002988555932108,0.0003047500491769,0.0002998073427371,0.0002996755504747,0.0002811369784002,0.0002714794277557,0.0002603382770487,0.0002537701162356,0.0002575429358064,0.000257119326133,0.0002537838902938,0.0002393319039311,0.0002223922158378,0.0002199536611138,0.000215607240772,0.0002159298220448,0.0002095031552096,0.0002094096259391,0.0001565717178273,0.0001820326217627,0.0002215387426344,0.0002434506080559,0.0002392799060258,0.0002351883399276,0.0002311743023315,0.0002272359413851,0.0002233715650544,0.0002195801665413,0.0002158604216568,0.000212210930312,0.0002086306019003,0.0002051182323648,0.000201672474058,0.0001982921421211,0.0001949760324459,0.000191722962591,0.000188531768907,0.0001854013007119,0.0001823304465848,0.0001793181008418,0.0001763631854683,0.0001734646333439,0.0001706213987647,0.0001678324491432,0.0001650967794009,0.0001624134026519,0.0001597813264426,0.0001571995981999,0.0001546672946942,0.0001521834627486,0.0001497472065334,0.0001473576396527,0.0001450138682003,0.0001427150457967,0.000140460318863,0.0001382488484282,0.0001360798215451,0.0001339524490959,0.0001318659342426,0.0001298195134142,0.0001278124260836,0.0001258439323378,0.0001239132893352,0.000122019772865,0.0001201627036462,0.0001183413491488,0.0001165550816669,0.00011480320745,0.0001130850792768
10,0.000387979942169,0.0003666198838507,0.0003614994517543,0.0003699792524812,0.0003768517516989,0.0003725808200469,0.0003650247302808,0.0003498006949528,0.0003482997013739,0.0003406579699844,0.0003366927390755,0.0003391159415758,0.0003273282442748,0.0003315957219796,0.0003170782541506,0.0003209155056757,0.0003039329724711,0.0002970408584822,0.0002775048668467,0.0002523210299873,0.0002373836488373,0.0002386167432416,0.0002391104485969,0.0002564040135977,0.0002517355821029,0.000247142602503,0.0002426204637374,0.0002381756121323,0.0002338049466071,0.0002295115460059,0.000225295997078,0.0002211468187159,0.0002170698629251,0.0002130723478417,0.000209146102744,0.0002052904457426,0.0002015094050818,0.0001977960578115,0.000194144359366,0.0001905602999948,0.000187039968065,0.0001835820379804,0.0001801859642567,0.000176850855815,0.0001735748565433,0.0001703578826018,0.0001671986895677,0.0001640962019546,0.0001610497268372,0.0001580582246689,0.0001551206502205,0.0001522361080114,0.0001494038119749,0.0001466226096094,0.0001438915198893,0.0001412101688099,0.0001385771781582,0.0001359918432877,0.0001334536303472,0.0001309614291843,0.0001285143266438,0.0001261117205241,0.0001237528152176,0.0001214364753395,0.0001191624637233,0.0001169298379702,0.0001147379715832,0.0001125860339965,0.0001104732948132,0.0001083990789747,0.0001063627377554
15,0.0009446805684685,0.0009294926122509,0.000983301649169,0.0010452138752141,0.0010848524454452,0.0011108414496395,0.0011245887793697,0.0011206018247008,0.0010791179985796,0.0010310257113845,0.0010501222721228,0.0011114042686329,0.0011763257842171,0.0011865071467182,0.0011777970162475,0.001139975086558,0.0010949963741841,0.0010020593454766,0.0009055350124581,0.0008016788097427,0.0008275611000776,0.0007388542311032,0.0007653917414094,0.000730340501127,0.0007157227834461,0.0007013555318988,0.0006874906940941,0.0006738593480761,0.0006604522741956,0.0006472409780584,0.0006342033908356,0.0006213357406341,0.0006086704666544,0.0005961991788736,0.0005839396761769,0.0005718969760574,0.0005600189703953,0.00054833783542,0.000536890543958,0.0005256387903293,0.0005145825985558,0.0005037427452043,0.0004930909450898,0.0004825996093408,0.0004723004879099,0.0004621755138962,0.0004522232201593,0.0004424415795536,0.0004328285641713,0.0004233791189054,0.0004140932498402,0.0004049674458555,0.000395999666655,0.0003871880188896,0.0003785289027105,0.0003700208656511,0.0003616615421954,0.0003534488929434,0.0003453774596713,0.0003374467737688,0.0003296558717311,0.000322000627903,0.0003144781478891,0.0003070889490054,0.0002998287476281,0.0002926952702469,0.0002856870619305,0.0002788016653093,0.0002720363081123,0.0002653913105153,0.0002588629582329
20,0.0014512431437449,0.0014219396685458,0.0014882963434951,0.0015987814477696,0.0016284253962087,0.0016005408374529,0.0015430584918957,0.0015109642416434,0.0014885169521124,0.001485392213869,0.0015297473371172,0.0015478132297546,0.0015569709837225,0.0015340655415662,0.0015104234735681,0.0014763385369784,0.0014112660482094,0.0013334504187407,0.0012444944581578,0.0011821552300492,0.0011290313716845,0.0012252669617317,0.0012025490547078,0.0011232687437931,0.0011019805518192,0.0010809492670327,0.001059606465292,0.001038304608419,0.0010171145144447,0.0009961393226281,0.0009755043789277,0.0009555759374714,0.0009359712586415,0.0009166785995692,0.0008976621822887,0.0008788937977373,0.0008603741535741,0.0008421489138735,0.0008242068011855,0.0008065726755335,0.0007892518470073,0.0007721718525676,0.0007553778655342,0.000738919025556,0.0007227420126605,0.0007068494242106,0.0006912659985845,0.0006759546551381,0.0006608769438637,0.0006460747608225,0.0006315243451606,0.0006172242561449,0.0006031697284447,0.0005893560544857,0.0005757808366028,0.0005624396912858,0.0005493310976622,0.0005364483431585,0.0005237925033475,0.0005113568640362,0.0004991381628377,0.0004871332280992,0.0004753388022657,0.0004637495130051,0.00045236139107,0.0004411749344103,0.0004301835109265,0.0004193838568511,0.000408774910068,0.000398353007821,0.000388112212045
25,0.0017852590359193,0.0017124560584579,0.0017512766576835,0.0017908465843566,0.0017971300964557,0.0017692925388738,0.0017378848173524,0.0017123217550274,0.001669370889456,0.0016151395786162,0.001584052795629,0.0015803691770163,0.0015881187519145,0.0015659693955111,0.0015118667613336,0.0014707714870428,0.0014279323914265,0.0013415360190514,0.0012447757836094,0.0011754488371562,0.0012651452484064,0.0014773948133043,0.0013627513401004,0.0013021437430601,0.0012761783960163,0.0012508321981206,0.0012262068161931,0.0012021844822195,0.0011786701336063,0.0011555616526186,0.0011327157476922,0.0011095822450956,0.0010865071261826,0.0010635642156402,0.0010408550810154,0.0010185048758183,0.0009968842935069,0.000975616699053,0.0009546891027649,0.0009340689546966,0.0009137301497269,0.000893670974709,0.000873933995594,0.0008545109286865,0.0008354260138555,0.0008166817082726,0.0007982063581539,0.0007800425768938,0.0007622385990772,0.0007447419582903,0.0007275549400195,0.0007106974345856,0.0006941375624213,0.0006778365827638,0.0006618328173,0.0006461021020969,0.000630643894518,0.0006154534904191,0.0006005260631594,0.0005858563761341,0.0005714424787007,0.0005572797701721,0.0005433647808099,0.0005296948327847,0.0005162652147437,0.0005030699555321,0.0004901060177499,0.0004773704370641,0.0004648580834591,0.0004525633418266,0.0004404876940845
30,0.002344778168377,0.0021921222377206,0.002199531885455,0.0021657613457157,0.0021502745023883,0.0021274050196857,0.0021098547289812,0.0020788029925187,0.0020497849480534,0.0020131870079799,0.0019809686176767,0.0019544593409468,0.0019100339415775,0.0018784767325846,0.001799758229146,0.0017226680777258,0.0016406363380005,0.0015583201000743,0.0015220490622908,0.0015234760403165,0.0015402074732112,0.0018695041749796,0.0015772586958557,0.0015344095390165,0.001502855734293,0.001471816278569,0.0014413939091956,0.00141166419678,0.0013826304089153,0.0013542500613939,0.0013264947297873,0.0012994720300106,0.0012730706348471,0.0012472025812371,0.0012217784274519,0.0011966652599466,0.0011713840264915,0.0011462455280392,0.001121314767951,0.0010966795219704,0.0010724479670465,0.0010489449959722,0.0010258364988308,0.0010031119124636,0.0009807376091314,0.0009586921972452,0.0009369714835003,0.0009156114074664,0.0008946039171938,0.0008739693190305,0.0008537042161994,0.0008337504660065,0.0008141402340795,0.0007949144799922,0.0007760265752247,0.000757478619146,0.0007392841412035,0.0007214152981582,0.0007038389440716,0.0006865839712894,0.0006696303567029,0.000652975637181,0.0006366142947257,0.000620540337975,0.0006047498492282,0.0005892402853123,0.0005740052831403,0.0005590399343706,0.0005443418212622,0.0005299056109632,0.0005157261568817
35,0.0030803899070714,0.0029779861022451,0.0029526718750226,0.0029182424336198,0.0029020731555003,0.0028776751481852,0.0028152484274254,0.0027267788935194,0.0026288508945533,0.0025602408580145,0.0025374247539108,0.0024996136211426,0.0024631290041034,0.0023880624606748,0.0023185040049228,0.0022255825918907,0.0021495159599411,0.0020564636676319,0.0020226534797474,0.0020443459402324,0.0021163498881171,0.0027532819681494,0.0019823149699536,0.0019751047463481,0.0019348630018335,0.0018954741642273,0.0018567435607317,0.0018185551281605,0.0017808521953997,0.0017436670887379,0.0017070753828139,0.0016712048202246,0.0016361274008953,0.0016018454550134,0.0015683073326853,0.0015354880085133,0.0015034916596021,0.0014722096838658,0.0014415541734609,0.0014114326812871,0.001381710194008,0.0013519064115797,0.0013223332670919,0.001293053588547,0.0012641560056559,0.0012357439520659,0.0012081386315645,0.0011810065314863,0.0011543344502034,0.0011280892247048,0.001102247446555,0.0010768023649207,0.001051789154876,0.0010272002579145,0.001003052691994,0.0009793417172096,0.0009560084070502,0.0009330823048405,0.0009106035786786,0.0008885274012979,0.0008668536933943,0.0008455920849137,0.0008247149153826,0.0008041880222745,0.0007840385481281,0.0007642451175464,0.0007448067189821,0.0007257143688759,0.0007069631888115,0.0006885457053168,0.0006704594780596
40,0.0042864510009733,0.0040274041219289,0.0039099835597582,0.0038686993451364,0.0038509370562856,0.0038392642021349,0.0037945065070868,0.0037511050463477,0.0036778417878442,0.0035975700750889,0.0035418696999229,0.0034965365182109,0.0033840690335605,0.0032506426818449,0.0031141666036316,0.0029868232537458,0.0029016734699271,0.002805662946267,0.0027403076220605,0.0026719776667416,0.0028446221752553,0.0038781496411828,0.0028120795672823,0.002685100617374,0.0026302671527064,0.0025763935345114,0.0025235865693328,0.0024719477933698,0.0024215088256028,0.0023721999036495,0.0023238951924589,0.0022764115926298,0.0022296160009021,0.0021834459678966,0.0021379308782278,0.0020931542564972,0.002049259018599,0.0020063248408859,0.0019643493825753,0.001923278139575,0.0018830782650695,0.0018438639587736,0.0018055143819443,0.0017679308250373,0.0017310081462652,0.0016946000466884,0.0016581725912406,0.0016220704573634,0.0015863626019228,0.0015511444003757,0.0015165288421513,0.0014828658977208,0.0014497906066647,0.0014172839444478,0.00138530598748,0.001353834522828,0.0013228583312078,0.0012924141294566,0.0012624942677423,0.0012331157364776,0.0012042698314371,0.001175893792689,0.0011480210942454,0.0011206925957423,0.001093859509028,0.0010675170537216,0.0010416747914805,0.0010163037385417,0.000991364958205,0.0009668888339234,0.0009428483944148
