age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0312600363986725,0.0295811756155174,0.0274968102220825,0.0264474892691796,0.0265900107797341,0.0253486869608178,0.0199844885738506,0.0186369484598501,0.0192270790958284,0.0188543656271866,0.0157536491776094,0.0156591335279448,0.0153717373107069,0.0159621415560271,0.0157268271664782,0.0143015828936407,0.0130590339892665,0.0133696548263379,0.0122516215381448,0.0127846448615562,0.0118010821953105,0.01335206089927,0.0140820764159735,0.0138974888200895,0.0136430907627697,0.0133940644185377,0.0131499069549301,0.0129105555550602,0.0126759205188854,0.0124458936675405,0.012220433557701,0.0119994272343977,0.0117828149663508,0.0115705218255049,0.0113624761776261,0.0111585540328548,0.010958730916247,0.0107628920508741,0.0105710045696261,0.0103829779616335,0.010198740722113,0.0100182239928197,0.0098413473858172,0.0096680525443434,0.0094982690645211,0.0093319393633507,0.0091689742916245,0.0090093318997307,0.0088529537903512,0.0086997651103592,0.0085496909203938,0.0084027016114522,0.0082587224308014,0.0081176901806411,0.0079795461246513,0.0078442411069962,0.0077117135202261,0.0075819196703137,0.0074548095966078,0.0073303109016333,0.0072083836812112,0.0070889570456819,0.0069720266777754,0.0068574965670697,0.0067453502658663,0.00663551497118,0.0065279619015527,0.0064226387844574,0.0063195100282241,0.0062185313535996,0.0061196338862372
1,0.0011084240225715,0.0009560692775729,0.0009381738956448,0.0009813454335926,0.0009684123975058,0.0009463371186818,0.0009014169147128,0.0008636304221985,0.0008847320525783,0.0008782146412939,0.0008536104909667,0.0008063323329723,0.0008336327703916,0.0008587581403115,0.0008789057860505,0.0008565709231413,0.0008097019482604,0.0007298035760375,0.00067203710699,0.0006196082169582,0.000597330491358,0.0006882195505331,0.0008553743210729,0.0008359615457688,0.0008185902773699,0.000801579474571,0.000784906792403,0.0007685672062194,0.0007525542541268,0.0007368614364983,0.0007214834398054,0.0007064143697565,0.0006916486718057,0.0006771809067696,0.0006630054877971,0.0006491170703793,0.0006355103331821,0.0006221800713203,0.0006091211873623,0.0005963284820877,0.000583796809332,0.0005715213088629,0.0005594971724229,0.0005477194264928,0.000536183513353,0.0005248846376481,0.0005138183831592,0.0005029800459956,0.000492365338712,0.0004819698085725,0.0004717891793802,0.0004618192310991,0.0004520558744957,0.0004424948424649,0.0004331322605105,0.0004239642133696,0.0004149867293482,0.0004061964110522,0.0003975891163726,0.0003891612059851,0.0003809090665326,0.0003728293158017,0.0003649182202902,0.0003571726675146,0.0003495893227824,0.0003421646022875,0.0003348953075853,0.0003277788035744,0.0003208114217559,0.0003139904348372,0.0003073127558237
5,0.0004445895535348,0.000445611247366,0.0004171306239377,0.000397067912424,0.0003919541864522,0.0004017340939498,0.000391993445587,0.0003651594887767,0.0003453076327526,0.0003247591984352,0.0003405025968,0.0003213079475147,0.0003223871644924,0.0003005891547432,0.0002696962545932,0.0002432607418329,0.0002418114701759,0.0002635016355922,0.0002497949444485,0.0002200922186396,0.0002537354504161,0.0002173646291654,0.0002728758000614,0.000321622875173,0.0003153085961593,0.0003091240599675,0.0003030651313549,0.0002971308431527,0.0002913122186046,0.0002856075984644,0.0002800186369375,0.0002745406886622,0.0002691682523826,0.0002639010604066,0.0002587400091358,0.0002536820921486,0.0002487251470137,0.0002438679971447,0.0002391085942821,0.0002344445717194,0.0002298740673845,0.0002253952710585,0.000221006481985,0.0002167055185377,0.0002124913346605,0.0002083626300293,0.0002043177895686,0.0002003544967042,0.0001964714077594,0.0001926677590861,0.0001889413898007,0.0001852905012992,0.0001817143586877,0.0001782111575673,0.0001747793452498,0.0001714180907512,0.0001681258070569,0.0001649011220464,0.0001617426329032,0.0001586489472695,0.0001556190051461,0.0001526515122189,0.0001497445809458,0.0001468978462614,0.000144110013252,0.0001413800286059,0.0001387062097203,0.0001360881106891,0.0001335238137292,0.0001310127877142,0.0001285536729279
10,0.0004839201742112,0.0004655477186411,0.0004922393749607,0.000504154932026,0.0004947121156034,0.0004545454545454,0.0004465681239673,0.0004160620585787,0.0004213056330635,0.0003997108179126,0.0003818291367158,0.0003858147593613,0.0003796955987548,0.0003917116711943,0.00036710045704,0.0003672569982861,0.0003765213122136,0.0003543834650581,0.000361282331082,0.0003808421738764,0.0003793529843042,0.0003047862456944,0.0004199256549014,0.00040116518609,0.0003925214429159,0.0003840390583478,0.0003757120650074,0.0003675444390097,0.0003595361931573,0.0003516735376022,0.0003439664616829,0.0003364171782481,0.0003290280162981,0.0003217837808191,0.000314683232714,0.0003077275626003,0.0003009107675996,0.0002942231460899,0.0002876659134682,0.0002812420304138,0.0002749465782116,0.0002687769780286,0.0002627318227597,0.000256807747063,0.000251001540566,0.0002453115424843,0.0002397354796083,0.0002342709634682,0.0002289158687848,0.0002236681827914,0.0002185264442292,0.000213489248624,0.0002085531157118,0.0002037165873413,0.0001989791751074,0.000194336940208,0.0001897882247267,0.0001853322993908,0.0001809675518377,0.0001766908301922,0.000172501246204,0.0001683979485006,0.0001643783805171,0.0001604412317201,0.0001565853555794,0.0001528076894148,0.0001491072935303,0.0001454825085561,0.0001419329434731,0.0001384562779409,0.0001350514388408
15,0.001328246432104,0.0014403616674551,0.0013831933300118,0.0013539739134359,0.001324714596829,0.0013146712454688,0.0012907434265768,0.0011858899896321,0.0012107710189848,0.0012299826355392,0.0012844641655104,0.0013161592826931,0.0014107028518796,0.001484147386461,0.0014780441694594,0.0014154623728673,0.0013176055040449,0.001227316560007,0.0011495391232376,0.0011115029871642,0.0012219725719118,0.001215775216671,0.0012210228906297,0.0011975538722089,0.0011708843599141,0.0011447216070211,0.0011187576966348,0.0010933630718268,0.0010684707562018,0.0010440756111505,0.0010200147845878,0.0009963465593655,0.0009730992335633,0.000950309200257,0.0009278666069698,0.0009058556350727,0.0008843219576333,0.0008632762040877,0.0008426177737338,0.0008223508712356,0.0008025082930389,0.0007830483334235,0.0007639175194094,0.0007451433847927,0.000726747970807,0.0007087005016356,0.0006910003995265,0.0006736461675048,0.0006566252873676,0.0006399282761159,0.0006235506899399,0.0006074831576233,0.000591725687733,0.0005762716765048,0.0005611111587026,0.000546244286273,0.0005316701509292,0.0005173755871595,0.0005033575091465,0.0004896165371589,0.0004761431237238,0.0004629264407282,0.0004499664537201,0.0004372667185616,0.0004248091057381,0.0004125971480379,0.0004006334300873,0.0003889014118551,0.0003774012029202,0.0003661299009661,0.0003550781997615
20,0.0020482831351676,0.0020932859790449,0.0020783206304839,0.0020437460663192,0.0018803484400782,0.0018143614484479,0.0017065549565635,0.0017777291561256,0.0018351315120733,0.0019399601097833,0.0019529913945247,0.0019817078406253,0.001995164901581,0.0020553262360171,0.0020175876580698,0.0019754384900368,0.0018222257952139,0.0016951923943257,0.0015594749767578,0.0014472646697741,0.0018374412716555,0.0016573537584989,0.0018634246868643,0.0019074965287607,0.0018627444001023,0.0018191483962128,0.0017774779189224,0.0017369096816195,0.0016974376850914,0.0016587708073052,0.0016207333904575,0.0015829624620995,0.0015459498165426,0.0015096253939922,0.0014740076631286,0.0014388286644997,0.0014042146509203,0.0013702181570137,0.0013368977847183,0.0013040856742896,0.0012719173471852,0.001240455395065,0.0012097203298199,0.0011795564915296,0.0011499785887103,0.0011210330880772,0.0010926519103531,0.0010647527621339,0.0010373651988848,0.0010105332491921,0.0009842067088595,0.0009583806437804,0.0009330537356992,0.000908207137344,0.0008838365774695,0.000859933860813,0.0008364788483971,0.0008134706016441,0.0007909012311466,0.0007687576627313,0.0007470391751001,0.0007257409501635,0.0007048653075763,0.0006843772412938,0.0006642898512623,0.0006445949295462,0.0006252742070821,0.0006063319626153,0.0005877648459541,0.000569549750518,0.0005516908683852
25,0.0023493338515687,0.0023213390461023,0.0022577248198122,0.0022761036918163,0.0022601302265511,0.0021439817761549,0.0020041965125533,0.001916575906307,0.0019292068005408,0.001904598490048,0.0019491383922334,0.0020252751621749,0.0020398965819872,0.0020321079823636,0.0019152105549381,0.0018668242045742,0.0016919846440596,0.0016762122306387,0.0016260922698845,0.0016139487505126,0.0018146743395239,0.0020681217958676,0.0017486676052897,0.0018865144643452,0.0018449146817145,0.0018039509096376,0.0017630640185883,0.0017223276724163,0.0016818731903833,0.0016420214573268,0.0016031342538595,0.0015658690888998,0.0015295450567157,0.0014941537724325,0.0014594781208722,0.0014253878036314,0.0013915456858472,0.0013583965986951,0.0013258661671829,0.0012939737929795,0.0012625115506852,0.0012315572255458,0.0012011766436336,0.0011714111166431,0.0011421098060553,0.0011133845990832,0.0010852938265521,0.0010578473048294,0.0010309230801455,0.0010045168767084,0.00097867277714,0.0009533407104323,0.0009284515757324,0.0009040253749266,0.0008800917916748,0.0008566220477873,0.0008335983936174,0.0008110260834729,0.0007888868389095,0.000767177144496,0.0007458845836263,0.0007249930287246,0.000704504869054,0.0006844065318341,0.0006646974578097,0.0006453674421343,0.0006264118621509,0.0006078347827334,0.0005896058164331,0.0005717383469397,0.0005542222913043
30,0.0027381148408647,0.0027186434430006,0.0025919955204537,0.0025021921860745,0.002424948285153,0.0024417891112399,0.0023348217822195,0.0022894927329955,0.0022209137360748,0.0022669919085238,0.0022289172291587,0.0022685418015912,0.0022501724778432,0.0023114515915995,0.0021704692739728,0.0020671115425607,0.0019872613181268,0.0019349676780053,0.00184262085327,0.0016758701250431,0.0019831170634002,0.0027410873528269,0.0018586083342877,0.0018504751176025,0.0018103075655952,0.0017709712206571,0.0017323635443133,0.0016944369951802,0.0016572212506437,0.0016206813490097,0.0015846488975208,0.0015487192171536,0.0015129337777317,0.0014773998591905,0.0014423952989012,0.0014082074824524,0.0013754028262331,0.0013434231672382,0.0013122630562052,0.001281734950915,0.0012517210408756,0.0012219740502273,0.0011928332884992,0.0011642536247976,0.0011362513866533,0.0011086440739074,0.0010814983438041,0.0010548542062564,0.001028738287287,0.001003059796676,0.0009778858555533,0.0009532646600055,0.0009291988139361,0.0009055957728519,0.0008824553533277,0.0008598062129937,0.0008376146977997,0.0008158137450363,0.0007944249166253,0.0007734683517771,0.0007529195309262,0.0007327665407476,0.0007130085370734,0.0006936397430397,0.0006746387235902,0.0006560071588307,0.0006377316692531,0.0006198065151294,0.0006022271051568,0.0005849918950166,0.0005680892477082
35,0.003406665353681,0.0033848106621535,0.0032217917578336,0.0031481644683372,0.0030410566594351,0.0028722550487391,0.0027256989207705,0.0027433168372765,0.0028634341676507,0.0028301681093692,0.0026964907099474,0.0025519397256141,0.0025157951914005,0.0025283247668829,0.0025268017361696,0.0025821099845296,0.0024015093143996,0.0023070926418844,0.0021269712342628,0.0020619324607081,0.0026041666666666,0.0035400281480255,0.0022643096813206,0.00223075038785,0.0021815682500757,0.0021334647977358,0.002086376978309,0.0020403412112001,0.0019953054588648,0.0019512151588753,0.0019079724487527,0.0018655480097229,0.0018239111717163,0.0017830724685722,0.0017430015010245,0.0017035516653933,0.0016643979880313,0.0016255679390526,0.0015871500511035,0.0015493538980904,0.001512429948335,0.001476817715273,0.001442061936218,0.0014081514309802,0.0013749387775786,0.001342323770674,0.0013101070417601,0.0012785635081019,0.0012476391375683,0.0012173329085308,0.0011875098141002,0.001158212576792,0.0011294749935168,0.0011013223543702,0.0010736700413661,0.0010465711794785,0.0010200581076403,0.0009941320878417,0.0009687203977119,0.0009438164948055,0.0009194402793628,0.0008955628042915,0.0008721327356395,0.0008491530024047,0.0008266456162173,0.000804587140645,0.0007829628130258,0.0007617701509854,0.0007410021576644,0.0007206383525835,0.000700681653948
40,0.0044365629534096,0.0044537092593852,0.0041510309186386,0.0041251289102784,0.0039495519415864,0.0040320853324194,0.0037382302937032,0.0036103825081271,0.0035210222833236,0.0035666755389938,0.0035153470278476,0.0034252950593841,0.0032895937511406,0.0033273256619991,0.0033530718959977,0.0033333333333333,0.0030980490663987,0.0029470547769559,0.0028574018531729,0.0029031055238906,0.0035055486146836,0.0049329559954662,0.0029882173893404,0.0028618583363108,0.0028000265102228,0.002739369316475,0.0026798511478549,0.0026214686369396,0.0025642249771794,0.0025081105714795,0.0024531584612832,0.0023993598404279,0.0023467632999962,0.0022953054782676,0.0022449179546626,0.0021955176137655,0.0021470830104154,0.0020995698499232,0.0020529951671149,0.0020073080907297,0.0019623727576926,0.0019178497904566,0.001873777402099,0.0018302507781292,0.0017874704460527,0.0017456685884684,0.0017052717182872,0.0016658397873581,0.001627356066387,0.0015896695636737,0.0015526800326722,0.0015161922597393,0.0014804669819314,0.0014454549812305,0.001411151623241,0.0013774204444946,0.0013443013386621,0.0013118240622668,0.001280012080068,0.0012487839510338,0.0012181873665925,0.0011882516713424,0.0011589781927183,0.0011302890638515,0.0011021839870009,0.0010746758447784,0.0010477327315805,0.0010213077995572,0.0009953995400145,0.000970029296812,0.0009451695138254
