age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0434790286975718,0.0397052926424908,0.0341873060305483,0.0337527967662583,0.0269390876946611,0.025794810541564,0.0219329148863276,0.0206645649600277,0.0187901653186086,0.0181294167673482,0.0159536958813632,0.0146812286497899,0.0150553137216846,0.0146034250773143,0.0140255835720566,0.0135399470055353,0.0128196808779102,0.0129452271052909,0.0125492089973804,0.0120767244559203,0.0114115585081549,0.0129184532473152,0.0130389601821001,0.0130703709462845,0.0128344327877994,0.0126033135313554,0.012376843269542,0.0121549188422531,0.0119374644269837,0.0117244107594958,0.0115156665519655,0.0113111522522472,0.0111108043717741,0.010914518708969,0.0107222496531283,0.0105338902838179,0.010349385412897,0.0101686590533523,0.0099916376641476,0.0098182579207135,0.0096484487010347,0.0094821255010137,0.0093192416484819,0.0091597212243936,0.0090034939434119,0.0088505083098883,0.0087006955637194,0.0085539968190875,0.0084103389833344,0.0082696685944619,0.0081319445876253,0.0079970846095065,0.0078650374413445,0.0077357547684283,0.0076091773426894,0.0074852542667914,0.0073639247361653,0.0072451412006741,0.0071288620269633,0.0070150192782973,0.0069035771051682,0.0067944806542051,0.0066876890221157,0.0065831522517781,0.0064808203733911,0.0063806485396459,0.006282601601717,0.0061866304252285,0.0060926975468416,0.0060007492033738,0.0059107560342992
1,0.001598741195419,0.0014121561496498,0.0013009838971429,0.0011705050865553,0.0010544869338646,0.0009206041153492,0.0008294109762924,0.0007516752762806,0.0007340243904423,0.0006913410362176,0.0006584362139917,0.0006086719463957,0.0005772357016804,0.0005452524466231,0.0005277586903083,0.0005311683928159,0.000534823756092,0.0005366294305467,0.0005145697796623,0.0004616035594763,0.000440441035724,0.0004257643978071,0.0005656291719912,0.0006086391417795,0.000597194369814,0.0005859833098516,0.000574990214632,0.0005642078524063,0.000553635955779,0.0005432722242654,0.0005331140584582,0.0005231575819013,0.000513400003379,0.0005038373527482,0.0004944661168156,0.0004852820252226,0.0004762820441159,0.0004674623675593,0.000458819675732,0.0004503508602145,0.0004420526000616,0.0004339219987779,0.0004259557846562,0.000418150900842,0.0004105041591144,0.0004030124977126,0.0003956733890294,0.0003884837614072,0.0003814405731595,0.0003745412043678,0.0003677828928092,0.0003611630925443,0.0003546788881927,0.0003483276689993,0.0003421069598263,0.0003360143271443,0.0003300470554843,0.0003242029468749,0.0003184794018932,0.0003128741173016,0.0003073847908937,0.0003020091990713,0.0002967450249586,0.0002915900820171,0.0002865422051135,0.0002815992801358,0.0002767592434455,0.0002720200644662,0.000267379677957,0.0002628361369564,0.0002583874975745
5,0.0004342079749134,0.000396690264958,0.0003608848753268,0.0003556662072644,0.0003452519436962,0.0003483795528928,0.000342775195188,0.0003503486396218,0.0003381284221619,0.0002976071385698,0.0002790121953694,0.0002664147524273,0.0002736698206349,0.0002554410948843,0.0002403674110404,0.0002353666627209,0.0002294717253055,0.0002228449972003,0.000212175453436,0.0002026173564039,0.0002063859244799,0.0001727680171846,0.0002500435017203,0.0002606302540187,0.0002558550414712,0.0002511781097906,0.0002465957789807,0.0002421039045101,0.0002377039276261,0.0002333920573009,0.000229166842417,0.0002250252669003,0.0002209634921339,0.0002169821489876,0.0002130806299967,0.000209258044865,0.0002055127367529,0.0002018430952766,0.0001982476145615,0.0001947252979164,0.0001912739728511,0.0001878926822687,0.0001845796000734,0.0001813338953506,0.0001781542712335,0.0001750393366636,0.0001719879009935,0.0001689985571263,0.0001660704921826,0.0001632026015324,0.0001603932734369,0.0001576412658741,0.0001549458931758,0.0001523059088071,0.0001497203168025,0.0001471880282338,0.0001447080795197,0.000142279214949,0.0001399006195999,0.0001375714485049,0.000135290510223,0.000133056655857,0.0001308693291509,0.0001287275100248,0.0001266301058307,0.0001245764952346,0.000122565784576,0.0001205970265001,0.0001186691801789,0.0001167818457164,0.0001149339640103
10,0.0004503261400468,0.0004683589100902,0.0004353540525681,0.0004401759276112,0.000421578091353,0.0004394043362586,0.0004241912268552,0.0004205826099393,0.0004067320837552,0.0004094730434296,0.0003931846373145,0.0003999026536659,0.0003610918035857,0.0003475418576174,0.0003218425041618,0.000335330812806,0.0003323768842263,0.0003116478379431,0.0003071945225472,0.0003199063423133,0.0002899254378359,0.0002396502797564,0.0003352391775276,0.000273843762814,0.0002683902094274,0.0002630390748249,0.0002577840899377,0.0002526273651969,0.0002475686873328,0.0002426097002803,0.0002377508604997,0.0002329913369337,0.0002283266638013,0.0002237586257758,0.0002192827136297,0.0002148980733049,0.0002106004680248,0.0002063861091736,0.0002022557707423,0.0001982086019259,0.0001942436589926,0.0001903596526448,0.0001865549373765,0.0001828275344089,0.000179176072918,0.0001755986623657,0.0001720939158753,0.000168660532355,0.0001652972887011,0.0001620025494821,0.0001587753687066,0.000155614354652,0.0001525178724148,0.0001494851191459,0.0001465146349496,0.000143605166537,0.0001407551460462,0.0001379637372359,0.0001352302239648,0.0001325531388734,0.0001299311696827,0.0001273639657435,0.0001248496517096,0.0001223873458709,0.0001199764624064,0.0001176156273236,0.0001153035486095,0.0001130397061512,0.0001108230182122,0.0001086524800456,0.0001065273760757
15,0.0016905840669342,0.001679047054662,0.0016411170651989,0.0016565746900873,0.0016759365201059,0.0017338166288132,0.0017185862718373,0.0017075984518416,0.0016191592015543,0.0014818103209613,0.0014050264637837,0.0013832178598922,0.0013711981677827,0.0013531096785684,0.0013992883548526,0.0015169335139442,0.0016712162269865,0.001641046503014,0.0015274309069232,0.0012959313156402,0.0013335017573834,0.0013001601110877,0.0011912212233452,0.0011095795062166,0.001085491776895,0.0010616219084711,0.0010383902551689,0.0010155171133436,0.0009929338541369,0.0009706217704728,0.0009486200662983,0.0009269163826576,0.0009055619891759,0.0008845643927647,0.0008639545493789,0.0008437526580103,0.0008239552689462,0.0008045235585538,0.0007855026075802,0.0007668564945246,0.0007485787350223,0.0007306346386809,0.00071299528149,0.0006956816944092,0.0006786992975566,0.0006620513225874,0.0006457289907007,0.0006297217113458,0.0006140225149926,0.0005986246526708,0.0005835180946948,0.0005687031969085,0.0005541727892585,0.0005399217519593,0.0005259429118751,0.0005122338449316,0.0004987929607067,0.0004856091888797,0.000472683643904,0.0004600069783853,0.0004475750234563,0.0004353815915284,0.000423425506913,0.0004117076960553,0.0004002173380788,0.0003889527270905,0.0003779111818723,0.000367081337367,0.0003564660728281,0.0003460614240148,0.0003358617967468
20,0.0026497519054683,0.0026747753890582,0.0025903859675091,0.0024927472634632,0.0024046337255622,0.0023477285635896,0.0023374482035899,0.0023354500857736,0.0022985947117804,0.0022472348525031,0.0021669488471733,0.0021003617428746,0.0020220308938971,0.0019808424962189,0.0019933819206806,0.0021436876583918,0.0023361463674605,0.0023360544041114,0.0021897525306409,0.0019024657933269,0.0020802115011543,0.0018659069543067,0.001887271518429,0.0018641610084727,0.0018263916638913,0.0017889120616525,0.0017507439821086,0.0017125493572501,0.0016744686050004,0.0016366913052178,0.0015991998462667,0.0015627556172467,0.0015269151427398,0.0014915624914872,0.0014566507264465,0.0014222369777086,0.0013882757045758,0.0013548606446029,0.0013220093967209,0.0012897617582285,0.001258160573446,0.0012271820388635,0.0011967566118441,0.0011669930544921,0.0011378271500542,0.0011092440538253,0.0010811783391604,0.0010535918948009,0.0010265127411869,0.0009999459831263,0.0009739046069598,0.0009483686639124,0.0009233269844483,0.0008987652522235,0.0008746760036199,0.0008510359382194,0.0008278514845179,0.0008051142478042,0.0007828091431595,0.0007609313913376,0.0007394728238956,0.0007184360334762,0.0006977996337826,0.000677566199044,0.0006577182226134,0.0006382513062318,0.0006191650259869,0.0006004464522816,0.0005820969283058,0.0005641017724296,0.0005464590138076
25,0.0027994682507365,0.0027961425842105,0.0027858987355202,0.0026625044620047,0.0025561478633225,0.0024447857013362,0.0024393140685383,0.0024305359498596,0.0023861902565376,0.0022708147552719,0.0021603814087038,0.002076036889482,0.0020228449139629,0.0019448164674668,0.0019684635468763,0.0020613846065974,0.0022120811438155,0.0021853739461951,0.0020695764213238,0.00184990142861,0.002096515507312,0.0020190749088978,0.002008230764957,0.0020792782437553,0.0020370339684627,0.0019955470416825,0.0019548152417443,0.0019146306165329,0.0018748214886231,0.0018352878667938,0.0017960566635064,0.0017562481059135,0.0017165010763807,0.0016769661519495,0.0016378269225324,0.0015990602926924,0.0015613798083988,0.001524326869595,0.0014878009951797,0.0014517535508666,0.001416243920227,0.0013812260590455,0.0013467697848818,0.00131291704493,0.001279699845098,0.0012471368003664,0.0012152183364447,0.0011838777243465,0.0011532117732547,0.0011231636774813,0.0010937160125872,0.001064816353615,0.0010364179574375,0.0010085531079255,0.0009812230871198,0.0009544328420564,0.0009281613429373,0.0009023970186771,0.000877128386797,0.0008523513405972,0.0008280436213681,0.000804206226709,0.0007808286841353,0.0007578999240021,0.0007354151162019,0.0007133646918913,0.0006917458054434,0.0006705455155568,0.0006497594006766,0.0006293717617205,0.0006093816635237
30,0.0032613466991799,0.0031430836501963,0.0030041056652331,0.0028230930933331,0.0027277309895052,0.0026610325052512,0.0026589811459545,0.002645689705969,0.0026159385398176,0.002523593002319,0.0024229913128232,0.0023211205854381,0.0022098628694076,0.0021357622394095,0.0021606887179047,0.0022395473756882,0.0022843807733445,0.0022075975217601,0.0021201775484494,0.002027004589319,0.0022824850858822,0.0024775194346578,0.002080952485605,0.0022069889830543,0.0021589393219658,0.0021122983808779,0.0020669710811703,0.0020228786646747,0.0019799720456234,0.0019381586837743,0.0018970795335232,0.0018567651150047,0.0018170650632854,0.0017778182981156,0.0017389429244979,0.0017004727052933,0.0016616714336673,0.0016230622385937,0.0015847423152053,0.0015468807704434,0.0015094451773785,0.0014730160486688,0.001437222888718,0.0014019755637669,0.0013672274206967,0.0013330351526455,0.0012993551378477,0.0012662454538537,0.0012337302297971,0.0012018394704956,0.0011705854417573,0.0011399531534708,0.0011098934337081,0.0010804699368925,0.0010516448572464,0.0010234029144651,0.00099570362964,0.0009685029540807,0.0009418265621158,0.0009156658720801,0.000890028978344,0.0008648914201454,0.0008402478506163,0.0008160858499945,0.0007924031123734,0.0007691782335845,0.0007464025003542,0.000724077745898,0.0007021854187024,0.0006807252025213,0.0006596875594466
35,0.0039218239830327,0.0037705785737281,0.0036002684582925,0.0034403830761237,0.0032690087929241,0.0031550159971439,0.0030790335845546,0.0030743283621731,0.0030493428731404,0.0029415300765439,0.0028403773958803,0.0027951823575119,0.0028048226655018,0.0027855769018194,0.0026769737107084,0.0025845458493374,0.0025871724189235,0.0025371550758026,0.0024600179935813,0.0022676160419162,0.0026686629559796,0.003031178021165,0.0023851869866336,0.0024225041070803,0.0023682171494082,0.0023150450116288,0.0022631425966424,0.0022126157097961,0.0021634346324709,0.0021155264674058,0.0020688946383793,0.0020235018552946,0.0019792737958365,0.0019361759712503,0.0018941371183122,0.001852879994777,0.0018124187090883,0.0017726316141456,0.001733402158201,0.0016946478921214,0.0016564015101583,0.0016180982284737,0.0015801344949985,0.0015425766249271,0.0015055507175837,0.0014690263551268,0.0014334373486839,0.0013985030848384,0.0013641472146365,0.0013303389051464,0.0012971107775724,0.0012644340078446,0.0012323392780689,0.0012008451420194,0.0011699679508047,0.0011397147651026,0.0011100788679837,0.0010810165023252,0.0010525669051892,0.0010247038149574,0.0009974126193352,0.0009706576616159,0.0009444104693373,0.0009186818888957,0.000893457640709,0.000868747760005,0.0008445317921027,0.0008208001392807,0.0007975447159554,0.0007747583943075,0.0007524212940664
40,0.0049734335572378,0.0047263777918328,0.0044943867004456,0.0043526164128144,0.0043427756545994,0.0042419008291248,0.0041639043866248,0.0040627396559909,0.0040011339536586,0.0038910299473181,0.0038320795313555,0.003719668933959,0.0036579898377849,0.0034672267699983,0.0033954798085527,0.0033930582474999,0.0034191272227878,0.0033268515844246,0.003214250144113,0.0031710916626653,0.0037311822077432,0.0041970808068552,0.0033233346161701,0.0031492600887618,0.0030803452808339,0.0030125833263342,0.0029459697414864,0.0028805563908079,0.002816328574073,0.0027532625089901,0.0026914732796552,0.0026311552817422,0.0025723993707829,0.002515177256462,0.002459409822647,0.002405087821809,0.0023521844309746,0.0023006070794696,0.0022503273292388,0.0022012624973133,0.0021531303413187,0.0021059411685274,0.0020595755071054,0.0020139098051506,0.0019688554241619,0.0019244449151243,0.0018801092397933,0.0018362370097027,0.0017928961911395,0.0017502074174899,0.0017081535317438,0.0016671545166703,0.0016269299023652,0.0015873962091908,0.0015485219973926,0.0015103357059784,0.0014728092942895,0.0014359715251454,0.0013998390532576,0.0013644187926736,0.0013297267857519,0.0012957475862982,0.0012624313273488,0.0012298264857445,0.0011979045490236,0.0011666377707453,0.0011359962955603,0.0011059453447194,0.0010764968879827,0.0010476312952687,0.0010193605698374
