age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0376904821383962,0.0363791253865085,0.032223038354677,0.0297507283910651,0.0285150468672916,0.0247281244771625,0.0241823725055432,0.0206241032998565,0.0203335283791691,0.0206839690278176,0.0197307500534226,0.015018198522916,0.0151316023159166,0.0147080291970803,0.0159811560065229,0.0145339425117818,0.0135661764705882,0.013056778333209,0.0135622880892486,0.0116018651099607,0.0128234573572194,0.0133690894033206,0.0135706519550598,0.0124724566582131,0.0122528020434957,0.0120375383697169,0.0118266818409256,0.0116200791448559,0.0114176897374652,0.0112193835293698,0.0110251425930027,0.0108348708728725,0.010648463405235,0.010465887364092,0.0102869854527974,0.0101118399304653,0.0099401960809065,0.009772139462522,0.0096075166559347,0.0094462209730109,0.0092883168133844,0.009133621563227,0.0089821049551079,0.0088337356414708,0.0086883433884334,0.0085460304717007,0.0084066182679326,0.0082700761696885,0.0081363444917507,0.0080054152964023,0.0078771630895239,0.0077515642692182,0.0076285952443231,0.0075081303149783,0.0073901621914305,0.0072746038951863,0.00716146641448,0.0070506663666096,0.0069421941444875,0.0068359377165959,0.0067318782982647,0.0066299980419235,0.0065301894087412,0.0064324768458888,0.0063367865146868,0.0062431047879336,0.0061513309710821,0.0060614844840961,0.0059734987958355,0.0058873332980345,0.0058029811234962
1,0.0015350091165516,0.0012704188461146,0.0012878249190171,0.0012438009280668,0.0011765653960834,0.0009696791910105,0.0007840030369801,0.0007479997310562,0.0006970200242666,0.0007503332362313,0.0007018301571019,0.0006819483719619,0.000671427145618,0.000594664239956,0.0005336468885672,0.0004903741373047,0.0004747037665918,0.0005071555030982,0.0005109529737463,0.0005307905053684,0.000430159813722,0.0005188434507806,0.0006597819850831,0.0006084336758226,0.0005969356660904,0.0005856870910808,0.0005746692871806,0.0005638723592683,0.0005532883583613,0.0005429156612498,0.0005327529586233,0.000522795674265,0.000513038959599,0.000503480624499,0.0004941166684016,0.000484942158202,0.0004759547290153,0.0004671499450236,0.000458524688093,0.0004500758055417,0.0004417983757104,0.0004336903231865,0.0004257475090165,0.0004179668763247,0.0004103456357222,0.0004028796887873,0.0003955665318947,0.0003884034544315,0.0003813868376036,0.0003745143604234,0.00036778263314,0.000361188919057,0.0003547307372043,0.0003484050774844,0.0003422092177774,0.0003361406452428,0.0003301969506099,0.0003243755009823,0.0003186737295983,0.000313089213932,0.0003076196505624,0.0003022628210835,0.0002970161335541,0.0002918776115895,0.0002868449582415,0.0002819160140732,0.0002770888222557,0.0002723611530754,0.0002677307104672,0.0002631959839373,0.0002587547920739
5,0.0005135302701043,0.0004713364588177,0.0005109217406662,0.0004810096138632,0.0004062460327535,0.0003505350439443,0.0003650453104486,0.0003608200925245,0.000363645808982,0.0003737557866575,0.0004045280616474,0.0003980569423829,0.0003656912599788,0.0003465640648428,0.0003388486355935,0.0003000256119424,0.0002796564641119,0.0002353668044543,0.0002429507472576,0.0002584456341148,0.0002442942487211,0.0001643348546757,0.0001888260308013,0.0002493803276706,0.0002447848903413,0.0002402905937596,0.0002358924574765,0.0002315861691813,0.0002273681393839,0.0002232396039195,0.0002191967883932,0.0002152379077803,0.0002113629368884,0.0002075713350975,0.0002038604571048,0.0002002278111237,0.0001966720537514,0.0001931916503411,0.0001897848395563,0.0001864503305752,0.0001831865036657,0.0001799919606718,0.0001768652822211,0.0001738049452255,0.0001708096359133,0.0001678780056452,0.0001650086481501,0.000162200412132,0.0001594518796636,0.0001567618246669,0.0001541290814373,0.0001515523829898,0.000149030553513,0.0001465624702345,0.0001441469255147,0.0001417828658326,0.0001394691787336,0.0001372048079446,0.0001349887144428,0.0001328198092241,0.0001306971649053,0.0001286197443738,0.000126586618579,0.0001245968987613,0.0001226496410306,0.000120743871756,0.0001188788027852,0.0001170535260141,0.000115267075443,0.0001135188326099,0.0001118078126846
10,0.0006833194138637,0.0006467485036015,0.0006352150520558,0.000604379524894,0.0005862523816503,0.0005233663947714,0.0004474587538912,0.0004162290924925,0.0004425346331452,0.0004496836154562,0.0004253920374344,0.0003560930762557,0.0003778009379885,0.0003809123507546,0.0003915296865771,0.0003961672497263,0.000382623430219,0.0003495476852952,0.0003083984795237,0.0002780297930873,0.0003789370444396,0.0002840081017047,0.0004033884630899,0.0003438583901447,0.0003364723670466,0.000329246518865,0.0003221682258592,0.0003152348468488,0.000308443798079,0.0003017943736511,0.0002952821171228,0.000288903045601,0.0002826562613291,0.0002765414469608,0.0002705530090716,0.0002646906645365,0.0002589522975912,0.0002533336659817,0.0002478303381492,0.00024244045175,0.0002371635163943,0.0002319966529983,0.0002269376305371,0.0002219854243907,0.0002171361086408,0.0002123881686032,0.0002077394245429,0.0002031882941946,0.0001987322179041,0.0001943696779903,0.0001900985332486,0.0001859174148494,0.0001818230937704,0.0001778156300506,0.0001738916027863,0.000170050501792,0.000166290202643,0.0001626086828299,0.0001590041738398,0.0001554761275223,0.0001520213607418,0.0001486388967467,0.0001453281564332,0.0001420864151416,0.0001389117007819,0.0001358049364201,0.0001327631726848,0.0001297853882513,0.0001268714070212,0.0001240191288458,0.0001212263699727
15,0.0014292425676078,0.0014751196485937,0.0014446823325762,0.0015603957318968,0.0015175878747957,0.0014644122030049,0.0012700745927057,0.0012042761463163,0.0012607988061007,0.0012795699616129,0.0012511366641085,0.0012300043373837,0.0011225237968556,0.0011244061120896,0.0011721726219547,0.0012621473507984,0.0012763073927145,0.0011274181461266,0.001038762599185,0.0009419258656908,0.0009526877445974,0.0010808926080892,0.0009932331525506,0.001042446666373,0.0010195349818914,0.00099688415756,0.0009752047226901,0.0009538629490121,0.0009327594074259,0.0009121604623667,0.0008919758082991,0.0008720442702064,0.0008524008922467,0.0008330524139083,0.0008141474843138,0.0007955296310799,0.0007772057150657,0.000759198292487,0.0007416284390549,0.00072436259398,0.0007074824770041,0.0006909792303553,0.0006747760575727,0.0006587986143938,0.0006430697180849,0.0006276703390525,0.0006125611076296,0.0005977197739712,0.000583177263118,0.0005688979276748,0.0005548834964039,0.0005411195283539,0.0005276311075891,0.0005143755570336,0.0005013865408094,0.000488637118493,0.0004761227642562,0.0004638349033909,0.0004517961867941,0.0004399867900089,0.0004284058505067,0.0004170496485767,0.0004058996648512,0.0003949635781835,0.0003842429288097,0.0003737057387882,0.0003633563953015,0.0003532205451205,0.0003432680404698,0.0003334905773798,0.0003239288045059
20,0.0024338099852787,0.002596801377245,0.0025519969376036,0.002450946260218,0.0021991573322371,0.0021405323645792,0.0019070607925638,0.0018273696432341,0.0017471878128742,0.0018952962784457,0.0019154833817107,0.001912512447818,0.0017832165514315,0.0017419170395388,0.0016859473291395,0.0016508157168349,0.0016574956381693,0.0015523758099352,0.0014825191945432,0.0013533002070959,0.0015285698618118,0.0017814522618941,0.0015386001510877,0.0015834203280342,0.0015527198514956,0.0015222271569714,0.0014905520300662,0.0014587106635239,0.001426896923418,0.0013949086375967,0.0013631851260362,0.001332882217377,0.0013030240491713,0.0012734705831068,0.001244664642322,0.0012164534113616,0.001188558996037,0.0011610374971898,0.0011339426195374,0.0011074600625102,0.0010813663674689,0.0010556469248391,0.001030393243345,0.0010057562927408,0.0009815742627351,0.0009578760825173,0.0009347117828668,0.000911975312874,0.0008895349161704,0.0008674540876877,0.000845844143475,0.000824640218977,0.0008037921638091,0.0007833537504306,0.0007632614675746,0.0007435341651498,0.0007241823403414,0.0007052117074106,0.0006865693486263,0.0006682853212058,0.0006503305823496,0.0006327034922285,0.0006154097760242,0.000598447039663,0.0005817915070774,0.0005654640997226,0.0005494756120887,0.0005337371339678,0.0005183107216953,0.0005031955636756,0.000488328735372
25,0.00278673480556,0.0029168973466976,0.002894917721263,0.0027999716059217,0.0026322251895509,0.0024991420855527,0.0021122773398371,0.0019958949677967,0.001944919330837,0.0020713495011782,0.0019750896851948,0.0020084488749338,0.0019705947188061,0.0019509848464601,0.0018304580168026,0.0017681079220682,0.0016873158750569,0.0015377433616168,0.0014497579112387,0.0014063811922754,0.001610430526449,0.0023023086647316,0.0018185563787996,0.0018296038478855,0.0017900803247521,0.0017519751649462,0.001715293455017,0.0016797421019025,0.0016451409850972,0.0016111956818257,0.0015775064821991,0.001542940033237,0.001508359473572,0.0014739393648957,0.0014394786716918,0.0014053827283981,0.001372669640984,0.0013405009927911,0.0013087300772203,0.0012776962591419,0.0012473280305722,0.0012173469596109,0.0011878181600618,0.0011587582303435,0.0011303568327682,0.0011024258664337,0.001074917843,0.001047918428489,0.0010215486006048,0.0009956725617481,0.000970317433397,0.0009455479490392,0.0009212328168308,0.0008972656415862,0.0008737207837489,0.000850677050177,0.0008280422414961,0.0008058199570864,0.0007840356404496,0.0007626560428682,0.0007416580807201,0.0007210668667376,0.0007008857857556,0.0006810719258114,0.0006616410608579,0.0006425672497828,0.0006238551928726,0.0006054926091731,0.0005874981215664,0.0005698467155446,0.0005525349460786
30,0.003365751157558,0.0035305553517717,0.0033771276355591,0.0030532996050237,0.0029611823827067,0.0027461047101665,0.0024649206811841,0.0021320924501228,0.0021248632611142,0.0023278355708539,0.0023853047393998,0.0023928142841557,0.0022124051698913,0.0021431482496451,0.0019789193017539,0.0020669840635528,0.0020051226764267,0.0019175521313007,0.0017561326364114,0.0017301279457521,0.002127434750449,0.0025760907467105,0.002085355768885,0.0020694913408125,0.0020217682768864,0.0019748902283456,0.0019293164802777,0.0018853975155151,0.001843171833641,0.0018023450376189,0.0017628310222817,0.0017246954618797,0.0016876751454319,0.0016515681674815,0.0016161964778917,0.0015811423699805,0.0015454316438935,0.0015098218248204,0.0014744565525737,0.0014391584916994,0.0014042708128487,0.0013706854208939,0.0013377144140395,0.0013051944302006,0.0012734160424521,0.0012423327443972,0.0012116669173343,0.0011814799459767,0.0011518051263801,0.001122783202867,0.0010942274307666,0.001066135242955,0.0010385777902497,0.0010116654466688,0.0009852536558032,0.0009593885080788,0.0009341120522621,0.0009093086501896,0.0008848869174234,0.0008608967560965,0.0008374118401648,0.0008143603313107,0.0007917356336013,0.0007695535458738,0.0007478068915874,0.0007264552033691,0.0007055074673068,0.0006849832806041,0.0006648346094605,0.0006450631534614,0.0006256926676218
35,0.0037469391201553,0.0038086218964878,0.0040293741374621,0.0037729140328697,0.0034148896951822,0.0029172585396547,0.0026204960224613,0.0025592338809543,0.0026224325756419,0.0026715175801675,0.002564588030775,0.0025871585919789,0.0025602186476118,0.0026160574569674,0.0024384715785195,0.0024078575401754,0.0022953385251704,0.002174549714453,0.002096602780529,0.0020344568215194,0.0026201308641447,0.0036315052624846,0.0023212098772464,0.0021544628158327,0.0021086824567592,0.0020636469062025,0.002019043183374,0.0019746571719797,0.0019304570130759,0.0018866188810516,0.0018434883753848,0.001801540343233,0.0017610477057818,0.0017220791480356,0.001684358192994,0.0016478008291186,0.0016124694214389,0.0015781602796235,0.0015447048605583,0.0015119114752561,0.0014794434772899,0.0014465015580146,0.0014136605829322,0.0013811216371372,0.001348688040276,0.0013166461021947,0.0012857779168431,0.0012554923315198,0.001225630396918,0.0011964463989521,0.0011679075701528,0.0011397399394682,0.0011120452541197,0.001084825651248,0.0010582024758272,0.0010320135272057,0.0010062520904335,0.0009809789029216,0.0009562937025981,0.0009320806046832,0.0009083724668878,0.000885184627047,0.0008624420721341,0.0008400539668063,0.0008180751175253,0.00079654467755,0.0007754225599662,0.0007547061814173,0.0007343875829049,0.0007144634115702,0.000694900745337
40,0.0050695773627851,0.0051644536256953,0.005140926085706,0.004822649103126,0.0045938726010707,0.0043527220754471,0.0039560208322373,0.003640241588991,0.0034648507911075,0.0034621080609252,0.0033813400125234,0.0033918538660502,0.0032301906464104,0.003116802398384,0.0029962143638875,0.003026676990216,0.0029389964318342,0.0027906584605008,0.0027180403752543,0.0027651399450187,0.0032249458585731,0.0048344452301165,0.003235927872075,0.002805886391451,0.0027467962039207,0.0026888360290611,0.0026320059909075,0.0025764247358798,0.0025220134345314,0.0024687424137195,0.0024162773580926,0.0023643411646213,0.0023127656029604,0.0022614618213905,0.0022106281144195,0.0021606598594876,0.0021120532493035,0.0020650717621109,0.0020197601467921,0.0019758522875538,0.0019332922130366,0.0018920983200822,0.0018520923433957,0.0018130576859515,0.0017748046769238,0.001736989257642,0.0016987353626401,0.0016606657804184,0.0016229937633198,0.0015855173557668,0.0015485280199789,0.0015128617815024,0.001477865259601,0.0014433634607727,0.0014096552318114,0.0013767045457071,0.0013441923356113,0.0013122205574511,0.0012808103393948,0.0012500914166852,0.001219879737043,0.0011902039817099,0.0011610738030949,0.0011326103649607,0.0011046971061976,0.0010773771649274,0.0010506532271251,0.0010244404437933,0.0009986623490998,0.0009733562896002,0.0009485763054102
