age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0150825358481217,0.0148350934903047,0.0148159876948133,0.0141113921678846,0.0137503144126771,0.0128675358003171,0.0126864712685303,0.0124707716289945,0.0124222857005689,0.0112001900350377,0.0106622240733028,0.0121415235466701,0.0108796348600221,0.0103948248940442,0.0105066974746869,0.010073875083949,0.0087190918044684,0.0103904412068183,0.0098432152484023,0.0093964473153007,0.0094340581699147,0.0093866371218416,0.0098621758361298,0.0088756487822855,0.0087560919631671,0.0086389730985261,0.0085239847180627,0.0084111395856283,0.0083003804853322,0.0081916523958251,0.0080849330213681,0.0079801805568134,0.0078773769530457,0.0077764808853119,0.0076774235062208,0.0075802198385755,0.0074847824665869,0.0073911205227569,0.0072991807642478,0.0072089442374083,0.0071203624310747,0.0070334217324156,0.0069480928551283,0.0068643164870836,0.0067821010940075,0.0067013961590282,0.0066221749625923,0.0065444151470777,0.0064680817201208,0.0063931607904453,0.0063196235972508,0.0062474303310041,0.0061765724748886,0.0061070219547489,0.0060387446164222,0.0059717326383704,0.0059059350043377,0.0058413620696323,0.0057779676008541,0.005715746958119,0.0056546698195591,0.0055947044897748,0.0055358427923738,0.0054780699822846,0.0054213513764987,0.005365681512608,0.0053110217188788,0.0052573726066388,0.0052047014421286,0.0051530038575148,0.0051022508598739
1,0.000633718195268,0.0006233128956236,0.0006114556210605,0.0005918280384451,0.0005646465776143,0.0005571708166936,0.0005172884784162,0.0005035010889674,0.0004676814471652,0.0004790299496577,0.0004414197931465,0.0004521963824289,0.0004331924246564,0.0004342745472259,0.000409525679504,0.0003997689007176,0.0003893167224865,0.0003728162224591,0.0003448117327938,0.0003151441784616,0.0002891702050884,0.0003167346377562,0.0004214498364431,0.0003912218670879,0.0003857279188725,0.0003803308699971,0.0003750318407077,0.0003698241199975,0.000364708614045,0.0003596872345216,0.0003547570938113,0.000349915319935,0.0003451599895552,0.0003404897361614,0.00033590373433,0.0003314001755793,0.0003269776616681,0.0003226337840795,0.0003183689952709,0.0003141809041642,0.0003100667427827,0.0003060264052216,0.0003020584595886,0.0002981620852817,0.0002943355910912,0.0002905778943329,0.0002868874616149,0.0002832633966771,0.0002797040032171,0.0002762080617531,0.0002727748590148,0.0002694030613468,0.0002660917436307,0.0002628398644984,0.0002596463344963,0.0002565097667414,0.0002534294111793,0.0002504042101453,0.0002474331849299,0.0002445152975779,0.0002416496178554,0.0002388351641753,0.0002360712694885,0.0002333568459185,0.0002306909959636,0.0002280726446884,0.0002255011439704,0.0002229756658406,0.0002204952251643,0.000218058950809,0.0002156663546737
5,0.0002842101743527,0.0002565585092835,0.0002522058672425,0.0002582415821726,0.0002633467169442,0.0002424162500339,0.0002380357291629,0.000238538918542,0.0002417408706034,0.0002321081493822,0.0002276572285633,0.000246218624067,0.0002662721893491,0.0002413187843907,0.0002081579828586,0.0001930133650533,0.0001827803114398,0.000164358345021,0.0001611035810103,0.0001911154421277,0.0001121894900885,0.0001829513230164,0.0002006741091433,0.0002002505993214,0.0001971903120916,0.0001941879974735,0.0001912402296459,0.0001883456509201,0.0001855049066517,0.0001827170866893,0.0001799808707613,0.0001772961873083,0.0001746606337955,0.0001720746632892,0.0001695371942317,0.000167046924894,0.0001646030450169,0.0001622049295966,0.0001598512232488,0.0001575415129154,0.0001552757361982,0.0001530523074539,0.0001508702619107,0.000148728895328,0.0001466275054583,0.0001445651182812,0.0001425413711153,0.000140555136932,0.0001386061846183,0.0001366937549779,0.0001348165642127,0.0001329743079136,0.0001311663391867,0.0001293918322045,0.0001276502503892,0.000125941148716,0.0001242637413906,0.0001226174603735,0.0001210016399272,0.0001194158057852,0.0001178592487586,0.0001163315591276,0.0001148324045355,0.0001133611219391,0.0001119172568006,0.0001104998911143,0.0001091087528474,0.0001077432642054,0.0001064030611508,0.0001050876305609,0.0001037967560146
10,0.000327006312324,0.0003367133465442,0.0003496831686448,0.0003491004233301,0.0003425843316216,0.000336158403686,0.0003268988439834,0.0003335771012149,0.0003139468100233,0.0003005093727193,0.0002782531005345,0.0002857424186551,0.0002926347009391,0.0002943618539518,0.0002710874778438,0.0002690456566208,0.0002646567101234,0.0002547842215154,0.0002431325804112,0.000238610604537,0.0002148861314176,0.0001899077590884,0.000200799098453,0.0001887701823439,0.0001855995398287,0.0001824897010333,0.0001794386045827,0.0001764455300976,0.0001735094357254,0.000170628773168,0.0001678029408075,0.0001650307200818,0.0001623110142559,0.0001596428929557,0.0001570255951818,0.0001544579322046,0.0001519392656656,0.0001494682070051,0.0001470443506432,0.0001446666525317,0.0001423340442033,0.0001400458591069,0.0001378013454283,0.0001355991940324,0.0001334390967614,0.0001313203552228,0.0001292420245827,0.000127202971798,0.0001252027887107,0.0001232405340123,0.0001213155179737,0.0001194271871865,0.0001175746515951,0.0001157572484598,0.0001139743508254,0.0001122254658901,0.0001105096166722,0.0001088262974619,0.0001071747814165,0.0001055544949786,0.0001039650167223,0.0001024054813468,0.0001008756176142,9.93745453888212e-05,9.79017415565342e-05,9.64568765904521e-05,9.50394964667747e-05,9.36488790622474e-05,9.22845601749054e-05,9.09459937913979e-05,8.96325471386568e-05
15,0.0008423124702794,0.0008721322721782,0.0008961449473718,0.0009313989540227,0.0009493431911596,0.0009615609279152,0.0009646752798815,0.000937820526614,0.0009307726663689,0.0008852876918345,0.0008840401520761,0.0008810728565868,0.000885535660521,0.0008768107564938,0.000859758980899,0.0008779440541465,0.000872166837788,0.0008469404043154,0.0008006789450238,0.0007514386223756,0.0006775392732941,0.0006723397423032,0.0006956325934027,0.0006288237591244,0.000616851360955,0.0006050370854299,0.0005935475591595,0.0005822158159073,0.0005709976602367,0.0005598953972856,0.0005489109229606,0.0005380444519732,0.0005273509637666,0.0005168448574592,0.0005064941849453,0.0004963318155591,0.0004863349571278,0.0004764994820927,0.0004668332291323,0.0004573440362584,0.0004480230681136,0.0004388746011614,0.0004298724315688,0.0004210459119387,0.0004123744562195,0.0004038543810753,0.000395480561802,0.0003872659026983,0.0003791873173413,0.0003712592291786,0.0003634821961645,0.0003558496216237,0.000348344208075,0.0003409748601445,0.0003337372101603,0.000326623091213,0.0003196409147583,0.0003127826650738,0.0003060477954055,0.000299429014872,0.0002929293248177,0.0002865427496405,0.0002802684407067,0.0002741042980585,0.0002680524872139,0.0002621071333948,0.0002562660085822,0.0002505287788712,0.0002448925927118,0.0002393538586459,0.0002339123623469
20,0.0011905072081804,0.001189329128831,0.0012538840052962,0.0012597215625742,0.0012740662004797,0.0013146441326393,0.0013254349193782,0.0012985809987713,0.0012825712433661,0.0012771612204904,0.0012792303268838,0.0012400430570505,0.0011636708150329,0.001130286390363,0.001105299182856,0.0011344575131417,0.0011574112623609,0.0011398681342053,0.0011111517720209,0.0010435246461851,0.0010512553964722,0.0011732227956851,0.0010145556984211,0.0009829539690701,0.0009640237217955,0.0009455112138452,0.0009271813275866,0.0009091498046907,0.0008913795289176,0.0008738590873126,0.0008565613346707,0.0008397491890985,0.0008231613797901,0.0008067375422721,0.0007904809751916,0.0007744023335096,0.0007584856540653,0.0007428314433142,0.000727447451736,0.0007122932699292,0.0006974149314295,0.0006827693559845,0.0006683603477473,0.0006541975847002,0.0006402942322613,0.000626634004475,0.0006132311628234,0.0006000404758491,0.0005870993218316,0.0005743861012804,0.0005618918707035,0.0005496115487981,0.0005375658068512,0.0005257270674712,0.000514101146291,0.0005026980174951,0.0004914987697649,0.000480485330739,0.0004696685220407,0.000459050103785,0.0004486159628053,0.0004383707194248,0.0004283042250896,0.0004184147102119,0.0004086951733046,0.0003991522012121,0.0003897680694397,0.0003805572728617,0.000371502334246,0.0003626150058587,0.0003538800793361
25,0.0013876721141579,0.0013782924367559,0.0013367530332781,0.0013209435073026,0.0013221238759423,0.001314715040887,0.0013057918492094,0.0013282118074718,0.0013837737718334,0.0013558059932947,0.0013092441619455,0.0012193874070536,0.0011642404636743,0.0011373490761123,0.0011582404672673,0.0011739559355475,0.0011583699170188,0.0010865052800913,0.0010392472444688,0.0009695534817443,0.0010385810132352,0.0012726097490277,0.0010416522206761,0.0010844068448375,0.0010631021477077,0.0010422939878643,0.0010218835834354,0.0010018483424424,0.0009821866690435,0.0009629446675144,0.0009441189793524,0.000925460407377,0.0009071067831979,0.0008890284982886,0.0008712125599977,0.0008536080792144,0.0008365107970391,0.0008196295301271,0.0008029052038895,0.0007863442668776,0.0007699724207282,0.0007537708986633,0.0007378347206081,0.0007221728840021,0.0007067473379971,0.0006915995384761,0.0006766844156834,0.0006620122185663,0.0006475873022816,0.000633430576967,0.0006195195534922,0.0006058687616368,0.0005924380342759,0.0005792473889074,0.0005662902304765,0.0005535576743497,0.0005410488322995,0.0005287724226419,0.0005167078731445,0.0005048552744228,0.00049322641138,0.0004818055054154,0.0004705729115939,0.0004595430665691,0.000448709217288,0.0004380610049748,0.0004276076247695,0.0004173304045345,0.0004072394510109,0.0003973210173137,0.0003875784880157
30,0.0016658520065845,0.0016323306786019,0.0016240526359623,0.0016234404702077,0.0015846000352133,0.0015642809586499,0.0015573312483932,0.0015533996755768,0.0015430784516495,0.0015257821842838,0.0015288022546509,0.0014903787770062,0.0014257383287774,0.0014198638253149,0.0013510160660451,0.0013367003310955,0.0012670872851469,0.0012233695783399,0.0011947374357947,0.0011689052354071,0.0012039628109265,0.0016483677308138,0.00124144220812,0.001167066997788,0.0011435996983324,0.0011206160783913,0.0010981260544439,0.0010761294886779,0.0010546556794888,0.0010336836673308,0.0010131668364771,0.0009930486379073,0.000973318769066,0.000953960834076,0.000935006935656,0.0009164533754301,0.0008981114298622,0.0008800836092811,0.0008623503816549,0.000844890921291,0.0008276709935551,0.0008109077666223,0.0007943808389265,0.0007780499304994,0.0007619181928988,0.0007459987834851,0.0007302849511725,0.0007148380779718,0.0006996669085831,0.0006847294087176,0.0006700630954393,0.0006556374197549,0.000641453526308,0.0006275208704722,0.0006138471565533,0.0006004130801428,0.0005872336685645,0.0005742792819224,0.0005615559293282,0.0005490628691229,0.0005367921768998,0.0005247405392803,0.0005129131865043,0.0005012937980102,0.0004898810788875,0.0004786789949354,0.0004676800240763,0.0004568712273183,0.0004462586104688,0.0004358390697412,0.0004256009308715
35,0.0022373796389394,0.0022413497906517,0.0022086504376644,0.0022081070005493,0.0021413787786322,0.0020762011376801,0.0020789074355083,0.002062448519858,0.0021170532512042,0.0020934176966424,0.0020547467397807,0.0019812736342843,0.001871900935747,0.0017880287032939,0.0017079468189252,0.0016606957634786,0.0016414620902112,0.0015772979065579,0.0015088268037073,0.0014010041071199,0.0015541705428325,0.0020925579615218,0.0015874278163844,0.0014443960298709,0.001415928643397,0.0013877898845988,0.0013600993632994,0.0013329571392388,0.0013063535459592,0.001280255468887,0.0012546743395665,0.0012296436757009,0.0012051694010767,0.001181276938798,0.001157940437668,0.0011351138572115,0.0011127327558694,0.0010907819252175,0.0010692354963926,0.0010481403733848,0.0010274803318678,0.0010070670611008,0.000987007188382,0.0009672784565233,0.0009478543583752,0.0009287116181351,0.0009100579442837,0.0008916744760178,0.000873521398532,0.0008556078884527,0.0008379360060061,0.0008204985444475,0.0008033577392683,0.0007865153397754,0.0007699352453521,0.0007536548052276,0.0007376421469774,0.0007219045832132,0.0007064535037697,0.000691288171457,0.0006763909597593,0.0006617754238767,0.000647407933384,0.0006333025686103,0.0006194488112456,0.0006058429404254,0.0005924802308487,0.0005793653090661,0.0005664759553778,0.0005538201668338,0.000541396673373
40,0.0030949544797073,0.0030321639671451,0.0029991399343984,0.0029894867332586,0.0028802109841299,0.0028526713632386,0.0028484672901743,0.0028794411395513,0.002893323299686,0.0028587838230264,0.0028469185914296,0.0027622772633128,0.0026389772686159,0.0025123294149439,0.0023542141896239,0.0023514005452284,0.002279504848743,0.0022341200322815,0.0021624796433243,0.0021688903919993,0.0021326750217069,0.0032805724974125,0.0022973140240128,0.0021913899375606,0.0021492792920572,0.0021079249606072,0.0020670829355707,0.0020266048868306,0.0019864641106517,0.0019467542465935,0.0019075799667466,0.0018690731868862,0.0018313259623523,0.001794329681499,0.0017580553397336,0.0017225011621042,0.0016876927212278,0.0016536314822443,0.0016203497147109,0.0015878158137958,0.0015559798040005,0.0015247546909668,0.0014941348396915,0.0014640860507637,0.00143464304076,0.0014058028830875,0.0013773516156302,0.0013493983877138,0.00132191997282,0.0012948961827518,0.0012682892736011,0.0012423260152629,0.0012167753611381,0.0011915821240862,0.0011667472311355,0.0011422760174782,0.0011181467410318,0.0010944396000758,0.0010711533501787,0.0010482456735376,0.0010257607961308,0.0010036528939344,0.0009819322172792,0.0009606055645121,0.0009396846087426,0.0009191339226383,0.0008989758939648,0.0008791657928671,0.0008597192910582,0.0008406204988257,0.0008218734441696
