age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,0.0178068156552151,0.01578899725829,0.0150338990478218,0.0147895968757553,0.0144775135465406,0.0135812509720566,0.0132689809652527,0.013105468455598,0.0127399858780041,0.0127094773618181,0.0119513364376636,0.0120644855129937,0.0116688809636533,0.0116995174747518,0.0116176740902444,0.011091273234691,0.0108244312158526,0.0112361418976558,0.010928400590975,0.0108302148771526,0.0098552297071619,0.0104535740528494,0.0114724130613802,0.0113277704174968,0.0111356765922732,0.0109475423125048,0.0107633139531689,0.0105829132886663,0.0104062638064695,0.0102332941843101,0.0100639267089109,0.0098980942262512,0.0097357262518968,0.0095767483660801,0.0094210983792666,0.0092687049726881,0.0091194997626398,0.0089734255694905,0.0088304137410811,0.0086903994012639,0.0085533212566248,0.0084191239472317,0.0082877409359937,0.0081591190265162,0.0080331966914953,0.007909922041226,0.0077892354971794,0.0076710857643943,0.0075554176982198,0.0074421804708321,0.0073313213994889,0.0072227910728674,0.0071165400294553,0.007012521630513,0.006910688454038,0.0068109911371481,0.0067133875527964,0.0066178312401843,0.0065242798721797,0.0064326892389647,0.006343021301502,0.0062552307880128,0.0061692789811213,0.0060851269782041,0.00600273806262,0.005922072057532,0.0058430936053589,0.0057657662522457,0.0056900555467791,0.0056159243956021,0.0055433424284154
1,0.0006817340140046,0.0006349737130543,0.0006123852292383,0.0005890728130387,0.0005653309903119,0.0005513549734608,0.0005353637971749,0.0005232317719834,0.0005022732545597,0.000487891969364,0.0004778985418489,0.0004577095611092,0.0004493258649104,0.000437349479234,0.0004144343942495,0.0004052173270436,0.0003935919806549,0.0004111088950125,0.0004137248619177,0.0004246087078523,0.0002874838942259,0.0003540767554993,0.0004623834025375,0.0004547461449203,0.0004471822422558,0.0004397750273106,0.0004325191475164,0.0004254126478875,0.0004184494885612,0.0004116276087452,0.0004049449787359,0.0003983988232714,0.0003919865166704,0.0003857054416547,0.0003795529210443,0.0003735265129664,0.0003676236706864,0.0003618419523249,0.0003561789742894,0.0003506322910025,0.0003451996031748,0.0003398786547265,0.0003346671383345,0.0003295628385383,0.0003245635808489,0.0003196672253437,0.0003148716746304,0.0003101748668762,0.0003055747815451,0.0003010694435708,0.0002966568837169,0.0002923351979472,0.0002881025160095,0.0002839569938573,0.0002798968321428,0.0002759202667218,0.0002720255609536,0.0002682110114707,0.0002644749561895,0.0002608157664342,0.0002572318467884,0.0002537216266741,0.0002502835494287,0.0002469161617786,0.0002436179544538,0.0002403875150679,0.0002372234026415,0.0002341241999817,0.0002310885896259,0.0002281152661609,0.0002252029320174
5,0.0002816063060841,0.0002672370093038,0.000260621356854,0.0002498444392738,0.0002425962293445,0.0002455980475399,0.0002451705424763,0.0002405764693358,0.0002269312919061,0.0002155532326799,0.0002059565394026,0.0002025255831845,0.0002057857786197,0.0002030422331114,0.0001898418435855,0.0001752373616715,0.0001679142607039,0.0001624622742249,0.0001633197754635,0.0001653318083489,0.0001205798213775,0.0001390057287408,0.000195234564617,0.0002050818015495,0.0002016281379824,0.000198248253721,0.0001949403603026,0.0001917032474982,0.0001885352728053,0.0001854348115933,0.0001824007173075,0.0001794315951248,0.000176526087768,0.0001736830049865,0.0001709010128573,0.0001681788181247,0.0001655151728461,0.0001629088454657,0.0001603586278271,0.0001578633323196,0.0001554217925806,0.0001530328632289,0.0001506954224612,0.0001484083715341,0.0001461706269759,0.0001439811283703,0.0001418388414894,0.0001397427416159,0.0001376918311669,0.0001356851304561,0.0001337216865739,0.0001318005549061,0.0001299208136311,0.0001280815669683,0.0001262819300582,0.0001245210332487,0.0001227980342873,0.0001211121034714,0.0001194624297574,0.0001178482270466,0.0001162687023253,0.000114723107811,0.0001132106971825,0.0001117307457558,0.0001102825335316,0.0001088653702128,0.0001074785680946,0.0001061214660181,0.0001047934115991,0.0001034937699274,0.0001022219090903
10,0.0003715876015615,0.0003619633987026,0.0003406052405762,0.0003219824228206,0.0003064921166038,0.0003009968306804,0.0002896685094932,0.0002760319347715,0.0002685736674574,0.0002693507438825,0.0002677242611312,0.0002606625221919,0.0002557129970852,0.0002557826782876,0.0002548888672195,0.0002403907933146,0.0002260890192919,0.0002139925983736,0.0002098872591568,0.0002074897865795,0.0001838101611324,0.000189316009634,0.0002149416181125,0.0002173084153017,0.0002132220554614,0.0002092194250062,0.0002052962169786,0.0002014529601684,0.000197689898732,0.0001940042964456,0.0001903964525804,0.000186863848316,0.0001834032779843,0.0001800146520014,0.0001766986704932,0.0001734520500184,0.0001702737839332,0.0001671631080809,0.0001641167817408,0.0001611339623945,0.0001582136253557,0.0001553543650564,0.0001525549705494,0.0001498141512286,0.000147130680219,0.0001445033979501,0.0001419310978429,0.0001394126975764,0.0001369471448535,0.000134533165488,0.0001321697502326,0.0001298559104806,0.0001275905204612,0.000125372560395,0.0001232010036851,0.0001210749466343,0.0001189933914877,0.0001169553624894,0.0001149600157705,0.0001130063580073,0.0001110935804051,0.0001092207493145,0.000107387030718,0.0001055916183027,0.0001038337427573,0.0001021124653005,0.000100427127164,9.87769421270285e-05,9.7161145022213e-05,9.55789871017517e-05,9.402979389455e-05
15,0.0014599781057598,0.0014545020801749,0.0013977440055811,0.0012742018295948,0.0011256488037121,0.0010058012878887,0.0009205445856136,0.0008700447311783,0.0008150553482473,0.0007936415815956,0.0007903429174536,0.0008308888848707,0.0008565633068598,0.0009007656508031,0.0008952637799474,0.0008651791328051,0.0007999143138632,0.0007493207322513,0.0007169169058157,0.0006717044500419,0.0006931934970626,0.0006197423497378,0.0006004886468301,0.0005804048650738,0.00056853266365,0.0005568483732324,0.0005454777691002,0.0005343356841185,0.0005234065429491,0.0005126688027659,0.0005021265604938,0.0004917634470744,0.0004815938671629,0.000471629383669,0.0004618572435841,0.0004522876251052,0.0004429094032157,0.0004337050782539,0.0004246819113041,0.0004158526704532,0.0004071994076197,0.0003987220493886,0.0003904212319634,0.0003822803181429,0.0003742991907156,0.0003664769725909,0.0003588101376619,0.0003512955655902,0.0003439296517628,0.0003367098900526,0.0003296333003118,0.0003226971168647,0.0003158989345838,0.0003092365154422,0.0003027062958229,0.0002963059499573,0.0002900332115969,0.0002838851733764,0.0002778591556636,0.0002719530391953,0.0002661646098065,0.0002604911470154,0.0002549304432165,0.0002494806296611,0.0002441390493335,0.0002389039458388,0.0002337726553778,0.0002287431443317,0.0002238136631784,0.0002189824281187,0.000214246889526
20,0.0020413729748576,0.0019741613281374,0.0018734780498176,0.0017582115146447,0.0015642916224867,0.0013966032547979,0.0012676381362031,0.0012121183249795,0.0011940581872714,0.0011893073908191,0.0011956676755568,0.0011970804383464,0.0011866470180872,0.0011716940360915,0.0011368349415342,0.0010976234840801,0.0010593134701711,0.0010243313497305,0.0010386992755641,0.0010676185753337,0.0011484209212333,0.0012019241430635,0.0010683019174987,0.0009953217447418,0.0009748574217599,0.0009547833454684,0.0009348419715483,0.0009151591601876,0.0008957384977103,0.0008765982875685,0.0008577415522137,0.0008393996730158,0.0008214199682971,0.0008037765195713,0.0007864336970432,0.0007694002658489,0.0007526500925035,0.00073620979366,0.0007200996595406,0.0007042979228592,0.0006888222552846,0.0006736527445199,0.0006587606707699,0.0006441608031805,0.0006298753162529,0.0006158721955337,0.0006021510056414,0.0005887131844722,0.0005755323046724,0.0005626073663305,0.0005499380127209,0.0005375168482279,0.0005253402546819,0.0005134020282533,0.0005016979334547,0.0004902236890463,0.0004789750504082,0.0004679480451259,0.000457139381188,0.0004465425553631,0.0004361541517173,0.0004259710761663,0.0004159883282307,0.000406201628446,0.0003966072723287,0.0003872022520643,0.0003779823756642,0.0003689438219883,0.0003600832945199,0.0003513967309453,0.000342881920139
25,0.0022559747580166,0.0021358835053663,0.0019944010176528,0.0018295511058459,0.0016464482373045,0.0015054201700007,0.001381569546493,0.0013130445388913,0.0012878415495043,0.0012776416835956,0.0012857921006473,0.0012595684007306,0.001237714729724,0.0012239359272595,0.0011938174806678,0.0011651115405229,0.0011068286003618,0.0010818349005707,0.0010677111600733,0.001071473372716,0.0011974109656228,0.0015137961077064,0.0012315602928318,0.0012006720702306,0.0011751904871571,0.0011502563526298,0.0011258144833852,0.0011018271570889,0.0010782792207575,0.0010551775202936,0.0010325112053986,0.0010100426047397,0.0009878894373782,0.0009660546018277,0.0009445550481739,0.0009233924409676,0.0009027842216158,0.0008825870296611,0.0008627750447513,0.0008433125862134,0.0008242074149603,0.0008054331624814,0.0007870135785091,0.0007689668462207,0.0007512706848221,0.0007339406031938,0.0007169553237033,0.0007002883542476,0.0006839530719363,0.0006679685129601,0.0006523026616097,0.0006369540419565,0.0006219219327792,0.0006071807491213,0.0005927295799409,0.0005785661662236,0.0005646827889659,0.0005510750053854,0.0005377359508706,0.0005246610043329,0.0005118450914316,0.0004992825851382,0.0004869697914235,0.0004749020906788,0.0004630729710537,0.0004514782790918,0.0004401140032727,0.0004289748717551,0.000418055892948,0.0004073532316058,0.0003968626635143
30,0.002577972044773,0.0024417957072533,0.0023096505570735,0.002153426956493,0.001995863357062,0.0018562948355083,0.0017400491130222,0.0016516758911896,0.0016141044336843,0.0015691983554508,0.0015419872741487,0.0015068924686798,0.0014833182225247,0.0014577114401801,0.0014115200487497,0.0013697699810363,0.0013269121747541,0.0012926734714766,0.0012796930026698,0.0013002061209115,0.0015270790437789,0.0020103927754724,0.0015004755856473,0.001415948315274,0.0013854359802009,0.0013554548079396,0.0013260992305932,0.0012974417435886,0.0012695004243893,0.0012422254477519,0.0012155223926883,0.0011893458133062,0.0011636559319822,0.0011384373912502,0.0011136948762447,0.0010894161521231,0.001065356997313,0.0010416410825612,0.0010182724685931,0.0009952690154734,0.0009726320711617,0.0009505815684894,0.0009289682511736,0.0009077662574547,0.0008869394621706,0.0008664965400409,0.0008464100207686,0.0008267046574952,0.0008073983231342,0.0007884672459057,0.0007699267150665,0.000751754891023,0.0007339257011865,0.0007164517550272,0.0006993505329656,0.0006825899273282,0.0006661669980923,0.0006500816279012,0.0006343086345514,0.0006188458485301,0.0006036901089347,0.0005888336142822,0.0005742712348066,0.0005599961368453,0.0005460028618968,0.0005322863491785,0.0005188403545302,0.0005056612812327,0.0004927438094523,0.0004800810934746,0.0004676684117811
35,0.0031308609007161,0.0030044320893048,0.0028722151384174,0.0027614864599692,0.0026089987373791,0.0024725735664224,0.0023358001250256,0.0022574892712268,0.0022013052160989,0.0021633531062194,0.0021120008935746,0.0020564626946295,0.0020003905395835,0.0019478485314066,0.0018816090769438,0.0018335735070744,0.001766320433388,0.0017250327764265,0.0016749413265875,0.0016535927121197,0.001969069748449,0.0028914249519541,0.0018367724099434,0.001833492468873,0.0017947912319314,0.0017566548536289,0.0017191095111098,0.0016821814252724,0.0016458168103189,0.0016099931647332,0.0015747976880473,0.0015403423406851,0.0015067004283656,0.0014738876054591,0.0014418500508886,0.0014104863536093,0.0013797472348334,0.0013495892119726,0.0013199949614668,0.0012909663630238,0.0012624904635047,0.0012343120385008,0.0012065582977231,0.0011792328609355,0.0011523514585771,0.0011259141737618,0.0011001464755153,0.0010748934754009,0.0010501274026866,0.0010258103873575,0.0010019492658608,0.0009785153038201,0.0009555325860395,0.0009330171064448,0.0009109439676825,0.0008893269168045,0.0008681428701077,0.0008473630275112,0.0008269992799473,0.0008070682265923,0.0007875369506077,0.000768401644556,0.0007496595441313,0.0007312847315128,0.0007132742229165,0.0006956230619178,0.0006783222748005,0.0006613656276815,0.0006447453344589,0.0006284545861925,0.0006124879309824
40,0.0041296805065002,0.0039960881667042,0.0038433225543766,0.0036938461493881,0.0035514361587495,0.003428611510539,0.0033037960457496,0.0032488611227132,0.0031836662141744,0.0031204810362139,0.003051609051358,0.0029723637685818,0.0029140202516413,0.0028145176658301,0.0027369484526464,0.0026461637882614,0.0025525999952154,0.0024591600511461,0.0024039105995478,0.0023845503199622,0.0028023953450875,0.0040033562064897,0.0025931326580878,0.0024920239018066,0.0024404402755237,0.0023903431074195,0.0023412401830305,0.0022928025819262,0.0022449668459313,0.0021978207560554,0.002151382042405,0.0021056991161193,0.002060797627254,0.0020166153762301,0.0019731246746734,0.0019304185947331,0.0018886171092435,0.001847800447297,0.0018079801628715,0.0017690961390426,0.0017310333548904,0.0016937350399059,0.0016571514718654,0.001621261153758,0.0015860665117198,0.0015515497766549,0.0015174273042688,0.0014838389900257,0.0014507882678058,0.0014182905452732,0.0013863456101565,0.0013552003267541,0.0013246802405453,0.0012947548212187,0.0012653804919648,0.0012365642841228,0.0012082726752055,0.0011805309035977,0.0011533556882155,0.0011267186259122,0.0011006329988623,0.0010750714092549,0.0010500021595538,0.001025438900095,0.0010013971720205,0.000977840008311,0.0009547625011514,0.0009321603465536,0.0009100040957655,0.000888289633132,0.0008670096937465
45,0.0057738774902879,0.0056116692753972,0.0054558920661428,0.0052817305258082,0.0051407960360126,0.0049666054907006,0.0048066021192168,0.0046917327250619,0.004582912431603,0.0045236402546555,0.004433806108092,0.0043435959739631,0.0042597618380537,0.0041570518458731,0.0040538410810881,0.0039349669243754,0.0038105464226079,0.003718726281297,0.0035982480677266,0.0035218414871099,0.0041681255751,0.0060839081471977,0.0037572575579137,0.0035298530905275,0.0034556562474161,0.0033829142420625,0.0033123052847239,0.0032442032399461,0.0031786883256346,0.0031154615921159,0.0030540584149755,0.0029938850362564,0.0029345277149363,0.0028759072193588,0.0028181341699122,0.0027612307922901,0.0027052584412821,0.0026502448346657,0.0025961107574024,0.0025428190886019,0.0024904916095379,0.0024392782795614,0.0023892819247822,0.0023405160756555,0.0022929048538231,0.0022463006252354,0.0022006333585985,0.0021558422730279,0.0021119008283269,0.0020688130243287,0.0020265550639425,0.0019847638777392,0.0019436190839003,0.0019031283970762,0.0018633098959351,0.0018241633647878,0.0017860069553566,0.0017486158087776,0.0017119514660582,0.001675958875677,0.0016406474234322,0.0016059727340397,0.0015719693291871,0.0015386601484309,0.0015060090824297,0.0014740328400351,0.0014426965144162,0.0014119608786622,0.0013818468486313,0.0013523751466367,0.0013234973184049
