mun_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1100015,26625,26494,26362,26231,26099,25968,25796,25623,25451,25278,25106,24995,24884,24774,24663,24552,24394,24236,24077,23919,23761,23653,23546,23438,23331,23223,23119,23015,22912,22808,22704,22590,22475,22361,22246,22132,22001,21869,21738,21606,21475,21331,21187,21043,20899,20755,20598,20442,20285,20129,19972
1100023,74031,75827,77624,79420,81217,83013,84716,86418,88121,89823,91526,93013,94500,95986,97473,98960,100177,101394,102611,103828,105045,105713,106380,107048,107715,108383,108945,109508,110070,110633,111195,111613,112031,112450,112868,113286,113541,113795,114050,114304,114559,114649,114740,114830,114921,115011,114932,114853,114773,114694,114615
1100031,7526,7419,7311,7204,7096,6989,6898,6806,6715,6623,6532,6485,6438,6391,6344,6297,6237,6177,6118,6058,5998,5956,5914,5873,5831,5789,5749,5709,5668,5628,5588,5547,5507,5466,5426,5385,5342,5300,5257,5215,5172,5128,5084,5040,4996,4952,4905,4857,4810,4762,4715
1100049,72482,73223,73964,74706,75447,76188,76880,77572,78265,78957,79649,81105,82561,84016,85472,86928,88237,89545,90854,92162,93471,94157,94842,95528,96213,96899,97479,98059,98639,99219,99799,100236,100672,101109,101545,101982,102259,102537,102814,103092,103369,103490,103611,103732,103853,103974,103941,103909,103876,103844,103811
1100056,18168,18103,18038,17973,17908,17843,17762,17681,17600,17519,17438,17431,17424,17416,17409,17402,17376,17351,17325,17300,17274,17260,17246,17231,17217,17203,17177,17151,17124,17098,17072,17031,16990,16949,16908,16867,16811,16755,16698,16642,16586,16518,16451,16383,16316,16248,16168,16088,16009,15929,15849
1100064,21991,21709,21428,21146,20865,20583,20314,20045,19775,19506,19237,19078,18918,18759,18599,18440,18258,18075,17893,17710,17528,17404,17280,17157,17033,16909,16793,16678,16562,16447,16331,16210,16089,15967,15846,15725,15597,15470,15342,15215,15087,14951,14815,14678,14542,14406,14262,14118,13975,13831,13687
1100072,10453,10323,10193,10062,9932,9802,9653,9504,9355,9206,9057,8987,8918,8848,8779,8709,8638,8566,8495,8423,8352,8319,8286,8254,8221,8188,8154,8120,8086,8052,8018,7976,7935,7893,7852,7810,7762,7713,7665,7616,7568,7515,7462,7408,7355,7302,7245,7187,7130,7072,7015
1100080,9334,9784,10234,10683,11133,11583,12028,12473,12918,13363,13808,13876,13944,14011,14079,14147,14100,14053,14005,13958,13911,13875,13840,13804,13769,13733,13704,13674,13645,13615,13586,13554,13523,13491,13460,13428,13391,13354,13317,13280,13243,13196,13149,13102,13055,13008,12950,12892,12835,12777,12719
1100098,25576,25959,26341,26724,27106,27489,27849,28209,28569,28929,29289,29635,29981,30328,30674,31020,31262,31504,31747,31989,32231,32299,32368,32436,32505,32573,32620,32667,32715,32762,32809,32823,32836,32850,32863,32877,32853,32829,32806,32782,32758,32698,32638,32577,32517,32457,32359,32261,32164,32066,31968
1100106,38171,38623,39076,39528,39981,40433,40877,41320,41764,42207,42651,42830,43009,43187,43366,43545,43618,43691,43764,43837,43910,43907,43904,43902,43899,43896,43890,43884,43878,43872,43866,43847,43828,43810,43791,43772,43729,43686,43644,43601,43558,43488,43418,43349,43279,43209,43103,42997,42892,42786,42680
1100114,53359,53406,53453,53501,53548,53595,53538,53481,53423,53366,53309,53585,53862,54138,54415,54691,54870,55050,55229,55409,55588,55586,55583,55581,55578,55576,55552,55528,55504,55480,55456,55382,55308,55235,55161,55087,54957,54827,54696,54566,54436,54252,54068,53885,53701,53517,53271,53025,52778,52532,52286
1100122,105756,107044,108332,109619,110907,112195,113497,114799,116101,117403,118705,120508,122311,124114,125917,127720,129211,130703,132194,133686,135177,135993,136809,137625,138441,139257,139936,140614,141293,141971,142650,143141,143632,144123,144614,145105,145396,145687,145977,146268,146559,146655,146751,146848,146944,147040,146936,146832,146727,146623,146519
1100130,22864,23704,24544,25385,26225,27065,27957,28848,29740,30631,31523,31859,32196,32532,32869,33205,33357,33509,33661,33813,33965,33963,33961,33960,33958,33956,33940,33924,33908,33892,33876,33835,33794,33754,33713,33672,33601,33530,33458,33387,33316,33218,33121,33023,32926,32828,32696,32564,32433,32301,32169
1100148,17363,17707,18050,18394,18737,19081,19326,19571,19817,20062,20307,20086,19864,19643,19421,19200,18911,18622,18333,18044,17755,17603,17451,17298,17146,16994,16860,16726,16593,16459,16325,16190,16056,15921,15787,15652,15510,15368,15226,15084,14942,14795,14648,14501,14354,14207,14053,13899,13746,13592,13438
1100155,40877,40739,40602,40464,40327,40189,39986,39783,39581,39378,39175,39222,39270,39317,39365,39412,39398,39384,39370,39356,39342,39184,39025,38867,38708,38550,38391,38232,38073,37914,37755,37571,37387,37202,37018,36834,36620,36405,36191,35976,35762,35517,35272,35027,34782,34537,34264,33990,33717,33443,33170
1100189,31519,31827,32136,32444,32753,33061,33348,33634,33921,34207,34494,34903,35313,35722,36132,36541,36878,37215,37551,37888,38225,38361,38497,38633,38769,38905,39010,39115,39220,39325,39430,39487,39544,39600,39657,39714,39720,39727,39733,39740,39746,39700,39655,39609,39564,39518,39424,39330,39237,39143,39049
1100205,333380,343231,353082,362933,372784,382635,392804,402974,413143,423313,433482,440884,448286,455688,463090,470492,476188,481884,487581,493277,498973,502449,505924,509400,512875,516351,519341,522331,525322,528312,531302,533657,536013,538368,540724,543079,544671,546263,547856,549448,551040,551836,552633,553429,554226,555022,554993,554964,554936,554907,554878
1100254,26451,26114,25777,25440,25103,24766,24429,24091,23754,23416,23079,22922,22764,22607,22449,22292,22128,21964,21800,21636,21472,21312,21152,20992,20832,20672,20524,20375,20227,20078,19930,19771,19613,19454,19296,19137,18970,18802,18635,18467,18300,18125,17949,17774,17598,17423,17241,17058,16876,16693,16511
1100262,2921,2965,3009,3052,3096,3140,3184,3228,3272,3316,3360,3397,3434,3471,3508,3545,3578,3611,3643,3676,3709,3711,3713,3714,3716,3718,3717,3716,3715,3714,3713,3708,3703,3699,3694,3689,3680,3671,3662,3653,3644,3633,3622,3610,3599,3588,3572,3556,3541,3525,3509
1100288,46741,47222,47704,48185,48667,49148,49590,50032,50474,50916,51358,52250,53142,54033,54925,55817,56646,57474,58303,59131,59960,60373,60786,61199,61612,62025,62372,62718,63065,63411,63758,64018,64277,64537,64796,65056,65226,65397,65567,65738,65908,65991,66074,66158,66241,66324,66317,66310,66303,66296,66289
1100296,11614,11366,11117,10869,10620,10372,10144,9915,9687,9458,9230,9134,9038,8943,8847,8751,8662,8574,8485,8397,8308,8251,8195,8138,8082,8025,7971,7917,7862,7808,7754,7697,7640,7583,7526,7469,7408,7347,7287,7226,7165,7100,7036,6971,6907,6842,6772,6702,6632,6562,6492
1100304,53041,55203,57365,59526,61688,63850,66321,68792,71264,73735,76206,78585,80963,83342,85720,88099,90541,92983,95424,97866,100308,101650,102993,104335,105678,107020,108239,109458,110676,111895,113114,114169,115224,116280,117335,118390,119267,120144,121021,121898,122775,123473,124171,124870,125568,126266,126772,127279,127785,128292,128798
1100320,22751,22647,22543,22440,22336,22232,22072,21912,21752,21592,21432,21538,21644,21751,21857,21963,22029,22095,22161,22227,22293,22299,22306,22312,22319,22325,22318,22311,22304,22297,22290,22260,22230,22199,22169,22139,22086,22034,21981,21929,21876,21802,21728,21654,21580,21506,21414,21321,21229,21136,21044
1100338,14732,15453,16174,16896,17617,18338,19155,19972,20789,21606,22423,22939,23455,23970,24486,25002,25434,25866,26299,26731,27163,27377,27591,27805,28019,28233,28428,28624,28819,29015,29210,29379,29548,29717,29886,30055,30194,30332,30471,30609,30748,30854,30960,31066,31172,31278,31347,31416,31486,31555,31624
1100346,19988,19749,19510,19270,19031,18792,18524,18256,17988,17720,17452,17207,16963,16718,16474,16229,15972,15715,15459,15202,14945,14809,14673,14536,14400,14264,14141,14019,13896,13774,13651,13528,13405,13283,13160,13037,12910,12783,12655,12528,12401,12269,12138,12006,11875,11743,11607,11471,11335,11199,11063
1100379,12763,12828,12893,12957,13022,13087,13095,13104,13112,13121,13129,13100,13071,13042,13013,12984,12920,12856,12793,12729,12665,12617,12568,12520,12471,12423,12376,12329,12282,12235,12188,12135,12082,12029,11976,11923,11864,11805,11746,11687,11628,11563,11499,11434,11370,11305,11230,11154,11079,11003,10928
1100403,13210,13625,14040,14454,14869,15284,15684,16085,16485,16886,17286,17367,17449,17530,17612,17693,17692,17690,17689,17687,17686,17658,17629,17601,17572,17544,17516,17488,17460,17432,17404,17366,17327,17289,17250,17212,17160,17108,17055,17003,16951,16884,16817,16749,16682,16615,16533,16451,16368,16286,16204
1100452,26007,26746,27485,28224,28963,29702,30376,31050,31724,32398,33072,33050,33029,33007,32986,32964,32755,32546,32336,32127,31918,31770,31621,31473,31324,31176,31040,30904,30769,30633,30497,30355,30212,30070,29927,29785,29627,29469,29310,29152,28994,28820,28645,28471,28296,28122,27925,27729,27532,27336,27139
1100502,12349,12180,12011,11842,11673,11504,11323,11143,10962,10782,10601,10421,10242,10062,9883,9703,9521,9339,9157,8975,8793,8718,8644,8569,8495,8420,8351,8283,8214,8146,8077,8008,7940,7871,7803,7734,7662,7589,7517,7444,7372,7298,7224,7149,7075,7001,6923,6846,6768,6691,6613
1100601,5379,5432,5485,5537,5590,5643,5677,5710,5744,5777,5811,5717,5623,5530,5436,5342,5222,5102,4982,4862,4742,4720,4698,4675,4653,4631,4608,4585,4563,4540,4517,4493,4469,4444,4420,4396,4369,4343,4316,4290,4263,4235,4207,4178,4150,4122,4093,4063,4034,4004,3975
