month,class_range,count
2010-01-01,30-34,2276
2010-01-01,55-59,1110
2010-01-01,70-74,89
2010-01-01,65-69,179
2010-01-01,40-44,1740
2010-01-01,25-29,1758
2010-01-01,35-39,1446
2010-01-01,45-49,911
2010-01-01,20-24,1808
2010-01-01,75-79,102
2010-01-01,60-64,1085
2010-01-01,15-19,547
2010-01-01,50-54,1247
2010-02-01,15-19,462
2010-02-01,30-34,2314
2010-02-01,70-74,95
2010-02-01,65-69,195
2010-02-01,40-44,1752
2010-02-01,25-29,1829
2010-02-01,35-39,1486
2010-02-01,60-64,1082
2010-02-01,45-49,933
2010-02-01,55-59,1134
2010-02-01,75-79,102
2010-02-01,50-54,1264
2010-02-01,20-24,1759
2010-03-01,25-29,1872
2010-03-01,15-19,402
2010-03-01,70-74,99
2010-03-01,50-54,1300
2010-03-01,40-44,1751
2010-03-01,75-79,109
2010-03-01,20-24,1729
2010-03-01,55-59,1131
2010-03-01,65-69,209
2010-03-01,45-49,939
2010-03-01,35-39,1525
2010-03-01,60-64,1100
2010-03-01,30-34,2355
2010-04-01,30-34,2388
2010-04-01,65-69,225
2010-04-01,75-79,112
2010-04-01,35-39,1562
2010-04-01,15-19,361
2010-04-01,25-29,1884
2010-04-01,50-54,1302
2010-04-01,60-64,1104
2010-04-01,20-24,1719
2010-04-01,55-59,1146
2010-04-01,45-49,966
2010-04-01,40-44,1756
2010-04-01,70-74,103
2010-05-01,75-79,112
2010-05-01,40-44,1768
2010-05-01,65-69,244
2010-05-01,35-39,1595
2010-05-01,25-29,1908
2010-05-01,20-24,1684
2010-05-01,70-74,109
2010-05-01,50-54,1316
2010-05-01,15-19,343
2010-05-01,30-34,2398
2010-05-01,55-59,1145
2010-05-01,60-64,1116
2010-05-01,45-49,984
2010-06-01,55-59,1145
2010-06-01,25-29,1928
2010-06-01,65-69,255
2010-06-01,60-64,1123
2010-06-01,45-49,1017
2010-06-01,35-39,1621
2010-06-01,20-24,1655
2010-06-01,40-44,1782
2010-06-01,15-19,317
2010-06-01,70-74,117
2010-06-01,50-54,1322
2010-06-01,30-34,2434
2010-06-01,75-79,114
2010-07-01,20-24,1655
2010-07-01,75-79,113
2010-07-01,45-49,1031
2010-07-01,15-19,290
2010-07-01,50-54,1321
2010-07-01,30-34,2446
2010-07-01,25-29,1928
2010-07-01,35-39,1632
2010-07-01,60-64,1136
2010-07-01,40-44,1819
2010-07-01,65-69,277
2010-07-01,70-74,118
2010-07-01,55-59,1152
2010-08-01,25-29,1950
2010-08-01,30-34,2480
2010-08-01,75-79,112
2010-08-01,60-64,1153
2010-08-01,40-44,1841
2010-08-01,50-54,1315
2010-08-01,45-49,1044
2010-08-01,20-24,1602
2010-08-01,70-74,119
2010-08-01,65-69,288
2010-08-01,35-39,1650
2010-08-01,55-59,1162
2010-08-01,15-19,272
2010-09-01,70-74,122
2010-09-01,35-39,1684
2010-09-01,45-49,1062
2010-09-01,15-19,249
2010-09-01,75-79,113
2010-09-01,65-69,309
2010-09-01,25-29,1952
2010-09-01,60-64,1166
2010-09-01,40-44,1832
2010-09-01,50-54,1326
2010-09-01,20-24,1600
2010-09-01,55-59,1166
2010-09-01,30-34,2481
2010-10-01,35-39,1687
2010-10-01,40-44,1841
2010-10-01,45-49,1091
2010-10-01,65-69,332
2010-10-01,55-59,1175
2010-10-01,15-19,232
2010-10-01,20-24,1589
2010-10-01,60-64,1159
2010-10-01,70-74,126
2010-10-01,25-29,1950
2010-10-01,75-79,111
2010-10-01,30-34,2497
2010-10-01,50-54,1341
2010-11-01,15-19,216
2010-11-01,70-74,129
2010-11-01,45-49,1117
2010-11-01,75-79,110
2010-11-01,40-44,1856
2010-11-01,50-54,1349
2010-11-01,30-34,2499
2010-11-01,25-29,1947
2010-11-01,55-59,1181
2010-11-01,60-64,1178
2010-11-01,65-69,343
2010-11-01,35-39,1695
2010-11-01,20-24,1585
2010-12-01,35-39,1709
2010-12-01,25-29,1917
2010-12-01,55-59,1202
2010-12-01,75-79,106
2010-12-01,15-19,209
2010-12-01,60-64,1178
2010-12-01,45-49,1140
2010-12-01,65-69,369
2010-12-01,50-54,1350
2010-12-01,30-34,2525
2010-12-01,70-74,130
2010-12-01,40-44,1875
2010-12-01,20-24,1569
2011-01-01,50-54,1351
2011-01-01,15-19,197
2011-01-01,35-39,1720
2011-01-01,75-79,104
2011-01-01,30-34,2538
2011-01-01,60-64,1173
2011-01-01,40-44,1882
2011-01-01,45-49,1158
2011-01-01,65-69,384
2011-01-01,70-74,137
2011-01-01,20-24,1547
2011-01-01,25-29,1926
2011-01-01,55-59,1213
2011-02-01,25-29,1931
2011-02-01,60-64,1176
2011-02-01,55-59,1227
2011-02-01,40-44,1900
2011-02-01,20-24,1544
2011-02-01,65-69,399
2011-02-01,70-74,137
2011-02-01,50-54,1342
2011-02-01,35-39,1740
2011-02-01,45-49,1162
2011-02-01,30-34,2547
2011-02-01,15-19,174
2011-02-01,75-79,108
2011-03-01,20-24,1540
2011-03-01,40-44,1917
2011-03-01,45-49,1178
2011-03-01,60-64,1184
2011-03-01,65-69,413
2011-03-01,75-79,104
2011-03-01,15-19,155
2011-03-01,25-29,1925
2011-03-01,35-39,1749
2011-03-01,50-54,1342
2011-03-01,70-74,142
2011-03-01,55-59,1230
2011-03-01,30-34,2546
2011-04-01,50-54,1353
2011-04-01,25-29,1927
2011-04-01,35-39,1762
2011-04-01,40-44,1912
2011-04-01,70-74,143
2011-04-01,75-79,101
2011-04-01,55-59,1228
2011-04-01,65-69,439
2011-04-01,60-64,1179
2011-04-01,30-34,2564
2011-04-01,20-24,1532
2011-04-01,45-49,1194
2011-04-01,15-19,134
2011-05-01,30-34,2547
2011-05-01,25-29,1943
2011-05-01,50-54,1354
2011-05-01,35-39,1814
2011-05-01,40-44,1872
2011-05-01,70-74,146
2011-05-01,75-79,98
2011-05-01,15-19,124
2011-05-01,20-24,1511
2011-05-01,65-69,454
2011-05-01,45-49,1215
2011-05-01,55-59,1237
2011-05-01,60-64,1192
2011-06-01,20-24,1484
2011-06-01,25-29,1955
2011-06-01,30-34,2546
2011-06-01,50-54,1381
2011-06-01,35-39,1834
2011-06-01,40-44,1892
2011-06-01,70-74,150
2011-06-01,75-79,98
2011-06-01,55-59,1240
2011-06-01,45-49,1215
2011-06-01,15-19,111
2011-06-01,60-64,1179
2011-06-01,65-69,462
2011-07-01,30-34,2544
2011-07-01,50-54,1383
2011-07-01,40-44,1905
2011-07-01,65-69,488
2011-07-01,45-49,1226
2011-07-01,60-64,1176
2011-07-01,35-39,1845
2011-07-01,70-74,154
2011-07-01,15-19,101
2011-07-01,25-29,1947
2011-07-01,20-24,1480
2011-07-01,55-59,1251
2011-07-01,75-79,98
2011-08-01,25-29,1946
2011-08-01,50-54,1388
2011-08-01,30-34,2552
2011-08-01,65-69,495
2011-08-01,75-79,101
2011-08-01,60-64,1187
2011-08-01,20-24,1461
2011-08-01,15-19,86
2011-08-01,40-44,1936
2011-08-01,70-74,153
2011-08-01,55-59,1256
2011-08-01,45-49,1231
2011-08-01,35-39,1846
2011-09-01,20-24,1407
2011-09-01,30-34,2546
2011-09-01,70-74,155
2011-09-01,65-69,508
2011-09-01,55-59,1270
2011-09-01,60-64,1190
2011-09-01,40-44,1935
2011-09-01,45-49,1258
2011-09-01,25-29,1955
2011-09-01,35-39,1867
2011-09-01,75-79,97
2011-09-01,50-54,1375
2011-09-01,15-19,83
2011-10-01,25-29,1946
2011-10-01,55-59,1285
2011-10-01,60-64,1169
2011-10-01,70-74,156
2011-10-01,40-44,1937
2011-10-01,75-79,99
2011-10-01,15-19,79
2011-10-01,50-54,1376
2011-10-01,65-69,537
