"code_weighting","estabs10","estabs21"
"1100114003001",826,879
"1100114003002",1101,1067
"1100122003002",458,611
"1100122003001",999,1378
"1100122003004",189,318
"1100122003003",374,520
"1100122003006",1545,2092
"1100122003005",737,660
"1100155003001",680,766
"1100106003002",301,231
"1100106003001",645,682
"1101500001001",280,208
"1101807001001",137,159
"1101468001001",48,117
"1100056001001",605,686
"1100288003001",649,792
"1100288003002",1086,1266
"1100049003002",712,757
"1100049003001",115,74
"1100049003004",626,1331
"1100049003003",1387,1817
"1100023003002",563,522
"1100023003001",1695,1967
"1100023003004",843,912
"1100023003003",348,496
"1100304003002",339,1041
"1100304003001",435,754
"1100304003003",3177,2814
"1100452003002",342,400
"1100452003001",463,455
"1100205004010",1279,883
"1100205004012",249,346
"1100205004011",482,402
"1100205004014",826,1387
"1100205004013",209,255
"1100205004016",1596,1483
"1100205004015",782,762
"1100205004018",2645,2774
"1100205004017",1182,1240
"1100205004019",796,897
"1100205004001",214,234
"1100205004003",108,78
"1100205004002",117,84
"1100205004005",187,410
"1100205004004",337,376
"1100205004007",281,376
"1100205004006",151,216
"1100205004009",474,571
"1100205004008",112,176
"1100205004021",496,508
"1100205004020",441,229
"1100205004022",584,972
"1100189003001",575,609
"1100189003002",1074,1231
"1100809001001",326,555
"1100130003001",432,470
"1100130003002",304,477
"1101492001001",415,572
"1100015001001",887,862
"1100031001001",167,127
"1100064001001",786,582
"1100072001001",211,204
"1100080001001",421,315
"1100098003001",1038,1259
"1100148001001",421,540
"1100155003002",1347,1353
"1100254001001",647,676
"1100262001001",89,139
"1100296001001",271,200
"1100320001001",565,637
"1100338001001",381,547
"1100346001001",547,526
"1100379001001",252,286
"1100403001001",466,406
"1100502001001",159,214
"1100601001001",135,140
"1100700001001",161,221
"1100908001001",74,83
"1100924001001",324,386
"1100940001001",443,453
"1101005001001",143,168
"1101104001001",133,191
"1101203001001",165,193
"1101302001001",283,300
"1101401001001",349,332
"1101435001001",145,101
"1101450001001",163,153
"1101476001001",68,114
"1101484001001",120,125
"1101559001001",79,98
"1101609001001",116,177
"1101708001001",264,296
"1101757001001",123,210
"1200401005001",683,588
"1200401005003",750,697
"1200401005002",3624,3280
"1200401005005",1242,1360
"1200401005004",1166,1465
"1200401005007",542,833
"1200401005006",555,724
"1200401005008",583,229
"1200203003001",707,699
"1200203003003",957,876
"1200203003002",450,419
"1200013001001",239,217
"1200054001001",93,92
"1200104001001",420,579
"1200138001001",114,153
"1200179001001",32,93
"1200252001001",284,437
"1200302001001",529,435
"1200328001001",37,43
"1200336001001",179,166
"1200344001001",107,95
"1200351001001",106,95
"1200385001001",296,253
"1200393001001",38,66
"1200427001001",121,93
"1200435001001",21,25
"1200450001001",348,332
"1200500003001",625,575
"1200609001001",623,589
"1200708001001",273,322
"1200807001001",21,166
"1302504003002",578,403
"1302504003001",293,387
"1302504003003",706,526
"1304104001001",239,277
"1304203003001",147,234
"1301902003001",356,26
"1301902003003",994,888
"1301902003002",183,403
"1301852003001",51,338
"1301852003002",231,260
"1302603005002",981,1332
"1302603005001",213,514
"1302603005004",1122,1021
"1302603005003",809,597
"1302603005006",371,597
"1302603005005",1050,1465
"1302603005008",2820,5814
"1302603005007",1527,1845
"1302603005009",393,469
"1302603005020",786,695
"1302603005022",2073,2287
"1302603005021",1164,1746
"1302603005024",404,453
"1302603005023",164,345
"1302603005026",522,1134
"1302603005025",326,357
"1302603005028",428,455
"1302603005027",790,849
"1302603005029",721,838
"1302603005011",5747,4848
"1302603005010",2423,1918
"1302603005013",821,861
"1302603005012",2306,2924
"1302603005015",951,1300
"1302603005014",629,530
"1302603005017",1295,1363
"1302603005016",673,800
"1302603005019",719,721
"1302603005018",993,830
"1302603005031",353,589
"1302603005030",789,1097
"1302603005033",480,562
