"";"areap";"domicilio01_V019";"domicilio01_V020";"domicilio01_V021";"domicilio01_V022";"domicilio01_V023";"domicilio01_V017";"domicilio01_V018";"domicilio01_V119";"domicilio01_V158";"domicilio01_V197";"domicilio01_V026";"domicilio01_V027";"domicilio01_V028";"domicilio01_V029";"domicilio01_V030";"domicilio01_V031";"domicilio01_V032";"domicilio01_V033";"fcu";"DPP0";"DPP1";"DPP2";"DPP3";"DPP4";"DPP5";"reg"
"1";"1100015001001";6501;104;30;217;255;21;142;5283;6;15;847;143;29;6;0;0;0;1;0;0;0;5289;15;847;179;"1"
"2";"1100023003001";4135;3;9;3;14;64;1022;2485;6;586;1488;505;99;39;5;5;0;1;0;0;0;2491;586;1488;654;"1"
"3";"1100023003002";4673;26;2;143;54;15;202;3536;23;201;533;95;43;23;10;2;3;0;0;0;0;3559;201;533;176;"1"
"4";"1100023003003";7774;32;2;27;76;52;227;6199;4;400;907;121;20;6;3;2;0;0;0;0;0;6203;400;907;152;"1"
"5";"1100023003004";7704;6;20;5;26;188;651;5821;35;860;1447;291;32;13;4;0;0;0;0;0;0;5856;860;1447;340;"1"
"6";"1100031001001";1523;6;1;15;15;2;413;1638;0;1;186;25;6;3;1;0;0;0;0;0;0;1638;1;186;35;"1"
"7";"1100049003001";3466;157;8;68;103;19;360;3039;3;0;362;24;3;0;0;0;0;0;0;0;0;3042;0;362;27;"1"
"8";"1100049003002";3247;49;26;27;59;1371;1376;4766;7;194;759;147;25;9;2;1;0;0;0;0;0;4773;194;759;184;"1"
"9";"1100049003003";1970;65;42;17;11;3288;1229;3917;3;554;1579;393;97;25;9;3;2;0;0;0;0;3920;554;1579;529;"1"
"10";"1100049003004";1671;10;22;25;41;5033;408;5236;0;202;1266;301;68;29;6;4;1;0;0;0;0;5236;202;1266;409;"1"
"11";"1100056001001";4341;12;0;15;27;5;890;4106;3;21;798;148;28;6;2;0;0;0;0;0;0;4109;21;798;184;"1"
"12";"1100064001001";5387;87;61;67;49;30;278;4817;4;8;747;135;27;6;2;1;0;0;0;0;0;4821;8;747;171;"1"
"13";"1100072001001";2220;28;0;19;69;5;301;2103;1;0;201;19;6;1;1;0;0;0;0;0;0;2104;0;201;27;"1"
"14";"1100080001001";2532;222;0;538;84;5;287;2199;2;0;340;48;7;0;1;0;1;0;0;0;0;2201;0;340;57;"1"
"15";"1100098003001";6499;381;254;210;97;33;1163;6441;26;34;990;191;24;7;4;0;0;0;0;0;0;6467;34;990;226;"1"
"16";"1100106003001";2289;114;23;181;55;716;1067;2329;165;51;979;283;79;16;4;5;0;0;0;0;0;2494;51;979;387;"1"
"17";"1100106003002";3866;536;4;1041;191;177;407;2956;40;109;754;128;22;4;2;2;0;0;0;0;0;2996;109;754;158;"1"
"18";"1100114003001";5535;104;78;186;101;76;131;4826;3;58;735;103;26;7;5;0;0;0;0;0;0;4829;58;735;141;"1"
"19";"1100114003002";8819;100;162;240;50;63;265;7444;15;211;1368;257;53;12;4;1;1;1;0;0;0;7459;211;1368;329;"1"
"20";"1100122003001";1873;124;100;56;29;236;1616;2401;8;293;763;331;98;24;9;5;1;1;0;0;0;2409;293;763;469;"1"
"21";"1100122003002";3713;27;84;35;32;228;555;3137;3;264;888;201;49;21;1;2;1;2;0;0;0;3140;264;888;277;"1"
"22";"1100122003003";4087;4;1;9;12;47;681;3547;0;170;811;188;27;8;1;1;2;0;0;0;0;3547;170;811;227;"1"
"23";"1100122003004";3702;71;119;58;40;61;808;3882;1;88;596;102;18;1;1;0;0;0;0;0;0;3883;88;596;122;"1"
"24";"1100122003005";5915;44;57;35;49;49;1190;5675;4;103;804;118;17;8;2;0;0;1;0;0;0;5679;103;804;146;"1"
"25";"1100122003006";7285;215;421;64;39;641;1153;5795;34;859;2079;546;134;42;12;3;0;2;0;0;0;5829;859;2079;739;"1"
"26";"1100130003001";4617;33;1;56;75;12;138;3686;7;94;465;72;12;3;0;1;0;0;0;0;0;3693;94;465;88;"1"
"27";"1100130003002";3484;77;1;52;343;0;44;2275;1;2;158;20;3;0;0;0;0;0;0;0;0;2276;2;158;23;"1"
"28";"1100148001001";5351;48;2;115;173;7;220;4277;1;1;463;63;6;2;1;1;0;0;0;0;0;4278;1;463;73;"1"
"29";"1100155003001";3182;47;123;95;42;32;848;3243;3;25;711;160;30;6;0;0;0;0;0;0;0;3246;25;711;196;"1"
"30";"1100155003002";6564;73;249;56;36;91;214;5445;8;75;1244;238;30;15;4;0;2;0;0;0;0;5453;75;1244;289;"1"
"31";"1100189003001";2810;76;14;19;12;644;957;3205;2;108;879;214;45;9;7;0;2;0;0;0;0;3207;108;879;277;"1"
"32";"1100189003002";2903;265;14;37;39;160;2087;4271;5;71;710;132;26;12;3;3;0;1;0;0;0;4276;71;710;177;"1"
"33";"1100205004001";2998;48;0;54;58;18;1074;2799;14;405;708;114;13;1;1;0;1;0;0;0;0;2813;405;708;130;"1"
"34";"1100205004002";3218;58;42;375;186;6;655;2892;4;55;404;49;4;1;2;0;0;0;0;0;0;2896;55;404;56;"1"
"35";"1100205004003";2963;21;9;342;121;256;876;3307;12;109;195;18;0;1;0;0;0;0;0;0;0;3319;109;195;19;"1"
"36";"1100205004004";2193;92;1;21;24;843;1644;2755;115;579;972;175;24;4;2;1;1;0;0;0;0;2870;579;972;207;"1"
"37";"1100205004005";3363;17;3;22;33;605;856;2971;400;357;835;143;34;5;2;0;0;1;1;288;384;3371;357;835;185;"1"
"38";"1100205004006";2902;31;2;12;33;311;1100;2699;145;467;748;89;17;2;0;0;0;0;6;816;637;2844;467;748;108;"1"
"39";"1100205004007";2352;19;3;9;7;324;1871;2149;14;310;1436;512;93;15;6;1;0;0;2;465;198;2163;310;1436;627;"1"
"40";"1100205004008";2517;77;4;36;29;93;2065;2957;169;494;838;112;20;3;0;1;0;0;7;962;1373;3126;494;838;136;"1"
"41";"1100205004009";1803;76;0;62;30;787;1460;2123;14;344;1181;362;82;30;10;0;2;0;1;421;10;2137;344;1181;486;"1"
"42";"1100205004010";1351;379;337;15;19;950;1404;2086;93;763;996;275;86;23;5;2;0;3;7;998;405;2179;763;996;394;"1"
"43";"1100205004011";1743;269;228;39;36;811;1975;2778;51;799;1031;216;42;7;4;1;0;2;7;472;537;2829;799;1031;272;"1"
"44";"1100205004012";2766;98;1;372;171;60;2515;3894;4;254;744;97;16;5;1;0;0;0;3;852;276;3898;254;744;119;"1"
