AP;num_firms
1100114003001;879
1100114003002;1067
1100122003002;611
1100122003001;1378
1100122003004;318
1100122003003;520
1100122003006;2092
1100122003005;660
1100155003001;766
1100106003002;231
1100106003001;682
1101500001001;208
1101807001001;159
1101468001001;117
1100056001001;686
1100288003001;792
1100288003002;1266
1100049003002;757
1100049003001;74
1100049003004;1331
1100049003003;1817
1100023003002;522
1100023003001;1967
1100023003004;912
1100023003003;496
1100304003002;1041
1100304003001;754
1100304003003;2814
1100452003002;400
1100452003001;455
1100205004010;883
1100205004012;346
1100205004011;402
1100205004014;1387
1100205004013;255
1100205004016;1483
1100205004015;762
1100205004018;2774
1100205004017;1240
1100205004019;897
1100205004001;234
1100205004003;78
1100205004002;84
1100205004005;410
1100205004004;376
1100205004007;376
1100205004006;216
1100205004009;571
1100205004008;176
1100205004021;508
1100205004020;229
1100205004022;972
1100189003001;609
1100189003002;1231
1100809001001;555
1100130003001;470
1100130003002;477
1101492001001;572
1100015001001;862
1100031001001;127
1100064001001;582
1100072001001;204
1100080001001;315
1100098003001;1259
1100148001001;540
1100155003002;1353
1100254001001;676
1100262001001;139
1100296001001;200
1100320001001;637
1100338001001;547
1100346001001;526
1100379001001;286
1100403001001;406
1100502001001;214
1100601001001;140
1100700001001;221
1100908001001;83
1100924001001;386
1100940001001;453
1101005001001;168
1101104001001;191
1101203001001;193
1101302001001;300
1101401001001;332
1101435001001;101
1101450001001;153
1101476001001;114
1101484001001;125
1101559001001;98
1101609001001;177
1101708001001;296
1101757001001;210
1200401005001;588
1200401005003;697
1200401005002;3280
1200401005005;1360
1200401005004;1465
1200401005007;833
1200401005006;724
1200401005008;229
1200203003001;699
1200203003003;876
1200203003002;419
1200013001001;217
1200054001001;92
1200104001001;579
1200138001001;153
1200179001001;93
1200252001001;437
1200302001001;435
1200328001001;43
1200336001001;166
1200344001001;95
1200351001001;95
1200385001001;253
1200393001001;66
1200427001001;93
1200435001001;25
1200450001001;332
1200500003001;575
1200609001001;589
1200708001001;322
1200807001001;166
1302504003002;403
1302504003001;387
1302504003003;526
1304104001001;277
1304203003001;234
1301902003001;26
1301902003003;888
1301902003002;403
1301852003001;338
1301852003002;260
1302603005002;1332
1302603005001;514
1302603005004;1021
1302603005003;597
1302603005006;597
1302603005005;1465
1302603005008;5814
1302603005007;1845
1302603005009;469
1302603005020;695
1302603005022;2287
1302603005021;1746
1302603005024;453
1302603005023;345
1302603005026;1134
1302603005025;357
1302603005028;455
1302603005027;849
1302603005029;838
1302603005011;4848
1302603005010;1918
1302603005013;861
1302603005012;2924
1302603005015;1300
1302603005014;530
1302603005017;1363
1302603005016;800
1302603005019;721
1302603005018;830
1302603005031;589
1302603005030;1097
1302603005033;562
1302603005032;379
1304237001001;57
1300904001001;88
1302108001001;46
1300680001001;61
1301209003001;199
1301209003002;354
1302702003002;241
1302702003001;113
1301704003001;390
1301704003002;493
1303403003001;309
1303403003003;92
1303403003002;700
1300029001001;78
1300060001001;45
1300086001001;57
1300102001001;90
1300144001001;424
1300201001001;52
1300300001001;199
1300409001001;78
1300508001001;224
1300607001001;240
1300631001001;101
1300706001001;555
1300805001001;89
1300839001001;56
1301001001001;199
1301100001001;208
1301159001001;80
1301308001001;75
1301407001001;250
1301506001001;79
1301605001001;171
1301654001001;83
1301803001001;53
1301951001001;75
1302009001001;81
1302207001001;64
1302306001001;147
1302405003001;198
1302553001001;78
1302801001001;74
1303007001001;83
1303106001001;134
1303205001001;153
1303304001001;153
1303502001001;77
1303536001001;347
1303569001001;272
1303601001001;51
1303700001001;113
1303809001001;284
1303908001001;89
1303957001001;89
1304005001001;56
1304062003001;500
1304260001001;84
1304302001001;130
1304401001001;124
1302900003001;612
1304203003002;504
1400308001001;233
1400282001001;91
1400100005010;356
1400100005012;1455
1400100005011;538
1400100005014;480
1400100005013;2254
1400100005001;314
1400100005003;426
1400100005002;248
1400100005005;613
1400100005004;383
1400100005007;362
1400100005006;563
1400100005009;579
1400100005008;334
1400472001001;414
1400209001001;231
1400027001001;71
1400050001001;136
1400159001001;137
1400175001001;184
1400233001001;80
1400407001001;42
1400456001001;191
1400506001001;97
1400605001001;68
1400704001001;37
1505486003002;203
1505486003001;314
1505064003002;560
1505064003001;337
1503200003002;307
1503200003001;145
1501808003002;268
1501808003001;446
1501808003003;198
1508159003002;404
1508159003001;183
1501402005011;801
1501402005010;592
1501402005013;1064
1501402005012;741
1501402005015;3377
1501402005014;1427
1501402005017;630
1501402005016;1715
1501402005019;239
1501402005018;476
1501402005002;3353
1501402005001;4226
1501402005004;514
1501402005003;544
1501402005006;630
1501402005005;85
1501402005008;600
1501402005007;411
1501402005009;484
1501402005031;205
1501402005030;923
1501402005033;332
1501402005032;455
1501402005035;220
1501402005034;414
1501402005037;124
1501402005036;389
1501402005039;295
1501402005038;253
1501402005020;229
1501402005022;246
1501402005021;484
1501402005024;174
1501402005023;206
1501402005026;704
1501402005025;307
1501402005028;179
1501402005027;180
1501402005029;367
1504703003001;133
1504703003002;507
1506187003001;521
1501402005040;311
1506187003002;280
1501402005042;191
1501402005041;576
1501402005044;129
1501402005043;280
1505502003001;398
1505502003003;978
1505502003002;456
1505502003004;965
1507300003001;6
1507300003003;103
1507300003002;1
1507300003004;296
1504802003001;522
1504802003002;183
1506138003001;374
1506138003003;1303
1506138003002;1128
1501709003002;313
1501709003001;93
1501709003004;425
1501709003003;222
1502939003002;555
1502939003001;309
1506500003002;476
1506500003001;435
1500602003001;588
1500602003003;370
1500602003005;1647
1500602003004;734
1506708003002;551
1506708003001;296
1508407003001;596
1505106003001;333
1505106003002;195
1501782003001;536
1501782003002;8
1501303003002;711
1501303003001;557
1501303003003;719
1503606003002;1207
1503606003001;420
1503606003004;620
1503606003003;1170
1504208005001;3600
1504208005003;49
1504208005002;2810
1504208005004;141
1508209003002;240
1508209003001;135
1507607003001;528
1507607003002;122
1502301003001;292
1502301003002;206
1503457003002;145
1503457003001;117
1504422003001;259
1504422003003;395
1504422003002;534
1502202003001;581
1502202003002;683
1502707003001;548
1502707003002;421
1501501002001;565
1501501002002;422
1505304003001;273
1507755001001;105
1505304003002;476
1503309002001;511
1503309002002;5
1508308003001;10
1500800005001;404
1500800005003;769
1500800005002;610
1500800005005;318
1500800005004;1292
1500800005007;462
1500800005006;1162
1500800005009;473
1500800005008;777
1500800005010;218
1500800005012;135
1500800005011;357
1500800005013;219
1506807005002;3208
1506807005001;1057
1506807005004;694
1506807005003;718
1506807005006;328
1506807005005;650
1506807005008;102
1506807005007;586
1506807005009;28
1500107003001;225
1500107003003;6
1500107003002;59
1500107003005;806
1500107003004;421
1506807005011;2
1506807005010;219
1500404003001;267
1500404003002;190
1508084003001;394
1508084003002;556
1508100003002;504
1508100003001;158
1508100003004;752
1508100003003;231
1505809003001;273
1505809003002;254
1503903003002;35
1503903003001;373
1502400003001;225
1502400003003;29
1502400003002;696
1502400003005;447
1502400003004;254
1502400003007;2101
1502400003006;452
1502400003008;459
1502103003001;96
1502103003003;728
1502103003002;41
1502103003004;20
1507102001001;107
1505536003002;332
1505536003001;621
1505536003004;178
1505536003003;705
1505536003006;1096
1505536003005;1268
1505536003007;1703
1508001003002;807
1508001003001;330
1507953003001;506
1507953003002;597
1500909003001;144
