uf,ano,fpm,cod
DF,2000,31065216.08,5300108
DF,2001,34764529.94,5300108
DF,2002,44809624.02,5300108
DF,2003,41485333.16,5300108
DF,2004,43249085.64,5300108
DF,2005,59087917.7,5300108
DF,2006,62187721.61,5300108
DF,2007,68813115.79,5300108
DF,2008,70026305.85,5300108
DF,2009,65318385.78,5300108
DF,2010,71547069.2,5300108
DF,2011,89005650.9,5300108
DF,2012,92011504.66,5300108
DF,2013,98554218.62,5300108
DF,2014,109019834.85,5300108
DF,2015,115538816.17,5300108
DF,2016,135441938.2,5300108
DF,2017,133392803.3,5300108
DF,2018,143059894.83,5300108
DF,2019,154612203.99,5300108
DF,2020,149083987.34,5300108
DF,2021,198272161.22,5300108
DF,2022,252618905.82,5300108
DF,2023,265593900.18,5300108
DF,2024,321590993.24,5300108
