uf,ano,fpm,cod
ES,2000,3121334.61,3200102
ES,2001,3624791.15,3200102
ES,2002,4430256.95,3200102
ES,2003,4538357.03,3200102
ES,2004,4943484.97,3200102
ES,2005,6081381.04,3200102
ES,2006,6624820.47,3200102
ES,2007,7502076.85,3200102
ES,2008,10048016.09,3200102
ES,2009,9355367.08,3200102
ES,2010,10034289.96,3200102
ES,2011,12161059.94,3200102
ES,2012,12515277.29,3200102
ES,2013,13459678.12,3200102
ES,2014,14369616.09,3200102
ES,2015,15179660.89,3200102
ES,2016,17669956.84,3200102
ES,2017,17073527.59,3200102
ES,2018,18190015.71,3200102
ES,2019,19811347.95,3200102
ES,2020,18954493.33,3200102
ES,2021,25223954.1,3200102
ES,2022,31722107.68,3200102
ES,2023,32899966.39,3200102
ES,2024,31919676.83,3200102
ES,2000,1887318.9,3200169
ES,2001,2208743.97,3200169
ES,2002,2679030.38,3200169
ES,2003,2669742.9,3200169
ES,2004,2824848.83,3200169
ES,2005,3371675.93,3200169
ES,2006,3555657.42,3200169
ES,2007,3890012.14,3200169
ES,2008,5024008.17,3200169
ES,2009,4677683.72,3200169
ES,2010,5017145.17,3200169
ES,2011,6080530.17,3200169
ES,2012,6257638.81,3200169
ES,2013,6729839.17,3200169
ES,2014,7184808.22,3200169
ES,2015,7589830.66,3200169
ES,2016,8834978.6,3200169
ES,2017,8536763.94,3200169
ES,2018,9095008.04,3200169
ES,2019,9905674.12,3200169
ES,2020,9477246.81,3200169
ES,2021,12611977.23,3200169
ES,2022,15861053.97,3200169
ES,2023,16449983.33,3200169
ES,2024,15959838.66,3200169
ES,2000,1524373.02,3200136
ES,2001,1788674.17,3200136
ES,2002,2163906.74,3200136
ES,2003,2135828.76,3200136
ES,2004,2236338.76,3200136
ES,2005,2639085.46,3200136
ES,2006,2747825.56,3200136
ES,2007,2963833.72,3200136
ES,2008,3768006.29,3200136
ES,2009,3508262.91,3200136
ES,2010,3762858.97,3200136
ES,2011,4560397.7,3200136
ES,2012,4693229.17,3200136
ES,2013,5047379.48,3200136
ES,2014,5388606.24,3200136
ES,2015,5692373.02,3200136
ES,2016,6626234.02,3200136
ES,2017,6402573.04,3200136
ES,2018,6821256.09,3200136
ES,2019,7429255.61,3200136
ES,2020,7107935.19,3200136
ES,2021,9458983.02,3200136
ES,2022,11895790.6,3200136
ES,2023,12337487.55,3200136
ES,2024,11969879.02,3200136
ES,2000,3121334.61,3200201
ES,2001,3624791.15,3200201
ES,2002,4430256.95,3200201
ES,2003,4538357.03,3200201
ES,2004,4943484.97,3200201
ES,2005,6081381.04,3200201
ES,2006,6624820.47,3200201
ES,2007,7502076.85,3200201
ES,2008,8792014.15,3200201
ES,2009,9355367.08,3200201
ES,2010,10034289.96,3200201
ES,2011,12161059.94,3200201
ES,2012,12515277.29,3200201
ES,2013,13459678.12,3200201
ES,2014,14369616.09,3200201
ES,2015,15179660.89,3200201
ES,2016,17669956.84,3200201
ES,2017,17073527.59,3200201
ES,2018,18190015.71,3200201
ES,2019,19811347.95,3200201
ES,2020,18954493.33,3200201
ES,2021,25223954.1,3200201
ES,2022,31722107.68,3200201
ES,2023,32899966.39,3200201
ES,2024,31391466.81,3200201
ES,2000,1669551.31,3200300
ES,2001,2048041.05,3200300
ES,2002,2706213.02,3200300
ES,2003,2828369.46,3200300
ES,2004,3145485.05,3200300
ES,2005,3959730.53,3200300
ES,2006,4411311.89,3200300
ES,2007,5088753.33,3200300
ES,2008,6280010.28,3200300
ES,2009,5847104.61,3200300
ES,2010,6271431.35,3200300
ES,2011,7600662.53,3200300
ES,2012,7822048.46,3200300
ES,2013,8412298.96,3200300
ES,2014,8981010.16,3200300
ES,2015,9487288.17,3200300
ES,2016,11043723.15,3200300
ES,2017,10670954.86,3200300
ES,2018,11368759.91,3200300
ES,2019,12382092.61,3200300
ES,2020,11846558.43,3200300
ES,2021,15764971.45,3200300
ES,2022,19826317.39,3200300
ES,2023,20562479.04,3200300
ES,2024,19949798.18,3200300
ES,2000,1306605.51,3200359
ES,2001,1524442.1,3200359
ES,2002,1854638.98,3200359
ES,2003,1868785.9,3200359
ES,2004,2000934.74,3200359
ES,2005,2418428.78,3200359
ES,2006,2585660.87,3200359
ES,2007,2871184.8,3200359
ES,2008,3768006.29,3200359
ES,2009,3508262.91,3200359
ES,2010,3762858.97,3200359
ES,2011,4560397.7,3200359
ES,2012,4693229.17,3200359
ES,2013,5047379.48,3200359
ES,2014,5388606.24,3200359
ES,2015,5692373.02,3200359
ES,2016,6626234.02,3200359
ES,2017,6402573.04,3200359
ES,2018,6821256.09,3200359
ES,2019,7429255.61,3200359
ES,2020,7107935.19,3200359
ES,2021,9458983.02,3200359
ES,2022,11895790.6,3200359
ES,2023,12337487.55,3200359
ES,2024,11969879.02,3200359
ES,2000,2329165.6,3200409
ES,2001,2664284.06,3200409
ES,2002,3248487.2,3200409
ES,2003,3394385.87,3200409
ES,2004,3774581.91,3200409
ES,2005,4751676.64,3200409
ES,2006,5293574.07,3200409
ES,2007,6106503.89,3200409
ES,2008,7536012.15,3200409
ES,2009,7016525.42,3200409
ES,2010,7525717.58,3200409
ES,2011,10640927.46,3200409
ES,2012,10950867.72,3200409
ES,2013,11777218.41,3200409
ES,2014,12573414.22,3200409
ES,2015,13282203.32,3200409
ES,2016,15461212.29,3200409
ES,2017,14939336.75,3200409
ES,2018,15916263.8,3200409
ES,2019,17334929.43,3200409
ES,2020,16585181.72,3200409
ES,2021,22070959.93,3200409
ES,2022,27756844.26,3200409
ES,2023,28787470.61,3200409
ES,2024,27929717.29,3200409
ES,2000,1164583.06,3200508
ES,2001,1332142.29,3200508
ES,2002,1624243.81,3200508
ES,2003,1697193.28,3200508
ES,2004,1887291.23,3200508
ES,2005,2375838.65,3200508
ES,2006,2646787.35,3200508
ES,2007,3053252.23,3200508
ES,2008,3768006.29,3200508
ES,2009,3508262.91,3200508
ES,2010,3762858.97,3200508
ES,2011,4560397.7,3200508
ES,2012,4693229.17,3200508
ES,2013,5047379.48,3200508
ES,2014,5388606.24,3200508
ES,2015,5692373.02,3200508
ES,2016,6626234.02,3200508
ES,2017,6402573.04,3200508
ES,2018,6821256.09,3200508
ES,2019,7429255.61,3200508
ES,2020,7107935.19,3200508
ES,2021,9458983.02,3200508
ES,2022,11895790.6,3200508
ES,2023,12337487.55,3200508
ES,2024,11969879.02,3200508
ES,2000,4658330.57,3200607
ES,2001,5328567.65,3200607
ES,2002,6496973.65,3200607
ES,2003,6788771.04,3200607
ES,2004,7549163.4,3200607
ES,2005,9503352.64,3200607
ES,2006,11466534.26,3200607
ES,2007,13230757.7,3200607
ES,2008,16328025.9,3200607
ES,2009,15202471.33,3200607
ES,2010,16305720.98,3200607
ES,2011,21281854.65,3200607
ES,2012,21901734.99,3200607
ES,2013,23554436.48,3200607
ES,2014,25146828.0,3200607
ES,2015,28461863.95,3200607
ES,2016,33131168.86,3200607
ES,2017,32012863.96,3200607
ES,2018,34106279.2,3200607
ES,2019,37146277.1,3200607
ES,2020,35539674.78,3200607
ES,2021,50447907.96,3200607
ES,2022,63444215.08,3200607
ES,2023,65799932.47,3200607
ES,2024,63180293.55,3200607
ES,2000,1306605.51,3200706
ES,2001,1524442.1,3200706
ES,2002,1854638.98,3200706
ES,2003,1868785.9,3200706
ES,2004,2000934.74,3200706
ES,2005,2418428.78,3200706
ES,2006,2585660.87,3200706
ES,2007,2871184.8,3200706
ES,2008,3768006.29,3200706
ES,2009,3508262.91,3200706
ES,2010,3762858.97,3200706
ES,2011,4560397.7,3200706
ES,2012,4693229.17,3200706
ES,2013,5047379.48,3200706
ES,2014,7184808.22,3200706
ES,2015,7589830.66,3200706
ES,2016,8834978.6,3200706
ES,2017,8536763.94,3200706
ES,2018,9095008.04,3200706
ES,2019,9905674.12,3200706
ES,2020,9477246.81,3200706
ES,2021,12611977.23,3200706
ES,2022,15861053.97,3200706
ES,2023,16449983.33,3200706
ES,2024,15959838.66,3200706
ES,2000,2758388.76,3200805
ES,2001,3204721.32,3200805
ES,2002,3915133.33,3200805
ES,2003,4004442.75,3200805
ES,2004,4354974.87,3200805
ES,2005,5348790.55,3200805
ES,2006,5816988.47,3200805
ES,2007,6575898.41,3200805
ES,2008,8792014.15,3200805
ES,2009,8185946.33,3200805
ES,2010,8780003.77,3200805
ES,2011,10640927.46,3200805
ES,2012,10950867.72,3200805
ES,2013,11777218.41,3200805
ES,2014,14369616.09,3200805
ES,2015,15179660.89,3200805
ES,2016,17669956.84,3200805
ES,2017,17073527.59,3200805
ES,2018,18190015.71,3200805
ES,2019,19811347.95,3200805
ES,2020,18954493.33,3200805
ES,2021,25223954.1,3200805
ES,2022,31722107.68,3200805
ES,2023,32899966.39,3200805
ES,2024,31919676.83,3200805
ES,2000,3339102.01,3200904
ES,2001,4044860.9,3200904
ES,2002,4944920.72,3200904
ES,2003,5072118.41,3200904
ES,2004,5531994.95,3200904
ES,2005,6813971.43,3200904
ES,2006,7432652.31,3200904
ES,2007,8428255.18,3200904
ES,2008,11304018.07,3200904
ES,2009,10524787.97,3200904
ES,2010,11288576.23,3200904
ES,2011,13681192.42,3200904
ES,2012,14079686.88,3200904
ES,2013,15142137.91,3200904
ES,2014,16165818.1,3200904
ES,2015,18974576.07,3200904
ES,2016,22087446.06,3200904
ES,2017,21341909.42,3200904
ES,2018,22737519.56,3200904
ES,2019,24764184.82,3200904
ES,2020,23693116.64,3200904
ES,2021,31529942.61,3200904
ES,2022,39652634.49,3200904
ES,2023,41124957.91,3200904
ES,2024,39338673.48,3200904
ES,2000,1940971.36,3201001
ES,2001,2220236.83,3201001
ES,2002,2707072.79,3201001
ES,2003,2828655.03,3201001
ES,2004,3145485.05,3201001
ES,2005,3959730.53,3201001
ES,2006,4411311.89,3201001
ES,2007,5088753.33,3201001
ES,2008,5024008.17,3201001
ES,2009,4677683.72,3201001
ES,2010,5017145.17,3201001
ES,2011,7600662.53,3201001
ES,2012,7822048.46,3201001
ES,2013,8412298.96,3201001
ES,2014,8981010.16,3201001
ES,2015,9487288.17,3201001
ES,2016,11043723.15,3201001
ES,2017,10670954.86,3201001
ES,2018,11368759.91,3201001
ES,2019,12382092.61,3201001
ES,2020,11846558.43,3201001
ES,2021,15764971.45,3201001
ES,2022,19826317.39,3201001
ES,2023,20562479.04,3201001
ES,2024,19949798.18,3201001
ES,2000,1164583.06,3201100
ES,2001,1332142.29,3201100
ES,2002,1624243.81,3201100
ES,2003,1697193.28,3201100
ES,2004,1887291.23,3201100
ES,2005,2375838.65,3201100
ES,2006,2646787.35,3201100
ES,2007,3053252.23,3201100
ES,2008,3768006.29,3201100
ES,2009,3508262.91,3201100
ES,2010,3762858.97,3201100
ES,2011,4560397.7,3201100
ES,2012,4693229.17,3201100
ES,2013,5047379.48,3201100
ES,2014,5388606.24,3201100
ES,2015,5692373.02,3201100
ES,2016,6626234.02,3201100
ES,2017,8536763.94,3201100
ES,2018,9095008.04,3201100
ES,2019,9905674.12,3201100
ES,2020,9477246.81,3201100
ES,2021,12611977.23,3201100
ES,2022,15861053.97,3201100
ES,2023,16449983.33,3201100
ES,2024,15959838.66,3201100
ES,2000,1164583.06,3201159
ES,2001,1547718.56,3201159
ES,2002,2164428.54,3201159
ES,2003,2262515.58,3201159
ES,2004,2516388.19,3201159
ES,2005,3167784.53,3201159
ES,2006,3529049.59,3201159
ES,2007,4071002.79,3201159
ES,2008,5024008.17,3201159
ES,2009,4677683.72,3201159
ES,2010,5017145.17,3201159
ES,2011,6080530.17,3201159
ES,2012,6257638.81,3201159
ES,2013,6729839.17,3201159
ES,2014,7184808.22,3201159
ES,2015,7589830.66,3201159
ES,2016,8834978.6,3201159
ES,2017,8536763.94,3201159
ES,2018,9095008.04,3201159
ES,2019,9905674.12,3201159
ES,2020,9477246.81,3201159
ES,2021,12611977.23,3201159
ES,2022,15861053.97,3201159
ES,2023,16449983.33,3201159
ES,2024,15959838.66,3201159
ES,2000,10764826.32,3201209
ES,2001,12392201.41,3201209
ES,2002,15205892.78,3201209
ES,2003,15794146.94,3201209
ES,2004,17571042.99,3201209
ES,2005,22060635.97,3201209
ES,2006,24620487.64,3201209
ES,2007,27152491.3,3201209
ES,2008,32752500.38,3201209
ES,2009,30250910.08,3201209
ES,2010,32360505.11,3201209
ES,2011,39081446.52,3201209
ES,2012,41289872.15,3201209
ES,2013,43131579.37,3201209
ES,2014,45926775.99,3201209
ES,2015,48330657.27,3201209
ES,2016,57748197.83,3201209
ES,2017,55912119.52,3201209
ES,2018,61166181.87,3201209
ES,2019,69707598.67,3201209
ES,2020,66628067.76,3201209
ES,2021,84338637.5,3201209
ES,2022,106310676.62,3201209
ES,2023,109548190.94,3201209
ES,2024,104785686.01,3201209
ES,2000,11153020.55,3201308
ES,2001,12403499.93,3201308
ES,2002,15161216.19,3201308
ES,2003,15680039.6,3201308
ES,2004,17571042.82,3201308
ES,2005,22060160.48,3201308
ES,2006,24620274.44,3201308
ES,2007,26539901.45,3201308
ES,2008,32752500.38,3201308
ES,2009,30250910.08,3201308
ES,2010,32360505.11,3201308
ES,2011,39081446.52,3201308
ES,2012,41289872.15,3201308
ES,2013,43131579.37,3201308
ES,2014,45926775.99,3201308
ES,2015,48330657.27,3201308
ES,2016,57748197.83,3201308
ES,2017,55912119.52,3201308
ES,2018,61166181.87,3201308
ES,2019,69707598.67,3201308
ES,2020,66628067.76,3201308
ES,2021,84338637.5,3201308
ES,2022,106310676.62,3201308
ES,2023,109548190.94,3201308
ES,2024,104785686.17,3201308
ES,2000,2717359.77,3201407
ES,2001,3323907.75,3201407
ES,2002,4330086.4,3201407
ES,2003,4525439.16,3201407
ES,2004,5032775.76,3201407
ES,2005,6335568.67,3201407
ES,2006,7058098.55,3201407
ES,2007,8142005.0,3201407
ES,2008,10048016.09,3201407
ES,2009,9355367.08,3201407
ES,2010,10034289.96,3201407
ES,2011,12161059.94,3201407
ES,2012,12515277.29,3201407
ES,2013,13459678.12,3201407
ES,2014,14369616.09,3201407
ES,2015,17077118.49,3201407
ES,2016,19878701.45,3201407
ES,2017,19207718.5,3201407
ES,2018,20463767.59,3201407
ES,2019,22287766.39,3201407
ES,2020,21323805.04,3201407
ES,2021,28376948.38,3201407
ES,2022,35687371.11,3201407
ES,2023,37012462.15,3201407
ES,2024,35365070.17,3201407
ES,2000,6024901.05,3201506
ES,2001,6985349.6,3201506
ES,2002,8551245.6,3201506
ES,2003,8809670.6,3201506
ES,2004,9651565.2,3201506
ES,2005,11942104.57,3201506
ES,2006,13087475.56,3201506
ES,2007,14911503.88,3201506
ES,2008,20096031.81,3201506
ES,2009,18710733.8,3201506
ES,2010,20068579.62,3201506
ES,2011,24322119.55,3201506
ES,2012,25030554.28,3201506
ES,2013,26919355.96,3201506
ES,2014,30535433.91,3201506
ES,2015,32256779.09,3201506
ES,2016,37548658.01,3201506
ES,2017,36281245.7,3201506
ES,2018,38653783.03,3201506
ES,2019,42099113.98,3201506
ES,2020,40278298.03,3201506
ES,2021,53600902.23,3201506
ES,2022,67409478.49,3201506
ES,2023,69912428.17,3201506
ES,2024,67829312.83,3201506
ES,2000,2717359.77,3201605
ES,2001,3108331.38,3201605
ES,2002,3789901.61,3201605
ES,2003,3960116.69,3201605
ES,2004,4403678.93,3201605
ES,2005,5543622.64,3201605
ES,2006,6175836.41,3201605
ES,2007,7124254.45,3201605
ES,2008,8792014.15,3201605
ES,2009,8185946.33,3201605
ES,2010,8780003.77,3201605
ES,2011,10640927.46,3201605
ES,2012,10950867.72,3201605
ES,2013,11777218.41,3201605
ES,2014,14369616.09,3201605
ES,2015,15179660.89,3201605
ES,2016,17669956.84,3201605
ES,2017,17073527.59,3201605
ES,2018,18190015.71,3201605
ES,2019,19811347.95,3201605
ES,2020,18954493.33,3201605
ES,2021,25223954.1,3201605
ES,2022,31722107.68,3201605
ES,2023,32899966.39,3201605
ES,2024,31391466.81,3201605
ES,2000,1306605.51,3201704
ES,2001,1619703.93,3201704
ES,2002,2164878.43,3201704
ES,2003,2262665.02,3201704
ES,2004,2516388.19,3201704
ES,2005,3167784.53,3201704
ES,2006,3529049.59,3201704
ES,2007,4071002.79,3201704
ES,2008,5024008.17,3201704
ES,2009,4677683.72,3201704
ES,2010,5017145.17,3201704
ES,2011,6080530.17,3201704
ES,2012,6257638.81,3201704
ES,2013,6729839.17,3201704
ES,2014,7184808.22,3201704
ES,2015,7589830.66,3201704
ES,2016,8834978.6,3201704
ES,2017,8536763.94,3201704
ES,2018,9095008.04,3201704
ES,2019,9905674.12,3201704
ES,2020,9477246.81,3201704
ES,2021,12611977.23,3201704
ES,2022,15861053.97,3201704
ES,2023,16449983.33,3201704
