uf,ano,fpm,cod
MG,2000,1153305.11,3100104
MG,2001,1341509.09,3100104
MG,2002,1655339.23,3100104
MG,2003,1731266.39,3100104
MG,2004,1919648.45,3100104
MG,2005,2399569.9,3100104
MG,2006,2662869.81,3100104
MG,2007,3075013.42,3100104
MG,2008,3791311.49,3100104
MG,2009,3561872.88,3100104
MG,2010,3826711.99,3100104
MG,2011,4702971.28,3100104
MG,2012,4845568.39,3100104
MG,2013,5204949.18,3100104
MG,2014,5613685.14,3100104
MG,2015,5969119.52,3100104
MG,2016,6960523.89,3100104
MG,2017,6752665.67,3100104
MG,2018,7198123.59,3100104
MG,2019,7826792.99,3100104
MG,2020,7494712.27,3100104
MG,2021,10003973.66,3100104
MG,2022,12605485.63,3100104
MG,2023,13064374.16,3100104
MG,2024,12631282.33,3100104
MG,2000,2306609.64,3100203
MG,2001,2683017.66,3100203
MG,2002,3310678.02,3100203
MG,2003,3462532.12,3100203
MG,2004,3839296.28,3100203
MG,2005,4799139.33,3100203
MG,2006,5325739.09,3100203
MG,2007,6150026.06,3100203
MG,2008,7582622.5,3100203
MG,2009,7123745.31,3100203
MG,2010,7653423.66,3100203
MG,2011,9405942.24,3100203
MG,2012,9691136.42,3100203
MG,2013,10409897.99,3100203
MG,2014,11227370.05,3100203
MG,2015,11938238.65,3100203
MG,2016,13921047.47,3100203
MG,2017,13505330.96,3100203
MG,2018,14396246.94,3100203
MG,2019,15653585.64,3100203
MG,2020,14989424.36,3100203
MG,2021,20007947.0,3100203
MG,2022,25210970.96,3100203
MG,2023,26128748.07,3100203
MG,2024,25262564.31,3100203
MG,2000,1921145.2,3100302
MG,2001,2271887.34,3100302
MG,2002,2773598.79,3100302
MG,2003,2770256.85,3100302
MG,2004,2925088.83,3100302
MG,2005,3494846.93,3100302
MG,2006,3687733.48,3100302
MG,2007,4039690.52,3100302
MG,2008,5055081.82,3100302
MG,2009,4749163.7,3100302
MG,2010,5102282.57,3100302
MG,2011,6270628.25,3100302
MG,2012,6460757.67,3100302
MG,2013,6939932.07,3100302
MG,2014,9356141.73,3100302
MG,2015,9948532.32,3100302
MG,2016,11600872.94,3100302
MG,2017,11254442.54,3100302
MG,2018,11996872.5,3100302
MG,2019,13044654.73,3100302
MG,2020,12491186.98,3100302
MG,2021,16673289.24,3100302
MG,2022,21009142.48,3100302
MG,2023,21773956.75,3100302
MG,2024,21052137.0,3100302
MG,2000,1153305.11,3100401
MG,2001,1341509.09,3100401
MG,2002,1655339.23,3100401
MG,2003,1731266.39,3100401
MG,2004,1919648.45,3100401
MG,2005,2399569.9,3100401
MG,2006,2662869.81,3100401
MG,2007,3075013.42,3100401
MG,2008,3791311.49,3100401
MG,2009,3561872.88,3100401
MG,2010,3826711.99,3100401
MG,2011,4702971.28,3100401
MG,2012,4845568.39,3100401
MG,2013,5204949.18,3100401
MG,2014,5613685.14,3100401
MG,2015,5969119.52,3100401
MG,2016,6960523.89,3100401
