uf,ano,fpm,cod
MS,2000,1255171.21,5000203
MS,2001,1698686.68,5000203
MS,2002,2384367.94,5000203
MS,2003,2479616.13,5000203
MS,2004,2742201.95,5000203
MS,2005,3391170.62,5000203
MS,2006,4716011.65,5000203
MS,2007,5489898.92,5000203
MS,2008,5350005.53,5000203
MS,2009,6247609.73,5000203
MS,2010,6710604.26,5000203
MS,2011,8003782.98,5000203
MS,2012,8233275.51,5000203
MS,2013,7018508.72,5000203
MS,2014,9472798.14,5000203
MS,2015,10053142.66,5000203
MS,2016,11692092.94,5000203
MS,2017,11257414.95,5000203
MS,2018,11956700.45,5000203
MS,2019,12964816.57,5000203
MS,2020,12371687.05,5000203
MS,2021,16516247.57,5000203
MS,2022,20799737.66,5000203
MS,2023,21465932.07,5000203
MS,2024,20719667.42,5000203
MS,2000,1255171.21,5000252
MS,2001,1459186.91,5000252
MS,2002,1789269.99,5000252
MS,2003,1860042.42,5000252
MS,2004,2056651.73,5000252
MS,2005,2543378.07,5000252
MS,2006,2831486.3,5000252
MS,2007,3293939.58,5000252
MS,2008,4012504.25,5000252
MS,2009,3748566.0,5000252
MS,2010,4026362.66,5000252
MS,2011,4802269.91,5000252
MS,2012,4939965.41,5000252
MS,2013,5263881.67,5000252
MS,2014,5683678.98,5000252
MS,2015,6031885.7,5000252
MS,2016,7015255.87,5000252
MS,2017,6754449.06,5000252
MS,2018,7174020.38,5000252
MS,2019,7778890.08,5000252
MS,2020,7423012.36,5000252
MS,2021,9909748.64,5000252
MS,2022,12479842.74,5000252
MS,2023,12879559.41,5000252
MS,2024,12431800.66,5000252
MS,2000,2987621.56,5000609
MS,2001,3495592.4,5000609
MS,2002,4274634.36,5000609
MS,2003,4367699.77,5000609
MS,2004,5484403.45,5000609
MS,2005,6779886.39,5000609
MS,2006,7549525.5,5000609
MS,2007,8783837.95,5000609
MS,2008,10700010.65,5000609
MS,2009,9996175.34,5000609
MS,2010,10736966.55,5000609
MS,2011,12806052.59,5000609
MS,2012,13173240.59,5000609
MS,2013,14037017.26,5000609
MS,2014,15156476.79,5000609
MS,2015,16085028.07,5000609
MS,2016,21045767.03,5000609
MS,2017,20263346.63,5000609
MS,2018,21522060.58,5000609
MS,2019,23336669.66,5000609
MS,2020,22269036.39,5000609
MS,2021,29729245.39,5000609
MS,2022,37439527.58,5000609
MS,2023,38638677.65,5000609
MS,2024,37295401.11,5000609
MS,2000,2510341.89,5000708
MS,2001,2918373.32,5000708
MS,2002,3578539.52,5000708
MS,2003,3720084.35,5000708
MS,2004,4113302.7,5000708
MS,2005,5926885.6,5000708
MS,2006,6604132.58,5000708
MS,2007,7685858.23,5000708
MS,2008,8025008.08,5000708
MS,2009,7497131.56,5000708
MS,2010,8052725.12,5000708
MS,2011,11205296.02,5000708
MS,2012,11526585.52,5000708
MS,2013,12282390.09,5000708
MS,2014,13261917.27,5000708
MS,2015,14074399.56,5000708
MS,2016,16368930.02,5000708
MS,2017,15760380.86,5000708
MS,2018,16739380.5,5000708
MS,2019,18150743.13,5000708
MS,2020,17320361.69,5000708
MS,2021,23122746.52,5000708
MS,2022,29119632.64,5000708
MS,2023,30052304.89,5000708
MS,2024,29007534.26,5000708
MS,2000,1255171.21,5000807
MS,2001,1459186.91,5000807
MS,2002,1789269.99,5000807
MS,2003,1860042.42,5000807
MS,2004,2056651.73,5000807
MS,2005,2543378.07,5000807
MS,2006,2831486.3,5000807
MS,2007,3293939.58,5000807
MS,2008,4012504.25,5000807
MS,2009,3748566.0,5000807
MS,2010,4026362.66,5000807
MS,2011,4802269.91,5000807
MS,2012,4939965.41,5000807
MS,2013,5263881.67,5000807
MS,2014,5683678.98,5000807
MS,2015,6031885.7,5000807
MS,2016,7015255.87,5000807
MS,2017,6754449.06,5000807
MS,2018,7174020.38,5000807
MS,2019,7778890.08,5000807
MS,2020,7423012.36,5000807
MS,2021,9909748.64,5000807
MS,2022,12479842.74,5000807
MS,2023,12879559.41,5000807
MS,2024,12431800.66,5000807
MS,2000,1415189.47,5000856
MS,2001,1662878.62,5000856
MS,2002,2024938.77,5000856
MS,2003,2038309.99,5000856
MS,2004,2172349.22,5000856
MS,2005,2580666.94,5000856
MS,2006,2756302.57,5000856
MS,2007,3064600.77,5000856
MS,2008,4012504.25,5000856
MS,2009,3748566.0,5000856
MS,2010,4026362.66,5000856
MS,2011,4802269.91,5000856
MS,2012,4939965.41,5000856
MS,2013,5263881.67,5000856
MS,2014,5683678.98,5000856
MS,2015,6031885.7,5000856
MS,2016,7015255.87,5000856
