uf,ano,fpm,cod
MT,2000,1066254.82,5100102
MT,2001,1146166.55,5100102
MT,2002,1404992.28,5100102
MT,2003,1472274.23,5100102
MT,2004,1636156.54,5100102
MT,2005,1992797.31,5100102
MT,2006,2240221.65,5100102
MT,2007,2573844.08,5100102
MT,2008,3072765.39,5100102
MT,2009,2902043.06,5100102
MT,2010,3106264.02,5100102
MT,2011,3785079.9,5100102
MT,2012,3897008.41,5100102
MT,2013,4191075.98,5100102
MT,2014,4547158.29,5100102
MT,2015,4806110.61,5100102
MT,2016,5576172.51,5100102
MT,2017,5402103.19,5100102
MT,2018,5768268.33,5100102
MT,2019,6210962.09,5100102
MT,2020,5892155.79,5100102
MT,2021,7843622.1,5100102
MT,2022,9885958.62,5100102
MT,2023,10108087.43,5100102
MT,2024,9669100.54,5100102
MT,2000,1813374.51,5100201
MT,2001,1999655.12,5100201
MT,2002,2446076.09,5100201
MT,2003,2673639.93,5100201
MT,2004,2671144.57,5100201
MT,2005,3197201.95,5100201
MT,2006,3474303.0,5100201
MT,2007,3889771.49,5100201
MT,2008,6145530.36,5100201
MT,2009,5804085.61,5100201
MT,2010,6212527.65,5100201
MT,2011,7570159.42,5100201
MT,2012,7794016.34,5100201
MT,2013,8382151.57,5100201
MT,2014,9094316.29,5100201
MT,2015,9612220.95,5100201
MT,2016,11152344.57,5100201
MT,2017,12604907.07,5100201
MT,2018,13459292.34,5100201
MT,2019,14492244.42,5100201
MT,2020,13748363.04,5100201
MT,2021,18301784.39,5100201
MT,2022,23067236.37,5100201
MT,2023,23585536.94,5100201
MT,2024,22561234.09,5100201
MT,2000,3497221.58,5100250
MT,2001,3920382.21,5100250
MT,2002,4891741.32,5100250
MT,2003,4975503.55,5100250
MT,2004,5342288.46,5100250
MT,2005,6390672.8,5100250
MT,2006,6946927.88,5100250
MT,2007,7779542.29,5100250
MT,2008,10242550.27,5100250
MT,2009,10640823.34,5100250
MT,2010,11389633.77,5100250
MT,2011,12616932.04,5100250
MT,2012,12990027.09,5100250
MT,2013,13970252.44,5100250
MT,2014,15157193.61,5100250
MT,2015,16020368.08,5100250
MT,2016,18587240.74,5100250
MT,2017,18007009.92,5100250
MT,2018,19227560.28,5100250
MT,2019,22773526.77,5100250
MT,2020,21604570.46,5100250
MT,2021,28759946.81,5100250
MT,2022,36248514.0,5100250
MT,2023,37062986.47,5100250
MT,2024,35453367.57,5100250
MT,2000,1489557.72,5100300
MT,2001,1644429.61,5100300
MT,2002,2009306.27,5100300
MT,2003,2035502.96,5100300
MT,2004,2176488.38,5100300
MT,2005,2592583.18,5100300
MT,2006,2805587.52,5100300
MT,2007,3127076.39,5100300
MT,2008,5121275.39,5100300
MT,2009,4836738.02,5100300
MT,2010,5177106.48,5100300
MT,2011,6308466.18,5100300
MT,2012,6495013.68,5100300
MT,2013,6985126.35,5100300
MT,2014,7578596.97,5100300
MT,2015,9612220.95,5100300
MT,2016,11152344.57,5100300
MT,2017,10804206.06,5100300
MT,2018,11536536.34,5100300
MT,2019,12421923.83,5100300
MT,2020,11784311.2,5100300
MT,2021,15687243.81,5100300
MT,2022,19771916.89,5100300
MT,2023,20216174.59,5100300
MT,2024,19338200.68,5100300
MT,2000,1066254.82,5100359
MT,2001,1146166.55,5100359
MT,2002,1404992.28,5100359
MT,2003,1472274.23,5100359
MT,2004,1636156.54,5100359
MT,2005,1992797.31,5100359
MT,2006,2240221.65,5100359
MT,2007,2573844.08,5100359
MT,2008,3072765.39,5100359
MT,2009,2902043.06,5100359
MT,2010,3106264.02,5100359
MT,2011,3785079.9,5100359
MT,2012,3897008.41,5100359
MT,2013,4191075.98,5100359
MT,2014,4547158.29,5100359
MT,2015,4806110.61,5100359
MT,2016,5576172.51,5100359
MT,2017,5402103.19,5100359
MT,2018,5768268.33,5100359
MT,2019,6210962.09,5100359
MT,2020,5892155.79,5100359
MT,2021,7843622.1,5100359
MT,2022,9885958.62,5100359
MT,2023,10108087.43,5100359
MT,2024,9669100.54,5100359
MT,2000,1066254.82,5100409
MT,2001,1146166.55,5100409
MT,2002,1404992.28,5100409
MT,2003,1472274.23,5100409
MT,2004,1636156.54,5100409
MT,2005,1992797.31,5100409
MT,2006,2240221.65,5100409
MT,2007,2573844.08,5100409
MT,2008,3072765.39,5100409
MT,2009,2902043.06,5100409
MT,2010,3106264.02,5100409
MT,2011,5046773.09,5100409
MT,2012,5196011.05,5100409
MT,2013,5588101.16,5100409
MT,2014,6062877.58,5100409
MT,2015,6408147.42,5100409
MT,2016,7434896.57,5100409
MT,2017,7202804.19,5100409
MT,2018,7691024.36,5100409
MT,2019,8281282.62,5100409
MT,2020,7856207.66,5100409
MT,2021,10458162.59,5100409
MT,2022,13181278.04,5100409
MT,2023,13477449.81,5100409
MT,2024,12892133.94,5100409
MT,2000,1360031.03,5100508
MT,2001,1512731.38,5100508
MT,2002,1834762.47,5100508
MT,2003,1809418.58,5100508
MT,2004,1879694.53,5100508
MT,2005,2171397.9,5100508
MT,2006,2271790.12,5100508
MT,2007,2440676.46,5100508
MT,2008,3072765.39,5100508
MT,2009,2902043.06,5100508
MT,2010,3106264.02,5100508
MT,2011,3785079.9,5100508
MT,2012,3897008.41,5100508
MT,2013,5588101.16,5100508
MT,2014,6062877.58,5100508
MT,2015,6408147.42,5100508
MT,2016,7434896.57,5100508
MT,2017,7202804.19,5100508
MT,2018,7691024.36,5100508
MT,2019,8281282.62,5100508
MT,2020,7856207.66,5100508
MT,2021,10458162.59,5100508
MT,2022,13181278.04,5100508
MT,2023,13477449.81,5100508
MT,2024,12528333.13,5100508
MT,2000,1066254.82,5100607
MT,2001,1146166.55,5100607
MT,2002,1404992.28,5100607
MT,2003,1472274.23,5100607
MT,2004,1636156.54,5100607
MT,2005,1992797.31,5100607
MT,2006,2240221.65,5100607
MT,2007,2573844.08,5100607
MT,2008,3072765.39,5100607
MT,2009,2902043.06,5100607
