uf,ano,fpm,cod
PE,2000,6030239.81,2600054
PE,2001,6855255.0,2600054
PE,2002,8364823.59,2600054
PE,2003,8839026.72,2600054
PE,2004,10593234.42,2600054
PE,2005,13292099.93,2600054
PE,2006,14730592.94,2600054
PE,2007,16442469.84,2600054
PE,2008,20247876.66,2600054
PE,2009,18833736.06,2600054
PE,2010,20228902.39,2600054
PE,2011,24628887.47,2600054
PE,2012,25314628.67,2600054
PE,2013,27169795.26,2600054
PE,2014,29271514.81,2600054
PE,2015,31140723.6,2600054
PE,2016,36298485.19,2600054
PE,2017,35114006.2,2600054
PE,2018,37457519.53,2600054
PE,2019,40743793.76,2600054
PE,2020,38995277.61,2600054
PE,2021,51910383.13,2600054
PE,2022,65328755.62,2600054
PE,2023,67703184.15,2600054
PE,2024,65688157.86,2600054
PE,2000,3445851.53,2600104
PE,2001,3917288.79,2600104
PE,2002,4779899.44,2600104
PE,2003,5050872.65,2600104
PE,2004,5649725.28,2600104
PE,2005,7090514.91,2600104
PE,2006,7856943.66,2600104
PE,2007,8769317.51,2600104
PE,2008,10798867.72,2600104
PE,2009,10044659.35,2600104
PE,2010,10788748.15,2600104
PE,2011,13135406.83,2600104
PE,2012,13501135.45,2600104
PE,2013,14490557.6,2600104
PE,2014,15611474.69,2600104
PE,2015,16608386.04,2600104
PE,2016,19359192.17,2600104
PE,2017,18727470.1,2600104
PE,2018,19977343.87,2600104
PE,2019,21730023.46,2600104
PE,2020,20797481.52,2600104
PE,2021,31146229.95,2600104
PE,2022,39197253.45,2600104
PE,2023,40621910.62,2600104
PE,2024,39412894.9,2600104
PE,2000,2153657.42,2600203
PE,2001,2448305.7,2600203
PE,2002,2987437.26,2600203
PE,2003,3156795.61,2600203
PE,2004,3531078.42,2600203
PE,2005,4431572.09,2600203
PE,2006,4910590.01,2600203
PE,2007,5480823.68,2600203
PE,2008,6749292.51,2600203
PE,2009,7533494.66,2600203
PE,2010,8091561.16,2600203
PE,2011,9851555.16,2600203
PE,2012,10125851.66,2600203
PE,2013,10867918.28,2600203
PE,2014,11708606.11,2600203
PE,2015,12456289.64,2600203
PE,2016,14519394.27,2600203
PE,2017,14045602.71,2600203
PE,2018,14983007.95,2600203
PE,2019,16297517.72,2600203
PE,2020,15598111.25,2600203
PE,2021,20764153.42,2600203
PE,2022,26131502.43,2600203
PE,2023,27081273.82,2600203
PE,2024,26275263.39,2600203
PE,2000,2584388.79,2600302
PE,2001,2937966.79,2600302
PE,2002,3584924.73,2600302
PE,2003,3788154.55,2600302
PE,2004,4237294.08,2600302
PE,2005,5317886.32,2600302
PE,2006,5892707.87,2600302
PE,2007,6576988.29,2600302
PE,2008,8099150.93,2600302
PE,2009,7533494.66,2600302
PE,2010,8091561.16,2600302
PE,2011,9851555.16,2600302
PE,2012,10125851.66,2600302
PE,2013,10867918.28,2600302
PE,2014,13660040.5,2600302
PE,2015,14532337.88,2600302
PE,2016,16939293.27,2600302
PE,2017,16386536.4,2600302
PE,2018,17480175.89,2600302
PE,2019,19013770.54,2600302
PE,2020,18197796.39,2600302
PE,2021,24224845.61,2600302
PE,2022,30486752.78,2600302
PE,2023,31594819.41,2600302
PE,2024,30654473.86,2600302
PE,2000,3354128.12,2600401
PE,2001,3961801.51,2600401
PE,2002,4839612.07,2600401
PE,2003,4852222.18,2600401
PE,2004,5127721.97,2600401
PE,2005,6179935.02,2600401
PE,2006,6565278.07,2600401
PE,2007,7337352.89,2600401
PE,2008,9449009.29,2600401
PE,2009,10044659.35,2600401
PE,2010,10788748.15,2600401
PE,2011,13135406.83,2600401
PE,2012,13501135.45,2600401
PE,2013,14490557.6,2600401
PE,2014,15611474.69,2600401
PE,2015,16608386.04,2600401
PE,2016,19359192.17,2600401
PE,2017,18727470.1,2600401
PE,2018,19977343.87,2600401
PE,2019,21730023.46,2600401
PE,2020,20797481.52,2600401
PE,2021,27685537.81,2600401
PE,2022,39197253.45,2600401
PE,2023,40621910.62,2600401
PE,2024,38323485.65,2600401
PE,2000,3506588.48,2600500
PE,2001,4127051.37,2600500
PE,2002,5059360.16,2600500
PE,2003,5137540.51,2600500
PE,2004,5502921.05,2600500
PE,2005,6726337.49,2600500
PE,2006,7255520.78,2600500
PE,2007,9005740.11,2600500
PE,2008,12148726.13,2600500
PE,2009,11300241.83,2600500
PE,2010,12137341.61,2600500
PE,2011,14777332.59,2600500
PE,2012,15188777.35,2600500
PE,2013,16301877.27,2600500
PE,2014,17562909.06,2600500
PE,2015,18684434.28,2600500
PE,2016,21779091.29,2600500
PE,2017,21068403.85,2600500
PE,2018,22474511.88,2600500
PE,2019,24446276.33,2600500
PE,2020,23397166.69,2600500
PE,2021,31146229.95,2600500
