uf,ano,fpm,cod
PI,2000,929372.31,2200053
PI,2001,1075567.14,2200053
PI,2002,1331958.64,2200053
PI,2003,1414390.07,2200053
PI,2004,1577019.48,2200053
PI,2005,1982687.03,2200053
PI,2006,2219097.96,2200053
PI,2007,2583359.33,2200053
PI,2008,3079702.71,2200053
PI,2009,2878542.87,2200053
PI,2010,3095735.68,2200053
PI,2011,3812163.03,2200053
PI,2012,3926060.57,2200053
PI,2013,4222320.41,2200053
PI,2014,4590398.05,2200053
PI,2015,4888201.27,2200053
PI,2016,5704351.74,2200053
PI,2017,5541872.28,2200053
PI,2018,5918837.48,2200053
PI,2019,6431667.04,2200053
PI,2020,6164580.43,2200053
PI,2021,8247864.48,2200053
PI,2022,10409777.36,2200053
PI,2023,10752691.01,2200053
PI,2024,10355344.37,2200053
PI,2000,929372.31,2200103
PI,2001,1075567.14,2200103
PI,2002,1331958.64,2200103
PI,2003,1414390.07,2200103
PI,2004,1577019.48,2200103
PI,2005,1982687.03,2200103
PI,2006,2219097.96,2200103
PI,2007,2583359.33,2200103
PI,2008,3079702.71,2200103
PI,2009,2878542.87,2200103
PI,2010,3095735.68,2200103
PI,2011,3812163.03,2200103
PI,2012,3926060.57,2200103
PI,2013,4222320.41,2200103
PI,2014,4590398.05,2200103
PI,2015,4888201.27,2200103
PI,2016,5704351.74,2200103
PI,2017,5541872.28,2200103
PI,2018,5918837.48,2200103
PI,2019,6431667.04,2200103
PI,2020,6164580.43,2200103
PI,2021,8247864.48,2200103
PI,2022,10409777.36,2200103
PI,2023,10752691.01,2200103
PI,2024,10355344.37,2200103
PI,2000,1581831.69,2200202
PI,2001,1858380.1,2200202
PI,2002,2288055.95,2200202
PI,2003,2337667.54,2200202
PI,2004,2529834.26,2200202
PI,2005,3098516.89,2200202
PI,2006,3364132.48,2200202
PI,2007,3791979.05,2200202
PI,2008,5132837.55,2200202
PI,2009,4797571.16,2200202
PI,2010,5159559.34,2200202
PI,2011,6353604.83,2200202
PI,2012,6543434.12,2200202
PI,2013,7037200.57,2200202
PI,2014,7650663.32,2200202
PI,2015,8147001.89,2200202
PI,2016,11408703.14,2200202
PI,2017,11083744.2,2200202
PI,2018,11837674.67,2200202
PI,2019,12863333.87,2200202
PI,2020,12329160.54,2200202
PI,2021,16495728.8,2200202
PI,2022,20819554.31,2200202
PI,2023,21505381.69,2200202
PI,2024,20710688.33,2200202
PI,2000,929372.31,2200251
PI,2001,1075567.14,2200251
PI,2002,1331958.64,2200251
PI,2003,1414390.07,2200251
PI,2004,1577019.48,2200251
PI,2005,1982687.03,2200251
PI,2006,2219097.96,2200251
PI,2007,2583359.33,2200251
PI,2008,3079702.71,2200251
PI,2009,2878542.87,2200251
PI,2010,3095735.68,2200251
PI,2011,3812163.03,2200251
PI,2012,3926060.57,2200251
PI,2013,4222320.41,2200251
PI,2014,4590398.05,2200251
PI,2015,4888201.27,2200251
PI,2016,5704351.74,2200251
PI,2017,5541872.28,2200251
PI,2018,5918837.48,2200251
PI,2019,6431667.04,2200251
PI,2020,6164580.43,2200251
PI,2021,8247864.48,2200251
PI,2022,10409777.36,2200251
PI,2023,10752691.01,2200251
PI,2024,10355344.37,2200251
PI,2000,929372.31,2200277
PI,2001,1075567.14,2200277
PI,2002,1331958.64,2200277
PI,2003,1414390.07,2200277
PI,2004,1577019.48,2200277
PI,2005,1982687.03,2200277
PI,2006,2219097.96,2200277
PI,2007,2583359.33,2200277
PI,2008,3079702.71,2200277
PI,2009,2878542.87,2200277
PI,2010,3095735.68,2200277
PI,2011,3812163.03,2200277
PI,2012,3926060.57,2200277
PI,2013,4222320.41,2200277
PI,2014,4590398.05,2200277
PI,2015,4888201.27,2200277
PI,2016,5704351.74,2200277
PI,2017,5541872.28,2200277
PI,2018,5918837.48,2200277
PI,2019,6431667.04,2200277
PI,2020,6164580.43,2200277
PI,2021,8247864.48,2200277
PI,2022,10409777.36,2200277
PI,2023,10752691.01,2200277
PI,2024,10355344.37,2200277
PI,2000,1468843.68,2200301
PI,2001,1736039.84,2200301
PI,2002,2124787.26,2200301
PI,2003,2125225.61,2200301
PI,2004,2248741.68,2200301
PI,2005,2690071.55,2200301
PI,2006,2847123.3,2200301
PI,2007,3122835.7,2200301
PI,2008,5132837.55,2200301
PI,2009,4797571.16,2200301
PI,2010,5159559.34,2200301
PI,2011,6353604.83,2200301
PI,2012,6543434.12,2200301
PI,2013,7037200.57,2200301
PI,2014,7650663.32,2200301
PI,2015,8147001.89,2200301
PI,2016,9507252.74,2200301
PI,2017,9236453.56,2200301
PI,2018,9864728.91,2200301
PI,2019,10719444.94,2200301
PI,2020,10274300.48,2200301
PI,2021,13746440.72,2200301
PI,2022,17349628.68,2200301
PI,2023,17921151.48,2200301
PI,2024,16905929.3,2200301
PI,2000,2711710.81,2200400
PI,2001,3056519.6,2200400
PI,2002,3759361.17,2200400
PI,2003,3825417.03,2200400
PI,2004,4122692.38,2200400
PI,2005,5433522.04,2200400
PI,2006,5950543.51,2200400
PI,2007,6766060.02,2200400
PI,2008,9239107.31,2200400
PI,2009,8635627.78,2200400
PI,2010,9287206.55,2200400
PI,2011,11436488.43,2200400
PI,2012,11778181.17,2200400
PI,2013,12666960.69,2200400
PI,2014,13771193.58,2200400
PI,2015,14664603.22,2200400
PI,2016,17113054.63,2200400
PI,2017,16625616.18,2200400
PI,2018,17756511.88,2200400
PI,2019,19295000.59,2200400
PI,2020,18493740.59,2200400
PI,2021,24743593.15,2200400
PI,2022,31229331.39,2200400
PI,2023,34113152.23,2200400
PI,2024,34517813.65,2200400
PI,2000,929372.31,2200459
PI,2001,1075567.14,2200459
PI,2002,1331958.64,2200459
PI,2003,1414390.07,2200459
PI,2004,1577019.48,2200459
PI,2005,1982687.03,2200459
PI,2006,2219097.96,2200459
PI,2007,2583359.33,2200459
PI,2008,3079702.71,2200459
PI,2009,2878542.87,2200459
PI,2010,3095735.68,2200459
PI,2011,3812163.03,2200459
PI,2012,3926060.57,2200459
PI,2013,4222320.41,2200459
PI,2014,4590398.05,2200459
PI,2015,4888201.27,2200459
PI,2016,5704351.74,2200459
PI,2017,5541872.28,2200459
PI,2018,5918837.48,2200459
PI,2019,6431667.04,2200459
PI,2020,6164580.43,2200459
PI,2021,8247864.48,2200459
PI,2022,10409777.36,2200459
PI,2023,10752691.01,2200459
PI,2024,10355344.37,2200459
PI,2000,1858744.22,2200509
PI,2001,2038004.41,2200509
PI,2002,2288933.11,2200509
PI,2003,2337958.89,2200509
PI,2004,3154038.56,2200509
PI,2005,3963356.55,2200509
PI,2006,4437288.32,2200509
PI,2007,5166718.11,2200509
PI,2008,6159405.07,2200509
PI,2009,5757085.37,2200509
PI,2010,6191471.08,2200509
PI,2011,7624325.73,2200509
PI,2012,7852120.8,2200509
PI,2013,8444640.58,2200509
PI,2014,9180795.89,2200509
PI,2015,9776402.26,2200509
PI,2016,11408703.14,2200509
PI,2017,11083744.2,2200509
PI,2018,11837674.67,2200509
PI,2019,12863333.87,2200509
PI,2020,12329160.54,2200509
PI,2021,16495728.8,2200509
PI,2022,20819554.31,2200509
PI,2023,21505381.69,2200509
PI,2024,20710688.33,2200509
PI,2000,1016891.88,2200608
PI,2001,1198140.17,2200608
PI,2002,1470947.94,2200608
PI,2003,1487631.29,2200608
PI,2004,1592858.84,2200608
PI,2005,1929529.78,2200608
PI,2006,2070418.73,2200608
PI,2007,2304938.42,2200608
PI,2008,3079702.71,2200608
PI,2009,2878542.87,2200608
PI,2010,3095735.68,2200608
PI,2011,3812163.03,2200608
PI,2012,3926060.57,2200608
PI,2013,4222320.41,2200608
PI,2014,4590398.05,2200608
PI,2015,4888201.27,2200608
PI,2016,5704351.74,2200608
PI,2017,5541872.28,2200608
PI,2018,5918837.48,2200608
PI,2019,6431667.04,2200608
PI,2020,6164580.43,2200608
PI,2021,8247864.48,2200608
PI,2022,10409777.36,2200608
PI,2023,10752691.01,2200608
PI,2024,10355344.37,2200608
PI,2000,1016891.88,2200707
PI,2001,1198140.17,2200707
PI,2002,1470947.94,2200707
PI,2003,1487631.29,2200707
PI,2004,1592858.84,2200707
PI,2005,1929529.78,2200707
PI,2006,2070418.73,2200707
PI,2007,2304938.42,2200707
PI,2008,3079702.71,2200707
PI,2009,2878542.87,2200707
PI,2010,3095735.68,2200707
PI,2011,3812163.03,2200707
PI,2012,3926060.57,2200707
PI,2013,4222320.41,2200707
PI,2014,4590398.05,2200707
PI,2015,4888201.27,2200707
PI,2016,5704351.74,2200707
PI,2017,5541872.28,2200707
PI,2018,5918837.48,2200707
PI,2019,6431667.04,2200707
PI,2020,6164580.43,2200707
PI,2021,8247864.48,2200707
PI,2022,10409777.36,2200707
PI,2023,10752691.01,2200707
PI,2024,10355344.37,2200707
PI,2000,929372.31,2200806
PI,2001,1075567.14,2200806
PI,2002,1331958.64,2200806
PI,2003,1414390.07,2200806
PI,2004,1577019.48,2200806
PI,2005,1982687.03,2200806
PI,2006,2219097.96,2200806
PI,2007,2583359.33,2200806
PI,2008,3079702.71,2200806
PI,2009,2878542.87,2200806
PI,2010,3095735.68,2200806
PI,2011,3812163.03,2200806
PI,2012,3926060.57,2200806
PI,2013,4222320.41,2200806
PI,2014,4590398.05,2200806
PI,2015,4888201.27,2200806
PI,2016,5704351.74,2200806
PI,2017,5541872.28,2200806
PI,2018,5918837.48,2200806
PI,2019,6431667.04,2200806
PI,2020,6164580.43,2200806
PI,2021,8247864.48,2200806
PI,2022,10409777.36,2200806
PI,2023,10752691.01,2200806
PI,2024,10355344.37,2200806
PI,2000,1016891.88,2200905
PI,2001,1198140.17,2200905
PI,2002,1470947.94,2200905
PI,2003,1487631.29,2200905
PI,2004,1592858.84,2200905
PI,2005,1929529.78,2200905
PI,2006,2070418.73,2200905
PI,2007,2304938.42,2200905
