uf,ano,fpm,cod
PR,2000,1596950.71,4100103
PR,2001,1709745.68,4100103
PR,2002,1853214.97,4100103
PR,2003,1869438.88,4100103
PR,2004,1993431.84,4100103
PR,2005,2408839.73,4100103
PR,2006,2577963.1,4100103
PR,2007,2867512.59,4100103
PR,2008,4022391.66,4100103
PR,2009,3763830.94,4100103
PR,2010,4045089.3,4100103
PR,2011,4963955.52,4100103
PR,2012,5115629.56,4100103
PR,2013,5497888.58,4100103
PR,2014,5904470.22,4100103
PR,2015,6264807.95,4100103
PR,2016,7297278.75,4100103
PR,2017,7075741.1,4100103
PR,2018,7551130.9,4100103
PR,2019,8204426.28,4100103
PR,2020,7848636.24,4100103
PR,2021,10465900.05,4100103
PR,2022,13175493.44,4100103
PR,2023,13585379.58,4100103
PR,2024,13085605.31,4100103
PR,2000,1282031.42,4100202
PR,2001,1510346.64,4100202
PR,2002,1852217.42,4100202
PR,2003,1869107.54,4100202
PR,2004,1993431.84,4100202
PR,2005,2408839.73,4100202
PR,2006,2577963.1,4100202
PR,2007,2867512.59,4100202
PR,2008,4022391.66,4100202
PR,2009,3763830.94,4100202
PR,2010,4045089.3,4100202
PR,2011,4963955.52,4100202
PR,2012,5115629.56,4100202
PR,2013,5497888.58,4100202
PR,2014,5904470.22,4100202
PR,2015,6264807.95,4100202
PR,2016,7297278.75,4100202
PR,2017,7075741.1,4100202
PR,2018,7551130.9,4100202
PR,2019,8204426.28,4100202
PR,2020,7848636.24,4100202
PR,2021,10465900.05,4100202
PR,2022,13175493.44,4100202
PR,2023,13585379.58,4100202
PR,2024,13085605.31,4100202
PR,2000,1197713.21,4100301
PR,2001,1383500.81,4100301
PR,2002,1718117.1,4100301
PR,2003,1827866.74,4100301
PR,2004,2053813.58,4100301
PR,2005,2597804.29,4100301
PR,2006,2908493.77,4100301
PR,2007,3394452.41,4100301
PR,2008,4022391.66,4100301
PR,2009,3763830.94,4100301
PR,2010,4045089.3,4100301
PR,2011,4963955.52,4100301
PR,2012,5115629.56,4100301
PR,2013,5497888.58,4100301
PR,2014,5904470.22,4100301
PR,2015,6264807.95,4100301
PR,2016,7297278.75,4100301
PR,2017,7075741.1,4100301
PR,2018,7551130.9,4100301
PR,2019,8204426.28,4100301
PR,2020,7848636.24,4100301
PR,2021,10465900.05,4100301
PR,2022,13175493.44,4100301
PR,2023,15925956.6,4100301
PR,2024,17448661.55,4100301
PR,2000,5190088.86,4100400
PR,2001,6456335.21,4100400
PR,2002,8585958.49,4100400
PR,2003,9138235.1,4100400
PR,2004,10269066.15,4100400
PR,2005,13847342.45,4100400
PR,2006,15509318.52,4100400
PR,2007,18103743.71,4100400
PR,2008,20111956.26,4100400
PR,2009,18819153.33,4100400
PR,2010,20225445.02,4100400
PR,2011,26474427.86,4100400
PR,2012,27283356.63,4100400
PR,2013,29322071.23,4100400
PR,2014,31490506.34,4100400
PR,2015,33412307.67,4100400
PR,2016,38918818.71,4100400
PR,2017,37737284.45,4100400
PR,2018,40272696.86,4100400
PR,2019,46491747.64,4100400
PR,2020,44475604.19,4100400
PR,2021,59306765.72,4100400
PR,2022,74661128.23,4100400
PR,2023,76983816.21,4100400
PR,2024,74152949.64,4100400
PR,2000,1495703.34,4100459
PR,2001,1772263.6,4100459
PR,2002,2161080.82,4100459
PR,2003,2136195.57,4100459
PR,2004,2227953.24,4100459
PR,2005,2628623.35,4100459
PR,2006,2739645.62,4100459
PR,2007,2960042.9,4100459
PR,2008,4022391.66,4100459
PR,2009,3763830.94,4100459
PR,2010,4045089.3,4100459
PR,2011,4963955.52,4100459
PR,2012,5115629.56,4100459
PR,2013,5497888.58,4100459
PR,2014,5904470.22,4100459
PR,2015,6264807.95,4100459
PR,2016,7297278.75,4100459
PR,2017,7075741.1,4100459
PR,2018,7551130.9,4100459
PR,2019,8204426.28,4100459
PR,2020,7848636.24,4100459
PR,2021,10465900.05,4100459
PR,2022,13175493.44,4100459
PR,2023,13585379.58,4100459
PR,2024,13085605.31,4100459
PR,2000,1197713.21,4128625
PR,2001,1383500.81,4128625
PR,2002,1718117.1,4128625
PR,2003,1827866.74,4128625
PR,2004,2053813.58,4128625
PR,2005,2597804.29,4128625
PR,2006,2908493.77,4128625
PR,2007,3394452.41,4128625
PR,2008,4022391.66,4128625
PR,2009,3763830.94,4128625
PR,2010,4045089.3,4128625
PR,2011,4963955.52,4128625
PR,2012,5115629.56,4128625
PR,2013,5497888.58,4128625
PR,2014,5904470.22,4128625
PR,2015,6264807.95,4128625
PR,2016,7297278.75,4128625
PR,2017,7075741.1,4128625
PR,2018,7551130.9,4128625
PR,2019,8204426.28,4128625
PR,2020,7848636.24,4128625
PR,2021,10465900.05,4128625
PR,2022,13175493.44,4128625
PR,2023,13585379.58,4128625
PR,2024,13085605.31,4128625
PR,2000,1638151.17,4100608
PR,2001,1926489.99,4100608
PR,2002,2366668.58,4100608
PR,2003,2403114.01,4100608
PR,2004,2579735.19,4100608
PR,2005,3138524.94,4100608
PR,2006,3383389.72,4100608
PR,2007,3792506.39,4100608
PR,2008,5363188.56,4100608
PR,2009,5018441.25,4100608
PR,2010,5393452.25,4100608
PR,2011,8273259.0,4100608
PR,2012,8526049.14,4100608
PR,2013,9163147.43,4100608
PR,2014,9840783.46,4100608
PR,2015,10441346.37,4100608
PR,2016,12162131.05,4100608
PR,2017,11792901.63,4100608
PR,2018,12585218.05,4100608
PR,2019,13674043.66,4100608
PR,2020,13081060.3,4100608
PR,2021,17443166.57,4100608
PR,2022,21959155.53,4100608
PR,2023,22642299.07,4100608
PR,2024,21809341.98,4100608
PR,2000,2065494.95,4100707
PR,2001,2450323.37,4100707
PR,2002,2984395.25,4100707
PR,2003,2937289.69,4100707
PR,2004,3048777.84,4100707
PR,2005,3071910.59,4100707
PR,2006,3064284.32,4100707
PR,2007,3145103.67,4100707
PR,2008,5363188.56,4100707
PR,2009,5018441.25,4100707
PR,2010,5393452.25,4100707
PR,2011,4963955.52,4100707
