uf,ano,fpm,cod
RR,2000,975756.4,1400050
RR,2001,1168962.97,1400050
RR,2002,1513392.45,1400050
RR,2003,1582151.84,1400050
RR,2004,1768989.18,1400050
RR,2005,2160420.62,1400050
RR,2006,2376795.66,1400050
RR,2007,2769735.41,1400050
RR,2008,2879896.45,1400050
RR,2009,2723270.45,1400050
RR,2010,2932133.47,1400050
RR,2011,3424612.43,1400050
RR,2012,3530998.98,1400050
RR,2013,3797447.53,1400050
RR,2014,4066654.96,1400050
RR,2015,4335457.79,1400050
RR,2016,4979279.4,1400050
RR,2017,4756828.2,1400050
RR,2018,5086219.92,1400050
RR,2019,5193347.17,1400050
RR,2020,4901104.25,1400050
RR,2021,6361660.62,1400050
RR,2022,8029165.54,1400050
RR,2023,8849233.7,1400050
RR,2024,9030050.25,1400050
RR,2000,580406.83,1400027
RR,2001,644611.11,1400027
RR,2002,756989.61,1400027
RR,2003,791173.49,1400027
RR,2004,884494.92,1400027
RR,2005,1080210.52,1400027
RR,2006,1188398.14,1400027
RR,2007,1384868.01,1400027
RR,2008,1727938.03,1400027
RR,2009,1633962.45,1400027
RR,2010,1759280.23,1400027
RR,2011,2054767.59,1400027
RR,2012,2118599.54,1400027
RR,2013,2278468.65,1400027
RR,2014,3253324.06,1400027
RR,2015,3468366.24,1400027
RR,2016,3983423.57,1400027
RR,2017,3805462.65,1400027
RR,2018,4068975.99,1400027
RR,2019,4154677.84,1400027
RR,2020,3920883.49,1400027
RR,2021,5089328.55,1400027
RR,2022,6423332.44,1400027
RR,2023,7240990.26,1400027
RR,2024,7525041.9,1400027
RR,2000,51515967.45,1400100
RR,2001,52662271.7,1400100
RR,2002,75017174.79,1400100
RR,2003,74269511.82,1400100
RR,2004,85963437.05,1400100
RR,2005,110527404.37,1400100
RR,2006,133065946.49,1400100
RR,2007,177628038.78,1400100
RR,2008,114237978.85,1400100
RR,2009,221129384.44,1400100
RR,2010,128266110.82,1400100
RR,2011,124607911.18,1400100
RR,2012,110413805.56,1400100
RR,2013,223399661.99,1400100
RR,2014,272549586.71,1400100
RR,2015,288847040.05,1400100
RR,2016,338604845.18,1400100
RR,2017,333482007.61,1400100
RR,2018,357649736.63,1400100
RR,2019,386530509.69,1400100
RR,2020,372709967.95,1400100
RR,2021,495680402.72,1400100
RR,2022,631547263.99,1400100
RR,2023,663984750.06,1400100
RR,2024,643181986.15,1400100
RR,2000,731817.4,1400159
RR,2001,839248.68,1400159
RR,2002,988949.87,1400159
RR,2003,1101910.86,1400159
RR,2004,1187631.66,1400159
RR,2005,1405016.77,1400159
RR,2006,1493511.08,1400159
RR,2007,1677055.27,1400159
RR,2008,2303917.23,1400159
RR,2009,2178616.42,1400159
RR,2010,2345706.81,1400159
RR,2011,2739690.06,1400159
RR,2012,2824799.23,1400159
RR,2013,3037958.05,1400159
RR,2014,3253324.06,1400159
RR,2015,3468366.24,1400159
RR,2016,3983423.57,1400159
RR,2017,3805462.65,1400159
RR,2018,4068975.99,1400159
RR,2019,4154677.84,1400159
RR,2020,3920883.49,1400159
RR,2021,5089328.55,1400159
RR,2022,6423332.44,1400159
RR,2023,7240990.26,1400159
RR,2024,7525041.9,1400159
RR,2000,580406.83,1400175
RR,2001,644611.11,1400175
RR,2002,756989.61,1400175
RR,2003,791173.49,1400175
RR,2004,884494.92,1400175
RR,2005,1436997.24,1400175
RR,2006,1583388.68,1400175
RR,2007,1846490.49,1400175
RR,2008,2303917.23,1400175
RR,2009,2178616.42,1400175
RR,2010,2345706.81,1400175
RR,2011,3424612.43,1400175
RR,2012,3530998.98,1400175
RR,2013,3797447.53,1400175
RR,2014,4066654.96,1400175
RR,2015,4335457.79,1400175
RR,2016,4979279.4,1400175
RR,2017,4756828.2,1400175
RR,2018,5086219.92,1400175
RR,2019,6232016.59,1400175
RR,2020,5881325.01,1400175
RR,2021,7633992.59,1400175
RR,2022,9634998.57,1400175
RR,2023,9649460.3,1400175
RR,2024,9030050.25,1400175
RR,2000,773875.75,1400209
RR,2001,958953.02,1400209
