uf,ano,fpm,cod
SP,2000,3657359.83,3500105
SP,2001,3443469.42,3500105
SP,2002,4590248.38,3500105
SP,2003,4696495.82,3500105
SP,2004,5088606.59,3500105
SP,2005,6226890.7,3500105
SP,2006,6765905.53,3500105
SP,2007,7652734.1,3500105
SP,2008,9800356.68,3500105
SP,2009,9102630.01,3500105
SP,2010,9755722.25,3500105
SP,2011,12027796.15,3500105
SP,2012,12378179.6,3500105
SP,2013,13286433.92,3500105
SP,2014,14238282.4,3500105
SP,2015,15121550.22,3500105
SP,2016,17615198.69,3500105
SP,2017,17056247.33,3500105
SP,2018,18160425.97,3500105
SP,2019,19713496.55,3500105
SP,2020,18840681.91,3500105
SP,2021,25119138.49,3500105
SP,2022,31592220.4,3500105
SP,2023,32762574.91,3500105
SP,2024,31737379.17,3500105
SP,2000,1133586.92,3500204
SP,2001,1319153.75,3500204
SP,2002,1621889.46,3500204
SP,2003,1682438.89,3500204
SP,2004,1849823.02,3500204
SP,2005,2293063.2,3500204
SP,2006,2526015.23,3500204
SP,2007,2900253.29,3500204
SP,2008,3675134.0,3500204
SP,2009,3413486.54,3500204
SP,2010,3658396.04,3500204
SP,2011,4510423.84,3500204
SP,2012,4641817.54,3500204
SP,2013,4982412.95,3500204
SP,2014,5339356.05,3500204
SP,2015,5670581.59,3500204
SP,2016,6605699.72,3500204
SP,2017,6396092.92,3500204
SP,2018,6810159.87,3500204
SP,2019,7392561.37,3500204
SP,2020,7065255.89,3500204
SP,2021,9419677.11,3500204
SP,2022,11847082.83,3500204
SP,2023,12285965.8,3500204
SP,2024,11901517.43,3500204
SP,2000,2645035.65,3500303
SP,2001,3078024.59,3500303
SP,2002,3784408.05,3500303
SP,2003,3925689.89,3500303
SP,2004,4316252.84,3500303
SP,2005,6107929.3,3500303
SP,2006,6733634.22,3500303
SP,2007,7734007.92,3500303
SP,2008,8575312.03,3500303
SP,2009,9102630.01,3500303
SP,2010,9755722.25,3500303
SP,2011,12027796.15,3500303
SP,2012,12378179.6,3500303
SP,2013,13286433.92,3500303
SP,2014,14238282.4,3500303
SP,2015,15121550.22,3500303
SP,2016,17615198.69,3500303
SP,2017,17056247.33,3500303
SP,2018,18160425.97,3500303
SP,2019,19713496.55,3500303
SP,2020,18840681.91,3500303
SP,2021,25119138.49,3500303
SP,2022,31592220.4,3500303
SP,2023,32762574.91,3500303
SP,2024,31737379.17,3500303
SP,2000,1133586.92,3500402
SP,2001,1319153.75,3500402
SP,2002,1621889.46,3500402
SP,2003,1682438.89,3500402
SP,2004,1849823.02,3500402
SP,2005,2293063.2,3500402
SP,2006,2526015.23,3500402
SP,2007,2900253.29,3500402
SP,2008,3675134.0,3500402
SP,2009,3413486.54,3500402
SP,2010,3658396.04,3500402
SP,2011,4510423.84,3500402
SP,2012,4641817.54,3500402
SP,2013,4982412.95,3500402
SP,2014,5339356.05,3500402
SP,2015,5670581.59,3500402
SP,2016,6605699.72,3500402
SP,2017,6396092.92,3500402
SP,2018,6810159.87,3500402
SP,2019,7392561.37,3500402
SP,2020,7065255.89,3500402
SP,2021,9419677.11,3500402
SP,2022,11847082.83,3500402
SP,2023,12285965.8,3500402
SP,2024,11901517.43,3500402
SP,2000,1889311.3,3500501
SP,2001,2198589.11,3500501
SP,2002,2703148.78,3500501
SP,2003,3364231.93,3500501
SP,2004,3699645.42,3500501
SP,2005,4586125.83,3500501
SP,2006,5052029.95,3500501
SP,2007,5800506.15,3500501
SP,2008,6125223.02,3500501
SP,2009,5689143.93,3500501
SP,2010,6097326.49,3500501
SP,2011,9020847.23,3500501
SP,2012,9283634.81,3500501
SP,2013,9964825.53,3500501
SP,2014,10678711.86,3500501
SP,2015,11341162.74,3500501
SP,2016,13211399.09,3500501
SP,2017,12792185.54,3500501
SP,2018,13620319.56,3500501
SP,2019,14785122.48,3500501
SP,2020,14130511.46,3500501
SP,2021,18839353.91,3500501
SP,2022,23694165.37,3500501
SP,2023,24571931.28,3500501
SP,2024,23803034.52,3500501
SP,2000,1133586.92,3500550
SP,2001,1319153.75,3500550
SP,2002,1621889.46,3500550
SP,2003,1682438.89,3500550
SP,2004,1849823.02,3500550
SP,2005,2293063.2,3500550
SP,2006,2526015.23,3500550
SP,2007,2900253.29,3500550
SP,2008,3675134.0,3500550
SP,2009,3413486.54,3500550
SP,2010,3658396.04,3500550
SP,2011,4510423.84,3500550
SP,2012,4641817.54,3500550
SP,2013,4982412.95,3500550
SP,2014,5339356.05,3500550
SP,2015,5670581.59,3500550
SP,2016,6605699.72,3500550
SP,2017,6396092.92,3500550
SP,2018,6810159.87,3500550
SP,2019,7392561.37,3500550
SP,2020,7065255.89,3500550
SP,2021,9419677.11,3500550
SP,2022,11847082.83,3500550
SP,2023,12285965.8,3500550
SP,2024,11901517.43,3500550
SP,2000,1133586.92,3500600
SP,2001,1319153.75,3500600
SP,2002,1621889.46,3500600
SP,2003,1682438.89,3500600
SP,2004,1849823.02,3500600
SP,2005,2293063.2,3500600
