uf,ano,fpm,cod
TO,2000,852892.93,1700251
TO,2001,993427.94,1700251
TO,2002,1233473.43,1700251
TO,2003,1294428.6,1700251
TO,2004,1434476.45,1700251
TO,2005,1819440.47,1700251
TO,2006,2022463.91,1700251
TO,2007,2347517.73,1700251
TO,2008,2916760.58,1700251
TO,2009,2758129.63,1700251
TO,2010,2961632.69,1700251
TO,2011,3601970.86,1700251
TO,2012,3713867.02,1700251
TO,2013,3994114.8,1700251
TO,2014,4291614.57,1700251
TO,2015,4575287.07,1700251
TO,2016,5345322.29,1700251
TO,2017,5193069.19,1700251
TO,2018,5552668.78,1700251
TO,2019,6047595.22,1700251
TO,2020,5784934.03,1700251
TO,2021,7694030.12,1700251
TO,2022,9710772.95,1700251
TO,2023,10048809.03,1700251
TO,2024,9697139.81,1700251
TO,2000,852892.93,1700301
TO,2001,993427.94,1700301
TO,2002,1233473.43,1700301
TO,2003,1294428.6,1700301
TO,2004,1434476.45,1700301
TO,2005,1819440.47,1700301
TO,2006,2022463.91,1700301
TO,2007,2347517.73,1700301
TO,2008,2916760.58,1700301
TO,2009,2758129.63,1700301
TO,2010,2961632.69,1700301
TO,2011,3601970.86,1700301
TO,2012,3713867.02,1700301
TO,2013,3994114.8,1700301
TO,2014,4291614.57,1700301
TO,2015,4575287.07,1700301
TO,2016,5345322.29,1700301
TO,2017,5193069.19,1700301
TO,2018,5552668.78,1700301
TO,2019,6047595.22,1700301
TO,2020,5784934.03,1700301
TO,2021,7694030.12,1700301
TO,2022,9710772.95,1700301
TO,2023,10048809.03,1700301
TO,2024,9697139.81,1700301
TO,2000,965642.19,1700350
TO,2001,1143595.32,1700350
TO,2002,1409162.11,1700350
TO,2003,1422487.34,1700350
TO,2004,1517408.63,1700350
TO,2005,1843947.47,1700350
TO,2006,1971256.38,1700350
TO,2007,2192754.3,1700350
TO,2008,2916760.58,1700350
TO,2009,2758129.63,1700350
TO,2010,2961632.69,1700350
TO,2011,3601970.86,1700350
TO,2012,3713867.02,1700350
TO,2013,3994114.8,1700350
TO,2014,4291614.57,1700350
TO,2015,4575287.07,1700350
TO,2016,5345322.29,1700350
TO,2017,5193069.19,1700350
TO,2018,5552668.78,1700350
TO,2019,6047595.22,1700350
TO,2020,5784934.03,1700350
TO,2021,7694030.12,1700350
TO,2022,9710772.95,1700350
TO,2023,10048809.03,1700350
TO,2024,9697139.81,1700350
TO,2000,852892.93,1700400
TO,2001,993427.94,1700400
TO,2002,1233473.43,1700400
TO,2003,1294428.6,1700400
TO,2004,1434476.45,1700400
TO,2005,1819440.47,1700400
TO,2006,2022463.91,1700400
TO,2007,2347517.73,1700400
TO,2008,2916760.58,1700400
TO,2009,2758129.63,1700400
TO,2010,2961632.69,1700400
TO,2011,3601970.86,1700400
TO,2012,3713867.02,1700400
TO,2013,3994114.8,1700400
TO,2014,4291614.57,1700400
TO,2015,4575287.07,1700400
TO,2016,5345322.29,1700400
TO,2017,5193069.19,1700400
TO,2018,5552668.78,1700400
TO,2019,6047595.22,1700400
TO,2020,5784934.03,1700400
TO,2021,7694030.12,1700400
TO,2022,9710772.95,1700400
TO,2023,10048809.03,1700400
TO,2024,9697139.81,1700400
TO,2000,965642.19,1700707
TO,2001,1143595.32,1700707
TO,2002,1409162.11,1700707
TO,2003,1422487.34,1700707
TO,2004,1517408.63,1700707
TO,2005,1843947.47,1700707
TO,2006,1971256.38,1700707
TO,2007,2192754.3,1700707
TO,2008,2916760.58,1700707
TO,2009,2758129.63,1700707
TO,2010,2961632.69,1700707
TO,2011,3601970.86,1700707
TO,2012,3713867.02,1700707
TO,2013,3994114.8,1700707
TO,2014,4291614.57,1700707
TO,2015,4575287.07,1700707
TO,2016,5345322.29,1700707
TO,2017,5193069.19,1700707
TO,2018,5552668.78,1700707
TO,2019,6047595.22,1700707
TO,2020,5784934.03,1700707
TO,2021,7694030.12,1700707
TO,2022,9710772.95,1700707
TO,2023,10048809.03,1700707
TO,2024,9697139.81,1700707
TO,2000,1137190.37,1701002
TO,2001,1324570.42,1701002
TO,2002,1644630.98,1701002
TO,2003,1725904.66,1701002
TO,2004,1912634.99,1701002
TO,2005,2425920.45,1701002
TO,2006,2696618.36,1701002
TO,2007,3130023.51,1701002
TO,2008,2916760.58,1701002
TO,2009,2758129.63,1701002
TO,2010,2961632.69,1701002
TO,2011,3601970.86,1701002
TO,2012,3713867.02,1701002
TO,2013,3994114.8,1701002
TO,2014,4291614.57,1701002
TO,2015,4575287.07,1701002
TO,2016,5345322.29,1701002
TO,2017,5193069.19,1701002
TO,2018,5552668.78,1701002
TO,2019,6047595.22,1701002
TO,2020,5784934.03,1701002
TO,2021,7694030.12,1701002
TO,2022,9710772.95,1701002
TO,2023,11785371.95,1701002
TO,2024,12929519.73,1701002
TO,2000,852892.93,1701051
TO,2001,993427.94,1701051
TO,2002,1233473.43,1701051
TO,2003,1294428.6,1701051
TO,2004,1434476.45,1701051
TO,2005,1819440.47,1701051
TO,2006,2022463.91,1701051
TO,2007,2347517.73,1701051
TO,2008,2916760.58,1701051
TO,2009,2758129.63,1701051
TO,2010,2961632.69,1701051
TO,2011,3601970.86,1701051
TO,2012,3713867.02,1701051
TO,2013,3994114.8,1701051
TO,2014,4291614.57,1701051
TO,2015,4575287.07,1701051
TO,2016,5345322.29,1701051
TO,2017,5193069.19,1701051
TO,2018,5552668.78,1701051
TO,2019,6047595.22,1701051
TO,2020,5784934.03,1701051
TO,2021,7694030.12,1701051
TO,2022,9710772.95,1701051
TO,2023,10048809.03,1701051
TO,2024,9697139.81,1701051
TO,2000,852892.93,1701101
TO,2001,993427.94,1701101
TO,2002,1233473.43,1701101
TO,2003,1294428.6,1701101
TO,2004,1434476.45,1701101
TO,2005,1819440.47,1701101
TO,2006,2022463.91,1701101
TO,2007,2347517.73,1701101
TO,2008,2916760.58,1701101
TO,2009,2758129.63,1701101
TO,2010,2961632.69,1701101
TO,2011,3601970.86,1701101
TO,2012,3713867.02,1701101
TO,2013,3994114.8,1701101
TO,2014,4291614.57,1701101
TO,2015,4575287.07,1701101
TO,2016,5345322.29,1701101
TO,2017,5193069.19,1701101
TO,2018,5552668.78,1701101
TO,2019,6047595.22,1701101
TO,2020,5784934.03,1701101
TO,2021,7694030.12,1701101
TO,2022,9710772.95,1701101
TO,2023,10048809.03,1701101
TO,2024,9697139.81,1701101
TO,2000,852892.93,1701309
TO,2001,993427.94,1701309
TO,2002,1233473.43,1701309
TO,2003,1294428.6,1701309
TO,2004,1434476.45,1701309
TO,2005,1819440.47,1701309
TO,2006,2022463.91,1701309
TO,2007,2347517.73,1701309
TO,2008,2916760.58,1701309
TO,2009,2758129.63,1701309
TO,2010,2961632.69,1701309
TO,2011,3601970.86,1701309
TO,2012,3713867.02,1701309
TO,2013,3994114.8,1701309
TO,2014,4291614.57,1701309
TO,2015,4575287.07,1701309
TO,2016,5345322.29,1701309
TO,2017,5193069.19,1701309
TO,2018,5552668.78,1701309
TO,2019,6047595.22,1701309
TO,2020,5784934.03,1701309
TO,2021,7694030.12,1701309
TO,2022,9710772.95,1701309
TO,2023,10048809.03,1701309
TO,2024,9697139.81,1701309
TO,2000,852892.93,1701903
TO,2001,993427.94,1701903
TO,2002,1233473.43,1701903
TO,2003,1294428.6,1701903
TO,2004,1434476.45,1701903
TO,2005,1819440.47,1701903
TO,2006,2022463.91,1701903
TO,2007,2347517.73,1701903
TO,2008,2916760.58,1701903
TO,2009,2758129.63,1701903
TO,2010,2961632.69,1701903
TO,2011,3601970.86,1701903
TO,2012,3713867.02,1701903
TO,2013,3994114.8,1701903
TO,2014,4291614.57,1701903
TO,2015,4575287.07,1701903
TO,2016,5345322.29,1701903
TO,2017,5193069.19,1701903
TO,2018,5552668.78,1701903
TO,2019,6047595.22,1701903
TO,2020,5784934.03,1701903
TO,2021,7694030.12,1701903
TO,2022,9710772.95,1701903
TO,2023,10048809.03,1701903
TO,2024,9697139.81,1701903
TO,2000,1287522.67,1702000
TO,2001,1540373.34,1702000
TO,2002,1879126.68,1702000
TO,2003,1829021.9,1702000
TO,2004,1874445.79,1702000
TO,2005,2180425.53,1702000
TO,2006,2218515.91,1702000
TO,2007,2334268.14,1702000
TO,2008,2916760.58,1702000
TO,2009,2758129.63,1702000
TO,2010,2961632.69,1702000
TO,2011,3601970.86,1702000
TO,2012,3713867.02,1702000
TO,2013,3994114.8,1702000
TO,2014,4291614.57,1702000
TO,2015,4575287.07,1702000
TO,2016,5345322.29,1702000
TO,2017,5193069.19,1702000
TO,2018,5552668.78,1702000
TO,2019,6047595.22,1702000
TO,2020,5784934.03,1702000
TO,2021,7694030.12,1702000
TO,2022,9710772.95,1702000
TO,2023,10048809.03,1702000
TO,2024,9697139.81,1702000
TO,2000,4452681.31,1702109
TO,2001,5474460.44,1702109
TO,2002,6987028.96,1702109
TO,2003,7334518.28,1702109
TO,2004,8128693.78,1702109
TO,2005,10310159.94,1702109
TO,2006,11460626.26,1702109
TO,2007,14084843.61,1702109
TO,2008,16528307.98,1702109
TO,2009,15629399.43,1702109
TO,2010,19413620.74,1702109
TO,2011,40170074.28,1702109
TO,2012,41301919.24,1702109
TO,2013,44260827.71,1702109
TO,2014,48616234.15,1702109
TO,2015,51264922.42,1702109
TO,2016,59765801.77,1702109
TO,2017,58137438.9,1702109
