cod_ibge,invest_melhorias_mes_25_40
1100015,3.006939022852773e-08
1100023,9.788579861973084e-08
1100031,6.719903212432445e-09
1100049,4.257521717274916e-08
1100056,1.7634799007417207e-08
1100064,1.3336910380385915e-08
1100072,8.548286771998871e-09
1100080,2.238384721407325e-08
1100098,3.154951025294543e-08
1100106,5.2469067603305235e-08
1100114,5.59437878745177e-08
1100122,1.1414337364721093e-07
1100130,5.576965610693914e-08
1100148,2.6974593813854995e-08
1100155,4.024026847114295e-08
1100189,3.1256652280194973e-08
1100205,3.382984490018473e-07
1100254,3.158908565466077e-08
1100262,4.8915196528660195e-09
1100288,4.3730818903046724e-08
1100296,1.290949604178718e-08
1100304,9.448231407161634e-08
1100320,2.9491589363385414e-08
1100338,3.902134609809307e-08
1100346,1.2917411122131625e-08
1100379,1.1128602964287419e-08
1100403,2.492458800464064e-08
1100452,3.3647006544220785e-08
1100502,1.2561232506631675e-08
1100601,7.3214493186101435e-09
1100700,1.2727449193864985e-08
1100809,3.010896563025601e-08
1100908,4.7253029656327085e-09
1100924,1.0305434608465305e-08
1100940,2.4093504568476158e-08
1101005,1.5972632135075294e-08
1101104,1.3051967487981115e-08
1101203,9.933425832276464e-09
1101302,1.5624368599931132e-08
1101401,2.1813961429276592e-08
1101435,1.0614122741898598e-08
1101450,7.851759701687851e-09
1101468,5.477235598354831e-09
1101476,4.179162421866115e-09
1101484,9.268559083343218e-09
1101492,2.5605284914263538e-08
1101500,2.2771686150958638e-08
1101559,7.28978899723237e-09
1101609,1.3249844496596636e-08
1101708,1.6938271937102993e-08
1101757,1.9249475397685177e-08
1101807,1.0004661555376455e-08
1200013,2.583482224426169e-08
1200054,1.4935756609962574e-08
1200104,3.6583501352006275e-08
1200138,2.318327032886805e-08
1200179,2.5613199994609194e-08
1200203,1.3998611097181829e-07
1200252,2.0990793073457767e-08
1200302,5.311810419155845e-08
1200328,1.602012261714923e-08
1200336,3.3836968472490645e-08
1200344,2.475837131740774e-08
1200351,3.849895079537035e-08
1200385,2.558945475358517e-08
1200393,1.6210084545419097e-08
1200401,3.0710511736439174e-07
1200427,3.0156456112317e-08
1200435,1.2545402345942786e-08
1200450,2.983985289854252e-08
1200500,7.754404213450039e-08
1200609,8.647225276304171e-08
1200708,2.604852941355558e-08
1200807,5.208122866643279e-08
1300029,3.425646773074571e-08
1300060,1.3447721505199217e-08
1300086,1.7658544248441232e-08
1300102,2.5359917423587022e-08
1300144,3.0196031514045285e-08
1300201,1.579850036749674e-08
1300300,1.0086978390957733e-07
1300409,3.755705623437963e-08
1300508,3.9733703329098596e-08
1300607,4.827407502075453e-08
1300631,4.037482483699322e-08
1300680,3.579990839791573e-08
1300706,3.777867848401917e-08
1300805,6.49036588244287e-08
1300839,1.8078043506696302e-08
1300904,2.848637415964238e-08
1301001,5.8104604808558305e-08
1301100,5.0941457096826536e-08
1301159,4.151459640659947e-08
1301209,1.1357348786241429e-07
1301308,4.861442347556598e-08
1301407,6.114399566082438e-08
1301506,2.5288681700489057e-08
1301605,1.9922257226962422e-08
1301654,2.7774016928649796e-08
1301704,8.706588378887535e-08
1301803,3.871265796466425e-08
1301852,1.1578179527851588e-07
1301902,1.2418761060430858e-07
1301951,1.5656028921300813e-08
1302009,2.314369492713977e-08
1302108,1.2030922123553967e-08
1302207,1.6985762419163986e-08
1302306,4.748256698630538e-08
1302405,1.113176899642517e-07
1302504,1.4533670528466653e-07
1302553,4.237734016414658e-08
1302603,1.6169163580039304e-06
1302702,1.0012576635720212e-07
1302801,1.9257390478017892e-08
1302900,1.1506943804751035e-07
1303007,3.8443545232950763e-08
1303106,4.7617123352168604e-08
1303205,1.9257390478017892e-08
1303304,3.700300061026134e-08
1303403,1.3400231023142105e-07
1303502,2.6436368350428026e-08
1303536,4.5511711980547596e-08
