isic_12,num_emp,med_eco,mun_code
Manufacturing,5,6.176878767123287,1200013
Manufacturing,4,1019.7147188533628,1200179
Manufacturing,4,372.9644162596767,1200203
Utilities,9,323.6852912,1200203
Utilities,4,560.5214919712181,1200302
Utilities,5,88.62681762843926,1200328
Utilities,3,18.313697368421053,1200351
Manufacturing,5,370.64186159289983,1200385
Utilities,3,42.0001068816801,1200393
Manufacturing,53,237.6997204,1200401
Construction,11,26431.005490734384,1200401
Utilities,5,3.076743043478261,1200435
Manufacturing,5,48.46550657894737,1200500
Utilities,4,25.55615890216896,1200609
Manufacturing,5,13455.374025974026,2700201
Manufacturing,52,1742.8485999999998,2700300
Trade,6,5472.6255750691225,2700300
Business,4,1091.3885569792735,2700300
Construction,3,143.16145654702558,2700300
Agriculture,13,13849.737166965046,2700300
Mining,3,18206.00203962704,2700300
Manufacturing,10,732.0502495213784,2700409
Agriculture,4,103.20936672638103,2700409
Manufacturing,5,10674.898146570717,2201507
Manufacturing,4,25.49425252975244,2701001
Manufacturing,8,330.6973059285509,2701407
Trade,6,3.879057634854772,2701407
Business,7,8.837408612440191,2701407
Construction,3,18.09672681493916,2701407
Mining,37,904.826091148116,2701407
Manufacturing,8,343.1299179950474,2701704
Manufacturing,19,330.16909803921567,2702306
Agriculture,4,20.37605988532109,2702306
Mining,6,737.0732413596215,2702355
Manufacturing,8,115.78190621865596,2702405
Business,5,6879.411203095474,2702405
Manufacturing,12,6760.970894726642,2702553
Trade,4,72.92565771551725,2703106
Manufacturing,10,7.999316851609091,2703205
Manufacturing,4,348.2977732135216,2704104
Manufacturing,112,299.5580185498284,2704302
Utilities,43,726.054131439744,2704302
Trade,3,781.5831693638708,2704302
Construction,19,50.35065395833334,2704302
Mining,22,350.5092507786561,2704302
Manufacturing,11,280.9569455725847,2704401
Trade,8,1918.578719725587,2704500
Manufacturing,70,483.5018105633803,2704708
Utilities,10,3635.164655852853,2704708
Business,9,5150.720071140041,2704708
Manufacturing,7,47.60869361610209,2705101
Manufacturing,4,74086.31910567581,2705705
Manufacturing,28,1897.2891958333328,2706307
Manufacturing,5,386.3987512889256,2511509
Mining,4,47887.60205,2511509
Manufacturing,30,419.1645135172973,2707701
Utilities,3,4619124.123421261,2707701
Mining,4,14730.19411764706,2707701
Manufacturing,24,113.39044004899388,2707909
Trade,13,27.52123860013061,2707909
Construction,3,112.21343205128206,2708006
Manufacturing,9,749.0852547545655,2708303
Construction,6,2999.1544280555586,2708402
Manufacturing,8,63.667892060117545,2708501
Utilities,9,103941.1346293049,2708501
Manufacturing,13,28215.37254163768,2708600
Utilities,7,86204.6483498471,2708600
Mining,6,0.7843183632734531,2708600
Manufacturing,4,10835.602423606742,2708808
Utilities,16,921.600999219383,2708808
Trade,3,655.1787555555555,2708808
