sector;Agriculture;Mining;Manufacturing;Utilities;Construction;Trade;Transport;Business;Financial;RealEstate;Other;PublicSector;Exports;Government;Nonprofit;Households;GFCF;StockVariation;TotalDemand
1;0,10774;0,00002;0,12417;0,0002;0,00257;0,02827;0;0;0;0;0,01306;0,00589;0,15047;0,00004;0;0,02909;0,0142;0,17691;0,0455
2;0,00232;0,12777;0,06943;0,02933;0,02309;0,0002;0,00002;0;0;0,00848;0,00014;0,00026;0,1211;0;0;0;0,00915;-0,30534;0,02462
3;0,56912;0,26118;0,45693;0,15228;0,49243;0,17844;0,4117;0,06773;0,02764;0,1358;0,22749;0,1111;0,55759;0,00386;0;0,25686;0,2177;1,156;0,27408
4;0,06328;0,0253;0,02551;0,54898;0,00271;0,05494;0,01264;0,01813;0,01281;0,01816;0,0531;0,07505;0,00001;0;0;0,03149;0;-0,02072;0,03147
5;0,00161;0,02983;0,00149;0,0257;0,22451;0,00296;0,007;0,04205;0,00943;0,04332;0,01136;0,06139;0,00612;0;0;0;0,57257;0;0,06303
6;0,14999;0,06439;0,12021;0,03575;0,12637;0,07997;0,09368;0,05799;0,01427;0,04377;0,09538;0,05194;0,0217;0,00288;0;0,17608;0,06273;0;0,1014
7;0,05479;0,19702;0,08178;0,03657;0,028;0,1587;0,25232;0,02166;0,04294;0,01144;0,05682;0,04899;0,03062;0,00005;0;0,03874;0,00453;0;0,04882
8;0,00023;0,00877;0,009;0,01286;0,00502;0,04097;0,01669;0,30816;0,12502;0,02055;0,12194;0,07526;0,00876;0;0;0,03145;0,06497;-0,00684;0,03413
9;0,0411;0,05146;0,02864;0,04257;0,03341;0,0723;0,05436;0,07179;0,39129;0,55127;0,05275;0,19221;0,01786;0,00163;0;0,07954;0;0;0,05515
10;0,00011;0,00345;0,00328;0,00926;0,00425;0,11633;0,01626;0,03376;0,03323;0,04362;0,06106;0,01702;0,0073;0;0;0,15467;0;0;0,05834
11;0,00972;0,23082;0,07956;0,10648;0,05764;0,26692;0,13534;0,37872;0,34337;0,12359;0,3069;0,36087;0,07848;0,02971;1;0,20207;0,05416;0;0,15237
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0,96183;0;0;0;0;0,1111
