cod_ibge,ano,recursos_fgts,recursos_sbpe
110001,2009,113624.0,227248.0
110001,2010,518480.0,1036960.0
110001,2011,141744.0,283488.0
110001,2012,2130577.6,4261155.2
110001,2013,2761290.76,5522581.52
110001,2014,3699850.759999999,7399701.519999998
110001,2015,3266013.24,6532026.48
110001,2016,1208302.76,2416605.52
110001,2017,972233.24,1944466.48
110001,2018,1086215.04,2172430.08
110001,2019,558528.56,1117057.12
110001,2020,1536872.8799999997,3073745.7599999993
110001,2021,294020.72,588041.44
110001,2022,547381.16,1094762.32
110001,2023,1880825.36,3761650.72
110001,2024,2081538.96,4163077.92
110001,2025,841861.2799999999,1683722.5599999998
110002,2009,3078053.2,6156106.4
110002,2010,5551724.0,11103448.0
110002,2011,2146734.4,4293468.8
110002,2012,7331491.8,14662983.6
110002,2013,13496269.88,26992539.76
110002,2014,15506276.279999996,31012552.55999999
110002,2015,21795940.040000003,43591880.080000006
110002,2016,14727965.880000005,29455931.76000001
110002,2017,18123856.28,36247712.56
110002,2018,18781328.4,37562656.8
110002,2019,11037489.28,22074978.56
110002,2020,13539900.679999996,27079801.359999992
110002,2021,8914537.84,17829075.68
110002,2022,5980532.2,11961064.4
110002,2023,8355632.800000001,16711265.600000001
110002,2024,16175629.6,32351259.2
110002,2025,7022127.16,14044254.32
110003,2024,36754.2,73508.4
110004,2009,6040891.4,12081782.8
110004,2010,12762648.0,25525296.0
110004,2011,3014522.4,6029044.8
110004,2012,9117123.720000004,18234247.44000001
110004,2013,12012124.000000002,24024248.000000004
110004,2014,20887627.16,41775254.32
110004,2015,13664245.840000002,27328491.680000003
110004,2016,6085002.999999999,12170005.999999998
110004,2017,6554173.479999999,13108346.959999997
110004,2018,6600651.920000001,13201303.840000002
110004,2019,5311035.44,10622070.88
110004,2020,6631196.72,13262393.44
110004,2021,8695099.24,17390198.48
110004,2022,7068973.92,14137947.84
110004,2023,11132710.72,22265421.44
110004,2024,27208488.84,54416977.68
110004,2025,8156801.040000001,16313602.080000002
110005,2009,105048.0,210096.0
110005,2010,67956.0,135912.0
110005,2011,32000.0,64000.0
110005,2012,395528.76,791057.52
110005,2013,1105170.5599999998,2210341.1199999996
110005,2014,2020972.16,4041944.32
110005,2015,3270339.8,6540679.6
110005,2016,1381914.5999999996,2763829.1999999993
110005,2017,1180866.7599999998,2361733.5199999996
110005,2018,821330.84,1642661.68
110005,2019,460450.6399999999,920901.2799999998
110005,2020,806153.76,1612307.52
110005,2021,768332.96,1536665.92
110005,2022,365769.8,731539.6
110005,2023,299707.08,599414.16
110005,2024,1592941.96,3185883.92
110005,2025,932302.28,1864604.56
110006,2009,228072.0,456144.0
110006,2010,112280.0,224560.0
110006,2011,72464.0,144928.0
110006,2012,981765.32,1963530.64
110006,2013,1292795.6,2585591.2
110006,2014,556743.7999999999,1113487.5999999999
110006,2015,482843.9600000001,965687.9200000002
110006,2016,795910.3999999999,1591820.7999999998
110006,2017,464611.1199999999,929222.2399999998
110006,2018,129228.68,258457.36
110006,2019,261964.0,523928.0
110006,2020,422703.84,845407.68
110006,2021,191932.2,383864.4
110006,2022,200270.56,400541.12
110006,2023,148634.44,297268.88
110006,2024,1113289.44,2226578.88
110006,2025,124237.92,248475.84
110007,2025,0.0,0.0
110008,2014,97807.96,195615.92
110008,2025,1024.0,2048.0
110009,2009,305324.0,610648.0
110009,2010,2799520.0,5599040.0
110009,2011,2897688.0,5795376.0
110009,2012,4457404.800000001,8914809.600000001
110009,2013,6192050.6,12384101.2
110009,2014,8466087.879999999,16932175.759999998
110009,2015,6697164.279999998,13394328.559999997
110009,2016,2899992.9599999995,5799985.919999999
110009,2017,1735515.4,3471030.8
110009,2018,1073311.2,2146622.4
110009,2019,1185943.24,2371886.48
110009,2020,1716427.84,3432855.68
110009,2021,739823.7200000001,1479647.4400000002
110009,2022,973619.72,1947239.44
110009,2023,1454053.84,2908107.68
110009,2024,1347880.56,2695761.12
110009,2025,747019.84,1494039.68
110010,2009,183020.0,366040.0
110010,2010,80280.0,160560.0
110010,2011,0.0,0.0
110010,2012,914917.6,1829835.2
110010,2013,1354706.6799999997,2709413.3599999994
110010,2014,501383.4,1002766.8
110010,2015,2605526.76,5211053.52
110010,2016,2374949.72,4749899.44
110010,2017,2617422.24,5234844.48
110010,2018,3738873.32,7477746.64
110010,2019,2526208.48,5052416.96
110010,2020,3465968.159999999,6931936.319999998
110010,2021,1438415.0,2876830.0
110010,2022,951240.84,1902481.68
110010,2023,1247260.2799999998,2494520.5599999996
110010,2024,1765538.4800000002,3531076.9600000004
110010,2025,545603.44,1091206.88
110011,2009,1502140.0,3004280.0
110011,2010,11178024.0,22356048.0
110011,2011,1124136.0,2248272.0
110011,2012,1901843.6,3803687.2
110011,2013,2682118.4799999995,5364236.959999999
110011,2014,3783593.36,7567186.72
110011,2015,3344818.759999999,6689637.519999998
110011,2016,3537193.96,7074387.92
110011,2017,6343075.359999999,12686150.719999999
110011,2018,9390589.4,18781178.8
110011,2019,13541237.52,27082475.04
110011,2020,20791404.24,41582808.48
110011,2021,16835232.360000003,33670464.720000006
110011,2022,10561374.92,21122749.84
110011,2023,10336010.04,20672020.08
110011,2024,16097004.479999997,32194008.959999993
110011,2025,2952337.6800000006,5904675.360000001
110012,2009,15479235.64,30958471.28
110012,2010,30190020.0,60380040.0
110012,2011,17135192.0,34270384.0
110012,2012,40800173.08000001,81600346.16000003
110012,2013,39782237.20000002,79564474.40000004
110012,2014,47136094.680000015,94272189.36000003
110012,2015,49104367.280000016,98208734.56000003
110012,2016,39339511.440000005,78679022.88000001
110012,2017,46402182.04,92804364.08
110012,2018,54004500.12000005,108009000.2400001
110012,2019,55539954.52000013,111079909.04000026
110012,2020,50273462.84000011,100546925.68000022
110012,2021,55309615.76,110619231.52
110012,2022,47135845.04000001,94271690.08000001
110012,2023,57256155.120000005,114512310.24000001
110012,2024,85293066.44000003,170586132.88000005
110012,2025,19883068.72,39766137.44
110013,2009,89952.0,179904.0
110013,2010,538076.0,1076152.0
110013,2011,746320.8,1492641.6
110013,2012,2633024.24,5266048.48
110013,2013,2779212.24,5558424.48
110013,2014,4233722.48,8467444.96
110013,2015,4400294.839999999,8800589.679999998
110013,2016,1852076.24,3704152.48
110013,2017,2412563.3999999994,4825126.799999999
110013,2018,4584079.56,9168159.12
110013,2019,2629761.64,5259523.28
