city,avg_population,mean_delta_gini,corr_rent_all,corr_rent_active,corr_rent_inactive,corr_price_gini,n_obs
BELO HORIZONTE,48908.535,-0.00423639453272664,0.26496588413217914,0.3558013604622103,0.10947085429442992,-0.2925674011291467,50
FLORIANOPOLIS,12940.15,-0.0025201699706733525,0.1155744870569394,0.2661691424593188,-0.22202987511556302,0.274014289586516,50
BOA VISTA,6480.36,-0.002275162581714506,0.6565123722484599,0.6774195634061583,0.6434747970364397,-0.6562310029187498,50
VITORIA,17280.04,-0.002083991027081897,0.28358025839773876,0.2858447636034288,0.30105990760568013,-0.4689788228758902,50
PALMAS,3586.8033333333333,-0.001912827997941844,0.016058070911199797,0.04885865127133653,-0.038712100293176004,-0.22330725128619347,50
FORTALEZA,34204.63833333333,-0.001750763043839678,0.6506600109417411,0.6435760362907651,0.6113497581275041,-0.20313692935952649,50
MACAPA,6249.018333333333,-0.0013431801399706941,-0.35721656614554126,-0.40280685132440036,-0.39368438420399676,-0.32339226840114005,50
BELEM,19886.198333333334,-0.001037868958721096,0.3745308928815741,0.4404034086085357,0.4916350375783539,-0.0027840737814309813,50
SAO LUIS,14683.353333333333,-0.0008570696916317416,0.40099451122131546,0.4833562162126709,0.2687525410871943,0.24094912373921623,50
CUIABA,10660.966666666664,-0.000825599145858026,-0.10128387932805898,-0.19199572727907097,0.25745700884045164,-0.006686846232827391,50
PORTO VELHO,5649.098333333333,-0.0006692955187821662,0.5036811649542777,0.6464410791330938,0.3117703444832791,-0.0152446671184494,50
GOIANIA,24331.54333333333,-0.0002319125758310621,0.20959304857929767,0.20102650172260728,0.4125265300475472,0.3089495853522282,50
SAO PAULO,190620.12222222224,-0.00019472330980952677,0.05504077831036138,0.06296217628680761,0.03742509968066978,-0.45948605637179996,30
RECIFE,35125.805,-0.00018223895685891224,0.019338435273614698,-0.10682240858351139,0.44406168109704214,-0.07348519428460568,50
CAMPO GRANDE,10238.446666666669,-4.1181827876800544e-05,-0.22307281409939989,-0.26127312855713314,-0.16010671891669617,-0.38842795504045025,50
BRASILIA,39864.79166666667,-4.100900369233022e-05,0.3200738317589631,0.2333686339966848,0.5403097462002078,-0.10527255735948061,50
RIO DE JANEIRO,110670.94,1.907713091469414e-05,0.4888643117778177,0.43597837395953115,0.607146598079364,0.006295362086938927,50
MANAUS,25281.481666666667,0.0004484316063052819,0.03147732941803155,0.011585969108073687,-0.013299830229626946,-0.38504267176394774,50
MACEIO,11088.396666666667,0.0013335650251315942,0.4848171110025872,0.5825274906843658,0.09519857964052757,0.3656012215745986,50
RIO BRANCO,3929.2316666666666,0.0013768949170635892,-0.046065841278602984,-0.249169939331268,0.6691412488715882,-0.4210837774406479,50
JOAO PESSOA,9854.173333333334,0.00223831998524715,0.009602276032339792,0.11098571265420332,-0.16729577502511014,-0.20852334575572654,50
ARACAJU,9374.08,0.002396456846783257,0.7908297752367915,0.8252576353567626,0.759282788529947,-0.005418809794272638,50
NATAL,12036.515,0.002726404786590755,0.5466103874059992,0.4954509751096136,0.8204571321573518,-0.21596338680883492,50
TERESINA,10974.618333333334,0.0029404773809135797,-0.6186037269701122,-0.6670340730586785,-0.3564741559064597,-0.6309998883658211,50
PORTO ALEGRE,33950.955,0.003413578359737362,0.30042029026684464,0.23687397785421918,0.39322624819494073,-0.09036750128876916,50
CURITIBA,32107.92166666667,0.004786594178148846,-0.27551792437486994,-0.15716650826562337,-0.457769765844108,-0.3053307311592117,50
SALVADOR,32080.44,0.004952921010693484,0.11736005042658197,0.16655467422106818,-0.03656366697197261,0.17717843086789617,50
