level,outcome,mechanism,beta,se,t,p,stars,r2,r2_adj,n,n_cities,group
ACP,delta_gini,delta_house_price,-0.0001909505769591279,6.928264927442233e-05,-2.7561096314719413,0.005849338777762142,***,0.05753577104091345,0.02448832405143908,798,27,"Improvement ON  (MELHORIAS=True,  interest varies)"
Capital,delta_regional_gini,delta_regional_house_values,-0.0001926011752591493,6.612723777759908e-05,-2.912584613119798,0.0035845107370044826,***,0.061548732760457914,0.028642000013097357,798,27,"Improvement ON  (MELHORIAS=True,  interest varies)"
Periphery,delta_gini_periphery,delta_house_values_periphery,-9.273263045492194e-05,0.00011589429546873678,-0.8001483600194728,0.4236248449791392,,0.04540259132049529,0.01180076253497686,648,22,"Improvement ON  (MELHORIAS=True,  interest varies)"
ACP,delta_gini,delta_affordability_median,0.37016381586422453,0.08089111105034963,4.576075307382301,4.737800568784977e-06,***,0.08177226305107554,0.049574667080139245,798,27,"Improvement ON  (MELHORIAS=True,  interest varies)"
Capital,delta_regional_gini,delta_median_affordability,0.33195007179945374,0.0819720386241605,4.049552473879972,5.131567094968965e-05,***,0.08396477563030014,0.05184405997058339,798,27,"Improvement ON  (MELHORIAS=True,  interest varies)"
Periphery,delta_gini_periphery,delta_median_affordability_periphery,0.6604000087668431,0.13966570005660117,4.7284337421371765,2.262584357747878e-06,***,0.10027342166695852,0.06860304610963552,648,22,"Improvement ON  (MELHORIAS=True,  interest varies)"
ACP,delta_gini,delta_house_price,-0.00021063269127222066,8.134943253778998e-05,-2.5892336885616696,0.00961897926373798,***,0.07806632554802573,0.028677021559527116,532,27,"Improvement OFF (MELHORIAS=False, interest varies)"
Capital,delta_regional_gini,delta_regional_house_values,-0.00015913143666084224,7.670865336427861e-05,-2.074491334180375,0.03803370274566746,**,0.06690634736236178,0.016919187399631164,532,27,"Improvement OFF (MELHORIAS=False, interest varies)"
Periphery,delta_gini_periphery,delta_house_values_periphery,-0.00029051954895969805,0.00015118201144021334,-1.921654211318569,0.054649282373518716,*,0.07822895990716994,0.028647143569658362,432,22,"Improvement OFF (MELHORIAS=False, interest varies)"
ACP,delta_gini,delta_affordability_median,0.31409361155311577,0.11671296245565597,2.691163046028009,0.007120338618696092,***,0.09209711319362024,0.043459458543278484,532,27,"Improvement OFF (MELHORIAS=False, interest varies)"
Capital,delta_regional_gini,delta_median_affordability,0.3979025009188113,0.11807505600736058,3.36991160007586,0.0007519230144972526,***,0.10719437410251786,0.059365501286581246,532,27,"Improvement OFF (MELHORIAS=False, interest varies)"
Periphery,delta_gini_periphery,delta_median_affordability_periphery,0.31438199144236184,0.1584907466030719,1.983598400414554,0.04730062767735486,**,0.07659202293324208,0.0269221561961549,432,22,"Improvement OFF (MELHORIAS=False, interest varies)"
